,Synset Source,Synset Target
0,100007846,107942152
1,100015388,101313093
2,100017222,111529603
3,100390198,106351202
4,100390445,106351202
5,100585964,108381820
6,100599917,108382570
7,100600200,108382570
8,100600435,108382570
9,100600655,108382570
10,100600871,108382570
11,100601088,108382570
12,100601296,108382570
13,100601557,108382570
14,100601822,108382570
15,100602026,108382570
16,100602220,108382570
17,100602448,108382570
18,100602669,108382570
19,100602909,108382570
20,100722984,108079319
21,100723241,108079319
22,100723547,108079319
23,100723783,108079319
24,100723984,108079319
25,100724168,108079319
26,100724433,108079319
27,100724684,108079319
28,100724898,108079319
29,100725383,108079852
30,100725506,108079852
31,100725673,108079852
32,100725775,108429744
33,100725775,108429899
34,100726100,108430054
35,100726369,108080025
36,100726567,108080025
37,100726867,108080025
38,100727002,108080025
39,100727137,108080025
40,100727333,108080025
41,100727500,108080025
42,100727743,108080025
43,100727901,108080025
44,100728065,108080025
45,100728464,108080386
46,100928751,100928542
47,101008271,107953827
48,101321854,101861465
49,101330497,101333082
50,101330696,101333082
51,101330852,101333082
52,101330966,101333082
53,101331188,101333082
54,101331345,108107499
55,101332009,101331659
56,101332181,101331659
57,101332347,108107499
58,101332488,101332347
59,101332653,108107499
60,101332795,101332653
61,101333082,108107499
62,101333301,108107499
63,101333483,101333301
64,101333610,108107499
65,101340648,101333301
66,101340785,101333301
67,101342269,101341876
68,101342529,101313093
69,101347199,101386494
70,101347431,101341876
71,101347583,101347431
72,101349948,101356670
73,101351959,101354869
74,101352059,101354869
75,101352574,101354869
76,101353411,101354869
77,101353658,101360937
78,101353773,101367430
79,101353932,101353773
80,101354149,101356086
81,101354324,101354149
82,101354521,101354149
83,101354724,101354521
84,101354869,101341876
85,101355326,101354869
86,101356086,101354869
87,101356459,101356086
88,101356670,101356459
89,101356888,101356459
90,101357156,101356888
91,101357328,101356888
92,101357507,101356888
93,101357707,101354869
94,101357967,101354869
95,101358135,101357967
96,101358259,101357707
97,101358572,101358259
98,101358904,101357967
99,101359070,101358259
100,101359203,101359070
101,101359365,101359203
102,101359488,101358259
103,101359631,101359488
104,101359762,101359631
105,101360330,101354869
106,101360712,101360330
107,101360937,101360712
108,101361261,101360937
109,101361465,101360712
110,101361683,101361465
111,101361840,101360330
112,101361973,101360330
113,101362196,101361973
114,101362336,101362196
115,101362480,101361973
116,101362623,101362480
117,101362769,101360330
118,101362999,101362769
119,101363121,101362999
120,101363423,101360330
121,101363600,101363423
122,101363719,101363600
123,101364008,101363423
124,101364162,101364008
125,101364329,101364008
126,101364472,101364008
127,101364587,101356086
128,101364866,101364587
129,101365322,101365122
130,101365684,101365474
131,101366015,101356086
132,101366276,101366415
133,101366415,101366015
134,101366700,101366415
135,101366881,101366015
136,101367083,101366881
137,101367430,101356086
138,101367772,101367430
139,101368095,101367430
140,101368216,101368095
141,101368552,101367430
142,101368672,101368552
143,101368853,101367430
144,101368973,101368853
145,101369633,101367430
146,101369819,101369633
147,101370142,101367430
148,101370260,101370142
149,101370581,101367430
150,101370698,101370581
151,101370913,101354869
152,101371092,101370913
153,101371342,101371092
154,101371483,101371092
155,101372372,101370913
156,101372544,101372372
157,101372709,101372544
158,101373272,101354869
159,101373440,101373272
160,101373675,101373440
161,101373826,101373675
162,101374989,101354869
163,101375204,101374989
164,101375460,101374989
165,101375617,101375460
166,101375760,101375617
167,101375913,101374989
168,101376092,101375913
169,101376237,101376092
170,101376801,101374989
171,101376948,101376801
172,101377092,101376948
173,101377906,101354869
174,101378137,101377906
175,101378346,101378137
176,101378545,101377906
177,101378800,101354869
178,101379116,101378800
179,101379252,101378800
180,101379389,101379252
181,101379636,101341876
182,101379954,101379636
183,101380118,101379954
184,101380298,101379954
185,101380489,101379636
186,101380610,101380489
187,101380902,101379636
188,101381044,101380902
189,101381285,101380902
190,101381399,101354869
191,101381604,101381399
192,101381829,101381604
193,101382033,101381399
194,101382273,101381399
195,101382482,101382273
196,101382699,101382482
197,101382839,101382273
198,101383027,101382839
199,101383151,101382839
200,101383332,101382273
201,101383502,101383332
202,101383638,108418103
203,101383896,101383638
204,101384164,101383638
205,101384313,108418103
206,101387065,101386494
207,101387208,101386494
208,101387451,101387208
209,101387617,101386494
210,101388130,101386494
211,101388992,101341876
212,101389188,101386494
213,101389507,101389188
214,101389875,101389188
215,101390123,101389875
216,101390287,101389875
217,101390466,101390287
218,101390627,101390287
219,101390763,101390627
220,101390899,101390287
221,101391028,101390899
222,101391174,101389875
223,101391391,101391174
224,101391569,101391174
225,101391779,101391569
226,101391933,101391569
227,101392122,101391933
228,101392380,101391569
229,101392692,101392122
230,101392843,101391174
231,101393030,101392843
232,101393237,101392843
233,101393364,101392843
234,101393604,101392843
235,101393753,101393604
236,101393873,101391174
237,101394040,101393873
238,101394193,101393873
239,101394366,101394193
240,101394492,101394366
241,101394635,101393873
242,101394771,101394635
243,101394901,101389188
244,101395254,101394901
245,101395531,101394901
246,101395773,101395531
247,101395885,101394901
248,101396048,101395885
249,101396170,101394901
250,101396322,101396170
251,101396458,101394901
252,101396617,101396458
253,101396776,101394901
254,101396951,101396776
255,101399529,101386494
256,101399772,101386494
257,101400247,101399772
258,101400391,101399772
259,101400575,101399772
260,101400772,101399772
261,101400891,101399772
262,101401106,101400891
263,101401296,101399772
264,101401517,101401296
265,101401686,101401517
266,101401842,101401686
267,101402169,101402381
268,101402600,101402169
269,101402831,101402169
270,101403052,101402831
271,101403284,101403052
272,101403457,101403284
273,101403805,101402169
274,101403968,101402381
275,101404129,101403805
276,101404365,101404129
277,101404495,101403805
278,101404628,101404129
279,101404813,101404129
280,101405007,101404813
281,101405107,101404813
282,101405250,101404813
283,101405442,101404129
284,101405737,101404129
285,101405858,101405737
286,101406092,101386494
287,101406262,101406092
288,101406426,101406262
289,101406565,101406426
290,101406736,101406565
291,101406904,101406092
292,101407065,101386494
293,101407465,101407065
294,101407798,101407065
295,101408088,101407065
296,101408253,101407465
297,101408383,101408253
298,101408547,101408383
299,101408743,101408547
300,101408880,101407465
301,101409065,101408880
302,101409244,101409065
303,101409477,101408880
304,101409665,101409477
305,101409940,101407465
306,101410109,101409940
307,101410330,101410109
308,101410457,101410109
309,101410568,101410109
310,101410689,101410568
311,101410847,101407465
312,101411036,101410847
313,101411240,101410847
314,101411450,101411240
315,101411556,101407465
316,101411727,101411556
317,101411871,101411727
318,101412085,101407065
319,101412279,101412085
320,101412479,101412279
321,101412694,101412479
322,101412925,101412479
323,101413071,101412479
324,101413188,101412085
325,101413324,101413188
326,101413457,101413324
327,101413551,101386494
328,101413744,101413551
329,101413942,101413551
330,101414359,101413744
331,101414502,101414359
332,101414633,101414502
333,101414841,101413744
334,101414986,101414841
335,101415139,101414986
336,101415256,101413744
337,101415393,101415256
338,101415524,101415393
339,101416354,101389188
340,101416585,101416354
341,101417041,101416354
342,101417361,101417041
343,101417553,101417041
344,101417674,101417553
345,101417807,101417041
346,101417982,101417807
347,101418114,101417807
348,101418237,101416354
349,101418620,101418237
350,101418794,101418237
351,101418947,101418794
352,101419082,101418237
353,101419332,101419082
354,101419444,101419082
355,101419573,101419444
356,101419740,101419082
357,101419888,101419740
358,101420000,101419082
359,101420164,101419082
360,101420314,101419082
361,101420525,101420314
362,101420655,101416354
363,101420860,101420655
364,101421012,101386494
365,101421164,101421012
366,101421333,101421164
367,101421496,101389188
368,101421807,101421496
369,101422594,101421496
370,101422835,101422594
371,101423001,101422835
372,101423160,101423001
373,101423302,101422835
374,101423464,101422594
375,101423617,101423464
376,101423757,101422594
377,101423971,101423757
378,101424165,101423757
379,101424282,101421496
380,101424420,101424282
381,101424607,101423757
382,101424782,101424607
383,101424938,101424607
384,101425076,101424607
385,101425223,101425076
386,101425336,101423757
387,101425501,101425336
388,101425634,101425336
389,101425817,101421496
390,101425983,101425817
391,101426160,101425983
392,101426314,101426160
393,101426466,101425817
394,101426625,101426466
395,101426784,101421496
396,101427005,101426784
397,101427143,101427005
398,101427241,101426784
399,101427399,101427241
400,101427547,101426784
401,101427703,101427547
402,101428155,102527813
403,101428580,101428155
404,101429349,101471070
405,101432517,101471070
406,101437805,101428155
407,101438208,101437805
408,101438461,101437805
409,101438581,101438461
410,101438720,101437805
411,101439121,101438720
412,101439514,101438720
413,101439657,101438720
414,101439808,101439657
415,101440344,101438720
416,101440467,101440344
417,101440655,101438720
418,101440764,101440655
419,101440949,101438720
420,101441117,101440949
421,101441272,101440949
422,101441625,101438720
423,101441910,101441625
424,101442055,101438720
425,101442335,101438720
426,101442450,101442335
427,101442591,101438720
428,101442710,101442591
429,101442855,101438720
430,101442972,101442855
431,101443126,101438720
432,101443243,101443126
433,101443398,101438720
434,101443537,101443398
435,101443831,101443398
436,101443998,101437805
437,101444164,101443998
438,101444339,101444164
439,101444520,101437805
440,101444783,101444520
441,101444922,101444520
442,101445173,101444520
443,101445305,101444520
444,101445593,101445305
445,101445718,101444520
446,101445998,101444520
447,101446152,101445998
448,101446283,101437805
449,101446589,101446283
450,101447001,101446283
451,101447139,101447001
452,101447331,101447001
453,101447551,101446283
454,101447658,101447551
455,101447822,101446283
456,101447946,101447822
457,101448165,101446283
458,101448291,101448165
459,101448496,101446283
460,101448767,101437805
461,101448951,101448767
462,101449252,101448767
463,101449374,101449252
464,101449586,101448767
465,101449712,101449586
466,101449857,101448767
467,101449980,101449857
468,101450081,102551824
469,101450281,101450081
470,101450453,101450281
471,101450661,101450281
472,101450950,101450453
473,101451115,101450453
474,101451295,101450453
475,101451524,101450081
476,101451726,101451524
477,101451863,101451726
478,101452051,101451524
479,101452200,101451524
480,101452496,102551824
481,101452633,101452496
482,101452798,101452633
483,101452954,101452633
484,101453087,101452954
485,101453188,101452496
486,101453330,101453188
487,101453475,101453330
488,101453591,101453188
489,101453742,101453591
490,101453852,102527813
491,101454260,101453852
492,101454393,101454260
493,101454545,101454393
494,101454702,101453852
495,101454856,101454702
496,101455141,101454702
497,101455317,101455141
498,101455461,101455141
499,101455592,101453852
500,101455778,101455592
501,101455986,101455592
502,101456137,101455986
503,101456296,101455592
504,101456454,101456296
505,101456631,101455592
506,101456756,101456631
507,101456939,101453852
508,101457082,101456939
509,101457276,101453852
510,101457407,101457276
511,101457576,101453852
512,101457708,101457576
513,101457852,101457708
514,101465994,101313093
515,101466257,101465994
516,101466828,101465994
517,101466996,101465994
518,101467180,101465994
519,101467336,101467180
520,101467504,101467180
521,101467675,101467504
522,101467804,101467675
523,101467986,101465994
524,101468238,101467986
525,101468532,101467986
526,101468712,101468532
527,101469222,101467986
528,101469425,101469222
529,101469586,101469425
530,101469723,101469586
531,101469886,101469222
532,101470018,101469886
533,101470145,101470018
534,101470287,101467986
535,101470479,101470287
536,101470586,101470287
537,101470733,101470586
538,101470895,101468532
539,101471070,101465994
540,101471682,101471070
541,101472303,101471070
542,101472502,101472303
543,101473990,101471070
544,101474283,101473990
545,101474641,101473990
546,101474864,101474641
547,101475025,101474641
548,101475232,101475025
549,101475421,101474641
550,101475648,101475421
551,101475794,101473990
552,101475940,101475794
553,101476135,101473990
554,101476418,101476135
555,101476829,101473990
556,101477080,101476829
557,101477184,101476829
558,101477373,101476829
559,101477525,101477373
560,101477745,101477373
561,101477875,101477745
562,101478073,101476829
563,101478300,101476829
564,101478511,101478300
565,101478816,101478300
566,101478969,101478816
567,101479066,101478300
568,101479213,101479066
569,101479329,101478300
570,101479459,101479329
571,101479643,101471070
572,101479820,101479643
573,101479937,101471070
574,101480106,101479937
575,101480336,101471070
576,101480516,101480336
577,101480715,101480336
578,101480880,101480715
579,101481063,101480715
580,101481203,101481063
581,101481331,101481203
582,101481599,101480336
583,101482071,101481599
584,101482754,101481599
585,101482887,101482754
586,101483021,101482887
587,101483188,101481599
588,101483522,101483188
589,101483707,101483188
590,101483830,101483707
591,101483980,101483370
592,101484097,101483980
593,101484717,101483188
594,101484850,101484717
595,101485073,101483188
596,101485306,101481599
597,101485479,101485073
598,101485673,101481599
599,101485801,101485673
600,101486010,101485801
601,101486241,101481599
602,101486411,101486241
603,101486540,101486411
604,101486706,101486241
605,101486838,101486706
606,101487077,101481599
607,101487312,101487077
608,101487506,101487312
609,101487743,101481599
610,101487914,101487743
611,101488038,101487914
612,101488234,101481599
613,101488385,101488234
614,101488539,101481599
615,101488918,101488539
616,101489275,101488539
617,101489501,101489275
618,101489709,101489275
619,101489920,101489275
620,101490112,101489275
621,101490360,101489275
622,101490546,101488539
623,101490670,101490546
624,101490885,101488539
625,101491006,101490885
626,101491235,101488539
627,101491361,101491235
628,101491520,101488539
629,101491661,101491520
630,101491991,101481599
631,101492212,101491991
632,101492357,101491991
633,101492708,101492212
634,101492860,101492212
635,101493012,101491991
636,101493146,101493012
637,101493366,101481599
638,101493541,101493366
639,101493687,101493366
640,101493829,101493687
641,101494041,101493687
642,101494188,101481599
643,101494339,101494188
644,101494475,101494339
645,101495192,101481599
646,101495340,101495192
647,101495493,101495340
648,101496037,101481599
649,101496199,101496037
650,101496331,101496199
651,101496617,101481599
652,101496944,101496617
653,101497118,101496944
654,101497278,101496944
655,101497413,101497278
656,101497579,101496617
657,101497738,101497579
658,101497878,101496617
659,101498041,101497878
660,101498268,101497878
661,101498406,101498268
662,101498577,101497878
663,101498699,101498577
664,101498822,101496617
665,101498989,101498822
666,101499261,101498822
667,101499396,101499261
668,101499595,101498822
669,101499732,101499595
670,101499898,101496617
671,101500091,101499898
672,101500360,101499898
673,101500476,101500360
674,101500721,101499898
675,101500854,101500721
676,101500995,101496617
677,101501160,101500995
678,101501450,101500995
679,101501641,101501450
680,101501777,101501450
681,101501948,101501450
682,101502101,101501450
683,101502262,101471070
684,101503061,101502262
685,101503061,107990956
686,101504437,101471070
687,101507175,101471070
688,101515398,101502262
689,101515583,101515398
690,101515811,101502262
691,101516064,101515811
692,101516212,101516064
693,101516487,101515811
694,101516609,101516487
695,101516878,101515811
696,101517036,101516878
697,101517265,101515811
698,101517389,101517265
699,101518170,101502262
700,101518347,101502262
701,101518564,101518347
702,101518718,101518564
703,101518878,101518718
704,101519046,101502262
705,101519228,101519046
706,101519401,101519228
707,101519563,101519401
708,101519719,101519046
709,101519873,101519719
710,101520058,101502262
711,101520284,101520058
712,101520442,101520284
713,101520576,101520442
714,101520789,101502262
715,101521014,101520789
716,101521197,101521014
717,101521399,101521197
718,101521602,101521014
719,101521756,101521602
720,101521980,101502262
721,101522147,101521980
722,101522305,101522147
723,101522450,101522305
724,101522594,101502262
725,101522789,101522594
726,101522952,101522789
727,101523105,101522789
728,101523248,101522952
729,101523379,101522789
730,101523493,101523379
731,101523656,101502262
732,101523908,101502262
733,101524359,101523908
734,101524885,101523908
735,101525720,101524885
736,101526635,101524885
737,101526766,101526635
738,101526925,101524885
739,101527055,101526925
740,101527194,101527055
741,101527480,101524885
742,101527617,101527480
743,101527774,101527480
744,101527917,101527774
745,101528087,101524885
746,101528244,101528087
747,101528396,101528244
748,101528542,101528087
749,101528654,101528542
750,101529036,101524885
751,101529672,101529036
752,101530256,101529036
753,101530439,101530256
754,101530575,101530256
755,101530691,101529036
756,101530846,101529036
757,101531178,101530846
758,101531344,101530846
759,101531639,101530846
760,101531811,101530846
761,101531971,101530846
762,101532107,101529036
763,101532325,101532107
