,Synset,Glosa
0,100001740,Realitat considerada per abstracció com a unitat (amb o sense vida)
1,100001930,una entitat que té existència física
2,100002137,Representació formada per les característiques essencials d''una cosa
3,100002452,una entitat separada i autocontinguda
4,100002684,Entitat sense vida
5,100003553,una agrupació de peces que es considera com una sola entitat
6,100003993,None
7,100004258,Qualsevol entitat viva
8,100004475,Qualsevol entitat viva amb la habilitat d''actuar amb independència
9,100005787,None
10,100005930,None
11,100006024,None
12,100006150,None
13,100006269,Éssers vius considerats col·lectivament
14,100006400,None
15,100006484,"Unitat estructural i funcional bàsica dels éssers vius, generalment formada de citoplasma i un o més nuclis"
16,100007347,Allò que produeix o causa alguna cosa
17,100007846,Un ésser humà
18,100015388,Ésser viu que està dotat de moviment voluntari
19,100017222,(Botànica) un organisme viu que no té el poder de la locomoció
20,100019046,None
21,100019128,Objecte que no ha estat creat per l''home
22,100019613,Matèria de la qual un objecte està constituït
23,100020090,una classe o espècie particular de la matèria amb propietats uniformes
24,100020827,Allò que conté massa i ocupa espai;
25,100021265,Substàncies metabolitzades per l''organisme i que li proporcionen energia
26,100021734,"qualsevol substància (per exemple, un element químic o compost inorgànic) que poden ser presos per una planta verda i s''utilitza en la síntesi orgànica"
27,100021939,Cosa creada per l''home
28,100022903,Tipus determinat d''objecte
29,100023100,Tret mental d''un organisme viu
30,100023271,"Resultat psicològic de la percepció, l''aprenentatge i el raonament"
31,100023773,Allò que determina el comportament i mou la voluntat en un sentit o altre
32,100024264,Característica inherent a una cosa o una persona
33,100024720,Situació d''una cosa respecte els seus principals atributs
34,100026192,Tret psicològic que reflecteix estats afectius o emocionals
35,100027167,Punt o abast a l''espai
36,100027807,Aspecte extern de les coses materials
37,100028270,Continu en què els esdeveniments transcorren
38,100028651,"Extensió que es representa en principi com a il·limitat, continu i tridimensional i com a continent de tots els objectes sensibles"
39,100029007,None
40,100029114,None
41,100029378,Fet que succeeix en un determinat moment
42,100029677,Conjunt de les fases succesives d''un fenomen
43,100030358,Fet realitzat per l''home
44,100031264,Conjunt d''entitats que formen una unitat
45,100031921,Lligam abstracte entre dos o més objectes
46,100032613,Acció de disposar d''una cosa com a pròpia
47,100032823,"Relació entre organismes amb vida, especialment persones"
48,100033020,Acció de transmetre un missatge
49,100033615,Magnitud que es determina mitjançant el càlcul o la medició
50,100034213,Qualsevol estat o procés conegut a través dels sentits
51,100034479,Una acció
52,100034574,None
53,100034777,None
54,100034939,None
55,100035189,Acció d''aconseguir alguna cosa
56,100035697,None
57,100035891,None
58,100036061,None
59,100036299,None
60,100036580,None
61,100036762,Consecució important
62,100037006,None
63,100037090,None
64,100037200,None
65,100037396,Allò que s''ha realitzat i existeix
66,100038175,None
67,100038262,None
68,100038573,None
69,100038863,None
70,100039021,None
71,100039211,None
72,100039297,Interacció molt pròxima
73,100039545,None
74,100039740,None
75,100039916,None
76,100039990,None
77,100040152,None
78,100040420,None
79,100040545,None
80,100040804,Intercanvi social o verbal
81,100040962,None
82,100041188,None
83,100041468,None
84,100041614,None
85,100041740,None
86,100041899,Acte que atesta l''accés a la propietat
87,100042311,None
88,100042541,None
89,100042757,Acció de partir
90,100043116,None
91,100043195,Acció i efecte de descobrir quelcom
92,100043609,Acció de desfer-se d''alguna cosa
93,100043902,None
94,100044150,Acció d''implementar alguna cosa
95,100044455,None
96,100044673,None
97,100044900,None
98,100045114,None
99,100045250,None
100,100045646,None
101,100045907,Acció i efecte de recuperar o salvar alguna cosa perduda o en perill de perdre''s
102,100046177,None
103,100046344,None
