,Synset Source,W_Num Source,Synset Target,W_Num Target
0,200030142,0,303154649,0
1,200069012,1,303149478,1
2,200117757,1,303150301,1
3,200117757,1,303150431,1
4,200123170,0,303152135,1
5,200144446,1,303153361,0
6,200167535,1,303153255,1
7,200181005,0,303150124,0
8,200185698,0,303150670,0
9,200215661,1,303153960,1
10,200238867,0,303151122,0
11,200298420,1,303151871,1
12,200364629,0,303151423,0
13,200364629,0,303151582,0
14,200365810,0,303154463,0
15,200497391,1,303154649,0
16,200538571,1,303155193,1
17,200538571,1,303155306,1
18,200554468,0,303153554,0
19,200869596,0,303148333,1
20,200869596,0,303148487,1
21,200914420,0,303153653,1
22,200991683,1,303152480,1
23,201072949,1,303152015,1
24,201153486,0,303147281,1
25,201153486,0,303147408,1
26,201183573,0,303149732,1
27,201183573,0,303149843,1
28,201216670,0,303149169,0
29,201315613,0,303154886,1
30,201359432,0,303154362,1
31,201380638,0,303147919,0
32,201380638,0,303148137,0
33,201493380,1,303151302,1
34,201503404,0,303154289,1
35,201525666,0,303150985,1
36,201589497,1,303147643,0
37,201593937,0,303154143,1
38,201619354,1,303153155,1
39,201624897,1,303147543,1
40,201633343,0,303152577,1
41,201660547,1,303150897,1
42,201661096,1,303153755,1
43,201675245,0,303149025,1
44,201688604,1,303151711,0
45,201853882,1,303153849,1
46,201871979,0,303148831,1
47,201881180,0,303153018,1
48,201959340,1,303147793,1
49,201996735,0,303150569,1
50,202000868,0,303152874,1
51,202066757,0,303154786,1
52,202072849,0,303148724,1
53,202142775,0,303152249,1
54,202142775,0,303152350,1
55,202323870,1,303154986,1
56,202352824,1,303148653,1
57,202441897,1,303149347,1
58,202499629,0,303152759,1
59,202659763,0,303149960,1
60,202694548,1,303149619,1
61,300002312,0,400512503,1
62,300002527,0,400512597,1
63,300005205,1,400007488,1
64,300005599,0,400367568,1
65,300005599,0,400502098,1
66,300006032,0,400160834,0
67,300009046,1,400264555,0
68,300009618,0,400266258,1
69,300009978,1,400349855,1
70,300010726,0,400439393,1
71,300010726,0,400493732,1
72,300011327,0,400422619,1
73,300011757,1,400197947,1
74,300012362,1,400289586,1
75,300013160,1,400197811,1
76,300013887,1,400214554,0
77,300014490,0,400279867,0
78,300014858,0,400214554,0
79,300015247,0,400335544,0
80,300015247,0,400390147,1
81,300016005,1,400439257,0
82,300016756,1,400003093,0
83,300017782,1,400055312,0
84,300017782,1,400055518,0
85,300019874,0,400204390,1
86,300020787,0,400231620,0
87,300021110,0,400231620,0
88,300021766,1,400204523,1
89,300023278,0,400203922,0
90,300023383,1,400204643,1
91,300023854,0,400204125,0
92,300023854,0,400338292,1
93,300029933,0,400276391,0
94,300030508,1,400427685,1
95,300032733,0,400189615,0
96,300034322,0,400298062,0
97,300038750,1,400079617,1
98,300039592,0,400079748,1
99,300040058,0,400471498,1
100,300042837,1,400293329,1
101,300044132,1,400060032,0
102,300044353,0,400300891,1
103,300044760,1,400140759,1
104,300045123,1,400140884,1
105,300048460,0,400291083,1
106,300051696,0,400369869,1
107,300053691,0,400466457,0
108,300061262,1,400056054,1
109,300061664,0,400230996,0
110,300062367,0,400299059,1
111,300062367,0,400310533,0
112,300063277,1,400056200,1
113,300064479,1,400013793,0
114,300064787,0,400278366,1
115,300065184,0,400184412,1
116,300065488,1,400014014,0
117,300066146,0,400266955,1
118,300066146,0,400304425,1
119,300067767,0,400333808,0
120,300068278,0,400354781,1
121,300069948,1,400248375,1
122,300070111,0,400078187,1
123,300070427,1,400449166,1
124,300073048,0,400066527,1
125,300073048,0,400488579,1
126,300073465,0,400466730,1
127,300073761,0,400499628,1
128,300074867,1,400448593,1
129,300075135,0,400512790,1
130,300077059,1,400267704,1
131,300079069,1,400185970,0
132,300079485,1,400199565,1
133,300081671,0,400199687,0
134,300082241,1,400049947,0
135,300082766,0,400287207,0
136,300084353,0,400354033,0
137,300084353,0,400435261,1
138,300084661,1,400287207,0
139,300084795,1,400481648,1
140,300086210,0,400141485,1
141,300086210,0,400345284,0
142,300086341,0,400106036,0
143,300086341,0,400345284,0
144,300086341,0,400503370,0
145,300086606,1,400360710,1
146,300087597,0,400482100,1
147,300089051,1,400219110,0
148,300089355,1,400312603,1
149,300089550,0,400003380,1
150,300089550,0,400425330,0
151,300089550,0,400514190,1
152,300089550,0,400516322,1
153,300091311,0,400493040,0
154,300091764,0,400493040,0
155,300093810,0,400139930,1
156,300095873,0,400275127,1
157,300097768,0,400304898,0
158,300097768,0,400389183,1
159,300099874,1,400304898,0
160,300101609,0,400270974,0
161,300102201,1,400220323,0
162,300103696,1,400220490,0
163,300104051,1,400262206,0
164,300104699,0,400262206,0
165,300105023,0,400262403,1
166,300105746,1,400178909,0
167,300105746,1,400397016,0
168,300106456,0,400396699,0
169,300106821,0,400073763,0
170,300106821,0,400463080,1
171,300110853,0,400240533,1
172,300113818,1,400227323,1
173,300114454,0,400224280,1
174,300115193,0,400359095,1
175,300115494,0,400372455,1
