,Synset Source,W_Num Source,Synset Target,W_Num Target
0,302598608,0,114549070,1
1,302598768,1,102667379,1
2,302598981,1,105512337,1
3,302598981,1,105556943,0
4,302599114,1,108892186,1
5,302599269,0,109019355,0
6,302599409,1,109645871,0
7,302599509,1,109676490,0
8,302599689,1,109180616,1
9,302599837,1,111420376,0
10,302599939,1,108274923,0
11,302600131,1,114221741,1
12,302600244,0,114042165,0
13,302600447,1,111533026,1
14,302600593,1,114600504,0
15,302600691,1,114600742,0
16,302600792,1,114599168,0
17,302600893,1,108782490,1
18,302600999,1,108784104,0
19,302601123,1,112036067,1
20,302601242,1,114912387,0
21,302601326,1,109186928,1
22,302601432,1,109187036,1
23,302601564,1,100647919,1
24,302601674,1,114019600,1
25,302601788,1,113138155,1
26,302601940,0,105516366,1
27,302602190,1,114222112,1
28,302602261,1,115147850,1
29,302602434,0,111536369,1
30,302602644,0,100998037,1
31,302602784,0,101375204,1
32,302602951,1,114254102,1
33,302603069,0,101901091,1
34,302603235,1,114152803,0
35,302603319,1,114834563,0
36,302603423,1,114246710,0
37,302603540,1,105529286,0
38,302603673,1,105529286,0
39,302603779,1,109180791,1
40,302603926,0,100874457,1
41,302604117,0,105221649,0
42,302604261,1,109547629,1
43,302604343,1,105331171,0
44,302604473,1,105332802,1
45,302604543,0,105408388,0
46,302604683,1,105980051,0
47,302604683,1,109778927,1
48,302604802,1,108488411,1
49,302604913,1,109792555,0
50,302605035,1,113091312,1
51,302605157,1,105408388,0
52,302605281,1,106659168,1
53,302605416,1,102719588,0
54,302605509,1,111479640,1
55,302605621,1,114516743,1
56,302605786,0,104137444,0
57,302605953,1,102725367,0
58,302606070,1,105490983,1
59,302606182,1,113427989,1
60,302606283,1,105606633,0
61,302606393,1,104662182,1
62,302606502,1,113063514,1
63,302606601,1,109553490,1
64,302606762,1,114841267,1
65,302606856,1,106119226,1
66,302606960,1,109189289,1
67,302607078,1,106114351,0
68,302607187,1,106046037,0
69,302607298,0,106096913,0
70,302607455,0,109559201,0
71,302607608,1,113785965,1
72,302607752,0,106308049,1
73,302607909,1,109777353,1
74,302608090,1,107495551,0
75,302608244,1,100035697,1
76,302608380,1,114071896,0
77,302608507,1,114095948,0
78,302608592,0,106066072,1
79,302608753,0,106066267,1
80,302608902,0,106065819,0
81,302609065,1,101030033,1
82,302609168,1,100831191,0
83,302609369,0,114665351,1
84,302609503,1,109055015,0
85,302609503,1,109740954,1
86,302609673,1,106227708,0
87,302609673,1,108085159,0
88,302609813,1,108704822,0
89,302609984,0,114152279,1
90,302610260,1,114865533,0
91,302610364,1,114731509,0
92,302610486,1,114265958,0
93,302610603,0,105778749,1
94,302610761,0,109781921,1
95,302610917,1,114584765,1
96,302611013,1,114729953,1
97,302611112,1,101397114,0
98,302611187,1,107493682,0
99,302611290,0,100998196,1
100,302611442,0,109646608,0
101,302611694,1,101057759,0
102,302611803,1,115048463,0
103,302611943,1,114712692,1
104,302612058,1,114021266,1
105,302612184,1,114617189,0
106,302612300,1,101473393,1
107,302612400,0,105437785,0
108,302612531,1,114584260,1
109,302612653,1,114532816,0
110,302612787,1,108171210,1
111,302612939,1,108171592,1
112,302613090,1,107437870,1
113,302613206,1,106819557,1
114,302613294,1,107337935,1
115,302613393,1,105998356,1
116,302613502,1,106306606,1
117,302613584,1,107111933,1
118,302613683,0,111409329,0
119,302613965,1,114617427,0
120,302614093,1,114457361,1
121,302614194,0,106497459,1
122,302614435,1,106497459,1
123,302614579,0,106500262,0
124,302614816,1,106926212,0
125,302614945,1,105131647,0
126,302615079,1,101897667,0
127,302615207,1,114627820,0
128,302615325,1,105528395,0
129,302615424,1,105310351,0
130,302615587,1,101238424,0
131,302615711,1,111823043,1
132,302615804,1,114096412,1
133,302615921,1,114096598,1
134,302616071,1,110815648,0
135,302616202,1,102317025,1
136,302616345,1,100283951,1
137,302616480,0,101392380,0
138,302616627,0,114302261,0
139,302616906,1,114722589,1
140,302616997,1,106987812,0
141,302617146,0,114739004,0
142,302617357,1,113430074,1
143,302617476,1,114743727,1
144,302617641,0,114743582,1
145,302617812,1,109195958,0
146,302617933,0,105672391,0
147,302618108,0,101472638,0
148,302618361,1,109789304,1
149,302618468,0,102704949,0
150,302618668,1,100876542,1
151,302618880,0,105254197,1
152,302619083,1,107750586,1
153,302619174,1,113430391,1
154,302619291,1,114063290,1
155,302619404,1,113430495,0
156,302619527,1,113930725,1
157,302619686,1,107098989,0
158,302619839,0,102707188,1
159,302619839,0,102707344,1
160,302620134,0,106246241,1
161,302620252,0,106287620,1
162,302620436,1,105538016,1
163,302620550,1,106014043,1
164,302620724,1,105761918,0
165,302620863,1,102708885,0
166,302620992,1,113431221,0
167,302621117,1,113431380,1
168,302621246,1,114369194,1
169,302621348,1,106213890,1
170,302621496,1,114315897,1
171,302621609,0,102709101,1
172,302621609,0,113938663,1
173,302621799,1,108493261,0
174,302621901,0,113431722,0
175,302622093,1,114747587,0
176,302622210,1,110172080,0
177,302622386,1,100998329,1
178,302622493,0,100998423,1
179,302622678,0,114152617,0
180,302622859,0,114038482,0
181,302623037,0,114108039,0
182,302623229,0,111665648,1
183,302623387,1,114235928,1
184,302623529,1,111665372,0
185,302623672,1,107500957,1
186,302623776,1,107502099,1
187,302623880,1,101726692,0
188,302623991,1,114319684,0
189,302624086,1,105958549,1
190,302624209,1,105735256,1
191,302624314,0,105958712,1
192,302624477,1,114097162,1
193,302624615,0,113432249,1
194,302624834,1,105457201,1
195,302625007,1,114555560,1
196,302625149,1,114022520,0
