,Synset Source,Synset Target
0,100002137,200692329
1,100002684,200532607
2,100003553,200367685
3,100003553,200368109
4,100003553,201385458
5,100003553,201462005
6,100003553,300784215
7,100004475,202614181
8,100004475,301093142
9,100004475,301679459
10,100004475,302986509
11,100005787,302661574
12,100006484,300327031
13,100006484,302685299
14,100007347,200770437
15,100007347,201645601
16,100007347,300323199
17,100007846,104618781
18,100007846,200388065
19,100007846,200727573
20,100007846,301557614
21,100015388,201617192
22,100015388,201680756
23,100015388,301263445
24,100017222,111531090
25,100017222,201567275
26,100017222,302833235
27,100017222,302847619
28,100019613,300625393
29,100021265,201204191
30,100021265,302557719
31,100021939,302986740
32,100023271,301780343
33,100023773,201649999
34,100023773,300324195
35,100023773,302766328
36,100026192,201771535
37,100027167,200413876
38,100027167,202286204
39,100027167,202333689
40,100027167,202694933
41,100028651,302841066
42,100030358,201643657
43,100030358,201649999
44,100030358,202367363
45,100031264,200656576
46,100031264,201089878
47,100031921,113780719
48,100031921,113812607
49,100031921,113928388
50,100031921,200713167
51,100031921,202724417
52,100033020,200740577
53,100033020,200742320
54,100033020,200760402
55,100033020,201030678
56,100033020,201070102
57,100033020,202231661
58,100033020,300496670
59,100033615,200489837
60,100033615,200647094
61,100033615,200681429
62,100033615,202645007
63,100034574,301372049
64,100035189,201640855
65,100035189,202526085
66,100037396,202367363
67,100039021,202376958
68,100039021,301946439
69,100039297,200743344
70,100040152,202257370
71,100040152,202372326
72,100040420,301945550
73,100040804,202370987
74,100040962,113928668
75,100040962,202458103
76,100040962,202724417
77,100041188,200013328
78,100041188,201072949
79,100041188,201079480
80,100041188,202418421
81,100041188,202418686
82,100041614,202447247
83,100041899,200094460
84,100041899,202208265
85,100041899,202210855
86,100042311,200770437
87,100042311,201645601
88,100042541,200056930
89,100042757,201848718
90,100042757,202008396
91,100042757,202014165
92,100043195,200598954
93,100043195,200721437
94,100043195,201637982
95,100043195,202128066
96,100043195,202154508
97,100043195,202248465
98,100043195,202285629
99,100043195,202286687
100,100043609,202222318
101,100043609,202354922
102,100043902,201111816
103,100043902,201405044
104,100044150,201642924
105,100044150,202408965
106,100044455,200423971
107,100044455,200528990
108,100044673,200417001
109,100044673,201115411
110,100044900,202457058
111,100045250,201511706
112,100045250,201643657
113,100045250,201649999
114,100045646,201097960
115,100045646,201381549
116,100045907,202247977
117,100046344,201713348
118,100046522,201206218
119,100046522,201206849
120,100047356,202562235
121,100047550,202562585
122,100048051,202617798
123,100048225,202022162
124,100048374,202005948
125,100048656,202006834
126,100048656,202020590
127,100048828,202005948
128,100049003,201720660
129,100049003,202016523
130,100049636,202018524
131,100050037,202471327
132,100050037,202471690
133,100050195,201721169
134,100050484,200422090
135,100050484,200425071
136,100050693,200423971
137,100050693,200426581
138,100050693,200528990
139,100050693,201990694
140,100050693,202625016
141,100050693,300003553
142,100050887,200426301
143,100051192,202004874
144,100051385,202502387
145,100051385,202503633
146,100051712,201227235
147,100051712,201229071
148,100052052,201304716
149,100052146,201305099
150,100052146,201305731
151,100052146,202085742
152,100052334,201981436
153,100052334,202087156
154,100052500,201979901
155,100052500,201981036
156,100053097,200613683
157,100053097,202009433
158,100053097,202014165
159,100053097,202015598
160,100053097,202030158
161,100053609,200426958
162,100053806,202156546
163,100053913,200173338
164,100053913,200495998
165,100053913,200799383
166,100053913,201511380
167,100053913,201994442
168,100053913,202380760
169,100053913,202428487
170,100054328,201800789
171,100054821,201856450
172,100054821,202014024
173,100055227,202076857
174,100055315,200614057
175,100055315,202584097
176,100055633,202073714
177,100055932,110010243
178,100056087,200416135
179,100056087,200416399
180,100056311,200413432
181,100056311,200415967
182,100056688,201994442
183,100057306,201904120
184,100057306,202015168
185,100057486,200570694
186,100057486,201113806
187,100057486,201994442
188,100057486,303109261
189,100058002,201979241
190,100058337,201979462
191,100058519,202015598
192,100058608,202074186
