,Synset Source,W_Num Source,Synset Target,W_Num Target
0,200001740,0,200002325,0
1,200001740,0,200002573,0
2,200002325,0,200001740,0
3,200002573,0,200001740,0
4,200002942,0,200003133,0
5,200003133,0,200002942,0
6,200007193,0,200079629,0
7,200009631,0,201891817,0
8,200010435,0,200013615,0
9,200010435,0,201721556,0
10,200012267,0,202289295,0
11,200012267,0,202355596,0
12,200013615,0,200010435,0
13,200013615,0,201719302,0
14,200024047,0,200024279,0
15,200024047,0,200098083,0
16,200024279,0,200024047,0
17,200032539,0,200032778,0
18,200032778,0,200032539,0
19,200036178,0,200036362,0
20,200036362,0,200036178,0
21,200038849,0,200045639,0
22,200043683,0,200046534,0
23,200044149,0,200044797,0
24,200044149,0,200051761,0
25,200044797,0,200044149,0
26,200044797,0,200046534,0
27,200045639,0,200038849,0
28,200046534,0,200043683,0
29,200046534,0,200044797,0
30,200046534,0,200047945,0
31,200047945,0,200046534,0
32,200049900,0,200177243,0
33,200051761,0,200044149,0
34,200052043,0,200052253,0
35,200052253,0,200052043,0
36,200052845,0,201308681,0
37,200053159,0,200053341,0
38,200053341,0,200053159,0
39,200056930,0,200059019,0
40,200059019,0,200056930,0
41,200059019,0,200059376,0
42,200059376,0,200059019,0
43,200060185,0,200063095,0
44,200060185,0,201430447,0
45,200063095,0,200060185,0
46,200063557,0,200063724,0
47,200063724,0,200063557,0
48,200065370,0,200065639,0
49,200065639,0,200065370,0
50,200066191,0,200066685,0
51,200066685,0,200066191,0
52,200072012,0,200072586,0
53,200072012,0,200074038,0
54,200072586,0,200072012,0
55,200073584,0,201854679,0
56,200074038,0,200072012,0
57,200079629,0,200007193,0
58,200086320,0,201585523,0
59,200087736,0,200087988,0
60,200087988,0,200087736,0
61,200088339,0,201323793,0
62,200092690,0,200093163,0
63,200093163,0,200092690,0
64,200094460,0,200545557,0
65,200096136,0,200108475,0
66,200096766,0,200097179,0
67,200097029,0,202097800,0
68,200097179,0,200096766,0
69,200098083,0,200024047,0
70,200098517,0,200098770,0
71,200098770,0,200098517,0
72,200099721,0,200100551,0
73,200100044,0,200833702,0
74,200100551,0,200099721,0
75,200107739,0,200107943,0
76,200107943,0,200107739,0
77,200107943,0,200108303,0
78,200108303,0,200107943,0
79,200108475,0,200096136,0
80,200108604,0,200108747,0
81,200108747,0,200108604,0
82,200113420,0,200113605,0
83,200113605,0,200113420,0
84,200114837,0,200115157,0
85,200115157,0,200114837,0
86,200116496,0,201752728,0
87,200117624,0,200117757,0
88,200117624,0,200186001,0
89,200117757,0,200117624,0
90,200118764,0,200729109,0
91,200122097,0,200581671,0
92,200122289,0,200122485,0
93,200122485,0,200122289,0
94,200125078,0,200435688,0
95,200125078,0,200435853,0
96,200125841,0,200146138,0
97,200134328,0,200134564,0
98,200134564,0,200134328,0
99,200136991,0,202730135,0
100,200143338,0,200430808,0
101,200143540,0,201675073,0
102,200146138,0,200125841,0
103,200146138,0,202626604,0
104,200153061,0,202073065,0
105,200154141,0,200487748,0
106,200156139,0,202272373,0
107,200161225,0,200550117,0
108,200162688,0,202405390,0
109,200167934,0,200384620,0
110,200169458,0,200550117,0
111,200171852,0,200253761,0
112,200171852,0,200411020,0
113,200171852,0,200603298,0
114,200171852,0,201627947,0
115,200177011,0,200177136,0
116,200177136,0,200177011,0
117,200177243,0,200049900,0
118,200181664,0,200195342,0
119,200182406,0,202745172,0
120,200186001,0,200117624,0
121,200188000,0,200188137,0
122,200188137,0,200188000,0
123,200190180,0,201465054,0
124,200194170,0,200194373,0
125,200194373,0,200194170,0
126,200195342,0,200181664,0
127,200195342,0,200195617,0
128,200195617,0,200195342,0
129,200201722,0,200243900,0
130,200202569,0,200202784,0
131,200202784,0,200202569,0
132,200204750,0,200204872,0
133,200204872,0,200204750,0
134,200205046,0,200205885,0
135,200205885,0,200205046,0
136,200209420,0,200397987,0
137,200212414,0,202734800,0
138,200214020,0,200214268,0
139,200214020,0,200214407,0
140,200214268,0,200214020,0
141,200214407,0,200214020,0
142,200226882,0,200252990,0
143,200229026,0,200229280,0
144,200229026,0,200475183,0
145,200229280,0,200229026,0
146,200231557,0,200245457,0
147,200235110,0,200317888,0
148,200235110,0,200318326,0
149,200238867,0,200239321,0
150,200238867,0,200239614,0
151,200239321,0,200238867,0
152,200239614,0,200238867,0
153,200242205,0,202227127,0
154,200243379,0,200243572,0
155,200243572,0,200243379,0
156,200243900,0,200201722,0
157,200245457,0,200231557,0
158,200245913,0,202393894,0
159,200247830,0,200310635,0
160,200251270,0,200251463,0
161,200251463,0,200251270,0
162,200251791,0,202737187,0
163,200252019,0,200342980,0
164,200252990,0,200226882,0
165,200252990,0,200253277,0
166,200253277,0,200252990,0
167,200253761,0,200171852,0
168,200254486,0,200254672,0
169,200254672,0,200254486,0
170,200256862,0,200257087,0
171,200257087,0,200256862,0
172,200258665,0,200434374,0
173,200262348,0,201569896,0
174,200265386,0,200265673,0
175,200265673,0,200265386,0
176,200266798,0,200267041,0
177,200267041,0,200266798,0
178,200273963,0,200274283,0
179,200274283,0,200273963,0
180,200274942,0,202098179,0
181,200276068,0,201755504,0
182,200280112,0,200282343,0
183,200282343,0,200280112,0
184,200286605,0,201531998,0
185,200301856,0,200302130,0
186,200302130,0,200301856,0
187,200309582,0,200309792,0
188,200309792,0,200309582,0
189,200310635,0,200247830,0
190,200311338,0,200313987,0
191,200313987,0,200311338,0
192,200315020,0,200315330,0
193,200315330,0,200315020,0
194,200315605,0,200316195,0
195,200316195,0,200315605,0
196,200317888,0,200235110,0
197,200318326,0,200235110,0
198,200320681,0,200321148,0
199,200321148,0,200320681,0
200,200322847,0,200323377,0
201,200323377,0,200322847,0
202,200327362,0,200327654,0
203,200327654,0,200327362,0
204,200327982,0,200430808,0
205,200328802,0,200329244,0
206,200329244,0,200328802,0
207,200332154,0,200332445,0
208,200332445,0,200332154,0
209,200332672,0,200334803,0
210,200333066,0,200333277,0
211,200333277,0,200333066,0
212,200334186,0,200334996,0
213,200334649,0,200335923,0
214,200334803,0,200332672,0
215,200334996,0,200334186,0
216,200335923,0,200334649,0
217,200336260,0,200336539,0
218,200336260,0,200336718,0
219,200336539,0,200336260,0
220,200336718,0,200336260,0
221,200338559,0,200355955,0
222,200339464,0,200342980,0
223,200341917,0,200542120,0
224,200342164,0,200342314,0
225,200342314,0,200342164,0
226,200342443,0,202661015,0
227,200342980,0,200252019,0
228,200342980,0,200339464,0
229,200342980,0,202624263,0
230,200344643,0,202593912,0
231,200345761,0,201070777,0
232,200347918,0,201834053,0
233,200348746,0,202609203,0
234,200351406,0,202542280,0
235,200355177,0,200355365,0
236,200355365,0,200355177,0
237,200355365,0,200355524,0
238,200355524,0,200355365,0
239,200355955,0,200338559,0
240,200357332,0,200357667,0
241,200357667,0,200357332,0
242,200358135,0,200358314,0
243,200358314,0,200358135,0
244,200358431,0,200434374,0
245,200358431,0,202109818,0
246,200359511,0,201569181,0
247,200360092,0,202081578,0
248,200360092,0,202229055,0
249,200364868,0,200365446,0
250,200364868,0,200366547,0
251,200365188,0,200365647,0
252,200365446,0,200364868,0
253,200365647,0,200365188,0
254,200366275,0,200366547,0
255,200366547,0,200364868,0
256,200366547,0,200366275,0
257,200367241,0,200367416,0
258,200367416,0,200367241,0
259,200374135,0,200445711,0
260,200377002,0,200378664,0
261,200378042,0,200378361,0
262,200378042,0,200378664,0
263,200378361,0,200378042,0
264,200378664,0,200377002,0
265,200378664,0,200378042,0
266,200379774,0,200379996,0
267,200379996,0,200379774,0
268,200384411,0,200385385,0
269,200384620,0,200167934,0
270,200385385,0,200384411,0
271,200391021,0,200391203,0
272,200391203,0,200391021,0
273,200396997,0,200397192,0
274,200397192,0,200396997,0
275,200397987,0,200209420,0
276,200398741,0,200398953,0
277,200398953,0,200398741,0
278,200399074,0,200399368,0
279,200399368,0,200399074,0
280,200402130,0,200545557,0
281,200402130,0,200925873,0
282,200407146,0,200605783,0
283,200411020,0,200171852,0
284,200414409,0,200414627,0
285,200414627,0,200414409,0
286,200417001,0,202672187,0
287,200422899,0,200548266,0
288,200423257,0,202080482,0
289,200429060,0,200429968,0
290,200429968,0,200429060,0
291,200430808,0,200143338,0
292,200430808,0,200327982,0
293,200431117,0,200431327,0
294,200431327,0,200431117,0
295,200432839,0,201985923,0
296,200434374,0,200258665,0
297,200434374,0,200358431,0
298,200435688,0,200125078,0
299,200435853,0,200125078,0
300,200443116,0,200443384,0
301,200443384,0,200443116,0
302,200444629,0,202060792,0
303,200445711,0,200374135,0
304,200447771,0,200447950,0
305,200447950,0,200447771,0
306,200450565,0,200450691,0
307,200450691,0,200450565,0
308,200456596,0,200456740,0
309,200456740,0,200456596,0
310,200457100,0,200457327,0
311,200457327,0,200457100,0
312,200458471,0,200458754,0
313,200458754,0,200458471,0
314,200460357,0,201328012,0
315,200461493,0,202190188,0
316,200461956,0,202190477,0
317,200464828,0,200464996,0
318,200464996,0,200464828,0
319,200468236,0,200468583,0
320,200468583,0,200468236,0
321,200470701,0,200471058,0
322,200471058,0,200470701,0
323,200475183,0,200229026,0
324,200476965,0,201278817,0
325,200481555,0,201197338,0
326,200486018,0,201640855,0
327,200487748,0,200154141,0
328,200495998,0,202428487,0
329,200498016,0,201488956,0
330,200499812,0,200500055,0
331,200500055,0,200499812,0
332,200501534,0,200501718,0
333,200501718,0,200501534,0
334,200506952,0,201308681,0
335,200508032,0,201588493,0
336,200517529,0,201717169,0
337,200517847,0,200518115,0
338,200518115,0,200517847,0
339,200522751,0,202210855,0
340,200527572,0,200527801,0
341,200527801,0,200527572,0
342,200538571,0,200538852,0
343,200538852,0,200538571,0
