,Synset Source,Synset Target
0,108519624,108488675
1,108563627,109206896
2,108682819,108671509
3,108682819,109230202
4,108682819,109474895
5,108682819,110627714
6,108701942,101279866
7,108701942,101281427
8,108701942,101281638
9,108701942,110286282
10,108703454,108013845
11,108703454,108322187
12,108705397,108016035
13,108705397,108044265
14,108714132,101291674
15,108715390,100782927
16,108715390,106930934
17,108715390,109987927
18,108715390,113684140
19,108716738,108028999
20,108719100,108032023
21,108719100,108096624
22,108720481,108031663
23,108720481,108033829
24,108722844,101275934
25,108722844,101292017
26,108723006,100710155
27,108723006,100710338
28,108723006,101303582
29,108723006,105915356
30,108723006,105915584
31,108723006,105915811
32,108723006,106929742
33,108723006,106930934
34,108723006,107424436
35,108723006,107571547
36,108723006,107638439
37,108723006,107836456
38,108723006,107866571
39,108723006,107866723
40,108723006,108321469
41,108723006,108472120
42,108723006,108727606
43,108723006,109481285
44,108723006,111228153
45,108723006,113717728
46,108723006,114050559
47,108729626,108019913
48,108732116,108035601
49,108732116,108042183
50,108732116,108047032
51,108732116,108237202
52,108732116,108237400
53,108737716,108034028
54,108740875,101273230
55,108740875,101275142
56,108740875,101292200
57,108740875,101305796
58,108740875,107838551
59,108740875,107864934
60,108740875,107867021
61,108740875,107879659
62,108740875,107880583
63,108740875,107880751
64,108740875,107880968
65,108740875,107881310
66,108740875,107881625
67,108740875,108745011
68,108740875,109649926
69,108740875,109723067
70,108740875,109956780
71,108750151,101293832
72,108756884,108304744
73,108758172,101269857
74,108760510,107593199
75,108760510,107871065
76,108760510,109502481
77,108761244,101282466
78,108766988,100518303
79,108766988,101271915
80,108766988,101282289
81,108766988,101285305
82,108766988,101288057
83,108766988,101292928
84,108766988,101297095
85,108766988,103886053
86,108766988,106883725
87,108766988,106950528
88,108766988,107491591
89,108766988,107888465
90,108766988,107897600
91,108766988,107983856
92,108766988,108014860
93,108766988,108017974
94,108766988,108028623
95,108766988,108041106
96,108766988,108475722
97,108766988,109222742
98,108766988,109747969
99,108766988,109877443
100,108766988,110293861
101,108766988,113752679
102,108766988,113753067
103,108771596,101280792
104,108776687,108040008
105,108780881,101268457
106,108780881,101274531
107,108780881,101283565
108,108780881,101283753
109,108780881,101286393
110,108780881,101286569
111,108780881,101288795
112,108780881,101290711
113,108780881,101297484
114,108780881,101302935
115,108780881,103648804
116,108780881,103884778
117,108780881,104486718
118,108780881,106293229
119,108780881,106379094
120,108780881,106976392
121,108780881,107036862
122,108780881,107464402
123,108780881,107870069
124,108780881,108042536
125,108780881,108043169
126,108780881,109498497
127,108780881,109498697
128,108780881,109542541
129,108780881,109542697
130,108780881,109559404
131,108780881,109920106
132,108780881,110595361
133,108780881,113802098
134,108789243,101291517
135,108789970,101277065
136,108791167,101289631
137,108791167,101302449
138,108791167,101302683
139,108791167,104614244
140,108791167,107683617
141,108791167,107867164
142,108792548,108011523
143,108792548,108020785
144,108792548,108028397
145,108792548,108038748
146,108792548,108039312
147,108792548,108040257
148,108792548,108056873
149,108792548,108226838
150,108792548,108345366
151,108792548,108345613
152,108792548,108345770
153,108792548,108346286
154,108792548,108346490
155,108792548,108347457
156,108793489,108010942
157,108798382,109912765
158,108798771,108011523
159,108798771,108013653
160,108798771,108019523
161,108798771,108020242
162,108798771,108021785
163,108798771,108037118
164,108798771,108037861
165,108798771,108038379
166,108798771,108320385
167,108799706,109517057
168,108800258,107943646
169,108800258,108626947
170,108801678,101274000
171,108801678,101274171
172,108801678,101283185
173,108801678,101285784
174,108801678,101286745
175,108801678,101287179
176,108801678,101292553
177,108801678,101293650
178,108801678,101295153
179,108801678,101297978
180,108801678,106618653
181,108801678,106631921
182,108801678,106964247
183,108801678,107680655
184,108801678,107703743
185,108801678,107781801
186,108801678,108041484
187,108801678,108043499
188,108801678,108541609
189,108801678,108804487
190,108801678,108804962
191,108801678,301151335
192,108806897,101027662
193,108806897,102981024
194,108806897,103035089
195,108806897,103884778
196,108806897,104445154
197,108806897,109559404
198,108806897,109823287
199,108806897,109905050
200,108806897,110131815
201,108806897,110452892
202,108806897,110479135
203,108806897,110595361
204,108806897,110728828
205,108806897,302921325
206,108810999,101290162
207,108810999,101296127
208,108810999,101296296
209,108815046,108016900
210,108819397,109449949
211,108820121,101088304
212,108820121,103218198
213,108820121,108342419
214,108820121,108342888
215,108820121,108343102
216,108820121,108346905
217,108820121,108828432
218,108820121,110313000
219,108820121,110525878
220,108820121,113363970
221,108820121,115200314
222,108820121,115200661
223,108822855,108823728
224,108831004,100293417
225,108831004,102871963
226,108831004,103633632
227,108831004,104368109
228,108831004,104495310
229,108831004,106940290
230,108831004,107896994
231,108831004,109220922
232,108831004,109703573
233,108831004,110300154
234,108831004,110416828
235,108831004,110525878
236,108831004,110675142
237,108831004,110682169
238,108831004,111196934
239,108831004,113080866
240,108831004,114879492
241,108831004,301675931
242,108831004,301739898
243,108835675,108488411
244,108838070,101293438
245,108838556,101299224
246,108839475,101278509
247,108839714,101282966
248,108839916,101296697
249,108841667,105950234
250,108841667,107886317
251,108841667,108836329
252,108841956,107823951
253,108843735,101280055
254,108845555,101299037
255,108846324,107880458
256,108847694,110052497
257,108848731,108096624
258,108848731,108283180
259,108849753,101272582
260,108849753,101278873
261,108849753,101299476
262,108849753,101300508
263,108849753,101300782
264,108849753,101301080
265,108849753,108541609
266,108852843,108035233
267,108852843,108046032
268,108859173,101272787
269,108859173,101277755
270,108859173,102102605
271,108859173,104193742
272,108859173,106335832
273,108859173,106960778
274,108859173,107042735
275,108859173,107448394
276,108859173,107680416
277,108859173,109218641
278,108859173,109507756
279,108859173,109507909
280,108859173,109508368
281,108859173,109508474
282,108859173,109508666
283,108859173,109508809
284,108859173,109509375
285,108859173,109509546
286,108859173,109509770
287,108859173,109510305
288,108859173,109510419
289,108859173,109510643
290,108859173,109510746
291,108859173,109544262
292,108859173,110279540
293,108859173,111218473
294,108860123,100075618
295,108860123,100076393
296,108860123,100089657
297,108860123,100162236
298,108860123,100168911
299,108860123,100209301
300,108860123,100292386
301,108860123,100307314
302,108860123,100450866
303,108860123,100470966
304,108860123,100479734
305,108860123,100501479
306,108860123,100504844
307,108860123,100504975
308,108860123,100505871
309,108860123,100508340
310,108860123,100510922
311,108860123,100514658
312,108860123,100538876
313,108860123,100550242
314,108860123,100575657
315,108860123,100585810
316,108860123,100593219
317,108860123,100619142
318,108860123,100637145
319,108860123,100780615
320,108860123,100795161
321,108860123,100817507
322,108860123,100854393
323,108860123,100858742
324,108860123,100882045
325,108860123,100896688
326,108860123,100897989
327,108860123,100985921
328,108860123,101020117
329,108860123,101064758
330,108860123,101070566
331,108860123,101087740
332,108860123,101118614
333,108860123,101135795
334,108860123,101172598
335,108860123,101177583
336,108860123,101242354
337,108860123,101270628
338,108860123,102744323
339,108860123,102767956
340,108860123,102790012
341,108860123,102828648
342,108860123,102833140
343,108860123,102841063
344,108860123,102873244
345,108860123,102877513
346,108860123,102936281
347,108860123,102969323
348,108860123,103040836
349,108860123,103042697
350,108860123,103077616
351,108860123,103118846
352,108860123,103134015
353,108860123,103136051
354,108860123,103163222
355,108860123,103173142
356,108860123,103191776
357,108860123,103216562
358,108860123,103222959
359,108860123,103268142
360,108860123,103318294
361,108860123,103352961
362,108860123,103362293
363,108860123,103380461
364,108860123,103393017
365,108860123,103399047
366,108860123,103399971
367,108860123,103415252
368,108860123,103439348
369,108860123,103457686
370,108860123,103457793
371,108860123,103470222
372,108860123,103471974
373,108860123,103472796
374,108860123,103476684
375,108860123,103479397
376,108860123,103493079
377,108860123,103519578
378,108860123,103528761
379,108860123,103540267
380,108860123,103555426
381,108860123,103586631
382,108860123,103599964
383,108860123,103661861
384,108860123,103663433
385,108860123,103685640
386,108860123,103694761
387,108860123,103697109
388,108860123,103702719
389,108860123,103736372
390,108860123,103757723
391,108860123,103764822
392,108860123,103769967
393,108860123,103770085
394,108860123,103772077
395,108860123,103777126
396,108860123,103813834
397,108860123,103823540
398,108860123,103863262
399,108860123,103868044
400,108860123,103881534
401,108860123,103883664
402,108860123,103884639
403,108860123,103891051
404,108860123,103899100
405,108860123,103906590
406,108860123,103937437
407,108860123,103963483
408,108860123,103967270
409,108860123,103968581
410,108860123,103974671
411,108860123,104018399
412,108860123,104020617
413,108860123,104024862
414,108860123,104026813
415,108860123,104032242
416,108860123,104038109
417,108860123,104066023
418,108860123,104115456
419,108860123,104157099
420,108860123,104163530
421,108860123,104188064
422,108860123,104201733
423,108860123,104229107
424,108860123,104229195
425,108860123,104240576
426,108860123,104242704
427,108860123,104299699
428,108860123,104305323
429,108860123,104314522
430,108860123,104335435
431,108860123,104341133
432,108860123,104363991
433,108860123,104390873
434,108860123,104398497
435,108860123,104413969
436,108860123,104441528
437,108860123,104446844
438,108860123,104495051
439,108860123,104495450
440,108860123,104508062
441,108860123,104520480
442,108860123,104528256
443,108860123,104535524
444,108860123,104539053
445,108860123,104553703
446,108860123,104577293
447,108860123,104585456
448,108860123,104585626
449,108860123,104598010
450,108860123,104601159
451,108860123,104753799
452,108860123,104781967
453,108860123,105525100
454,108860123,105598868
455,108860123,105601357
456,108860123,105611684
457,108860123,105615147
458,108860123,105688486
459,108860123,105689109
460,108860123,105715150
461,108860123,105909384
462,108860123,105987522
463,108860123,106220819
464,108860123,106263020
465,108860123,106276902
466,108860123,106477003
467,108860123,106477209
468,108860123,106478734
469,108860123,106489190
470,108860123,106496862
471,108860123,106513953
472,108860123,106518253
473,108860123,106529879
474,108860123,106596179
475,108860123,106598244
476,108860123,106608405
477,108860123,106610436
478,108860123,106637677
479,108860123,106669384
480,108860123,106699225
481,108860123,106700030
482,108860123,106700169
483,108860123,106700325
484,108860123,106792526
485,108860123,106792950
486,108860123,106884790
487,108860123,107065932
488,108860123,107066459
489,108860123,107182485
490,108860123,107219751
491,108860123,107236759
492,108860123,107302164
493,108860123,107448232
494,108860123,107450343
495,108860123,107450549
496,108860123,107455151
497,108860123,107459642
498,108860123,107468244
499,108860123,107479799
500,108860123,107556872
501,108860123,107569423
502,108860123,107569644
503,108860123,107573241
504,108860123,107575392
505,108860123,107575510
506,108860123,107577657
507,108860123,107577772
508,108860123,107590611
509,108860123,107595751
510,108860123,107612996
511,108860123,107613671
512,108860123,107618871
513,108860123,107620145
514,108860123,107620327
515,108860123,107620485
516,108860123,107623664
517,108860123,107631212
518,108860123,107631511
519,108860123,107631672
520,108860123,107634901
521,108860123,107635155
522,108860123,107642182
523,108860123,107643026
524,108860123,107676425
525,108860123,107676967
526,108860123,107677860
527,108860123,107678193
528,108860123,107696527
529,108860123,107703889
530,108860123,107722485
531,108860123,107752264
532,108860123,107795317
533,108860123,107795598
534,108860123,107800487
535,108860123,107835051
536,108860123,107847453
537,108860123,107860208
538,108860123,107863229
539,108860123,107866151
540,108860123,107869937
541,108860123,107889814
542,108860123,107890068
543,108860123,107896994
544,108860123,107897200
545,108860123,107913081
546,108860123,107921834
547,108860123,107933799
548,108860123,107961270
549,108860123,108013453
550,108860123,108049125
551,108860123,108121867
552,108860123,108143486
553,108860123,108153874
554,108860123,108167365
555,108860123,108167779
556,108860123,108167953
557,108860123,108168117
558,108860123,108180484
559,108860123,108185211
560,108860123,108230294
561,108860123,108250635
562,108860123,108254055
563,108860123,108254195
564,108860123,108261589
565,108860123,108278924
566,108860123,108285896
567,108860123,108286946
568,108860123,108311687
569,108860123,108311933
570,108860123,108319198
571,108860123,108325530
572,108860123,108325851
573,108860123,108342670
574,108860123,108346031
575,108860123,108346655
576,108860123,108347206
577,108860123,108349548
578,108860123,108357529
579,108860123,108382056
580,108860123,108382297
581,108860123,108402944
582,108860123,108410688
583,108860123,108431721
584,108860123,108437968
585,108860123,108479894
586,108860123,108482577
587,108860123,108504851
588,108860123,108539893
589,108860123,108546183
590,108860123,108547300
591,108860123,108549733
592,108860123,108555333
593,108860123,108587828
594,108860123,108611063
595,108860123,108624656
596,108860123,108626522
597,108860123,108638260
598,108860123,108645212
599,108860123,108858942
600,108860123,108874469
601,108860123,109262690
602,108860123,109351547
603,108860123,109702134
604,108860123,109830400
605,108860123,109844770
606,108860123,109850642
607,108860123,109863339
608,108860123,109906848
609,108860123,109916209
610,108860123,109928845
611,108860123,109935233
612,108860123,109937489
613,108860123,109942871
614,108860123,109959258
615,108860123,109961739
616,108860123,109980275
617,108860123,110064046
618,108860123,110092299
619,108860123,110113362
620,108860123,110113997
621,108860123,110146559
622,108860123,110153155
623,108860123,110181990
624,108860123,110184822
625,108860123,110208189
626,108860123,110211203
627,108860123,110216403
628,108860123,110228592
629,108860123,110229721
630,108860123,110242791
631,108860123,110244913
632,108860123,110263684
633,108860123,110270468
634,108860123,110272171
635,108860123,110300154
636,108860123,110309785
637,108860123,110324357
638,108860123,110336904
639,108860123,110345015
640,108860123,110345659
641,108860123,110356877
642,108860123,110371221
643,108860123,110387712
644,108860123,110400618
645,108860123,110406072
646,108860123,110412910
647,108860123,110413276
648,108860123,110437014
649,108860123,110448322
650,108860123,110452752
651,108860123,110454972
652,108860123,110460033
653,108860123,110464542
654,108860123,110490421
655,108860123,110500942
656,108860123,110506762
657,108860123,110506915
658,108860123,110508141
659,108860123,110511960
660,108860123,110513509
661,108860123,110519984
662,108860123,110525878
663,108860123,110535706
664,108860123,110550090
665,108860123,110564800
666,108860123,110565502
667,108860123,110583790
668,108860123,110601526
669,108860123,110604275
670,108860123,110607933
671,108860123,110612518
672,108860123,110613387
673,108860123,110621140
674,108860123,110637038
675,108860123,110641223
676,108860123,110641301
677,108860123,110643837
678,108860123,110656969
679,108860123,110657556
680,108860123,110659188
681,108860123,110669236
682,108860123,110672662
683,108860123,110675481
684,108860123,110678937
685,108860123,110690421
686,108860123,110695450
687,108860123,110697135
688,108860123,110705345
689,108860123,110718509
690,108860123,110719395
691,108860123,110745894
692,108860123,110753182
693,108860123,110765305
694,108860123,110786992
695,108860123,110801561
696,108860123,111415608
697,108860123,111507321
698,108860123,111536230
699,108860123,113245076
700,108860123,113249245
701,108860123,113252062
702,108860123,113282419
703,108860123,113296089
704,108860123,113296752
705,108860123,113297850
706,108860123,113298935
707,108860123,113312754
708,108860123,113314936
709,108860123,113315077
710,108860123,113319726
711,108860123,113322343
712,108860123,113325382
713,108860123,113345286
714,108860123,113359941
715,108860123,113363970
716,108860123,113382766
717,108860123,113390857
718,108860123,113391118
719,108860123,113391452
720,108860123,113393427
721,108860123,113408641
722,108860123,113409647
723,108860123,113418047
724,108860123,113422061
725,108860123,113618180
726,108860123,113623054
727,108860123,113649791
728,108860123,113650921
729,108860123,113719410
730,108860123,113720600
731,108860123,113740765
732,108860123,113752033
733,108860123,113752172
734,108860123,113752679
735,108860123,113753067
736,108860123,113764213
737,108860123,113926932
738,108860123,114361182
739,108860123,114409718
740,108860123,114412564
741,108860123,114476205
742,108860123,114521954
743,108860123,114530659
744,108860123,114685641
745,108860123,114686020
746,108860123,114814531
747,108860123,115065280
748,108860123,115138241
749,108860123,115138401
750,108860123,115158816
751,108860123,115158997
752,108860123,115160418
753,108860123,115160866
754,108860123,115166742
755,108860123,115170786
756,108860123,115171008
757,108860123,115196746
758,108860123,115200661
759,108860123,115222686
760,108860123,115244351
761,108860123,115273955
762,108860123,115298507
763,108860123,201891638
764,108860123,202463990
765,108860123,300004817
766,108860123,300092136
767,108860123,300149686
768,108860123,300167520
769,108860123,300218673
770,108860123,300259820
771,108860123,300261735
772,108860123,300459953
773,108860123,300653617
774,108860123,300874547
775,108860123,300970803
776,108860123,300972354
777,108860123,301019450
778,108860123,301027832
779,108860123,301054367
780,108860123,301129371
781,108860123,301138450
782,108860123,301268837
783,108860123,301269819
784,108860123,301274741
785,108860123,301281874
786,108860123,301391074
787,108860123,301440422
788,108860123,301443581
789,108860123,301526262
790,108860123,301536445
791,108860123,301587643
792,108860123,301709354
793,108860123,301710054
794,108860123,301739808
795,108860123,301805618
796,108860123,301850742
797,108860123,301861095
798,108860123,302100236
799,108860123,302101240
800,108860123,302199523
801,108860123,302199813
802,108860123,302251773
803,108860123,302327078
804,108860123,302327315
805,108860123,302342778
806,108860123,302344381
807,108860123,302344672
808,108860123,302347742
809,108860123,302358650
810,108860123,302358898
811,108860123,302383564
812,108860123,302394366
813,108860123,302400724
814,108860123,302401445
815,108860123,302434115
816,108860123,302434473
817,108860123,302502901
818,108860123,302503900
819,108860123,302509710
820,108860123,302581365
821,108871007,100964105
822,108871007,101278692
823,108871007,101280514
824,108871007,101286000
825,108871007,101286938
826,108871007,101288549
827,108871007,101297291
828,108871007,101304121
829,108871007,101307606
830,108871007,101311045
831,108871007,102780704
832,108871007,106232635
833,108871007,109432785
834,108871007,109867154
835,108871007,110064229
836,108871007,110109050
837,108871007,110433737
838,108871007,110908756
839,108871007,114431015
840,108871007,114431169
841,108871007,115295603
842,108871007,303114508
843,108884012,101272367
844,108887841,108033194
845,108887841,108036669
846,108887841,108036849
847,108887841,108041840
848,108887841,108046759
849,108888676,108019281
850,108888676,108024408
851,108888676,108024732
852,108888676,108040762
853,108890097,100461611
854,108890097,101270153
855,108890097,101273081
856,108890097,101283389
857,108890097,103205458
858,108890097,104396226
859,108890097,106950209
860,108890097,107448394
861,108890097,107503849
862,108890097,107680313
863,108890097,107869111
864,108890097,108088792
865,108890097,109218641
866,108890097,109228055
867,108890097,109280380
868,108890097,109289596
869,108890097,109543924
870,108890097,109833441
871,108890097,110243582
872,108890097,110705100
873,108890097,115190424
874,108890097,115246258
875,108890097,300204249
876,108890097,300370771
877,108890097,300407151
878,108890097,300962135
879,108890097,301068012
880,108890097,301076024
881,108890097,302038126
882,108890097,400385946
883,108894456,102095889
884,108894456,105626618
885,108894456,106961557
886,108894456,109507639
887,108894456,109508076
888,108894456,109508228
889,108894456,109508975
890,108894456,109509119
891,108894456,109509678
892,108894456,109509911
893,108894456,109510073
894,108894456,109510164
895,108894456,109510527
896,108897065,101278232
897,108897065,108012028
898,108897065,108012765
899,108900535,100782927
900,108900535,101281154
901,108900535,101284928
902,108900535,101289997
903,108900535,101291310
904,108900535,103443543
905,108900535,107586318
906,108900535,107683490
907,108900535,108015116
908,108900535,108045428
909,108900535,108096624
910,108900535,108235623
911,108900535,108311522
912,108900535,108405873
913,108900535,108643267
914,108900535,109449949
915,108900535,109826821
916,108900535,109987927
917,108900535,110220228
918,108900535,110282374
919,108900535,110286282
920,108900535,110348752
921,108900535,110764719
922,108900535,113751686
923,108900535,302344070
924,108900535,302528566
925,108906374,103615790
926,108906374,108096624
927,108906952,106241825
928,108906952,106930934
929,108907606,108031386
930,108907606,108034579
931,108907606,108248521
932,108907606,108283866
933,108910668,108034778
934,108910668,108474341
935,108910668,109826945
936,108912842,109546905
937,108913434,106988684
938,108913434,108015321
939,108913434,108020242
940,108913434,108344917
941,108913434,108345189
942,108913434,108474120
943,108914573,101270860
944,108915372,101292343
945,108915784,101285101
946,108916316,106987525
947,108916316,106987659
948,108916316,108916832
949,108916316,109515877
950,108916316,109515988
951,108916316,109517209
952,108916316,109517628
953,108916316,109518145
954,108916316,109519901
955,108916316,109520223
956,108916316,109520498
957,108916316,109521994
958,108916316,109522222
959,108916832,106352446
960,108916832,108917503
961,108916832,109515027
962,108916832,109515131
963,108916832,109515269
964,108916832,109515473
965,108916832,109515570
966,108916832,109515712
967,108916832,109516498
968,108916832,109516881
969,108916832,109517342
970,108916832,109518306
971,108916832,109518451
972,108916832,109518908
973,108916832,109519288
974,108916832,109519596
975,108916832,109520367
976,108916832,109520617
977,108916832,109520752
978,108916832,109521157
979,108916832,109521648
980,108916832,109521763
981,108916832,109522121
982,108917503,101276875
983,108918248,109517890
984,108918248,109518020
985,108918248,109518145
986,108918248,109518683
987,108918248,109518782
988,108918248,109519748
989,108918248,109519901
990,108918248,109520103
991,108918248,109520880
992,108918248,109521157
993,108918248,109522498
994,108918248,109522615
995,108918248,109522735
996,108918248,109522837
997,108918944,109516146
998,108918944,109516498
999,108918944,109521395
1000,108918944,109521521
1001,108918944,109521763
1002,108919693,106989473
1003,108919693,109516323
1004,108919693,109517057
1005,108921850,100223362
1006,108921850,100448232
1007,108921850,100504325
1008,108921850,100505726
1009,108921850,100710338
1010,108921850,100825951
1011,108921850,100826213
1012,108921850,100826397
1013,108921850,100936456
1014,108921850,101027231
1015,108921850,103408444
1016,108921850,103608074
1017,108921850,104201297
1018,108921850,106242237
1019,108921850,106929279
1020,108921850,106929459
1021,108921850,107857170
1022,108921850,107857356
