,Synset Source,W_Num Source,Synset Target,W_Num Target
0,200001740,0,200002325,1
1,200001740,0,200002573,1
2,200002325,1,200001740,0
3,200002573,1,200001740,0
4,200002942,1,200003133,1
5,200003133,1,200002942,1
6,200007193,1,200079629,1
7,200009631,0,201891817,0
8,200010435,0,200013615,0
9,200010435,0,201721556,0
10,200012267,1,202289295,0
11,200012267,1,202355596,0
12,200013615,0,200010435,0
13,200013615,0,201719302,0
14,200024047,0,200024279,0
15,200024047,0,200098083,0
16,200024279,0,200024047,0
17,200032539,1,200032778,1
18,200032778,1,200032539,1
19,200036178,1,200036362,0
20,200036362,0,200036178,1
21,200038849,0,200045639,0
22,200043683,0,200046534,0
23,200044149,0,200044797,0
24,200044149,0,200051761,0
25,200044797,0,200044149,0
26,200044797,0,200046534,0
27,200045639,0,200038849,0
28,200046534,0,200043683,0
29,200046534,0,200044797,0
30,200046534,0,200047945,0
31,200047945,0,200046534,0
32,200049900,0,200177243,0
33,200051761,0,200044149,0
34,200052043,0,200052253,1
35,200052253,1,200052043,0
36,200052845,1,201308681,1
37,200053159,0,200053341,1
38,200053341,1,200053159,0
39,200056930,0,200059019,0
40,200059019,0,200056930,0
41,200059019,0,200059376,1
42,200059376,1,200059019,0
43,200060185,0,200063095,1
44,200060185,0,201430447,0
45,200063095,1,200060185,0
46,200063557,1,200063724,1
47,200063724,1,200063557,1
48,200065370,1,200065639,0
49,200065639,0,200065370,1
50,200066191,0,200066685,1
51,200066685,1,200066191,0
52,200072012,0,200072586,1
53,200072012,0,200074038,0
54,200072586,1,200072012,0
55,200073584,1,201854679,1
56,200074038,0,200072012,0
57,200079629,1,200007193,1
58,200086320,0,201585523,0
59,200087736,0,200087988,1
60,200087988,1,200087736,0
61,200088339,1,201323793,1
62,200092690,0,200093163,1
63,200093163,1,200092690,0
64,200094460,0,200545557,0
65,200096136,1,200108475,1
66,200096766,0,200097179,0
67,200097029,1,202097800,1
68,200097179,0,200096766,0
69,200098083,0,200024047,0
70,200098517,0,200098770,0
71,200098770,0,200098517,0
72,200099721,0,200100551,0
73,200100044,1,200833702,0
74,200100551,0,200099721,0
75,200107739,0,200107943,1
76,200107943,1,200107739,0
77,200107943,1,200108303,1
78,200108303,1,200107943,1
79,200108475,1,200096136,1
80,200108604,1,200108747,1
81,200108747,1,200108604,1
82,200113420,1,200113605,1
83,200113605,1,200113420,1
84,200114837,1,200115157,1
85,200115157,1,200114837,1
86,200116496,1,201752728,1
87,200117624,1,200117757,1
88,200117624,1,200186001,1
89,200117757,1,200117624,1
90,200118764,0,200729109,0
91,200122097,0,200581671,0
92,200122289,1,200122485,1
93,200122485,1,200122289,1
94,200125078,0,200435688,0
95,200125078,0,200435853,0
96,200125841,0,200146138,0
97,200134328,0,200134564,0
98,200134564,0,200134328,0
99,200136991,0,202730135,1
100,200143338,1,200430808,1
101,200143540,1,201675073,1
102,200146138,0,200125841,0
103,200146138,0,202626604,0
104,200153061,0,202073065,0
105,200154141,0,200487748,0
106,200156139,1,202272373,1
107,200161225,0,200550117,0
108,200162688,1,202405390,0
109,200167934,0,200384620,0
110,200169458,1,200550117,0
111,200171852,0,200253761,0
112,200171852,0,200411020,0
113,200171852,0,200603298,0
114,200171852,0,201627947,1
115,200177011,1,200177136,1
116,200177136,1,200177011,1
117,200177243,0,200049900,0
118,200181664,0,200195342,1
119,200182406,1,202745172,1
120,200186001,1,200117624,1
121,200188000,1,200188137,1
122,200188137,1,200188000,1
123,200190180,1,201465054,1
124,200194170,1,200194373,1
125,200194373,1,200194170,1
126,200195342,1,200181664,0
127,200195342,1,200195617,1
128,200195617,1,200195342,1
129,200201722,0,200243900,0
130,200202569,0,200202784,1
131,200202784,1,200202569,0
132,200204750,1,200204872,0
133,200204872,0,200204750,1
134,200205046,0,200205885,0
135,200205885,0,200205046,0
136,200209420,1,200397987,1
137,200212414,0,202734800,0
138,200214020,1,200214268,1
139,200214020,1,200214407,1
140,200214268,1,200214020,1
141,200214407,1,200214020,1
142,200226882,1,200252990,0
143,200229026,0,200229280,0
144,200229026,0,200475183,0
145,200229280,0,200229026,0
146,200231557,1,200245457,1
147,200235110,0,200317888,0
148,200235110,0,200318326,1
149,200238867,0,200239321,0
150,200238867,0,200239614,1
151,200239321,0,200238867,0
152,200239614,1,200238867,0
153,200242205,0,202227127,1
154,200243379,1,200243572,1
155,200243572,1,200243379,1
156,200243900,0,200201722,0
157,200245457,1,200231557,1
158,200245913,1,202393894,1
159,200247830,1,200310635,1
160,200251270,0,200251463,0
161,200251463,0,200251270,0
162,200251791,1,202737187,0
163,200252019,1,200342980,1
164,200252990,0,200226882,1
165,200252990,0,200253277,0
166,200253277,0,200252990,0
167,200253761,0,200171852,0
168,200254486,0,200254672,1
169,200254672,1,200254486,0
170,200256862,1,200257087,1
171,200257087,1,200256862,1
172,200258665,1,200434374,0
173,200262348,1,201569896,1
174,200265386,1,200265673,1
175,200265673,1,200265386,1
176,200266798,0,200267041,0
177,200267041,0,200266798,0
178,200273963,0,200274283,0
179,200274283,0,200273963,0
180,200274942,1,202098179,1
181,200276068,0,201755504,1
182,200280112,1,200282343,1
183,200282343,1,200280112,1
184,200286605,1,201531998,0
185,200301856,0,200302130,0
186,200302130,0,200301856,0
187,200309582,1,200309792,1
188,200309792,1,200309582,1
189,200310635,1,200247830,1
190,200311338,0,200313987,0
191,200313987,0,200311338,0
192,200315020,0,200315330,1
193,200315330,1,200315020,0
194,200315605,0,200316195,0
195,200316195,0,200315605,0
196,200317888,0,200235110,0
197,200318326,1,200235110,0
198,200320681,0,200321148,1
199,200321148,1,200320681,0
200,200322847,1,200323377,1
201,200323377,1,200322847,1
202,200327362,0,200327654,1
203,200327654,1,200327362,0
204,200327982,1,200430808,1
205,200328802,0,200329244,0
206,200329244,0,200328802,0
207,200332154,0,200332445,0
208,200332445,0,200332154,0
209,200332672,0,200334803,0
210,200333066,1,200333277,1
211,200333277,1,200333066,1
212,200334186,0,200334996,1
213,200334649,1,200335923,0
214,200334803,0,200332672,0
215,200334996,1,200334186,0
216,200335923,0,200334649,1
217,200336260,0,200336539,0
218,200336260,0,200336718,1
219,200336539,0,200336260,0
220,200336718,1,200336260,0
221,200338559,0,200355955,0
222,200339464,0,200342980,1
223,200341917,1,200542120,1
224,200342164,0,200342314,1
225,200342314,1,200342164,0
226,200342443,1,202661015,1
227,200342980,1,200252019,1
228,200342980,1,200339464,0
229,200342980,1,202624263,0
230,200344643,0,202593912,1
231,200345761,0,201070777,1
232,200347918,0,201834053,1
233,200348746,0,202609203,1
234,200351406,0,202542280,0
235,200355177,1,200355365,1
236,200355365,1,200355177,1
237,200355365,1,200355524,1
238,200355524,1,200355365,1
239,200355955,0,200338559,0
240,200357332,0,200357667,1
241,200357667,1,200357332,0
242,200358135,1,200358314,1
243,200358314,1,200358135,1
244,200358431,0,200434374,0
245,200358431,0,202109818,1
246,200359511,0,201569181,0
247,200360092,0,202081578,1
248,200360092,0,202229055,0
249,200364868,0,200365446,1
250,200364868,0,200366547,1
251,200365188,0,200365647,1
252,200365446,1,200364868,0
253,200365647,1,200365188,0
254,200366275,1,200366547,1
255,200366547,1,200364868,0
256,200366547,1,200366275,1
257,200367241,1,200367416,1
258,200367416,1,200367241,1
259,200374135,1,200445711,0
260,200377002,0,200378664,0
261,200378042,0,200378361,1
262,200378042,0,200378664,0
263,200378361,1,200378042,0
264,200378664,0,200377002,0
265,200378664,0,200378042,0
266,200379774,0,200379996,1
267,200379996,1,200379774,0
268,200384411,1,200385385,1
269,200384620,0,200167934,0
270,200385385,1,200384411,1
271,200391021,0,200391203,0
272,200391203,0,200391021,0
273,200396997,1,200397192,1
274,200397192,1,200396997,1
275,200397987,1,200209420,1
276,200398741,1,200398953,1
277,200398953,1,200398741,1
278,200399074,0,200399368,1
279,200399368,1,200399074,0
280,200402130,1,200545557,0
281,200402130,1,200925873,0
282,200407146,1,200605783,0
283,200411020,0,200171852,0
284,200414409,1,200414627,1
285,200414627,1,200414409,1
286,200417001,0,202672187,0
287,200422899,1,200548266,0
288,200423257,1,202080482,1
289,200429060,0,200429968,1
290,200429968,1,200429060,0
291,200430808,1,200143338,1
292,200430808,1,200327982,1
293,200431117,0,200431327,0
294,200431327,0,200431117,0
295,200432839,0,201985923,0
296,200434374,0,200258665,1
297,200434374,0,200358431,0
298,200435688,0,200125078,0
299,200435853,0,200125078,0
300,200443116,0,200443384,0
301,200443384,0,200443116,0
302,200444629,0,202060792,0
303,200445711,0,200374135,1
304,200447771,0,200447950,1
305,200447950,1,200447771,0
306,200450565,1,200450691,1
307,200450691,1,200450565,1
308,200456596,1,200456740,0
309,200456740,0,200456596,1
310,200457100,0,200457327,0
311,200457327,0,200457100,0
312,200458471,0,200458754,0
313,200458754,0,200458471,0
314,200460357,1,201328012,1
315,200461493,0,202190188,0
316,200461956,1,202190477,1
317,200464828,0,200464996,0
318,200464996,0,200464828,0
319,200468236,0,200468583,0
320,200468583,0,200468236,0
321,200470701,0,200471058,1
322,200471058,1,200470701,0
323,200475183,0,200229026,0
324,200476965,1,201278817,0
325,200481555,1,201197338,1
326,200486018,0,201640855,0
327,200487748,0,200154141,0
328,200495998,0,202428487,0
329,200498016,1,201488956,1
330,200499812,0,200500055,0
331,200500055,0,200499812,0
332,200501534,1,200501718,1
333,200501718,1,200501534,1
334,200506952,1,201308681,1
335,200508032,1,201588493,0
336,200517529,1,201717169,0
337,200517847,1,200518115,1
338,200518115,1,200517847,1
339,200522751,0,202210855,0
340,200527572,1,200527801,1
341,200527801,1,200527572,1
342,200538571,1,200538852,1
343,200538852,1,200538571,1
344,200540235,0,200540946,0
345,200540946,0,200540235,0
346,200541417,1,200541551,1
347,200541551,1,200541417,1
348,200542120,1,200341917,1
349,200542809,0,201364184,1
350,200542809,0,201679433,0
351,200543016,1,202109645,0
352,200545557,0,200094460,0
353,200545557,0,200402130,1
354,200545557,0,200925873,0
355,200545557,0,201627947,1
356,200548266,0,200422899,1
357,200550117,0,200161225,0
358,200550117,0,200169458,1
359,200555780,1,201243982,1
360,200557686,0,201270199,0
361,200557686,0,201535742,1
362,200561266,1,200561375,1
363,200561375,1,200561266,1
364,200561571,1,200561714,1
365,200561714,1,200561571,1
366,200563100,1,200563360,1
367,200563360,1,200563100,1
368,200565081,0,200565279,0
369,200565279,0,200565081,0
370,200565858,1,200566024,1
371,200566024,1,200565858,1
372,200566569,0,200566895,1
373,200566895,1,200566569,0
374,200570003,1,200570205,1
375,200570205,1,200570003,1
376,200571596,1,201995211,0
377,200572502,1,202662821,1
378,200572788,1,202280869,0
379,200574996,0,200575169,0
380,200575169,0,200574996,0
381,200575720,0,200575970,0
382,200575970,0,200575720,0
383,200576684,0,200576860,0
384,200576860,0,200576684,0
385,200577500,1,200577689,1
386,200577689,1,200577500,1
387,200578508,0,200970215,0
388,200580142,1,200580345,1
389,200580345,1,200580142,1
390,200580865,1,200581038,1
391,200581038,1,200580865,1
392,200581671,0,200122097,0
393,200583242,0,200583523,0
394,200583523,0,200583242,0
395,200583991,1,200584220,1
396,200584220,1,200583991,1
397,200589904,0,201738107,0
398,200589904,0,202359340,1
399,200591115,0,201635432,0
400,200591115,0,202129709,1
401,200594337,1,200608372,1
402,200594621,0,200595630,1
403,200595630,1,200594621,0
404,200597385,0,201224744,0
405,200598954,0,202128873,0
406,200601043,0,200601378,0
407,200601378,0,200601043,0
408,200602805,0,200603298,0
409,200602805,0,202387034,0
410,200603298,0,200171852,0
411,200603298,0,200602805,0
412,200603298,0,202387034,0
413,200605783,0,200407146,1
414,200608372,1,200594337,1
415,200613018,0,200613683,1
416,200613393,0,201848465,0
417,200613393,0,201989053,0
418,200613683,1,200613018,0
419,200619610,0,200620673,0
420,200619610,0,201657254,0
421,200620239,1,200624476,0
422,200620673,0,200619610,0
423,200621734,0,201790739,0
424,200623151,0,200690614,0
425,200624476,0,200620239,1
426,200624476,0,200627091,1
427,200625119,1,200626428,1
428,200625119,1,202730813,0
429,200626428,1,200625119,1
430,200627091,1,200624476,0
431,200632931,1,200633094,1
432,200633094,1,200632931,1
433,200637259,0,200638585,1
434,200638585,1,200637259,0
435,200639148,1,200639331,1
436,200639331,1,200639148,1
437,200639849,1,202359340,1
438,200640828,0,200949288,0
439,200645939,1,200646271,1
440,200646271,1,200645939,1
441,200651145,1,202514187,0
442,200651991,0,200921738,1
443,200652900,1,202729632,1
444,200654015,1,200654258,1
445,200654258,1,200654015,1
446,200661824,0,200662182,0
447,200662182,0,200661824,0
448,200662182,0,200662589,0
449,200662589,0,200662182,0
450,200662589,0,200663353,1
451,200662589,0,200920336,0
452,200662589,0,202520997,0
453,200663353,1,200662589,0
454,200668099,0,201794668,1
455,200669762,0,202109045,1
456,200669970,1,200786458,0
457,200669970,1,201112584,1
458,200681429,0,200682230,1
459,200682230,1,200681429,0
460,200683771,1,200693780,0
461,200686447,1,200719231,1
462,200690614,0,200623151,0
463,200691516,1,200971015,1
464,200693780,0,200683771,1
465,200698104,1,200698256,1
466,200698104,1,200730758,0
467,200698256,1,200698104,1
468,200709205,1,201317064,1
469,200711932,0,202437465,0
470,200713818,1,202724417,0
471,200713996,1,202658979,1
472,200715239,0,200971999,0
473,200719231,1,200686447,1
474,200719734,0,200720063,0
475,200720063,0,200719734,0
476,200721437,0,201637982,0
477,200722232,0,200722675,1
478,200722675,1,200722232,0
479,200725748,1,200726009,1
480,200726009,1,200725748,1
481,200726300,0,200726784,1
482,200726784,1,200726300,0
483,200728224,1,202105810,0
484,200729109,0,200118764,0
485,200729109,0,202455407,0
486,200730758,0,200698104,1
487,200732224,0,202343595,0
488,200738314,1,200738440,1
489,200738440,1,200738314,1
490,200738583,1,200869393,1
491,200738747,1,200913065,0
492,200739082,1,200739340,1
493,200739340,1,200739082,1
494,200748616,1,201069638,1
495,200748616,1,202309374,1
496,200752764,0,201063695,0
497,200753881,1,200792471,0
498,200756076,0,202627934,0
499,200758333,0,202275365,0
500,200758627,1,200758887,1
501,200758627,1,200759087,1
502,200758887,1,200758627,1
503,200759087,1,200758627,1
504,200760402,0,201030678,1
505,200765977,0,202406916,0
506,200767334,1,201808218,1
507,200781652,0,200783042,0
508,200783042,0,200781652,0
509,200783246,1,201428578,0
510,200783523,1,200975036,1
511,200784342,0,200784727,1
512,200784342,0,200897746,1
513,200784727,1,200784342,0
514,200786458,0,200669970,1
515,200789448,0,201062739,1
516,200792011,1,201469960,1
517,200792471,0,200753881,1
518,200792471,0,202429810,1
519,200795632,1,202498320,0
520,200796976,0,202237338,0
521,200796976,0,202502916,0
522,200799383,0,201994442,0
523,200802318,0,202255462,0
524,200805376,0,201035530,1
525,200812298,0,201066433,0
526,200813044,0,202166460,0
527,200814458,1,200865387,0
528,200820352,1,200820611,1
529,200820611,1,200820352,1
530,200820611,1,200820976,0
531,200820976,0,200820611,1
532,200821580,1,200821765,1
533,200821765,1,200821580,1
534,200822746,1,201068793,1
535,200833702,0,200100044,1
536,200834943,1,200835158,1
537,200835158,1,200834943,1
538,200838043,0,200838524,0
539,200838524,0,200838043,0
540,200865387,0,200814458,1
541,200869393,1,200738583,1
542,200870213,1,200870577,0
543,200870577,0,200870213,1
544,200874002,1,202359061,0
545,200874175,0,200901103,0
546,200879356,0,201076615,0
547,200887463,0,200888009,1
548,200887463,0,202343595,0
549,200888009,1,200887463,0
550,200888326,1,200888657,1
551,200888657,1,200888326,1
552,200890100,0,200890590,0
553,200890403,1,202421749,1
554,200890590,0,200890100,0
555,200891216,0,202395000,1
556,200891216,0,202672859,0
557,200897746,1,200784342,0
558,200901103,0,200874175,0
559,200903098,1,200903212,1
560,200903212,1,200903098,1
561,200907930,0,201042531,0
562,200908621,0,202684254,0
563,200911562,1,200911761,1
564,200911761,1,200911562,1
565,200912048,0,200913065,0
566,200912048,0,200975584,1
567,200913065,0,200738747,1
568,200913065,0,200912048,0
569,200918872,0,200920336,0
570,200918872,0,201637982,0
571,200920336,0,200662589,0
572,200920336,0,200918872,0
573,200921738,1,200651991,0
574,200923197,1,200928959,1
575,200925873,0,200402130,1
576,200925873,0,200545557,0
577,200928959,1,200923197,1
578,200931467,0,200932161,1
579,200931852,0,200932324,1
580,200932161,1,200931467,0
581,200932324,1,200931852,0
582,200933821,0,200935987,0
583,200935987,0,200933821,0
584,200937208,0,200952841,0
585,200941990,0,200943281,0
586,200943281,0,200941990,0
587,200949288,0,200640828,0
588,200951206,0,200951399,0
589,200951399,0,200951206,0
590,200952841,0,200937208,0
591,200959827,0,202728142,1
592,200967098,0,200967455,1
593,200967455,1,200967098,0
594,200968211,0,200969873,0
595,200969873,0,200968211,0
596,200970215,0,200578508,0
597,200971015,1,200691516,1
598,200971015,1,201028748,0
599,200971015,1,201067995,1
600,200971999,0,200715239,0
601,200975036,1,200783523,1
602,200975584,1,200912048,0
603,200976653,0,202589576,0
604,200993014,1,201007027,0
605,201002740,0,201003249,0
606,201003249,0,201002740,0
607,201007027,0,200993014,1
608,201007027,0,201031966,1
609,201007924,0,202752695,0
610,201009240,0,201009821,1
611,201009821,1,201009240,0
612,201018928,0,201019472,1
613,201019472,1,201018928,0
614,201023259,0,201023574,0
615,201023574,0,201023259,0
616,201026728,0,202676054,0
617,201028748,0,200971015,1
618,201028748,0,202601456,0
619,201030397,0,202402112,1
620,201030678,1,200760402,0
621,201031966,1,201007027,0
622,201033527,0,202514187,0
623,201033527,0,202629793,0
624,201035530,1,200805376,0
625,201042531,0,200907930,0
626,201060746,0,201069638,1
627,201061017,0,202079933,0
628,201061320,1,201449974,0
629,201062739,1,200789448,0
630,201063695,0,200752764,0
631,201066433,0,200812298,0
632,201067816,1,201731031,1
633,201067995,1,200971015,1
634,201068793,1,200822746,1
635,201068985,1,201069090,1
636,201069090,1,201068985,1
637,201069190,1,201069391,1
638,201069391,1,201069190,1
639,201069638,1,200748616,1
640,201069638,1,201060746,0
641,201070777,1,200345761,0
642,201070968,1,202601680,1
643,201071328,1,201071474,1
644,201071474,1,201071328,1
645,201071474,1,201071632,1
646,201071632,1,201071474,1
647,201072949,1,201079480,0
648,201074509,1,201074701,1
649,201074701,1,201074509,1
650,201076615,0,200879356,0
651,201079480,0,201072949,1
652,201079480,0,201079873,1
653,201079480,0,201080064,1
654,201079480,0,201080691,1
655,201079873,1,201079480,0
656,201079873,1,201149470,1
657,201080064,1,201079480,0
658,201080064,1,201149470,1
659,201080235,1,201080523,1
660,201080523,1,201080235,1
661,201080691,1,201079480,0
662,201081652,1,201715185,1
663,201082454,1,201439190,0
664,201084588,1,201084724,1
665,201084588,1,201084866,1
666,201084724,1,201084588,1
667,201084866,1,201084588,1
668,201088547,1,202420991,1
669,201094661,1,201094898,1
670,201094898,1,201094661,1
671,201095218,1,202411621,1
672,201096305,1,202393894,1
673,201100672,1,201101416,1
674,201100672,1,201101571,1
