,Synset Source,Synset Target
0,100004475,105267345
1,100015388,105267548
2,101325417,105269901
3,101465713,114757547
4,101896031,114732472
5,101896031,114757172
6,101903756,114758536
7,101944812,107782475
8,101947396,107782804
9,101948446,107782668
10,102395406,107672421
11,102531625,114950129
12,102675219,114965135
13,102681392,114600927
14,102700767,114627820
15,102748618,115010038
16,102815950,115098161
17,102827606,102828427
18,102827883,102828427
19,102847942,114937093
20,102847942,114950937
21,102850218,114794993
22,102850218,114886579
23,102897820,114813182
24,102937766,114678406
25,102953673,114906500
26,102980841,114742601
27,103003091,114806598
28,103013850,103013992
29,103019434,103019304
30,103025357,115098161
31,103060074,103060294
32,103082450,114873056
33,103107152,114794993
34,103107152,114886579
35,103107152,114980910
36,103112431,114877100
37,103115180,114870078
38,103124313,114762248
39,103144756,113150378
40,103191967,114599168
41,103192142,114599168
42,103195118,115010038
43,103199142,102905422
44,103260293,114886579
45,103266749,101896844
46,103284482,115014170
47,103284482,115015192
48,103289819,114746793
49,103289819,114751216
50,103300907,114599168
51,103309808,104551950
52,103309808,104598965
53,103328392,114862753
54,103344642,114813843
55,103371532,114862753
56,103404900,114813843
57,103404900,114823944
58,103439064,114881303
59,103444728,114638799
60,103444838,114638799
61,103556281,114862753
62,103557141,114915184
63,103568653,114599168
64,103600806,102949691
65,103608661,114670639
66,103608661,114978232
67,103612134,114862753
68,103612378,114599168
69,103612559,114599168
70,103672521,114869829
71,103685962,114746417
72,103685962,114750316
73,103689840,114747007
74,103689840,114750316
75,103702719,103703590
76,103732828,103552169
77,103740161,112487262
78,103742416,114681445
79,103746861,114950394
80,103746994,114950394
81,103759795,114746417
82,103778135,114746417
83,103778135,114750316
84,103788703,114790979
85,103788703,114958564
86,103789794,103789603
87,103804048,114926294
88,103807895,114862753
89,103808144,114862753
90,103826443,114963634
91,103826762,114886579
92,103826945,115014012
93,103830111,114746417
94,103830111,114751216
95,103830278,114746417
96,103830278,114750316
97,103830448,114746417
98,103836699,114715008
99,103836699,114715189
100,103845550,114816181
101,103846234,103846100
102,103850746,103850966
103,103866555,114746417
104,103866555,114750316
105,103866908,114747007
106,103866908,114750316
107,103867070,114747007
108,103867201,114751216
109,103867515,114862753
110,103873064,114870078
111,103873064,114925776
112,103873064,114959939
113,103875218,114989820
114,103900750,103901074
115,103920384,114980910
116,103936895,114746048
117,103958338,103958448
118,103961070,114881303
119,103992703,114813182
120,104078236,115002814
121,104096066,103900750
122,104108268,114906500
123,104108268,114925645
124,104108268,115042654
125,104123567,114925645
126,104135710,114593545
127,104151581,104153330
128,104160036,114701143
129,104171831,114821248
130,104191150,114701143
131,104197391,104198233
132,104215402,103900750
133,104251560,115043763
134,104277669,115098161
135,104334599,103900750
136,104353410,114926294
137,104357314,114973965
138,104367205,102983741
139,104386792,115066367
140,104410190,102751782
141,104439712,114658855
142,104439840,104438897
143,104440486,104439840
144,104442831,112907857
145,104442831,114714817
146,104449796,114926294
147,104502502,104599235
148,104506125,104505706
149,104538403,114965780
150,104959672,104975340
151,105238282,114757172
152,105254795,114732472
153,105269901,105287090
154,105269901,114757848
155,105286536,105287090
156,105287368,105287731
157,105288091,105287090
158,105296253,105287090
159,105318407,114909895
160,105399847,105403149
161,105403149,114731799
162,105403149,114732116
163,105403149,115030264
164,105403427,114736359
165,105403427,115022389
166,105403849,105404074
167,105405324,114845743
168,105405751,114845743
169,105406128,114938687
170,105406128,114978729
171,105406128,115004317
172,105415200,114909895
173,105415395,114730955
174,105416198,114738521
175,105426243,114982681
176,105434927,105434784
177,105454070,115024240
178,105456622,114864360
179,105464685,114957893
180,105480794,105483677
181,105483388,105483122
182,105486510,105483388
183,105519820,105519707
184,105531161,105288091
185,105607402,105482529
186,106256697,106255613
187,106266417,106676109
188,107568991,114806176
189,107569873,107729485
190,107582152,107794159
191,107586485,102158494
192,107598335,112493426
193,107599998,114900695
194,107601999,107754894
195,107602454,107602650
196,107604587,107602996
197,107606278,107819166
198,107606538,107812497
199,107619881,114761578
200,107622708,107569106
201,107634605,107827554
202,107637045,107826653
203,107649854,114728724
204,107649854,114973303
205,107672914,107673397
206,107672914,114741124
207,107674001,114968526
208,107674267,114937943
209,107674508,114968526
210,107675262,114937943
211,107675262,114938199
212,107675627,107675962
213,107679356,107569106
214,107688412,107568095
215,107703333,107568095
216,107703743,107568095
217,107708512,107708398
218,107708798,114728724
219,107709881,107844867
220,107729485,107675262
221,107738760,107812790
222,107755089,107754894
223,107758260,107904072
224,107758680,107891726
225,107760153,107901457
226,107760501,107898895
227,107771539,107675535
228,107772935,107674161
229,107772935,107773238
230,107772935,107773428
231,107772935,107773572
232,107773827,107773700
233,107775197,107675411
234,107781972,115069338
235,107783827,107783667
236,107801508,107729926
237,107812497,114950394
238,107812913,114952441
239,107813717,114812872
240,107813833,107826930
241,107815163,107814925
242,107815294,107815424
243,107819480,107819303
244,107819480,115033367
245,107822687,107721456
246,107823698,107743902
247,107824702,107721195
248,107825972,107729485
249,107826091,107722052
250,107827410,107675156
251,107828642,112087032
252,107828807,107828642
253,107830841,107824383
254,107840804,114728724
255,107843775,114973303
256,107844042,114728724
257,107844867,107569873
258,107850329,107849912
259,107860988,107569106
260,107870313,107870734
261,107874531,107736813
262,107874780,107568502
263,107889274,107888909
264,107890750,107858978
265,107890750,107890970
266,107891095,107858978
267,107902121,114709265
268,107902799,107827554
269,107904395,107827130
270,107904637,107752109
271,107904934,107826653
272,107908411,107826653
273,107908411,111929477
274,107908647,107826653
275,107908923,112848770
276,107909231,107754894
277,107910245,107814634
278,107910245,107827554
279,107910379,112644283
280,107910538,107826653
281,107910656,107826653
282,107911061,107903208
283,107913393,107906111
284,107913644,107906111
285,107914413,107905038
286,107915094,107904395
287,107915094,107929172
288,107915213,107909362
289,107915491,107906718
290,107915618,107899292
291,107915618,107906284
292,107915800,107907548
293,107916041,107904395
294,107916183,107899292
295,107916183,107904395
296,107916319,107906111
297,107916437,107906284
298,107916582,107903208
299,107916582,107904395
300,107916970,107892512
301,107917272,107906111
302,107918193,107906284
303,107918309,107903208
304,107918309,107909362
305,107918706,107905038
306,107918879,107905038
307,107919055,107905038
308,107919165,107905038
309,107919441,107907161
310,107921615,107903543
311,107922764,107755089
312,107927070,107891726
313,107927512,107936548
314,107927931,112197601
315,107928367,107814925
316,107928998,112470329
317,107929172,104035086
318,107929519,107929351
319,107929519,114761122
320,107931096,107903208
321,107931452,107905038
322,107931870,112665271
323,107933274,107932841
324,107933274,114761122
325,107934152,111949402
326,107938007,115089258
327,108271042,111441416
328,108658469,114908822
329,109193282,114719725
330,109217230,115019030
331,109225146,114845743
332,109247410,115055442
333,109260010,114698233
334,109260010,114698405
335,109289331,114915184
336,109402944,115019030
337,109421951,115019030
338,109442595,115019030
339,109443753,114936630
340,109443921,114936630
341,111509066,114845743
342,111509377,114845743
343,111510571,109314398
344,111525955,114841267
345,111552686,114896714
346,111601177,115062955
347,111608250,111608885
348,111612923,111609251
349,111614250,111609362
350,111618861,111619136
351,111620673,111620912
352,111623105,111623304
353,111624531,111624840
354,111627168,111627364
355,111628456,111628678
356,111630017,111623304
357,111630489,111630890
358,111635433,111635709
359,111637015,111623685
360,111640645,111640898
361,111643022,111643354
362,111643022,111643506
363,111647306,111647548
364,111650558,111651133
365,111661372,111661707
366,111689815,107674393
367,111696450,111696606
368,111707229,111707511
369,111712282,111712621
370,111741350,111742003
371,111745817,111746060
372,111748811,107674749
373,111749112,111749273
374,111750508,111750745
375,111756092,114900963
376,111756329,111756522
377,111757190,111757433
378,111763142,111763340
379,111780930,111781301
380,111849467,103750912
381,111873182,107824383
382,111873182,115033367
383,111878283,115033367
384,111879722,111879895
385,111879895,111880032
386,111894770,115033367
387,111927215,111927509
388,111946051,111946433
389,111946313,107675040
390,111994527,111994718
391,112125890,107891433
392,112144580,107674267
393,112147226,112147539
394,112185254,112185526
395,112188289,112188484
396,112191587,112191813
397,112197359,107774479
398,112202936,112203331
399,112218490,112225769
400,112223160,112225769
401,112225349,112225769
402,112227909,112228045
403,112235765,107812913
404,112260799,112261179
405,112262553,112262905
406,112268246,112268918
407,112281241,112281600
408,112284262,112284665
409,112288823,112289115
410,112300840,112301038
411,112301445,107674508
412,112303462,112303921
413,112316572,112316853
414,112318378,112318615
415,112320010,112320285
416,112321077,112321304
417,112334293,112334520
418,112334891,112335351
419,112336333,112339090
420,112339831,107814487
421,112340383,112340998
422,112355760,115033063
423,112364604,112364823
424,112374862,112375107
425,112377494,112377658
426,112405714,112406155
427,112432808,115033367
428,112477747,107905618
429,112477747,107905770
430,112477983,107905979
431,112480895,112481641
432,112489268,112489524
433,112495146,112495396
434,112496949,112497322
435,112522188,112522493
436,112523141,112523319
437,112523850,112524010
438,112524188,112524395
439,112551173,112551669
440,112551457,112551877
441,112562577,112563281
442,112565368,112565590
443,112565912,112566112
444,112566331,112566627
445,112568186,112568506
446,112584715,115062955
447,112585629,112585967
448,112588320,112588584
449,112590715,107674617
450,112592058,107891613
451,112592839,112592971
452,112593341,112593508
453,112594989,112595305
454,112633638,112633866
455,112641413,112641796
456,112651821,112652876
457,112690653,112691028
458,112690653,112693457
459,112692714,112692875
460,112695144,112695572
461,112696830,114739271
462,112696830,114782919
463,112697152,112700711
464,112697514,112697709
465,112708293,112708520
466,112709349,112709591
467,112718483,112718685
468,112721477,112721705
469,112722071,112722382
470,112722071,112722768
471,112731401,112731714
472,112735160,112735452
473,112746106,112746474
474,112752205,112752666
475,112762896,112763205
476,112770529,112770736
477,112770892,112771085
478,112774299,112774496
479,112806732,112807082
480,112847927,112848212
481,112850336,112850531
482,112856091,107812497
483,112856287,107812662
484,112856680,112856868
485,112900462,115032829
486,112900987,107822518
487,112901264,107824702
488,112916511,112916723
489,112921126,114791292
490,112922763,112922933
491,112926689,107932323
492,112927013,107619881
493,112928307,114791292
494,112946849,112947171
495,113096035,113096317
496,113096159,113096317
497,113103136,113096779
498,113104059,113097536
499,113104059,113097752
500,113125117,113096317
501,113144084,112289115
502,113145924,107894799
503,113146225,107894965
504,113146403,107895100
505,113146583,107894298
506,113146740,107895710
507,113146928,107895962
508,113147270,107897438
509,113147386,107898333
510,113147532,107899533
511,113147689,107900734
512,113149506,115033189
513,113152742,113096317
514,113166044,113166191
515,113371760,114638799
516,113371866,114654954
517,113552270,114865800
518,113775939,107802026
519,114237032,105467054
520,114582535,109199904
521,114586769,115051705
522,114601039,114836308
523,114612764,114770400
524,114665605,114643793
525,114666369,114665767
526,114666510,114649197
527,114666510,114657566
528,114666510,114658546
529,114666885,114654954
530,114667181,114638517
531,114667328,114629149
532,114667949,114662281
533,114668065,114633957
534,114668065,114645882
535,114668065,114651212
536,114668065,114653596
537,114668277,114627820
538,114668277,114638256
539,114668277,114676943
540,114668539,114631295
541,114669084,114631871
542,114669242,114635722
543,114669413,114644249
544,114669413,114650807
545,114669413,114652954
546,114669677,114661020
547,114669927,114658855
548,114670061,114655731
549,114670178,114643467
550,114670344,114635722
551,114670481,114635722
552,114671125,114635092
553,114671372,114631295
554,114671587,114645346
555,114671895,114635290
556,114672023,114634591
557,114672224,114655371
558,114672893,115041277
559,114673150,114637507
560,114673325,114635722
561,114673747,114644249
562,114674143,114672717
563,114674143,114905720
564,114674143,114945914
565,114675012,114636988
566,114675012,114656666
567,114675012,114661740
568,114675216,114637507
569,114675356,114632648
570,114675356,114637507
571,114675569,114631295
572,114675569,114633957
573,114675569,114636988
574,114675569,114638041
575,114675569,114640222
576,114675569,114657566
577,114675569,114661482
578,114675569,114661740
579,114675910,114643467
580,114676326,114646610
581,114676608,114638517
582,114676943,114824238
583,114677778,114632648
584,114678068,114644654
585,114678068,114680963
586,114678230,114629998
587,114678406,114632444
588,114678551,114659211
589,114678952,114650807
590,114679267,114631871
591,114679882,114650807
592,114680261,114643793
593,114680261,114652954
594,114680514,114644249
595,114680661,114635722
596,114681100,114644654
597,114681987,114646610
598,114682469,114645661
599,114682642,114633957
600,114682642,114637176
601,114682642,114645882
602,114682642,114651212
603,114682642,114653596
604,114682642,114657566
605,114682642,114658109
606,114682642,114658546
607,114682642,114661482
608,114683447,114683204
609,114683447,114693396
610,114683859,114646942
611,114683859,114656666
612,114684111,114644249
613,114686723,114686913
614,114686723,114709265
615,114687818,114719893
616,114688831,114629149
617,114689672,114646610
618,114690607,114644249
619,114691085,114634232
620,114691085,114652954
621,114692342,114644654
622,114692682,114654175
623,114692973,114644654
624,114693733,114654541
625,114693733,115041277
626,114694910,114629149
627,114696035,114644654
628,114696793,114662574
629,114701628,114701949
630,114702117,114701949
631,114702416,114902733
632,114716997,114635722
633,114717275,114635722
634,114726823,114865316
635,114728724,114601829
636,114728724,114742917
637,114729737,114731334
638,114729737,115022617
639,114732722,114752323
640,114738623,115004317
641,114758027,114732472
642,114769760,114722240
643,114769962,114769760
644,114773022,114693396
645,114773022,114865316
646,114781062,114779205
647,114786110,114785941
648,114789885,114632648
649,114790526,114790693
650,114794823,114793921
651,114801921,114977845
652,114801921,114983491
653,114802262,114983491
654,114802450,114642417
655,114802450,114977845
656,114804039,114793921
657,114806598,114936905
658,114813182,114654541
659,114814616,114633206
660,114820180,114804175
661,114820180,115019030
662,114825812,114825487
663,114830364,114706889
664,114830364,114828511
665,114830364,114892138
666,114830364,115072857
667,114832193,114696331
668,114832193,114706889
669,114832193,114828511
670,114832193,114892138
671,114832193,115084357
672,114833618,114638799
673,114839322,114627820
674,114841267,114628920
675,114841267,114642916
676,114841267,114646152
677,114841267,114647235
678,114841267,114648100
679,114841267,114661274
680,114845743,114640434
681,114845743,114648100
682,114849880,114674143
683,114856893,114857021
684,114859201,114720692
685,114859344,114860603
686,114859344,114861355
687,114859344,115014012
688,114864360,114885369
689,114864961,114654541
690,114866889,114793921
691,114879750,115041277
692,114889479,114677314
693,114890286,114654541
694,114893652,114897369
695,114900184,114900008
696,114906850,114629149
697,114907349,115058755
698,114911899,114958564
699,114915184,114845743
700,114918994,115050161
701,114919948,114629149
702,114923458,114642417
703,114931879,115044648
704,114932741,115012668
705,114935751,114936905
706,114936226,114632648
707,114936226,114633206
708,114936226,114935751
709,114938467,115002959
710,114940952,114779205
711,114941642,114941407
712,114942411,114945914
713,114943009,115058987
714,114943580,115098161
715,114950937,114645346
716,114955889,114804175
717,114960090,114951229
718,114965501,114790979
719,114965501,114794993
720,114972184,114600742
721,114972807,114648100
722,114974264,114793921
723,114977845,114805145
724,114977845,114859201
725,114980579,114633206
726,114989106,114701949
727,114992613,114677778
728,114994004,114752323
729,114996395,114891678
730,115000689,114948377
731,115007377,114912245
732,115007803,114912092
733,115008025,114787270
734,115008399,114659211
735,115008847,114632129
736,115008847,114641397
737,115008847,114650807
738,115008847,114655371
739,115008847,114672023
740,115008847,114937225
741,115008847,115009192
742,115012668,114638041
743,115015501,115015872
744,115016503,114795432
745,115019030,114654541
746,115020794,114659512
747,115024240,115024997
748,115024240,115025942
749,115024606,115024997
750,115025571,115024997
751,115026963,114865800
752,115040493,114654541
753,115043118,114635290
754,115043118,114646610
755,115043399,115052063
756,115043763,111509066
757,115050898,114644249
758,115052223,114643793
759,115057433,114654954
760,115060449,114628668
761,115061936,114655731
762,115063699,114656219
763,115065713,114638799
764,115065713,114657228
765,115065928,114650807
766,115067375,114656666
767,115068134,114657228
768,115070366,114658109
769,115070550,114653831
770,115074568,114813182
771,115079557,115041277
772,115084545,114660443
773,115084824,114627655
774,115084824,114651921
775,115085175,115084999
776,115085327,115084999
777,115086352,114937943
778,115086352,114938199
779,115086939,114661020
780,115088669,114735077
781,115088869,114735077
782,115088869,115005386
783,115091473,114870924
784,115092227,115059404
785,115093482,114656219
786,115094824,114610548
787,115098161,114935319
