,Synset,Glosa
0,100001740,
1,100001930,None
2,100002137,
3,100002452,None
4,100002684,ikusgarria eta ukigarria den entitate fisikoa
5,100003553,
6,100003993,None
7,100004258,
8,100004475,
9,100005787,None
10,100005930,None
11,100006024,None
12,100006150,None
13,100006269,izaki bizidunen multzoa
14,100006400,
15,100006484,
16,100007347,
17,100007846,gizon-emakumeen multzoko bakoitza
18,100015388,sentitzeko eta berez mugitzeko gauza den izaki bizia
19,100017222,berez ezin higi daitekeen eta sentiberatasunik ez duen izaki bizia
20,100019046,None
21,100019128,
22,100019613,objektu batek oinarrian duen osagaia
23,100020090,None
24,100020827,edozein gauza material osatzen duen edo osa dezakeen materia
25,100021265,
26,100021734,None
27,100021939,
28,100022903,objektu mota bat
29,100023100,
30,100023271,
31,100023773,pertsona modu batera edo bestera jokatzera bultzatzen duen faktore kontziente nahiz inkontzientea
32,100024264,
33,100024720,zerbait edo norbait dagoen modua
34,100026192,
35,100027167,espazioko puntu edo aldea
36,100027807,
37,100028270,gertakariak agertzen diren esperientziaren continuum-a
38,100028651,
39,100029007,None
40,100029114,None
41,100029378,"gertatu den gauza, bereziki interes edo esangura duena"
42,100029677,fenomeno baten fase edo aldi guztien multzoa
43,100030358,
44,100031264,
45,100031921,beste norbait edo zerbaitekiko nolabaiteko erlazioa
46,100032613,
47,100032823,
48,100033020,
49,100033615,materia zati bat edo antzeko gauzen multzo bat zehazten duen neurria
50,100034213,
51,100034479,ekintza bat
52,100034574,
53,100034777,None
54,100034939,None
55,100035189,
56,100035697,None
57,100035891,None
58,100036061,None
59,100036299,None
60,100036580,None
61,100036762,
62,100037006,
63,100037090,
64,100037200,
65,100037396,buruturik dagoena (esandakoari aurkakotua)
66,100038175,None
67,100038262,jokatzeko modua
68,100038573,None
69,100038863,None
70,100039021,
71,100039211,
72,100039297,lagunen edo familiaren artean dagoen truke edo elkarreragina
73,100039545,None
74,100039740,
75,100039916,None
76,100039990,
77,100040152,
78,100040420,
79,100040545,None
80,100040804,
81,100040962,
82,100041188,
83,100041468,
84,100041614,None
85,100041740,
86,100041899,
87,100042311,
88,100042541,
89,100042757,joatearen ekintza
90,100043116,
91,100043195,
92,100043609,
93,100043902,
94,100044150,erabakitakoa eginaraztearen edo betetzera behartzearen ekintza
95,100044455,
96,100044673,
97,100044900,
98,100045114,None
99,100045250,
100,100045646,
101,100045907,
102,100046177,"arrisku edo kalte bat, edo batere gogoko ez den zerbait saihesteko lasterka urruntzea; nonbaitetik alde egitea"
103,100046344,
104,100046522,
105,100047018,
106,100047106,
107,100047356,
108,100047550,
109,100047745,publikoki onartutako lorpenen multzoa
110,100047941,
111,100048051,
112,100048225,
113,100048374,
114,100048656,
115,100048828,
116,100049003,sartzearen ekintza
117,100049344,
118,100049530,
119,100049636,
120,100049789,
121,100049909,None
122,100050037,
123,100050195,
124,100050484,None
125,100050693,
126,100050887,
127,100051077,None
128,100051192,
129,100051385,
130,100051525,
131,100051712,None
132,100051897,None
133,100052052,None
134,100052146,
135,100052334,
136,100052500,
137,100052791,
138,100053020,
139,100053097,
140,100053405,None
141,100053525,
142,100053609,
143,100053806,
144,100053913,
145,100054328,
146,100054483,None
147,100054652,
148,100054821,
149,100055038,None
150,100055227,
151,100055315,
152,100055633,
153,100055793,
154,100055932,
155,100056087,
156,100056311,herrialde batera migratzea (bereziki herrialde horretakoa ez den pertsonarena)
157,100056551,None
158,100056688,None
159,100056912,
160,100057162,
161,100057306,
162,100057486,
163,100057657,
164,100057748,None
165,100058002,
166,100058247,
167,100058337,
168,100058519,
169,100058608,
170,100058743,
171,100059127,
172,100059376,
173,100059552,
174,100059728,
175,100059895,
176,100059989,
177,100060201,
178,100060414,
179,100060548,None
180,100060747,None
181,100060817,
182,100061014,
183,100061171,
184,100061290,
185,100061453,
186,100061598,
187,100061792,None
188,100061917,
189,100062133,
190,100062331,
191,100062451,
192,100062671,
193,100062806,
194,100063014,kirol batean inoiz lorturiko saiorik onena
195,100063310,None
196,100063559,
197,100063652,"egiteko, erabaki, gertaera-segida baten ondorio ona; nahi edo desiratzen dena lortzea"
198,100064018,
199,100064151,None
200,100064370,None
201,100064504,
202,100064789,
203,100065098,
204,100065216,
205,100065336,
206,100065418,None
207,100065575,
208,100065855,
209,100066075,
210,100066216,
211,100066397,
212,100066636,norbaitek bere asmo eta helburuetan aurrez espero zitzakeen edo nahi zituen emaitzak ez lortzea
213,100066901,
214,100067153,
215,100067254,
216,100067397,
217,100067526,
218,100067707,
219,100067990,
220,100068170,
221,100068333,
222,100068617,None
223,100068755,
224,100068901,
225,100069060,
226,100069173,
227,100069444,
228,100069604,
229,100069685,
230,100069815,
231,100069918,
232,100070077,
233,100070215,
234,100070363,
235,100070462,
236,100070641,None
237,100070807,
238,100070965,judizio okerrari edo ezjakintasunari edo atentzio faltari dagokion ekintza okerra
239,100071546,None
240,100071700,
241,100071864,None
242,100072068,
243,100072261,
244,100072473,
245,100072691,None
246,100072808,
247,100073032,
248,100073177,None
249,100073525,None
250,100073713,
251,100073828,
252,100074092,None
253,100074324,None
254,100074524,
255,100074624,
256,100074790,
257,100075283,
258,100075471,
259,100075618,
260,100075790,
261,100075912,
262,100076072,
263,100076196,
264,100076323,None
265,100076393,
266,100076563,
267,100076884,
268,100077169,None
269,100077249,None
270,100077419,
271,100077856,
272,100077981,
273,100078217,
274,100078393,
275,100078536,None
276,100078821,
277,100079018,
278,100079212,
279,100079398,
280,100079603,
281,100079752,
282,100079908,
283,100080096,
284,100080242,
285,100080474,
286,100080619,
287,100080743,
288,100080968,
289,100081174,
290,100081395,
291,100081572,
292,100081836,
293,100082081,
294,100082223,
295,100082347,
296,100082525,
297,100082754,
298,100082870,
299,100083260,None
300,100083448,None
301,100083585,
302,100083729,
303,100083975,zerbaitez jabetzea
304,100084371,
305,100084642,None
306,100084895,
307,100085041,None
308,100085219,
309,100085432,
310,100085678,
311,100085829,
312,100086140,
313,100086297,
314,100086547,None
315,100086654,
316,100086809,
317,100087073,
318,100087218,
319,100087423,
320,100087663,
321,100087849,None
322,100088154,
323,100088367,
324,100088481,
325,100088725,
326,100089027,
327,100089234,
328,100089351,
329,100089657,
330,100089891,
331,100090076,
332,100090253,
333,100090393,
334,100090610,
335,100090779,
336,100091013,
337,100091234,
338,100091404,None
339,100091503,
340,100091670,
341,100091779,
342,100091893,
343,100091977,None
344,100092212,
345,100092366,
346,100092663,
347,100092847,
348,100093006,
349,100093127,
350,100093354,None
351,100093483,
352,100093874,
353,100094001,
354,100094240,
355,100094500,None
356,100094788,
357,100094954,
358,100095121,
359,100095329,
360,100095502,
361,100095873,
362,100095971,
363,100096211,
364,100096343,None
365,100096513,
366,100096720,
367,100096851,
368,100096969,
369,100097122,
370,100097244,
371,100097348,
372,100097504,
373,100097923,
374,100098051,None
375,100098385,
376,100098625,zerbitzari baten jardutea
377,100098822,None
378,100098939,
379,100099061,None
380,100099267,
381,100099439,
382,100099588,
383,100099799,
384,100099951,
385,100100253,
386,100100437,
387,100100543,
388,100100889,
389,100101003,None
