,Synset Source,Synset Target
0,101896844,103266749
1,102158494,107586485
2,102751782,104410190
3,102828427,102827606
4,102828427,102827883
5,102905422,103199142
6,102949691,103600806
7,102983741,104367205
8,103013992,103013850
9,103019304,103019434
10,103060294,103060074
11,103552169,103732828
12,103703590,103702719
13,103750912,111849467
14,103789603,103789794
15,103846100,103846234
16,103850966,103850746
17,103900750,104096066
18,103900750,104215402
19,103900750,104334599
20,103901074,103900750
21,103958448,103958338
22,104035086,107929172
23,104153330,104151581
24,104198233,104197391
25,104438897,104439840
26,104439840,104440486
27,104505706,104506125
28,104551950,103309808
29,104598965,103309808
30,104599235,104502502
31,104975340,104959672
32,105267345,100004475
33,105267548,100015388
34,105269901,101325417
35,105287090,105269901
36,105287090,105286536
37,105287090,105288091
38,105287090,105296253
39,105287731,105287368
40,105288091,105531161
41,105403149,105399847
42,105404074,105403849
43,105434784,105434927
44,105467054,114237032
45,105482529,105607402
46,105483122,105483388
47,105483388,105486510
48,105483677,105480794
49,105519707,105519820
50,106255613,106256697
51,106676109,106266417
52,107568095,107688412
53,107568095,107703333
54,107568095,107703743
55,107568502,107874780
56,107569106,107622708
57,107569106,107679356
58,107569106,107860988
59,107569873,107844867
60,107602650,107602454
61,107602996,107604587
62,107619881,112927013
63,107672421,102395406
64,107673397,107672914
65,107674161,107772935
66,107674267,112144580
67,107674393,111689815
68,107674508,112301445
69,107674617,112590715
70,107674749,111748811
71,107675040,111946313
72,107675156,107827410
73,107675262,107729485
74,107675411,107775197
75,107675535,107771539
76,107675962,107675627
77,107708398,107708512
78,107721195,107824702
79,107721456,107822687
80,107722052,107826091
81,107729485,107569873
82,107729485,107825972
83,107729926,107801508
84,107736813,107874531
85,107743902,107823698
86,107752109,107904637
87,107754894,107601999
88,107754894,107755089
89,107754894,107909231
90,107755089,107922764
91,107773238,107772935
92,107773428,107772935
93,107773572,107772935
94,107773700,107773827
95,107774479,112197359
96,107782475,101944812
97,107782668,101948446
98,107782804,101947396
99,107783667,107783827
100,107794159,107582152
101,107802026,113775939
102,107812497,107606538
103,107812497,112856091
104,107812662,112856287
105,107812790,107738760
106,107812913,112235765
107,107814487,112339831
108,107814634,107910245
109,107814925,107815163
110,107814925,107928367
111,107815424,107815294
112,107819166,107606278
113,107819303,107819480
114,107822518,112900987
115,107824383,107830841
116,107824383,111873182
117,107824702,112901264
118,107826653,107637045
119,107826653,107904934
120,107826653,107908411
121,107826653,107908647
122,107826653,107910538
123,107826653,107910656
124,107826930,107813833
125,107827130,107904395
126,107827554,107634605
127,107827554,107902799
128,107827554,107910245
129,107828642,107828807
130,107844867,107709881
131,107849912,107850329
132,107858978,107890750
133,107858978,107891095
134,107870734,107870313
135,107888909,107889274
136,107890970,107890750
137,107891433,112125890
138,107891613,112592058
139,107891726,107758680
140,107891726,107927070
141,107892512,107916970
142,107894298,113146583
143,107894799,113145924
144,107894965,113146225
145,107895100,113146403
146,107895710,113146740
147,107895962,113146928
148,107897438,113147270
149,107898333,113147386
150,107898895,107760501
151,107899292,107915618
152,107899292,107916183
153,107899533,113147532
154,107900734,113147689
155,107901457,107760153
156,107903208,107911061
157,107903208,107916582
158,107903208,107918309
159,107903208,107931096
160,107903543,107921615
161,107904072,107758260
162,107904395,107915094
163,107904395,107916041
164,107904395,107916183
165,107904395,107916582
166,107905038,107914413
167,107905038,107918706
168,107905038,107918879
169,107905038,107919055
170,107905038,107919165
171,107905038,107931452
172,107905618,112477747
173,107905770,112477747
174,107905979,112477983
175,107906111,107913393
176,107906111,107913644
177,107906111,107916319
178,107906111,107917272
179,107906284,107915618
180,107906284,107916437
181,107906284,107918193
182,107906718,107915491
183,107907161,107919441
184,107907548,107915800
185,107909362,107915213
186,107909362,107918309
187,107929172,107915094
188,107929351,107929519
189,107932323,112926689
190,107932841,107933274
191,107936548,107927512
192,109199904,114582535
193,109314398,111510571
194,111441416,108271042
195,111509066,115043763
196,111608885,111608250
197,111609251,111612923
198,111609362,111614250
199,111619136,111618861
200,111620912,111620673
201,111623304,111623105
202,111623304,111630017
203,111623685,111637015
204,111624840,111624531
205,111627364,111627168
206,111628678,111628456
207,111630890,111630489
208,111635709,111635433
209,111640898,111640645
210,111643354,111643022
211,111643506,111643022
212,111647548,111647306
213,111651133,111650558
214,111661707,111661372
215,111696606,111696450
216,111707511,111707229
217,111712621,111712282
218,111742003,111741350
219,111746060,111745817
220,111749273,111749112
221,111750745,111750508
222,111756522,111756329
223,111757433,111757190
224,111763340,111763142
225,111781301,111780930
226,111879895,111879722
227,111880032,111879895
228,111927509,111927215
229,111929477,107908411
230,111946433,111946051
231,111949402,107934152
232,111994718,111994527
233,112087032,107828642
234,112147539,112147226
235,112185526,112185254
236,112188484,112188289
237,112191813,112191587
238,112197601,107927931
239,112203331,112202936
240,112225769,112218490
241,112225769,112223160
242,112225769,112225349
243,112228045,112227909
244,112261179,112260799
245,112262905,112262553
246,112268918,112268246
247,112281600,112281241
248,112284665,112284262
249,112289115,112288823
250,112289115,113144084
251,112301038,112300840
252,112303921,112303462
253,112316853,112316572
254,112318615,112318378
255,112320285,112320010
256,112321304,112321077
257,112334520,112334293
258,112335351,112334891
259,112339090,112336333
260,112340998,112340383
261,112364823,112364604
262,112375107,112374862
263,112377658,112377494
264,112406155,112405714
265,112470329,107928998
266,112481641,112480895
267,112487262,103740161
268,112489524,112489268
269,112493426,107598335
270,112495396,112495146
271,112497322,112496949
