,Synset Source,W_Num Source,Synset Target,W_Num Target
0,100019128,0,100021939,1
1,100021939,1,100019128,0
2,100047356,1,100047550,1
3,100047550,1,100047356,1
4,100050195,0,100053609,1
5,100053609,1,100050195,0
6,100054483,0,100282050,1
7,100058002,0,100058337,0
8,100058337,0,100058002,0
9,100065575,0,100066901,0
10,100066901,0,100065575,0
11,100080743,0,100080968,0
12,100080968,0,100080743,0
13,100127531,0,100127672,0
14,100127672,0,100127531,0
15,100127866,0,100128091,0
16,100128091,0,100127866,0
17,100147862,0,100148057,1
18,100148057,1,100147862,0
19,100154689,0,100155085,0
20,100155085,0,100154689,0
21,100184501,0,100184652,0
22,100184652,0,100184501,0
23,100189896,0,100190040,0
24,100190040,0,100189896,0
25,100198451,0,100198793,0
26,100198793,0,100198451,0
27,100210518,0,100235435,0
28,100230475,1,107320734,0
29,100233614,0,100236821,1
30,100235435,0,100210518,0
31,100236821,1,100233614,0
32,100276987,0,100394485,1
33,100282050,1,100054483,0
34,100287762,0,100287889,0
35,100287889,0,100287762,0
36,100301728,0,100301857,0
37,100301857,0,100301728,0
38,100330457,0,100330674,0
39,100330674,0,100330457,0
40,100338641,0,100344040,0
41,100343091,0,100345297,0
42,100344040,0,100338641,0
43,100345297,0,100343091,0
44,100351638,0,100363260,0
45,100355919,1,100367066,0
46,100356790,0,100357451,0
47,100357451,0,100356790,0
48,100360757,0,100363788,1
49,100361932,0,100367280,0
50,100362355,0,100374063,0
51,100362659,0,100375071,1
52,100363260,0,100351638,0
53,100363788,1,100360757,0
54,100364440,1,100364600,0
55,100364600,0,100364440,1
56,100365471,0,100365709,0
57,100365709,0,100365471,0
58,100367066,0,100355919,1
59,100367280,0,100361932,0
60,100369532,0,100405360,0
61,100374063,0,100362355,0
62,100375071,1,100362659,0
63,100381680,1,100385501,0
64,100382739,0,100382906,0
65,100382906,0,100382739,0
66,100385501,0,100381680,1
67,100394485,1,100276987,0
68,100405360,0,100369532,0
69,100407270,0,100407407,0
70,100407407,0,100407270,0
71,100407535,1,101062583,0
72,100456465,0,100456563,0
73,100456563,0,100456465,0
74,100456690,0,100456804,0
75,100456804,0,100456690,0
76,100474769,0,100475787,0
77,100475787,0,100474769,0
78,100568286,0,100569733,0
79,100569733,0,100568286,0
80,100616083,0,100616641,0
81,100616641,0,100616083,0
82,100684837,0,100685349,0
83,100685349,0,100684837,0
84,100710692,0,100710889,1
85,100710889,1,100710692,0
86,100713952,0,100714173,1
87,100714173,1,100713952,0
88,100757337,0,100757483,1
89,100757483,1,100757337,0
90,100757730,0,100758033,0
91,100758033,0,100757730,0
92,100783902,0,100784083,0
93,100784083,0,100783902,0
94,100833578,0,100833772,0
95,100833772,0,100833578,0
96,100847770,0,100847932,0
97,100847932,0,100847770,0
98,100874621,0,101215392,1
99,100912001,1,100912274,1
100,100912274,1,100912001,1
101,100912274,1,101229938,0
102,101017987,1,101022483,0
103,101022483,0,101017987,1
104,101062583,0,100407535,1
105,101078572,0,113542114,0
106,101110811,0,101110973,0
107,101110973,0,101110811,0
108,101114458,1,101114646,0
109,101114646,0,101114458,1
110,101120448,1,101120855,0
111,101120855,0,101120448,1
112,101125959,0,101126151,1
113,101126151,1,101125959,0
114,101139830,0,101140029,0
115,101140029,0,101139830,0
116,101148904,0,101149115,0
117,101149115,0,101148904,0
118,101151788,0,101152033,1
119,101152033,1,101151788,0
120,101156438,1,101158190,1
121,101156899,0,101157557,1
122,101157557,1,101156899,0
123,101158190,1,101156438,1
124,101159025,1,101159461,1
125,101159461,1,101159025,1
126,101167146,1,101179707,0
127,101168569,0,101202904,1
128,101179707,0,101167146,1
129,101179707,0,101203676,1
130,101185981,0,101186192,0
131,101186192,0,101185981,0
132,101189282,1,101193886,1
133,101189650,0,101189929,0
134,101189929,0,101189650,0
135,101193176,0,101193672,0
136,101193672,0,101193176,0
137,101193886,1,101189282,1
138,101198307,1,101198750,0
139,101198750,0,101198307,1
140,101202184,0,101202415,1
141,101202415,1,101202184,0
142,101202904,1,101168569,0
143,101203676,1,101179707,0
144,101203676,1,101204845,0
145,101204419,0,101204711,0
146,101204711,0,101204419,0
147,101204845,0,101203676,1
148,101209576,0,101209791,0
149,101209791,0,101209576,0
150,101215392,1,100874621,0
151,101229938,0,100912274,1
152,101233397,1,101234090,0
153,101233802,0,101234345,1
154,101234090,0,101233397,1
155,101234345,1,101233802,0
156,101237872,0,101238058,0
157,101238058,0,101237872,0
158,101239064,0,101239487,0
159,101239487,0,101239064,0
160,101320872,1,101321230,1
161,101321230,1,101320872,1
162,101384687,1,101385527,1
163,101385527,1,101384687,1
164,101415626,1,101415920,1
165,101415920,1,101415626,1
166,101428580,1,102552171,0
167,101517565,1,101517966,0
168,101517966,0,101517565,1
169,101661592,1,101661818,1
170,101661818,1,101661592,1
171,101847253,0,101847407,0
172,101847407,0,101847253,0
173,102154824,0,102155014,0
174,102155014,0,102154824,0
175,102373336,1,102394477,0
176,102394477,0,102373336,1
177,102467133,0,102467320,0
178,102467320,0,102467133,0
179,102506947,1,102507148,1
180,102507148,1,102506947,1
181,102552171,0,101428580,1
182,102700422,0,102803129,0
183,102714315,0,102984699,1
184,102714535,0,102984937,0
185,102714883,0,104376259,0
186,102799593,0,103859717,0
187,102803129,0,102700422,0
188,102846260,0,104579986,0
189,102856362,0,104393301,0
190,102891566,0,103434549,0
191,102984699,1,102714315,0
192,102984937,0,102714535,0
193,103048883,1,103848033,0
194,103152483,0,104058921,0
195,103170459,0,103827830,0
196,103251100,0,104573625,0
197,103251932,0,104573937,0
198,103255167,0,104245847,0
199,103275864,0,104540761,1
200,103306207,1,103564667,1
201,103306385,0,103680942,0
202,103324502,0,104244152,0
203,103324629,0,104420024,0
204,103398467,0,104059701,0
205,103434549,0,102891566,0
206,103487774,0,103995856,0
207,103492717,0,104256993,0
208,103493333,0,106566077,0
209,103501811,0,104384199,0
210,103564667,1,103306207,1
211,103565830,0,103858837,0
212,103642928,1,104303672,1
213,103680942,0,103306385,0
214,103682189,0,104344544,0
215,103776291,1,104294041,0
216,103827830,0,103170459,0
217,103829340,0,104539876,0
218,103840507,0,104085181,0
219,103848033,0,103048883,1
220,103858837,0,103565830,0
221,103859717,0,102799593,0
222,103863923,0,104508163,1
223,103866176,0,103999280,0
224,103995856,0,103487774,0
225,103999280,0,103866176,0
226,104058921,0,103152483,0
227,104059701,0,103398467,0
228,104085181,0,103840507,0
229,104111962,0,104306592,1
230,104244152,0,103324502,0
231,104245847,0,103255167,0
232,104256993,0,103492717,0
233,104294041,0,103776291,1
234,104303672,1,103642928,1
235,104306592,1,104111962,0
236,104344544,0,103682189,0
237,104348184,0,104363082,0
238,104363082,0,104348184,0
239,104376259,0,102714883,0
240,104384199,0,103501811,0
241,104393301,0,102856362,0
242,104420024,0,103324629,0
243,104508163,1,103863923,0
244,104539876,0,103829340,0
245,104540761,1,103275864,0
246,104573625,0,103251100,0
247,104573937,0,103251932,0
248,104579986,0,102846260,0
249,104620741,0,104621010,0
250,104621010,0,104620741,0
251,104621314,1,104621524,0
252,104621524,0,104621314,1
253,104621738,0,104621963,0
254,104621738,0,104622216,0
255,104621963,0,104621738,0
256,104621963,0,104622216,0
257,104622216,0,104621738,0
258,104622216,0,104621963,0
259,104626280,1,104629194,0
260,104629194,0,104626280,1
261,104630689,0,104631298,0
262,104631298,0,104630689,0
263,104635104,1,104635631,0
264,104635631,0,104635104,1
265,104637923,0,104639113,0
266,104639113,0,104637923,0
267,104640176,0,104641447,0
268,104640538,1,104642596,0
269,104640927,0,104643221,0
270,104641447,0,104640176,0
271,104642596,0,104640538,1
272,104643099,0,104705671,0
273,104643221,0,104640927,0
274,104644512,0,104645599,0
275,104645599,0,104644512,0
276,104646548,0,104648207,0
277,104648207,0,104646548,0
278,104650527,0,104651784,0
279,104651784,0,104650527,0
280,104652930,0,104656748,0
281,104654066,0,104657407,0
282,104654337,0,104657876,0
283,104655649,0,104657244,0
284,104655829,0,104658686,0
285,104656051,1,104658816,0
286,104656282,0,104658942,0
287,104656748,0,104652930,0
288,104657244,0,104655649,0
289,104657407,0,104654066,0
290,104657876,0,104654337,0
291,104658686,0,104655829,0
292,104658816,0,104656051,1
293,104658942,0,104656282,0
294,104659090,1,104660080,0
295,104659287,0,104660261,0
296,104660080,0,104659090,1
297,104660261,0,104659287,0
298,104660536,0,104661706,0
299,104661706,0,104660536,0
300,104662951,0,104663319,0
301,104663319,0,104662951,0
302,104663494,0,104664964,0
303,104663763,0,104665543,0
304,104664058,0,104665210,0
305,104664413,0,104665406,0
306,104664964,0,104663494,0
307,104665210,0,104664058,0
308,104665406,0,104664413,0
309,104665543,0,104663763,0
310,104666615,0,104667406,1
311,104667406,1,104666615,0
312,104668819,0,104670531,0
313,104669247,1,104670746,1
314,104670022,1,104671394,0
315,104670531,0,104668819,0
316,104670746,1,104669247,1
317,104671394,0,104670022,1
318,104672355,0,104673341,0
319,104673341,0,104672355,0
320,104683453,0,104683707,0
321,104683707,0,104683453,0
322,104683814,1,104690196,0
323,104684872,0,104690933,0
324,104686003,0,104691476,0
325,104690196,0,104683814,1
326,104690933,0,104684872,0
327,104691476,0,104686003,0
328,104701460,1,104703424,0
329,104702688,0,104704346,1
330,104703424,0,104701460,1
331,104704346,1,104702688,0
332,104705324,0,104705671,0
333,104705536,0,104705950,0
334,104705671,0,104643099,0
335,104705671,0,104705324,0
336,104705950,0,104705536,0
337,104706087,0,104707636,0
338,104707110,0,104707964,0
339,104707636,0,104706087,0
340,104707964,0,104707110,0
341,104708113,1,104709253,1
342,104708543,0,104709585,0
343,104709253,1,104708113,1
344,104709585,0,104708543,0
345,104712735,0,104714440,0
346,104714156,1,104714847,0
347,104714440,0,104712735,0
348,104714847,0,104714156,1
349,104715487,1,104721058,0
350,104715947,0,104721650,0
351,104716210,0,104722051,0
352,104716491,0,104721428,0
353,104716864,0,104722373,0
354,104717552,0,104718134,0
355,104717787,0,104718306,0
356,104718134,0,104717552,0
357,104718306,0,104717787,0
