,Synset Source,W_Num Source,Synset Target,W_Num Target
0,302598608,0,114549070,1
1,302598768,0,102667379,1
2,302598981,0,105512337,1
3,302598981,0,105556943,0
4,302599114,0,108892186,0
5,302599269,0,109019355,1
6,302599409,0,109645871,0
7,302599509,0,109676490,1
8,302599689,0,109180616,0
9,302599837,0,111420376,1
10,302599939,1,108274923,1
11,302600131,0,114221741,1
12,302600244,0,114042165,0
13,302600447,0,111533026,0
14,302600593,0,114600504,1
15,302600691,0,114600742,0
16,302600792,0,114599168,0
17,302600893,0,108782490,0
18,302600999,0,108784104,0
19,302601123,0,112036067,1
20,302601242,0,114912387,1
21,302601326,0,109186928,0
22,302601432,0,109187036,0
23,302601564,0,100647919,0
24,302601674,0,114019600,1
25,302601788,0,113138155,0
26,302601940,0,105516366,1
27,302602190,0,114222112,0
28,302602261,0,115147850,1
29,302602434,0,111536369,0
30,302602644,0,100998037,0
31,302602784,0,101375204,1
32,302602951,0,114254102,1
33,302603069,0,101901091,0
34,302603235,0,114152803,0
35,302603319,0,114834563,1
36,302603423,0,114246710,1
37,302603540,0,105529286,0
38,302603673,0,105529286,0
39,302603779,0,109180791,0
40,302603926,0,100874457,1
41,302604117,0,105221649,0
42,302604261,0,109547629,1
43,302604343,1,105331171,0
44,302604473,0,105332802,1
45,302604543,0,105408388,0
46,302604683,0,105980051,0
47,302604683,0,109778927,0
48,302604802,0,108488411,0
49,302604913,0,109792555,0
50,302605035,0,113091312,1
51,302605157,0,105408388,0
52,302605281,0,106659168,1
53,302605416,0,102719588,1
54,302605509,0,111479640,0
55,302605621,0,114516743,1
56,302605786,0,104137444,0
57,302605953,0,102725367,0
58,302606070,0,105490983,1
59,302606182,0,113427989,0
60,302606283,0,105606633,0
61,302606393,0,104662182,0
62,302606502,0,113063514,0
63,302606601,0,109553490,0
64,302606762,0,114841267,0
65,302606856,0,106119226,0
66,302606960,0,109189289,0
67,302607078,0,106114351,1
68,302607187,0,106046037,0
69,302607298,1,106096913,1
70,302607455,0,109559201,1
71,302607608,0,113785965,0
72,302607752,0,106308049,1
73,302607909,0,109777353,0
74,302608090,0,107495551,0
75,302608244,0,100035697,1
76,302608380,0,114071896,0
77,302608507,0,114095948,0
78,302608592,0,106066072,0
79,302608753,0,106066267,0
80,302608902,1,106065819,1
81,302609065,0,101030033,0
82,302609168,0,100831191,0
83,302609369,0,114665351,1
84,302609503,1,109055015,1
85,302609503,1,109740954,0
86,302609673,0,106227708,0
87,302609673,0,108085159,0
88,302609813,1,108704822,0
89,302609984,0,114152279,1
90,302610260,0,114865533,0
91,302610364,0,114731509,1
92,302610486,0,114265958,0
93,302610603,0,105778749,1
94,302610761,0,109781921,1
95,302610917,0,114584765,1
96,302611013,0,114729953,1
97,302611112,0,101397114,1
98,302611187,0,107493682,0
99,302611290,0,100998196,0
100,302611442,0,109646608,1
101,302611694,0,101057759,0
102,302611803,0,115048463,0
103,302611943,0,114712692,1
104,302612058,0,114021266,1
105,302612184,0,114617189,0
