['00001740', '00001740']
['00011937', '00021939']
['00013243', '00023271']
['00021950', '00037090']
['00023032', '00039211']
['00028092', '00051385']
['00031190', '00055932']
['00032054', '00058002']
['00034259', '00060414']
['00036590', '00063559']
['00043525', '00072808']
['00044751', '00075618']
['00046246', '00041899']
['00047814', '00079398']
['00049855', '00081572']
['00051225', '00083729']
['00052209', '00085678']
['00052487', '00086140']
['00052764', '00086654']
['00058851', '00093874']
['00060861', '00096720']
['00064099', '00102374']
['00064422', '00102927']
['00070617', '00110964']
['00072619', '00113726']
['00073065', '00114298']
['00073753', '00115292']
['00077232', '00121166']
['00078903', '00123783']
['00079372', '00124536']
['00079453', '00124617']
['00083719', '00129527']
['00087184', '00134472']
['00089324', '00137279']
['00089520', '00137534']
['00089679', '00137709']
['00092823', '00142361']
['00093612', '00143885']
['00096215', '00148057']
['00096382', '00148242']
['00097058', '00149084']
['00098771', '00151914']
['00099234', '00152727']
['00101562', '00042311']
['00104028', '00160297']
['00108157', '00166355']
['00111557', '00172073']
['00111760', '00172598']
['00113406', '00174663']
['00115902', '00177448']
['00118483', '00181373']
['00118587', '00181495']
['00118732', '00181640']
['00119253', '00182435']
['00121704', '00044900']
['00127649', '00194414']
['00130362', '00198793']
['00135310', '00206130']
['00139216', '00213052']
['00139314', '00213186']
['00139574', '00213482']
['00143297', '00219856']
['00145201', '00223362']
['00145929', '00224599']
['00147961', '00227848']
['00148356', '00228283']
['00151517', '00232863']
['00154105', '00237869']
['00155072', '00242583']
['00157011', '00242003']
['00157100', '00243918']
['00158979', '00248534']
['00161640', '00252307']
['00163002', '00254166']
['00166270', '00258695']
['00169960', '00264775']
['00170617', '00266149']
['00173345', '00270186']
['00174476', '00271636']
['00175800', '00273601']
['00176936', '00275424']
['00177657', '00276620']
['00178251', '00394485']
['00184505', '00285141']
['00185238', '00286360']
['00186660', '00288000']
['00187201', '00288671']
['00189345', '00292125']
['00192282', '00296263']
['00192460', '00296478']
['00192663', '00297062']
['00192806', '00297404']
['00193473', '00298161']
['00198146', '00305980']
['00198579', '00306426']
['00199551', '00308279']
['00202033', '00311687']
['00204841', '00316460']
['00206842', '00320284']
['00208262', '00322488']
['00209307', '00324233']
['00210212', '00325785']
['00211817', '00328230']
['00211896', '00328327']
['00217325', '00338821']
['00217569', '00339463']
['00219840', '00343730']
['00222608', '00347087']
['00224408', '00349705']
['00227536', '00353782']
['00228547', '00355420']
['00228920', '00355919']
['00231608', '00360242']
['00231895', '00360601']
['00235973', '00366846']
['00241632', '00375938']
['00242321', '00376825']
['00243460', '00378296']
['00243737', '00378706']
['00243875', '00378880']
['00244924', '00380994']
['00245479', '00382109']
['00247314', '00385501']
['00247828', '00386450']
['00252246', '00393161']
['00253111', '00395199']
['00255302', '00398585']
['00256511', '00400278']
['00256664', '00400449']
['00258563', '00402951']
['00264860', '00412839']
['00265812', '00414071']
['00266254', '00415000']
['00268334', '00417643']
['00268534', '00418025']
['00269249', '00420477']
['00269429', '00420877']
['00269667', '00421210']
['00271222', '00425781']
['00271472', '00426275']
['00271974', '00426526']
['00272187', '00426757']
['00275488', '00433802']
['00276362', '00436187']
['00279192', '00440747']
['00279937', '00442115']
['00280090', '00442437']
['00280333', '00442569']
['00280782', '00443517']
['00281787', '00444651']
['00282130', '00445055']
['00284326', '00448466']
['00284554', '00448748']
['00284756', '00449054']
['00284852', '00449295']
['00285019', '00449695']
['00285625', '00450700']
['00285791', '00450866']
['00285914', '00450998']
['00286443', '00451563']
['00286515', '00451635']
['00286858', '00452034']
['00290685', '00457228']
['00292171', '00458890']
['00294356', '00461294']
['00294570', '00461611']
['00294968', '00462241']
['00296965', '00464478']
['00297363', '00464894']
['00298099', '00466712']
['00298267', '00466880']
['00298453', '00467320']
['00299609', '00469651']
['00299935', '00470554']
['00300322', '00470966']
['00300632', '00242146']
['00301642', '00474657']
['00304176', '00477392']
['00304385', '00477639']
['00304700', '00478262']
['00306141', '00480366']
['00306283', '00480508']
['00307617', '00482298']
['00308970', '00483935']
['00309600', '00484910']
['00309755', '00485081']
['00312899', '00489933']
['00317037', '00496167']
['00317921', '00497060']
['00319861', '00499066']
['00320040', '00499263']
['00320194', '00499477']
['00320316', '00499924']
['00321585', '00501304']
['00322381', '00502161']
['00322887', '00502822']
['00323017', '00502952']
['00323679', '00504209']
['00324105', '00504660']
['00324290', '00504844']
['00324412', '00504975']
['00324666', '00505238']
['00325014', '00505615']
['00327053', '00507673']
['00327804', '00508672']
['00327914', '00508800']
['00328836', '00510050']
['00328944', '00510189']
['00330945', '00513761']
['00331381', '00514128']
['00333503', '00518039']
['00333768', '00518442']
['00334212', '00519251']
['00337690', '00429713']
['00338800', '00527872']
['00340075', '00529622']
['00340471', '00530018']
['00341439', '00531077']
['00342945', '00532739']
['00344796', '00535557']
['00345159', '00535956']
['00348185', '00539121']
['00350929', '00542149']
