1stOrderEntity	Any concrete entity (publicly) perceivable by the senses and located at any point in time, in a three-dimensional space. e.g.: vehicle, animal, substance,  object.
2ndOrderEntity	Any Static Situation (property, relation) or Dynamic Situation, which cannot be grasped, heart, seen, felt as an independent physical thing. They can be located in time and occur or take place rather than exist; e.g. happen, be, have, begin, end, cause, result, continue, occur.
3rdOrderEntity	An unobservable proposition which exists independently of time and space. They can be true or false rather than real. They can be asserted or denied, remembered or forgotten. E.g. idea, though, information, theory, plan.
Agentive	Situations in which a controlling agent causes a dynamic change; e.g. to kill, to do; to act. Opposed to other causes such as Stimuli, Forces, Chance, Phenomena.
Animal	; e.g. animal, dog
Artifact	Anything manufactured by people as opposed to natural
BoundedEvent	Dynamic Situations in which a specific transition from one Situation to another is implied; Bounded in time and directed to a result; e.g. to do, to cause to change, to make, to create
Building	; e.g. house, hotel, church, office
Cause	Situations involving causation of Situations (both Static and Dynamic); result, effect, cause, prevent
Comestible	Food & drinks, including substances, liquids and objects.
Communication	Situations involving communication, either Static, e.g. be_about or Dynamic (Bounded and Unbounded); e.g. speak, tell, listen, command, order, ask, state, statement, conversation, call.
Composition	Considering the composition of concrete entities in terms of parts, groups and larger constructs
Condition	Situations involving an evaluative state of something: Static, e.g. health, disease, success or Dynamic e.g. worsen, improve.
Container	; e.g. bag, tube, box
Covering	; skin, cloth, shield,
Creature	Imaginary creatures; e.g. god, Faust, E.T.
Dynamic	Situations implying either a specific transition from a state to another (Bounded in time) or a continuous transition perceived as an ongoing temporally unbounded process; e.g. event, act, action, become, happen, take place, process, habit, change, activity. Opposed to Static.
Existence	Situations involving the existence of objects and substances; Static states of existence e.g. exist, be, be alive, life, live, death; Dynamic changes in existence; e.g. kill, produce, make, create, destroy, die, birth.
Experience	Situations which involve an experiencer: either mental or perceptual through the senses.
Form	Considering the shape of concrete entities, fixed as an object or a-morf as a substance.
Function	Considering the purpose, role or main activity of a concrete entity. Typically it can be used for nouns that can refer to any substance, object which is involved in a certain way in some event or process; e.g. remains, product, threat.
Furniture	; e.g. table, chair, lamp
Garment	; e.g. jacket, trousers, shawl
Gas	Substance which cannot fall, you can inhale it and it floats above the ground; e.g. air, ozon
Group	Any concrete entity consisting of multiple discrete objects (either homogeneous or heterogeneous sets), typically people, animals, vehicles; e.g. traffic, people, army, herd, fleet
Human	; e.g. person, someone
ImageRepresentation	Physical Representations conveyed in a visual medium; e.g. sign language, traffic sign, light signal
Instrument	; e.g. tool, machine, weapon
LanguageRepresentation	Physical Representations conveyed in language (e.g. spoken, written or sign language); e.g. text, word, utterance, sentence, poem
Liquid	Substance which can fall, feels wet and can flow on the ground; e.g. water, soup, rain
Living	Anything living and dying including objects, organic parts or tissue, bodily fluids; e.g. cells; skin; hair, organism, organs.
Location	Situations involving spatial relations; static e.g. level, distance, separation, course, track, way, path; something changes location, irrespective of the causation of the change; e.g. move, put, fall, drop, drag, glide, fill, pour, empty, take out, enter
Manner	Situations in which the way or manner plays a role. This may be Manner incorporated in a dynamic situation, e.g. ways of movement such as walk, swim, fly, or the static Property itself: e.g. manner, sloppy, strongly, way.
Mental	Situations experienced in mind, including a concept, idea or the interpretation or message conveyed by a symbol or performance (meaning, denotation, content, topic, story, message, interpretation) and emotional and attitudinal situations; a mental state is changed; e.g. invent, remember, learn, think, consider. Opposed to Physical.
