guardia	8	guardian dagoen bitartean Luis Marik hostogabetzen duen lorea, Mari Pilik maite duenentz jakiteko	n	eus-30-15292336-n
txanda	4	zortzietatik aurrera, berriz, jendea animatzen hasia da eta goizeko txandako langileek erne ibili behar	n	eus-30-15291801-n
aginte	9	Fernando Henrique Cardoso presidentearen aginteko oposizioaren osagai nagusia den PT Langileen Arderdiak zen gora egite honen probetxu ateratzaile handiena izan	n	eus-30-15291498-n
legegintzaldi	1	Jauregiren irudiko, legegintzaldi honetan ez dago EAJrekin elkar ulertzeko aukerarik	n	eus-30-15291498-n
agintaldi	1	Jugoslaviako presidentearen agintaldia hurrengo uztailean zen amaitzekoa	n	eus-30-15291498-n
etapa	2	etapa berri baten aurrean gaude eta gogoratu behar egin dugu Luis Fernandezek gurean egindako lana	n	eus-30-15290337-n
pauso	6	gaur, ordea, Lucky bakarrik zihoan, eta haren zangoek ez zuten pausoa azkartzeko higidurarik egiten	n	eus-30-15280497-n
atseden	7	atseden gutxi eta erritmo handiko norgehiagoka jokatu zuten	n	eus-30-15271008-n
denbora	7	eta hala bide zen, bada Jean Luc-i ezer esateko denborarik eman gabe	n	eus-30-15270431-n
amaiera	15	amaieran markagailuak 22 eta 18koa erakusten zuen	n	eus-30-15267536-n
bukaera	15	hortik bukaerara, Dusko Ivanovic entrenatzailearen jokalariek buruarekin baino gehiago bihotzarekin jokatu zuten	n	eus-30-15267536-n
amai	3	berak sortu zuen Frantziako lehen prestakuntza zentroa, 1970eko hamarkadaren amaieran	n	eus-30-15266911-n
bukaera	16	akordeoi diatoniko hau XIX. mendearen bukaeran indarrez sartzen da	n	eus-30-15266911-n
lehendakaritza	2	azken hilabeteotan diru bakarrak eman duen itxura tristearen ondoren, Frantziak lehendakaritza sendoa eskaini nahi luke euroa merkatuetan indartzeko	n	eus-30-15266265-n
atari	9	XXI mendearen atarian gaude, eta posible ote da gaur eta hemen gizarte sozialista eraikitzea?	n	eus-30-15265518-n
hasiera	8	mende honen hasieratik honantza, ohitura horiek indarra galtzen joan dira	n	eus-30-15265518-n
laurden	5	azken laurdenean, Baskoniak, erreboteei esker, gertutik jarraitu zion Kinderren arrastoari	n	eus-30-15258450-n
zati	24	lehen zatia 20-23 amaitu ondoren, arauzko denboran 39-39 berdindu zuten	n	eus-30-15257829-n
set	2	iazko txapeldunari lau setetan irabazi zion Kucerak (2-6, 7-5, 6-1 eta 6-0)	n	eus-30-15256417-n
jaiotegun	1	jaioteguna: 1980ko apirilaren 30an, Buenos Airesen	n	eus-30-15252422-n
mendeurren	1	Manuel Lekuonaren omenez, idazle eta jakintsu oiartzuarraren jaiotzaren mendeurrenean, ahozkotasuna aztergai	n	eus-30-15251336-n
egun	7	Erromatar Inperioaren egunetan	n	eus-30-15249236-n
aro	3	hiria kale estu eta karrika meharrez beteta dago eta erromatarren garaian ere existitzen zen	n	eus-30-15248564-n
memento	4	mementoan guk ez dugu deus ikusi, zehaztu zuen Etxelekuk	n	eus-30-15246853-n
minutu	4	zuhur jokatu behar dela, eta futbolean azken minutura arte edozer gauza gerta daitekeela nabarmendu nahi izan dute	n	eus-30-15246853-n
une	8	gainera, bigarren zatiko une askotan joko ona egin genuen	n	eus-30-15246853-n
