corpo	1	sentiu coma se o seu corpo enteiro estivese en chamas	n	glg-30-05216365-n
persoa	1	a arma estaba agochada na súa persoa	n	glg-30-05217688-n
corpo	1	eles atoparon o corpo no lago	n	glg-30-05217859-n
material	1	o carbón é un material negro e duro	n	glg-30-14580897-n
substancia	1	a resposta inmune recoñece a invasión de substancias	n	glg-30-14580597-n
cadáver	1	a honra bendiciu a terra que envolve o seu cadáver	n	glg-30-05218119-n
cadáver	1	as investigacións da policía deron como resultado o descubrimento dun cadáver	n	glg-30-05218119-n
aparello	1	o aparello respiratorio	n	glg-30-05218899-n
sistema	2	o exercicio axudou a eliminar o alcohol do seu sistema	n	glg-30-05219097-n
anexo	1	as trompas de Falopio e os ovarios están situados de forma anexa ao útero	n	glg-30-05221649-n
hilum	1	o hilum do ril	n	glg-30-05224755-n
estrutura	1	el ten boa estrutura ósea	n	glg-30-05225602-n
intersticio	1	intersticios dunha rede	n	glg-30-05230171-n
sistema	1	o corpo ten un sistema de órganos para a dixestión	n	glg-30-05237227-n
pel	1	a súa pel é o maior órgano do seu corpo	n	glg-30-05238282-n
punto_de_presión	1	ten que saber os puntos de presión para administrar shiatsu	n	glg-30-05239039-n
nu	1	nadar nu	n	glg-30-05239589-n
orificio	2	o orificio na aorta da cámara inferior esquerda do corazón	n	glg-30-05249636-n
conduto	2	o conduto alimentario	n	glg-30-05250659-n
lumen	1	o lumen do intestino	n	glg-30-05254077-n
manto	1	un manto de rizos axustados	n	glg-30-05255435-n
manto	1	un manto de piollos	n	glg-30-05255435-n
bigote	1	El parecía máis novo despois de afeitar o bigote	n	glg-30-05262185-n
fundus	1	O fundus do útero	n	glg-30-05264545-n
mostra	1	Eles recollía unha mostra de urina para o exame de urina	n	glg-30-05266879-n
tecido_adiposo	1	O tecido adiposo protexeunos do frío severo	n	glg-30-05268965-n
músculo_antagonista	1	o bíceps e o tríceps son músculos antagonistas	n	glg-30-05293040-n
agonista	1	ao dobrar o cóbado, os bíceps son os agonistas	n	glg-30-05293268-n
antagonista	1	cando se dobra o cóbado, os tríceps son os antagonistas	n	glg-30-05293420-n
boca	1	Limpou o carmín da súa boca	n	glg-30-05301908-n
boca	1	encheu a súa boca cos caramelos	n	glg-30-05302499-n
á	1	a á do nariz	n	glg-30-05309965-n
á	1	a á dunha semente de arce	n	glg-30-05309965-n
á	1	os pétalos planos dunha flor de chícharo son ás	n	glg-30-05309965-n
a_simple_vista	1	non é seguro ollar directamente ao sol a simple vista	n	glg-30-05311795-n
membrana_celular	1	Todas as células teñen unha membrana celular	n	glg-30-05312782-n
corpo_ciliar	1	O corpo ciliar produce humor acuoso	n	glg-30-05313344-n
pálpebra	1	as súas pálpebras xa nunca máis permanecerían abertas	n	glg-30-05313822-n
glándula_de_Meibomio	1	a infección bacteriana da glándula de Meibomio produce tirizós	n	glg-30-05328508-n
corazón	1	el quedou parado, o corazón estaba batendo incontroladamente	n	glg-30-05388805-n
músculo_papilar	1	os músculos papilares contráense durante a sístole para previr a rexurxitación do sangue dentro nos atrios	n	glg-30-05390233-n
cámara	1	as cámaras do seu corazón eran saudables	n	glg-30-05392744-n
fluído_extracelular	1	o corpo, normalmente, ten 1 quilo de fluído extracelular	n	glg-30-05398023-n
zume	1	zumes dixestivo	n	glg-30-05398609-n
sangue	1	o sangue transporta osíxeno e nutrientes aos tecidos e leva consigo os residuos corporais	n	glg-30-05399847-n
sangue_arterial	1	agás na arteria pulmonar, o sangue arterial é rico en osíxeno	n	glg-30-05400445-n
sangue_venoso	1	agás na vea pulmonar o sangue venoso é rico en dióxido de carbono e pobre en osíxeno	n	glg-30-05402788-n
sangue_enteiro	1	o sangue enteiro é usado normalmente en transfusións	n	glg-30-05402961-n
bágoa	1	a súa historia trouxolle bágoas aos ollos	n	glg-30-05405324-n
tiroxina	1	a tiroxina está composta por un 65% de iodo	n	glg-30-05413647-n
vea	1	todas as veas, excepto a vea pulmonar leva sangue sen osíxeno	n	glg-30-05418717-n
ventre	1	'no ventre' é a terminoloxía xurídica de 'concibido, pero aínda non naceu'	n	glg-30-05424796-n
célula_ganglionar	1	os danos nas células ganglionares da retina poden desempeñar un papel no desenvolvemento do glaucoma	n	glg-30-05427346-n
célula_somática	1	as células somáticas prodúcense a partir de células preexistentes	n	glg-30-05430628-n
cromatina_sexual	1	a presenza ou ausencia de cromatina sexual nas células obtidas por amniocentese fai posible determinar o sexo dun feto	n	glg-30-05435855-n
xene	1	os xenes anteriormente eran denominados factores	n	glg-30-05436752-n
xene_dominante	1	o xene dominante para os ollos castaños	n	glg-30-05437600-n
alelo	1	algúns alelos son dominantes sobre os outros	n	glg-30-05437785-n
xenes_ligados	1	os xenes de Drosophila agrúpanse en catro xenes ligados	n	glg-30-05439100-n
xene_recesivo	1	o xene recesivo para os ollos azuis	n	glg-30-05440875-n
cromosoma	1	os seres humanos teñen 22 pares de cromosomas, máis dous cromosomas sexuais	n	glg-30-05442131-n
cromosoma_Y	1	normalmente os homes teñen un cromosoma X e un cromosoma Y	n	glg-30-05443484-n
cromosoma_sexual	1	os mamíferos adoitan ter dous cromosomas sexuais	n	glg-30-05443651-n
centrómero	1	o centrómero é difícil de secuenciar	n	glg-30-05444324-n
orgánulo	1	o primeiro orgánulo en ser identificado foi o núcleo	n	glg-30-05445668-n
ribosoma	1	o ribosoma é o lugar de síntese proteica	n	glg-30-05446394-n
glóbulos_vermellos_sedimentados	1	os glóbulos vermellos sedimentados son indicados para pacientes anémicos de modo severo, a fin de evitar sobrecargar o sistema circulatorio con moito líquido	n	glg-30-05450370-n
esperma	1	un espermatozoide é un núcleo rodeado por outros pequenos materiais celulares	n	glg-30-05457469-n
centro	1	na maioría da xente, o centro da fala está situado no hemisferio esquerdo	n	glg-30-05463533-n
papila	1	as papilas da lingua	n	glg-30-05473735-n
sinapse	1	os impulsos nerviosos establecen unha sinapse por medio da acción de neurotransmisores	n	glg-30-05473928-n
lobo	1	lobo da orella	n	glg-30-05493303-n
introito	1	o introito de vaxina	n	glg-30-05512505-n
xenitais_femininos	1	en Galicia 'cona' é un termo vulgar para referirse aos órganos xenitais femininos	n	glg-30-05514410-n
vaxina	1	a vaxina é elástica, o suficiente para permitir o paso dun feto	n	glg-30-05521111-n
testículo_retido	1	os testículos retidos teñen un risco alto de sufrir cancro	n	glg-30-05525391-n
tonsila_farínxea	1	 a hipertrofia da tonsila farínxea chámase adenoide	n	glg-30-05529286-n
cego	1	o apéndice é unha ramificación do cego	n	glg-30-05536370-n
