,Subclass,Hierarchy_1,Hierarchy_2
0,subclass,AbnormalAnatomicalStructure,AnatomicalStructure
1,subclass,Abstract,Entity
2,subclass,Adjective,Word
3,subclass,Adverb,Word
4,subclass,Advertising,Disseminating
5,subclass,AgeGroup,GroupOfPeople
6,subclass,Agent,Object
7,subclass,Air,GasMixture
8,subclass,AlethicAttribute,ObjectiveNorm
9,subclass,Alga,NonFloweringPlant
10,subclass,Ambulating,BodyMotion
11,subclass,Ambulating,Translocation
12,subclass,Amphibian,ColdBloodedVertebrate
13,subclass,AnatomicalStructure,OrganicObject
14,subclass,AngleMeasure,ConstantQuantity
15,subclass,AnimacyAttribute,BiologicalAttribute
16,subclass,Animal,Organism
17,subclass,AnimalAnatomicalStructure,AnatomicalStructure
18,subclass,AnimalLanguage,Language
19,subclass,AnimalSubstance,BodySubstance
20,subclass,AntiSymmetricPositionalAttribute,PositionalAttribute
21,subclass,AntisymmetricRelation,BinaryRelation
22,subclass,Ape,Primate
23,subclass,April,Month
24,subclass,AquaticMammal,Mammal
25,subclass,Arachnid,Arthropod
26,subclass,AreaMeasure,FunctionQuantity
27,subclass,Argument,Proposition
28,subclass,ArtWork,Artifact
29,subclass,Arthropod,Invertebrate
30,subclass,Artifact,Object
31,subclass,ArtificialLanguage,Language
32,subclass,AsexualReproduction,Replication
33,subclass,AssociativeFunction,BinaryFunction
34,subclass,AstronomicalBody,Object
35,subclass,AsymmetricRelation,AntisymmetricRelation
36,subclass,AsymmetricRelation,IrreflexiveRelation
37,subclass,Atom,ElementalSubstance
38,subclass,AtomicNucleus,SubatomicParticle
39,subclass,Attaching,DualObjectProcess
40,subclass,AttachingDevice,Device
41,subclass,Attack,Maneuver
42,subclass,Attribute,Abstract
43,subclass,August,Month
44,subclass,AutonomicProcess,PhysiologicProcess
45,subclass,Bacterium,Microorganism
46,subclass,Battle,ViolentContest
47,subclass,BeliefGroup,GroupOfPeople
48,subclass,Betting,FinancialTransaction
49,subclass,BinaryFunction,Function
50,subclass,BinaryFunction,InheritableRelation
51,subclass,BinaryFunction,TernaryRelation
52,subclass,BinaryNumber,RealNumber
53,subclass,BinaryPredicate,BinaryRelation
54,subclass,BinaryPredicate,InheritableRelation
55,subclass,BinaryPredicate,Predicate
56,subclass,BinaryRelation,InheritableRelation
57,subclass,BinaryRelation,Relation
58,subclass,BiologicalAttribute,InternalAttribute
59,subclass,BiologicalProcess,InternalChange
60,subclass,BiologicallyActiveSubstance,Substance
61,subclass,Bird,WarmBloodedVertebrate
62,subclass,Birth,OrganismProcess
63,subclass,Blood,BodySubstance
64,subclass,BodyCavity,BodyPart
65,subclass,BodyCovering,BodyPart
66,subclass,BodyJunction,BodyPart
67,subclass,BodyMotion,Motion
68,subclass,BodyPart,AnatomicalStructure
69,subclass,BodyPosition,BiologicalAttribute
70,subclass,BodySubstance,Substance
71,subclass,BodyVessel,BodyCavity
72,subclass,Boiling,StateChange
73,subclass,Bone,AnimalSubstance
74,subclass,Bone,Tissue
75,subclass,Borrowing,Getting
76,subclass,Breathing,AutonomicProcess
77,subclass,Breathing,OrganismProcess
78,subclass,Building,StationaryArtifact
79,subclass,Business,CommercialAgent
80,subclass,Business,Organization
81,subclass,Buying,FinancialTransaction
82,subclass,Calculating,IntentionalPsychologicalProcess
83,subclass,Canine,Carnivore
84,subclass,Carbohydrate,Nutrient
85,subclass,Carnivore,Mammal
86,subclass,Carrying,Transfer
87,subclass,CaseRole,AsymmetricRelation
88,subclass,CaseRole,BinaryPredicate
89,subclass,CaseRole,InheritableRelation
90,subclass,Cell,BodyPart
91,subclass,Certificate,Text
92,subclass,ChangeOfPossession,SocialInteraction
93,subclass,Character,SymbolicString
94,subclass,ChemicalDecomposition,ChemicalProcess
95,subclass,ChemicalDecomposition,Separating
96,subclass,ChemicalProcess,InternalChange
97,subclass,ChemicalSynthesis,ChemicalProcess
98,subclass,ChemicalSynthesis,Combining
99,subclass,Circle,Oval
100,subclass,City,GeopoliticalArea
101,subclass,City,LandArea
102,subclass,Class,SetOrClass
103,subclass,Classifying,IntentionalPsychologicalProcess
104,subclass,ClosedTwoDimensionalFigure,TwoDimensionalFigure
105,subclass,Clothing,WearableItem
106,subclass,Cloud,GasMixture
107,subclass,CognitiveAgent,SentientAgent
108,subclass,ColdBloodedVertebrate,Vertebrate
109,subclass,Collection,Object
110,subclass,ColorAttribute,VisualAttribute
111,subclass,Coloring,SurfaceChange
112,subclass,Combining,DualObjectProcess
113,subclass,Combustion,ChemicalDecomposition
114,subclass,CommercialAgent,Agent
115,subclass,CommercialService,FinancialTransaction
116,subclass,CommercialService,ServiceProcess
117,subclass,Committing,LinguisticCommunication
118,subclass,Communication,ContentBearingProcess
119,subclass,Communication,SocialInteraction
120,subclass,CommutativeFunction,BinaryFunction
121,subclass,Comparing,DualObjectProcess
122,subclass,Comparing,IntentionalPsychologicalProcess
123,subclass,ComplexNumber,Number
124,subclass,CompositeUnitOfMeasure,UnitOfMeasure
125,subclass,CompoundSubstance,PureSubstance
126,subclass,ComputerLanguage,ArtificialLanguage
127,subclass,ComputerProgram,Procedure
128,subclass,ComputerProgramming,ContentDevelopment
129,subclass,Condensing,StateChange
130,subclass,Confining,Keeping
131,subclass,ConsciousnessAttribute,StateOfMind
132,subclass,ConstantQuantity,PhysicalQuantity
133,subclass,ConstructedLanguage,ArtificialLanguage
134,subclass,ConstructedLanguage,HumanLanguage
135,subclass,Constructing,Making
136,subclass,ContentBearingObject,ContentBearingPhysical
137,subclass,ContentBearingObject,CorpuscularObject
138,subclass,ContentBearingPhysical,Physical
139,subclass,ContentBearingProcess,ContentBearingPhysical
140,subclass,ContentBearingProcess,Process
141,subclass,ContentDevelopment,IntentionalProcess
142,subclass,Contest,SocialInteraction
143,subclass,ContestAttribute,ObjectiveNorm
144,subclass,Continent,LandArea
145,subclass,ContinuousFunction,Function
146,subclass,Cooking,Making
147,subclass,Cooling,Decreasing
148,subclass,Cooperation,SocialInteraction
149,subclass,Corporation,Business
150,subclass,Corporation,LegalAgent
151,subclass,CorpuscularObject,SelfConnectedObject
152,subclass,Counting,Calculating
153,subclass,County,GeopoliticalArea
154,subclass,County,LandArea
155,subclass,Covering,Putting
156,subclass,Creation,InternalChange
157,subclass,Crustacean,Arthropod
158,subclass,Currency,FinancialInstrument
159,subclass,CurrencyMeasure,ConstantQuantity
160,subclass,Cutting,Poking
161,subclass,Damaging,InternalChange
162,subclass,Dancing,BodyMotion
163,subclass,Day,TimeInterval
164,subclass,Death,OrganismProcess
165,subclass,December,Month
166,subclass,Deciding,Selecting
167,subclass,Declaring,LinguisticCommunication
168,subclass,Decoding,Writing
169,subclass,Decreasing,QuantityChange
170,subclass,DeductiveArgument,Argument
171,subclass,DefensiveManeuver,Maneuver
172,subclass,Demonstrating,Disseminating
173,subclass,DeonticAttribute,ObjectiveNorm
174,subclass,Designing,IntentionalPsychologicalProcess
175,subclass,Destruction,Damaging
176,subclass,Detaching,DualObjectProcess
177,subclass,DevelopmentalAttribute,BiologicalAttribute
178,subclass,Device,Artifact
179,subclass,DiagnosticProcess,Investigating
180,subclass,Digesting,AutonomicProcess
181,subclass,Digesting,OrganismProcess
182,subclass,DirectedGraph,Graph
183,subclass,Directing,LinguisticCommunication
184,subclass,DirectionChange,Motion
185,subclass,DirectionalAttribute,PositionalAttribute
186,subclass,Disagreeing,Stating
187,subclass,Discovering,IntentionalPsychologicalProcess
188,subclass,DiseaseOrSyndrome,BiologicalAttribute
189,subclass,Disseminating,Communication
190,subclass,Drinking,Ingesting
191,subclass,Driving,Guiding
192,subclass,Drying,Removing
193,subclass,DualObjectProcess,Process
194,subclass,Eating,Ingesting
195,subclass,EducationalOrganization,Organization
196,subclass,EducationalProcess,Guiding
197,subclass,Egg,AnimalAnatomicalStructure
198,subclass,Egg,ReproductiveBody
199,subclass,Election,OrganizationalProcess
200,subclass,Electron,SubatomicParticle
201,subclass,ElementalSubstance,PureSubstance
202,subclass,EmotionalState,StateOfMind
203,subclass,Encoding,Writing
204,subclass,EngineeringComponent,Device
205,subclass,EngineeringConnection,EngineeringComponent
206,subclass,Enzyme,Protein
207,subclass,EquivalenceRelation,ReflexiveRelation
208,subclass,EquivalenceRelation,SymmetricRelation
209,subclass,EquivalenceRelation,TransitiveRelation
210,subclass,EthnicGroup,GroupOfPeople
211,subclass,Evaporating,StateChange
212,subclass,EvenInteger,Integer
213,subclass,Experimenting,Investigating
214,subclass,Explanation,DeductiveArgument
215,subclass,Expressing,Communication
216,subclass,Fabric,Artifact
217,subclass,FactualText,Text
218,subclass,Falling,MotionDownward
219,subclass,Falling,Translocation
220,subclass,FamilyGroup,GroupOfPeople
221,subclass,FatTissue,Tissue
222,subclass,February,Month
223,subclass,Feline,Carnivore
224,subclass,Fern,NonFloweringPlant
225,subclass,FictionalText,Text
226,subclass,FieldOfStudy,Proposition
227,subclass,FinancialInstrument,Certificate
228,subclass,FinancialTransaction,Transaction
229,subclass,FiniteSet,Set
230,subclass,Fish,ColdBloodedVertebrate
231,subclass,FloweringPlant,Plant
232,subclass,Formula,Sentence
233,subclass,Freezing,StateChange
234,subclass,FrequencyMeasure,TimeDependentQuantity
235,subclass,FreshWaterArea,WaterArea
236,subclass,Friday,Day
237,subclass,FruitOrVegetable,PlantAnatomicalStructure
238,subclass,FruitOrVegetable,ReproductiveBody
239,subclass,Function,InheritableRelation
240,subclass,Function,SingleValuedRelation
241,subclass,FunctionQuantity,PhysicalQuantity
242,subclass,Funding,Giving
243,subclass,Fungus,Organism
244,subclass,Game,Contest
245,subclass,Game,RecreationOrExercise
246,subclass,GasMixture,Mixture
247,subclass,GasMotion,Motion
248,subclass,GeographicArea,Region
249,subclass,GeologicalProcess,InternalChange
250,subclass,GeologicalProcess,Motion
251,subclass,GeometricFigure,ShapeAttribute
252,subclass,GeometricPoint,GeometricFigure
253,subclass,GeopoliticalArea,Agent
254,subclass,GeopoliticalArea,GeographicArea
255,subclass,Gesture,BodyMotion
256,subclass,Gesture,Communication
257,subclass,Getting,ChangeOfPossession
258,subclass,Giving,ChangeOfPossession
259,subclass,GivingBack,Giving
260,subclass,Gland,Organ
261,subclass,Government,GovernmentOrganization
262,subclass,Government,LegalAgent
263,subclass,GovernmentOrganization,Organization
264,subclass,Grabbing,Attaching
265,subclass,Grabbing,Touching
266,subclass,Graduation,LeavingAnOrganization
267,subclass,Graph,Abstract
268,subclass,GraphArc,GraphElement
269,subclass,GraphCircuit,GraphPath
270,subclass,GraphElement,Abstract
271,subclass,GraphLoop,GraphArc
272,subclass,GraphNode,GraphElement
273,subclass,GraphPath,DirectedGraph
274,subclass,Group,Agent
275,subclass,Group,Collection
276,subclass,GroupOfPeople,Group
277,subclass,Growth,AutonomicProcess
278,subclass,Guiding,IntentionalProcess
279,subclass,Hearing,Perception
280,subclass,Heating,Increasing
281,subclass,Hiring,JoiningAnOrganization
282,subclass,Hole,Region
283,subclass,Hominid,Primate
284,subclass,HoofedMammal,Mammal
285,subclass,Hormone,BiologicallyActiveSubstance
286,subclass,Hormone,BodySubstance
287,subclass,Hour,TimeInterval
288,subclass,House,ResidentialBuilding
289,subclass,House,SingleFamilyResidence
290,subclass,Human,CognitiveAgent
291,subclass,Human,Hominid
292,subclass,HumanLanguage,Language
293,subclass,Hunting,Pursuing
294,subclass,Icon,ContentBearingPhysical
295,subclass,ImaginaryNumber,Number
296,subclass,Impacting,Touching
297,subclass,Impelling,Transfer
298,subclass,Increasing,QuantityChange
299,subclass,InductiveArgument,Argument
300,subclass,InformationMeasure,ConstantQuantity
301,subclass,Ingesting,OrganismProcess
302,subclass,InheritableRelation,Relation
303,subclass,Injecting,Inserting
304,subclass,Injuring,Damaging
305,subclass,Injuring,PathologicProcess
306,subclass,Insect,Arthropod
307,subclass,Inserting,Putting
308,subclass,Integer,RationalNumber
309,subclass,IntentionalProcess,Process
310,subclass,IntentionalPsychologicalProcess,IntentionalProcess
311,subclass,IntentionalPsychologicalProcess,PsychologicalProcess
312,subclass,IntentionalRelation,InheritableRelation
313,subclass,IntentionalRelation,Relation
314,subclass,InternalAttribute,Attribute
315,subclass,InternalChange,Process
316,subclass,Interpreting,IntentionalPsychologicalProcess
317,subclass,IntransitiveRelation,BinaryRelation
318,subclass,InvalidDeductiveArgument,DeductiveArgument
319,subclass,Invertebrate,Animal
320,subclass,Investigating,IntentionalPsychologicalProcess
321,subclass,IrrationalNumber,RealNumber
322,subclass,IrreflexiveRelation,BinaryRelation
323,subclass,Island,LandArea
324,subclass,January,Month
325,subclass,JoiningAnOrganization,OrganizationalProcess
326,subclass,Judging,Selecting
327,subclass,JudicialOrganization,Organization
328,subclass,JudicialProcess,PoliticalProcess
329,subclass,July,Month
330,subclass,June,Month
331,subclass,Keeping,IntentionalProcess
332,subclass,Killing,Destruction
333,subclass,LandArea,GeographicArea
334,subclass,LandTransitway,LandArea
335,subclass,LandTransitway,Transitway
336,subclass,Language,LinguisticExpression
337,subclass,LeapYear,Year
338,subclass,Learning,IntentionalPsychologicalProcess
