,Word,Senses,Glosa,PoS,SynsetPoS
0,guardia,8,"guardian dagoen bitartean Luis Marik hostogabetzen duen lorea, Mari Pilik maite duenentz jakiteko",n,eus-30-15292336-n
1,txanda,4,"zortzietatik aurrera, berriz, jendea animatzen hasia da eta goizeko txandako langileek erne ibili behar",n,eus-30-15291801-n
2,aginte,9,Fernando Henrique Cardoso presidentearen aginteko oposizioaren osagai nagusia den PT Langileen Arderdiak zen gora egite honen probetxu ateratzaile handiena izan,n,eus-30-15291498-n
3,legegintzaldi,1,"Jauregiren irudiko, legegintzaldi honetan ez dago EAJrekin elkar ulertzeko aukerarik",n,eus-30-15291498-n
4,agintaldi,1,Jugoslaviako presidentearen agintaldia hurrengo uztailean zen amaitzekoa,n,eus-30-15291498-n
5,etapa,2,etapa berri baten aurrean gaude eta gogoratu behar egin dugu Luis Fernandezek gurean egindako lana,n,eus-30-15290337-n
6,pauso,6,"gaur, ordea, Lucky bakarrik zihoan, eta haren zangoek ez zuten pausoa azkartzeko higidurarik egiten",n,eus-30-15280497-n
7,atseden,7,atseden gutxi eta erritmo handiko norgehiagoka jokatu zuten,n,eus-30-15271008-n
8,denbora,7,"eta hala bide zen, bada Jean Luc-i ezer esateko denborarik eman gabe",n,eus-30-15270431-n
9,amaiera,15,amaieran markagailuak 22 eta 18koa erakusten zuen,n,eus-30-15267536-n
10,bukaera,15,"hortik bukaerara, Dusko Ivanovic entrenatzailearen jokalariek buruarekin baino gehiago bihotzarekin jokatu zuten",n,eus-30-15267536-n
11,amai,3,"berak sortu zuen Frantziako lehen prestakuntza zentroa, 1970eko hamarkadaren amaieran",n,eus-30-15266911-n
12,bukaera,16,akordeoi diatoniko hau XIX. mendearen bukaeran indarrez sartzen da,n,eus-30-15266911-n
13,lehendakaritza,2,"azken hilabeteotan diru bakarrak eman duen itxura tristearen ondoren, Frantziak lehendakaritza sendoa eskaini nahi luke euroa merkatuetan indartzeko",n,eus-30-15266265-n
14,atari,9,"XXI mendearen atarian gaude, eta posible ote da gaur eta hemen gizarte sozialista eraikitzea?",n,eus-30-15265518-n
15,hasiera,8,"mende honen hasieratik honantza, ohitura horiek indarra galtzen joan dira",n,eus-30-15265518-n
16,laurden,5,"azken laurdenean, Baskoniak, erreboteei esker, gertutik jarraitu zion Kinderren arrastoari",n,eus-30-15258450-n
17,zati,24,"lehen zatia 20-23 amaitu ondoren, arauzko denboran 39-39 berdindu zuten",n,eus-30-15257829-n
18,set,2,"iazko txapeldunari lau setetan irabazi zion Kucerak (2-6, 7-5, 6-1 eta 6-0)",n,eus-30-15256417-n
19,jaiotegun,1,"jaioteguna: 1980ko apirilaren 30an, Buenos Airesen",n,eus-30-15252422-n
20,mendeurren,1,"Manuel Lekuonaren omenez, idazle eta jakintsu oiartzuarraren jaiotzaren mendeurrenean, ahozkotasuna aztergai",n,eus-30-15251336-n
21,egun,7,Erromatar Inperioaren egunetan,n,eus-30-15249236-n
22,aro,3,hiria kale estu eta karrika meharrez beteta dago eta erromatarren garaian ere existitzen zen,n,eus-30-15248564-n
23,memento,4,"mementoan guk ez dugu deus ikusi, zehaztu zuen Etxelekuk",n,eus-30-15246853-n
24,minutu,4,"zuhur jokatu behar dela, eta futbolean azken minutura arte edozer gauza gerta daitekeela nabarmendu nahi izan dute",n,eus-30-15246853-n
25,une,8,"gainera, bigarren zatiko une askotan joko ona egin genuen",n,eus-30-15246853-n
26,momentu,7,Emanaldiaren momentu batean eltzagorra jo behar genuen,n,eus-30-15246853-n
27,segundo,4,"Alberto, neska kotxera hurbildu bitartean leihoa ireki gabe mantendu da segundo batzuetan, ustekabea dela eta nahiko aztoratua",n,eus-30-15246853-n
28,ordu,5,joateko ordua da,n,eus-30-15245515-n
29,garai,9,Olinpiar Jokoei ere adio esateko garaia heldu da,n,eus-30-15245515-n
30,denboraldi,2,"azken denboraldi honen hasieran jokalari berri asko fitxatu ziren, eta taldearen muina mantentzeko erabakia",n,eus-30-15239579-n
31,garai,13,"birlandatzeko garairik egokiena, landarearen sasoi aktiboa hastera doanekoa da",n,eus-30-15239579-n
32,sasoi,5,"urterik urtera, patata eta mahatsa biltzeko sasoia hurbiltzen denean, Arabara pertsona eta familia asko heltzen da",n,eus-30-15239579-n
33,aro,4,hori kontuan hartu barik zenbait lekutan Gabon sasoia oraindik ez dela amaitu,n,eus-30-15239292-n
34,negu,1,"neguan, elurra dagoenean , eski ibilaldiak egin daitezke",n,eus-30-15237782-n
35,sasoi,12,"espediente hura jendaurreko erakusketan jarri zen, urriaren 15era arte, uda sasoia zenez gero",n,eus-30-15236475-n
36,urtaro,1,"Hemen, eguraldi ona egiten du beti eta lau urtaro dauden arren, negua ez da beste leku batzuetan bezain hotza izaten",n,eus-30-15236475-n
37,segundo,2,gipuzkoarrek minutu eta 4 segundo gehiago behar izan zituzten,n,eus-30-15235126-n
38,minutu,3,labetik atera baino hamar minutu lehenago jarri mahaspasak,n,eus-30-15234764-n
39,ordu,4,oheratzeko ordua iritsi da,n,eus-30-15228378-n
40,ordu,3,desfileak bost ordu inguru iraungo ditu orotara,n,eus-30-15227846-n
41,epe,1,"Lekeitioko udalak, agiria hilabeteko epearen barruan zuzendu ondoren, Plan Bereziaren hiru ale bidaliko dizkio Foru Sail honi",n,eus-30-15224156-n
42,abendu,2,"miloi erditik gora ruandar errefuxiatu hutuak beldurrez eta haserre daude, abenduaren 31 baino lehen Tanzaniako errefuxiatu eremuak utzi behar dituztela agindu dielako azken herri honetako Gobernuak",n,eus-30-15213774-n
43,azaro,1,Martin Ugalderen hitzaldia 2001eko azaroan Donostian burutu zen,n,eus-30-15213406-n
44,urri,1,Gernikan atzo goizaldera bukatu zen Gernikako urriko azken astelehena,n,eus-30-15213115-n
45,abuztu,1,"izendapena urte honetako abuztuaren zortzian jaso zuen, eta urriaren batean abiatu zen Erromara",n,eus-30-15212455-n
46,uztail,1,pastorala antzeztuko dute muskildiarrek datozen uztailaren 21ean eta abuztuaren 4ean,n,eus-30-15212167-n
47,ekain,1,"Europako Batasuneko langabezi tasa % 8,4koa zen ekainean",n,eus-30-15211806-n
48,maiatz,1,maiatzean eta ekainean 10.000 bazkidek hartu dute parte asanbladetan,n,eus-30-15211484-n
49,apiril,1,Rock Topaketa burutuko da Lekunberrin heldu den apirilaren 20an,n,eus-30-15211189-n
50,martxo,1,"Buenos Aires utzi eta , gutxienez , martxoa arte jardungo du",n,eus-30-15210870-n
51,otsail,1,Prieto 1997. urteko otsailean atxilotu zuten,n,eus-30-15210486-n
52,urtarril,1,datu ofizialek diote urtarriletik ekainera 232 salaketa izan zirela kontu horiengatik,n,eus-30-15210045-n
53,hilabete,2,hilabeteen izenak eta hitz berri batzuk nola idatzi,n,eus-30-15209413-n
54,hil,3,hil honen 24ean hauteskundeak dira Jugoslavian,n,eus-30-15209413-n
55,egun,6,zenbat irauten du egunak Jupiterren?,n,eus-30-15208540-n
56,hilabete,1,ateratzen den zukua upeletan sartu eta hilabete pare bat uzten da,n,eus-30-15206296-n
57,mende,1,"joanak dira bi mende, Napoleonen Kode Zibila frantsesez argitaratu zenetik",n,eus-30-15205532-n
58,hamarkada,2,orain hamarkada batzuk Argentinan agindu zuen Batzorde Militarreko kide izan ziren bi militarrak,n,eus-30-15204983-n
59,urte,3,uztailarekin batera bukatu zuten ikasleek urtea,n,eus-30-15204297-n
60,urte,2,mutikoak 7 urte ditu,n,eus-30-15203791-n
61,urte,2,Timorko sarraskia duela urtebete jazo zen,n,eus-30-15203791-n
62,ekitaldi,5,"iazko ekitaldia zaila izan zela ohartarazi du Iberdrolako presidenteak: tarifa elektrikoak jaisteaz gain, euri urriaren ondorioz, argindarraren ekoizpen hidraulikoa mugatu behar izan zuen",n,eus-30-15203120-n
63,urte,1,urteak Marten gure 687 egun ditu,n,eus-30-15201505-n
64,jai,5,"enbaxada itxita aurkitu zuen, Estatu Batuetan jai delako buruzagi beltzaren hilketaren urteurrena",n,eus-30-15183428-n
65,memento,2,"mementoan guk ez dugu deus ikusi, zehaztu zuen Etxelekuk",n,eus-30-15180528-n
66,momentu,5,Emanaldiaren momentu batean eltzagorra jo behar genuen,n,eus-30-15180528-n
67,puntu,5,bileraren puntu hartan ginela alde egin zuen,n,eus-30-15180528-n
68,une,5,"gainera, bigarren zatiko une askotan joko ona egin genuen",n,eus-30-15180528-n
69,epe,3,bahitzaileak atzo goizeko 08:30etarako finkatu zuen bere exijentziei erantzuteko azken epea,n,eus-30-15180082-n
70,asteburu,1,jokalari nafarrei asteburuko ospakizunetako nekeak ez zien mesederik egin,n,eus-30-15170504-n
71,aste,2,aste betez euria egin zuen,n,eus-30-15169873-n
72,gau,7,gauera arte egin dute lan,n,eus-30-15169759-n
73,gauerdi,1,hautagaitzak aurkezteko epea atzo gauerdian amaitu zen,n,eus-30-15168185-n
74,gau,5,gauean zurekin egin dut amets,n,eus-30-15167474-n
75,gau,4,entsalada afaltzen dut gauero,n,eus-30-15167349-n
76,gau,3,nahiago dut gauez atera egunez baino,n,eus-30-15167027-n
77,arratsalde,1,Felix Iñurrategiren omenezko hileta elizkizunak arratsaldeko 7etan hasiko dira Jasokundeko elizan,n,eus-30-15166191-n
78,eguerdi,1,azokak goizeko 10`30etatik eguerdiko 14`00etara eta arratsaldeko 16`30etatik iluntzeko 19`00etara iraungo du,n,eus-30-15165490-n
79,egun,5,egunsentiak gaua egun bihurtu zuen,n,eus-30-15164957-n
80,igande,1,"haren izena ondo gogoan baitzeukan, igandean bere maiteñoaren bila joan zenez gero",n,eus-30-15163797-n
81,jai,11,"jai edo astegun izan, ordu berean jaikitzeko ohitura zuen Jean Luc-ek",n,eus-30-15163797-n
82,larunbat,1,txarangak edota Arrosadiako Erraldoiak egonen dira larunbat arratsaldea girotzen,n,eus-30-15164570-n
83,ostegun,1,"Pirinio Atlantikoetako RPR alderdiko buruek, ostegunean Uztaritzen egin zuten bilkura",n,eus-30-15164354-n
84,asteazken,1,erakusketa zabalik da asteazken eta ostiral arratsaldez,n,eus-30-15164233-n
85,astearte,1,medikuen txostenaren arabera astearte gauean haren egoerak okerrera egin zuen,n,eus-30-15164105-n
86,astelehen,1,manifestaldi bat burutu zuten 500 nekazariek iragan astelehenean,n,eus-30-15163979-n
87,jai,4,Ibarrako jaietan gertatutako istiluekin lotura zutelakoan atxilotutako gazteak epaituko ditu bihar Espainiako Entzutegi Nazionalak festa,n,eus-30-15162388-n
88,data,3,Gutunaren bidaltze-data abenduaren 15a da,n,eus-30-15159583-n
89,egun,3,Amaren eguna,n,eus-30-15157225-n
90,gau,2,bi gau emango ditugu kanpoan,n,eus-30-15155747-n
91,egun,2,haiek joan eta bi egunetara,n,eus-30-15155220-n
92,adin,0,"zalantzarik gabe, adineko pertsona bere famili ingurunean edukitzea bultzatu nahi bada",n,eus-30-15153787-n
93,adin,2,drogazaleak zein adinekoak dira? 25 urtetik 40ra bitartekoak,n,eus-30-15145171-n
94,heriotza,7,"haien iduriko, ideia berrien bila hasteak bake planaren eta konponbidearen heriotza lekarke",n,eus-30-15143477-n
95,heriotza,6,jaiotzatik eriotza arte oso bertan eta bizirik zegoen guretzat Jainkoa,n,eus-30-15143276-n
96,bizitza,8,gauza bakar bat zeukan garbi bere baitan: pauso hori oso garrantzitsua izango zela bere bizitzan,n,eus-30-15140892-n
97,bizi,8,Alemaniako neonazi bati ezarritako bizi guztirako kartzela zigorra ekarri zuen gogora,n,eus-30-15140892-n
98,bizitza,7,"Amaricak ezetsi egin zuen kargu hori, bere bizitzan beste hainbat aldiz egin izan zuen bezalaxe, bere askatasun pertsonalari eutsi nahirik",n,eus-30-15140744-n
