,Word,Senses,SynsetPoS,PoS,Conf,Exp,Mark
0,'&',1,glg-30-06841873-n,n,99.0,cies_lex,------
1,'0',1,glg-30-02186132-a,a,99.0,cies_lex,------
2,'0',1,glg-30-05401229-n,n,99.0,bootstrap,------
3,'1',1,glg-30-02186338-a,a,99.0,semcor_br-e25B,------
4,'1',1,glg-30-13742573-n,n,99.0,cies_lex,------
5,'1-dodecanol',1,glg-30-14930670-n,n,99.0,bootstrap,------
6,'1-naftol',1,glg-30-14609689-n,n,99.0,bootstrap,------
7,'10',1,glg-30-02187296-a,a,99.0,semcor_br-e23,------
8,'10',1,glg-30-13746512-n,n,99.0,cies_lex,------
9,'100',1,glg-30-13750415-n,n,99.0,singalnet_rev,------
10,'100',1,glg-30-02196107-a,a,99.0,semcor_br-e27,------
11,'1000',1,glg-30-02198752-a,a,99.0,cies_lex,------
12,'10000',1,glg-30-13751265-n,n,99.0,cies_lex,------
13,'100000',1,glg-30-13751404-n,n,99.0,cies_lex,------
14,'1000000000',1,glg-30-13751829-n,n,99.0,cies_lex,------
15,'1000000000000',1,glg-30-13752172-n,n,99.0,galnedit,------
16,'11',1,glg-30-02187379-a,a,99.0,cies_lex,------
17,'11',2,glg-30-13746672-n,n,99.0,cies_lex,------
18,'11_de_novembro',1,glg-30-15200896-n,n,99.0,wnt6dic_02,------
19,'12',1,glg-30-02187465-a,a,99.0,semcor_br-e27,------
20,'120',1,glg-30-13750574-n,n,99.0,dbpedia_multi,------
21,'12_de_febreiro',1,glg-30-15187077-n,n,99.0,wnt6dic_02,------
22,'12_de_outubro',1,glg-30-15190895-n,n,99.0,wnt6dic_02,------
23,'13',1,glg-30-02187606-a,a,99.0,cies_lex,------
24,'14',1,glg-30-02187699-a,a,99.0,cies_lex,------
25,'14',1,glg-30-13747348-n,n,99.0,semcor_br-e26,------
26,'14_de_abril',1,glg-30-15188688-n,n,99.0,wnt6dic_02,------
27,'14_de_febreiro',1,glg-30-15187250-n,n,99.0,capitals,------
28,'14_de_xullo',1,glg-30-15200493-n,n,99.0,dbpedia_ili,------
29,'14_de_xuño',1,glg-30-15189838-n,n,99.0,wnt6dic_02,------
30,'15',1,glg-30-13747469-n,n,99.0,semcor_br-e23,------
31,'15',1,glg-30-02187793-a,a,99.0,semcor_br-e25B,------
32,'15_de_agosto',1,glg-30-15193908-n,n,99.0,wnt7-1-noeva-c_02,------
33,'16',1,glg-30-02187903-a,a,99.0,semcor_br-e25B,------
