,Word,Senses,Glosa,PoS,SynsetPoS
0,medicina,1,L'objectiu és l'exercici de la medicina en el sistema sanitari públic i privat un cop acabada la formació especialitzada corresponent.,n,cat-30-06043075-n
1,vida,8,vida extraterrestre,n,cat-30-00006269-n
2,dòlar,3,adora el totpoderós dòlar,n,cat-30-06821581-n
3,abandonament,1,l'abandonament de la seva dona i fills els va deixar sense un cèntim,n,cat-30-00055315-n
4,abast,1,fora de l'abast de la llei,n,cat-30-05125377-n
5,absolut,1,la veritat absoluta,a,cat-30-00005205-a
6,absolut,2,la veritat absoluta,a,cat-30-00522885-a
7,absolut,5,monarquia absoluta,a,cat-30-00719328-a
8,abstrusitat,1,l'antropòleg estava impressionat per l'abstrusitat dels proverbis nadius,n,cat-30-05926358-n
9,acabament,2,l'acabament del període de garantia,n,cat-30-15266911-n
10,acceptació,2,l'acceptació de la mecànica de Newton no es va qüestionar durant 200 anys,n,cat-30-06193727-n
11,accés,6,té accés als cercles més selectes de la ciutat,n,cat-30-00049789-n
12,accident,1,l'accident va acabar amb la vida de tres persones,n,cat-30-07301336-n
13,accident,2,la marca del gènere és un tipus d'accident,n,cat-30-13803782-n
14,acció,5,les seves novel·les sempre tenen molta acció,n,cat-30-06373513-n
15,acció,7,un home d'acció,n,cat-30-04835950-n
16,acompliment,2,la victòria va ser l'acompliment d'un any de treball,n,cat-30-00061917-n
17,acord,2,l'acord afavoria als republicans,n,cat-30-05795044-n
18,acord,3,després de les negociacions van firmar l'acord,n,cat-30-06770275-n
19,acord,4,va tocar tota la cançó amb l'acord de sol,n,cat-30-06869951-n
20,acte,1,existien històries d'assassinats i d'altres actes antinaturals,n,cat-30-00037396-n
21,acte,3,l'obra es composava de tres actes curts,n,cat-30-07009640-n
22,acte,5,l'acte de recordar,n,cat-30-05701363-n
23,actitud,2,adoptà una actitud de rendició,n,cat-30-05079866-n
24,actiu,10,encara que ja ha passat l'edat per retirar-se continua actiu en la seva professió,a,cat-30-00034710-a
25,actiu,12,una nova unitat en actiu,a,cat-30-00034924-a
26,actiu,1,una nova unitat en actiu,a,cat-30-01660444-a
27,actiu,4,un nen molt actiu,a,cat-30-00031974-a
28,activitat,1,Evitaven qualsevol tipus d'activitat recreativa,n,cat-30-00407535-n
29,activitat,2,l'activitat volcànica,n,cat-30-14006945-n
30,activitat,3,activitat nuclear,n,cat-30-14531203-n
31,activitat,4,l'activitat disminueix amb l'edat,n,cat-30-04635104-n
32,actor,1,el personantge va ser interpretat per un brillant actor,n,cat-30-09765278-n
33,actor,2,l'actor va iniciar el procés exercint una acció legal,n,cat-30-10437852-n
34,actriu,1,li van donar el premi a la millor actriu de l'any,n,cat-30-09767700-n
35,actuació,1,l'actucació del president no va ser adecuada,n,cat-30-01220984-n
36,actuació,3,l'actuació va durar més de quatre hores,n,cat-30-00550771-n
37,actuació,4,el van felicitar per la seva actuació en el recital,n,cat-30-00548326-n
38,actual,1,els problemes actuals de la societat,a,cat-30-01731351-a
39,actual,2,els problemes actuals de la societat,a,cat-30-01732131-a
40,actual,3,els problemes actuals de la societat,a,cat-30-00666610-a
41,actuar,1,no actuïs com un boig,v,cat-30-00010435-v
42,actuar,2,no hem d'actuar precipitadament,v,cat-30-02367363-v
43,actuar,3,en qualitat de què actues?,v,cat-30-01095899-v
44,actuar,4,actua en aquesta obra,v,cat-30-01719921-v
45,acusat,1,L'acusat va començar a plorar durant la seva declaració,n,cat-30-09762101-n
46,adaptació,1,l'obra és una adaptació d'una novel·la curta,n,cat-30-06408779-n
47,adequat,1,l'home adequat per a aquest treball,a,cat-30-00051045-a
48,administració,6,les coses van estar tranquil·les durant l'administració d'Eisenhower,n,cat-30-15266265-n
49,adverbial,1,Sintaxi adverbial,a,cat-30-02936235-a
50,afecte,3,sentia un gran afecte pels que eren menys afortunats,n,cat-30-07504841-n
51,afició,2,sempre ha tingut afició per a la lectura,n,cat-30-07497473-n
52,aficionat,3,són aficionats a anar a la biblioteca,n,cat-30-10677713-n
53,afinitat,1,va trobar una afinitat natural amb els immigrants,n,cat-30-13811410-n
54,agent,2,la investigació va descubrir nous agents de la malaltia,n,cat-30-09190918-n
55,agitació,2,l'agitació política va produir un nou líder,n,cat-30-13979503-n
56,aigua,1,va veure's tres gots d'aigua,n,cat-30-07935504-n
57,aigua,5,el mag va convocar l'aigua per desfer l'encanteri,n,cat-30-14847357-n
58,aire,2,va aturar la mà a l'aire,n,cat-30-08653314-n
59,aire,3,un aire de misteri,n,cat-30-04727214-n
60,aire,7,es va esfumar a l'aire,n,cat-30-14455847-n
61,ajuda,1,no podia caminar sense ajuda,n,cat-30-01207609-n
62,ajuntament,1,quedem davant de l'ajuntament?,n,cat-30-04461437-n
63,ajuntament,2,L'ajuntament es va negar a les reformes del nou mercat,n,cat-30-08225736-n
64,ajut,3,ajuts econòmics per a les àrees deprimides,n,cat-30-05154908-n
65,ajut,5,no ens va ésser d'ajut,n,cat-30-05149832-n
66,alba,1,ens vam llevar abans de l'alba,n,cat-30-15168790-n
67,albirament,1,es va informar de diversos albiraments de les tropes enemigues,n,cat-30-00880269-n
68,albor,2,les albors del món,n,cat-30-07326108-n
69,alcalde,1,l'alcalde va inagurar la nova escola,n,cat-30-10303814-n
70,alcaldia,1,el nou alcalde va assumir l'alcaldia amb il·lusió,n,cat-30-00595333-n
