,Word,Senses,SynsetPoS,PoS,Conf,Exp,Mark
0,-arazi,1,eus-30-00770437-v,v,99.0,None,------
1,-arazi,2,eus-30-01951480-v,v,99.0,None,------
2,-ekin_ibili,1,eus-30-02486232-v,v,99.0,None,------
3,-ekin_indarrak_neurtu,1,eus-30-01072262-v,v,99.0,None,------
4,-ekin_ondo_etorri,1,eus-30-02458566-v,v,99.0,None,------
5,-ekin_ondo_moldatu,1,eus-30-00482473-v,v,99.0,None,------
6,-en_alde_egin,1,eus-30-02556126-v,v,99.0,None,------
7,-en_araberakoa_izan,1,eus-30-02702830-v,v,99.0,None,------
8,-en_arrazoia_izan,1,eus-30-00609506-v,v,99.0,None,------
9,-en_azpian_sartu,1,eus-30-01967373-v,v,99.0,None,------
10,-en_babesa_izan,1,eus-30-80000076-v,v,99.0,None,------
11,-en_beldur_izan,1,eus-30-01780202-v,v,99.0,None,------
12,-en_berri_izan,1,eus-30-00598954-v,v,99.0,None,------
13,-en_bila_joan,1,eus-30-02305586-v,v,99.0,None,------
14,-en_botoiak_lotu,2,eus-30-01367862-v,v,99.0,None,------
15,-en_botoiak_lotu,1,eus-30-01548290-v,v,99.0,None,------
16,-en_buru_izan,1,eus-30-02447001-v,v,99.0,None,------
17,-en_buru_izan,2,eus-30-02440486-v,v,99.0,None,------
18,-en_esku_utzi,2,eus-30-02356230-v,v,99.0,None,------
19,-en_esku_utzi,1,eus-30-02349212-v,v,99.0,None,------
20,-en_esku_utzi,3,eus-30-02265726-v,v,99.0,None,------
21,-en_gainean_jarri,3,eus-30-01606574-v,v,99.0,None,------
22,-en_gainean_jarri,1,eus-30-01545883-v,v,99.0,None,------
23,-en_gainean_jarri,2,eus-30-00779601-v,v,99.0,None,------
24,-en_hastapenak_irakatsi,1,eus-30-02390470-v,v,99.0,None,------
25,-en_ikur_izan,1,eus-30-00836236-v,v,99.0,None,------
26,-en_irudia_izan,1,eus-30-00836236-v,v,99.0,None,------
27,-en_irudia_izan,3,eus-30-01688771-v,v,99.0,None,------
28,-en_irudia_izan,2,eus-30-01686132-v,v,99.0,None,------
29,-en_jabe_egin,2,eus-30-01213614-v,v,99.0,None,------
30,-en_jabe_egin,3,eus-30-02206619-v,v,99.0,None,------
31,-en_jabe_egin,1,eus-30-02205272-v,v,99.0,None,------
32,-en_jabe_izan,1,eus-30-02204692-v,v,99.0,None,------
33,-en_kontra_jarri,1,eus-30-00779601-v,v,99.0,None,------
34,-en_laguntza_izan,1,eus-30-80000076-v,v,99.0,None,------
35,-en_lekuko_izan,1,eus-30-02128873-v,v,99.0,None,------
36,-en_ordez_jarri,1,eus-30-02257767-v,v,99.0,None,------
37,-en_ordezkari_izan,1,eus-30-02581675-v,v,99.0,None,------
38,-en_pisua_neurtu,1,eus-30-02704617-v,v,99.0,None,------
39,-en_plantak_egin,1,eus-30-02142775-v,v,99.0,None,------
40,-en_premia_izan,1,eus-30-02632567-v,v,99.0,None,------
41,-en_sinbolo_izan,1,eus-30-00836236-v,v,99.0,None,------
42,-ena_egin,2,eus-30-02519183-v,v,99.0,None,------
43,-ena_egin,1,eus-30-01723690-v,v,99.0,None,------
44,-enak_egin,1,eus-30-00354845-v,v,99.0,None,------
45,-engana_jo,1,eus-30-02312318-v,v,99.0,None,------
46,-gintza,1,eus-30-00924825-n,n,99.0,None,------
47,-i_beldurra_izan,1,eus-30-01780202-v,v,99.0,None,------
48,-i_egon,1,eus-30-02676054-v,v,99.0,None,------
49,-i_egon,2,eus-30-02657219-v,v,99.0,None,------
50,-i_ekin,4,eus-30-02608347-v,v,99.0,None,------
51,-i_ekin,6,eus-30-02379528-v,v,99.0,None,------
52,-i_ekin,5,eus-30-01864230-v,v,99.0,None,------
53,-i_ekin,2,eus-30-01641914-v,v,99.0,None,------
54,-i_ekin,1,eus-30-00345761-v,v,99.0,None,------
55,-i_ekin,3,eus-30-00348746-v,v,99.0,None,------
56,-i_eman,2,eus-30-00348746-v,v,99.0,None,------
57,-i_eman,1,eus-30-00345761-v,v,99.0,None,------
58,-i_eman,3,eus-30-02379528-v,v,99.0,None,------
59,-i_esker_ahal_izan,1,eus-30-02423183-v,v,80.0,None,------
60,-i_eutsi,4,eus-30-01149138-v,v,99.0,None,------
61,-i_eutsi,1,eus-30-02681795-v,v,99.0,None,------
62,-i_eutsi,3,eus-30-02424652-v,v,99.0,None,------
63,-i_eutsi,2,eus-30-02679899-v,v,99.0,None,------
64,-i_eutsi,5,eus-30-01016778-v,v,99.0,None,------
65,-i_ezetza_eman,1,eus-30-02237338-v,v,99.0,None,------
66,-i_gogor_egin,1,eus-30-80000027-v,v,99.0,None,------
67,-i_hasiera_eman,2,eus-30-02608347-v,v,99.0,None,------
68,-i_hasiera_eman,1,eus-30-01641914-v,v,99.0,None,------
69,-i_hasiera_eman,3,eus-30-01864230-v,v,99.0,None,------
70,-i_iritzi,1,eus-30-02133435-v,v,99.0,None,------
71,-i_joan,1,eus-30-02676054-v,v,99.0,None,------
72,-i_uko_egin,1,eus-30-02237338-v,v,99.0,None,------
73,-i_utzi,1,eus-30-02680814-v,v,99.0,None,------
74,-ko_gaitza_izan,1,eus-30-00065370-v,v,99.0,None,------
75,-ko_neurria_izan,1,eus-30-02704349-v,v,99.0,None,------
76,-ko_pisua_izan,1,eus-30-02704818-v,v,99.0,None,------
77,-n_alde_egin,1,eus-30-02556126-v,v,99.0,None,------
78,-n_egon,1,eus-30-02629535-v,v,99.0,None,------
79,-n_sartu,1,eus-30-02629535-v,v,99.0,None,------
80,-n_sartu,3,eus-30-01971929-v,v,99.0,None,------
81,-n_sartu,2,eus-30-01986869-v,v,99.0,None,------
82,-n_sartze,1,eus-30-13794034-n,n,62.0,None,------
83,-ra_aldatu,1,eus-30-00146138-v,v,99.0,None,------
84,-ra_bidali,1,eus-30-01705257-v,v,99.0,None,------
85,-ra_bildu,1,eus-30-01994442-v,v,99.0,None,------
86,-ra_egin,1,eus-30-00467451-v,v,99.0,None,------
87,-ra_etorri,1,eus-30-01035530-v,v,99.0,None,------
88,-ra_heldu,1,eus-30-02020590-v,v,99.0,None,------
89,-ra_igorri,1,eus-30-01705257-v,v,99.0,None,------
90,-ra_iritsi,1,eus-30-02020590-v,v,99.0,None,------
91,-ra_jo,1,eus-30-02312318-v,v,99.0,None,------
92,-raino_iritsi,1,eus-30-02687916-v,v,99.0,None,------
93,-rantz_abiatu,1,eus-30-01931768-v,v,99.0,None,------
94,-rantz_jo,1,eus-30-01448778-v,v,99.0,None,------
95,-rantz_joan,1,eus-30-01931768-v,v,99.0,None,------
96,-rantz_nabigatu,1,eus-30-01931768-v,v,99.0,None,------
97,-ratu,1,eus-30-02157100-v,v,99.0,None,------
98,-rena_egin,1,eus-30-02697725-v,v,99.0,None,------
99,-ri_egokitu,1,eus-30-02676054-v,v,99.0,None,------
100,-ri_epea_bete,1,eus-30-02303761-v,v,99.0,None,------
101,-ri_utzi,1,eus-30-01083044-v,v,99.0,None,------
102,-teko_arriskua_egon,1,eus-30-02697120-v,v,99.0,None,------
103,-teko_asmoa_izan,1,eus-30-00704690-v,v,99.0,None,------
104,-teko_asmotan_ibili,1,eus-30-00704690-v,v,99.0,None,------
105,-teko_beldur_izan,1,eus-30-01780202-v,v,99.0,None,------
106,-teko_zorian_izan,1,eus-30-02697120-v,v,99.0,None,------
107,-tik_alde_egin,1,eus-30-02015598-v,v,99.0,None,------
108,-tik_atera,1,eus-30-02014024-v,v,99.0,None,------
109,-tik_hanka_egin,1,eus-30-02015598-v,v,99.0,None,------
110,-tik_libre_geratu,1,eus-30-02350175-v,v,99.0,None,------
111,-tik_zaindu,1,eus-30-01128193-v,v,99.0,None,------
112,-tzat_aurkeztu,1,eus-30-02142775-v,v,99.0,None,------
113,-tzat_eduki,1,eus-30-00689950-v,v,99.0,None,------
114,-tzat_eduki,2,eus-30-00690614-v,v,99.0,None,------
115,-tzat_eduki,3,eus-30-00689344-v,v,99.0,None,------
116,-tzat_hartu,1,eus-30-00689950-v,v,99.0,None,------
117,-tzat_hartu,2,eus-30-00690614-v,v,99.0,None,------
118,-tzat_izan,1,eus-30-00689344-v,v,99.0,None,------
119,-tzat_jo,1,eus-30-00689950-v,v,99.0,None,------
120,-tzat_jo,5,eus-30-02144644-v,v,99.0,None,------
121,-tzat_jo,4,eus-30-00956687-v,v,99.0,None,------
122,-tzat_jo,2,eus-30-00822367-v,v,99.0,None,------
123,-tzat_jo,3,eus-30-00690614-v,v,99.0,None,------
124,-z_baliatu,1,eus-30-01164273-v,v,99.0,None,------
125,-z_baliatu,2,eus-30-02312318-v,v,99.0,None,------
126,-z_bete,1,eus-30-00454251-v,v,99.0,None,------
127,-z_gabetu,1,eus-30-02314275-v,v,99.0,None,------
128,-z_hornitu,1,eus-30-01182709-v,v,99.0,None,------
129,-z_jabetu,1,eus-30-00598954-v,v,99.0,None,------
130,-z_joan,1,eus-30-01955984-v,v,99.0,None,------
131,-zale,1,eus-30-09768830-n,n,99.0,None,------
132,-ztatu,1,eus-30-00454251-v,v,99.0,None,------
133,0_°C_isoterma,1,eus-30-80000745-n,n,99.0,None,------
134,1000000000,1,eus-30-13751829-n,n,99.0,None,------
135,1944ko_ekainak_6,1,eus-30-15162523-n,n,99.0,None,------
136,1945eko_abuztuak_15,1,eus-30-15162882-n,n,99.0,None,------
137,1945eko_maiatzak_8,1,eus-30-15162764-n,n,99.0,None,------
138,2.71828182845904523536...,1,eus-30-13754165-n,n,99.0,None,------
139,3.14159265358979323846...,1,eus-30-13754008-n,n,99.0,None,------
140,AA,1,eus-30-06133203-n,n,99.0,None,------
141,AA,2,eus-30-08010191-n,n,99.0,None,------
142,AED,1,eus-30-08768647-n,n,99.0,None,------
143,AEE,1,eus-30-08176077-n,n,99.0,None,------
144,AIFF,1,eus-30-80000617-n,n,99.0,None,------
145,A_bitamina,1,eus-30-15089803-n,n,99.0,None,------
146,Abel,1,eus-30-09587217-n,n,99.0,None,------
147,Abruzzi,1,eus-30-08804154-n,n,99.0,None,------
148,Aconcagua,1,eus-30-09187204-n,n,99.0,None,------
149,Adam,1,eus-30-09586553-n,n,99.0,None,------
150,Adonis,1,eus-30-09547629-n,n,99.0,None,------
151,Afganistan,1,eus-30-08703454-n,n,99.0,None,------
152,Afganistango_ehiza-txakur,1,eus-30-02088094-n,n,99.0,None,------
153,Afrika,1,eus-30-09189411-n,n,99.0,None,------
154,Afrodita,1,eus-30-09554132-n,n,99.0,None,------
155,Aita,1,eus-30-09536973-n,n,99.0,None,------
156,Aita_Santu,1,eus-30-10453533-n,n,99.0,None,------
157,Aita_Santuaren_eskuorde,1,eus-30-09799607-n,n,99.0,None,------
158,Aita_Santuaren_ordezkari,1,eus-30-09799607-n,n,99.0,None,------
159,Ajax,1,eus-30-09589323-n,n,99.0,None,------
160,Akiles,1,eus-30-09594298-n,n,99.0,None,------
161,Akitania,1,eus-30-08940517-n,n,99.0,None,------
162,Alacant,1,eus-30-80000059-n,n,99.0,None,------
163,Aladino,1,eus-30-09589444-n,n,99.0,None,------
164,Albacete,1,eus-30-80000054-n,n,99.0,None,------
165,Albania,1,eus-30-08704822-n,n,99.0,None,------
166,Albert_Einstein,1,eus-30-10954498-n,n,99.0,None,------
167,Alejandro_Magno,1,eus-30-10812360-n,n,99.0,None,------
168,Alemaniako_Errepublika_Demokratikoa,1,eus-30-08768647-n,n,99.0,None,------
169,Aleppo_pinu,1,eus-30-80000503-n,n,99.0,None,------
170,Alkoholiko_Anonimoak,1,eus-30-08010191-n,n,99.0,None,------
171,AlmerÃ­a,1,eus-30-80000062-n,n,99.0,None,------
172,Alpeak,1,eus-30-09194357-n,n,99.0,None,------
173,Alsazia,1,eus-30-08940209-n,n,99.0,None,------
174,Amazonas,1,eus-30-09195372-n,n,99.0,None,------
175,American_Stock_Exchange,1,eus-30-02701871-n,n,99.0,None,------
176,Amerikako_Estatuen_Erakundea,1,eus-30-08176077-n,n,99.0,None,------
177,Amerikako_ingelesa,1,eus-30-06947479-n,n,99.0,None,------
178,Amex,1,eus-30-02701871-n,n,99.0,None,------
179,Amon,1,eus-30-09511368-n,n,99.0,None,------
180,Anatolia,1,eus-30-08701942-n,n,99.0,None,------
181,Anchorage,1,eus-30-09055906-n,n,99.0,None,------
182,And.,1,eus-30-06341431-n,n,99.0,None,------
183,Andeak,1,eus-30-09196611-n,n,99.0,None,------
184,Andorra,1,eus-30-09023118-n,n,99.0,None,------
185,Andromeda,1,eus-30-09197271-n,n,99.0,None,------
186,Angel,1,eus-30-09197660-n,n,99.0,None,------
187,Antarktika,1,eus-30-09198106-n,n,99.0,None,------
188,Antilletako,1,eus-30-10774440-n,n,99.0,None,------
189,Apeninoak,1,eus-30-09200874-n,n,99.0,None,------
190,Apgar_test,1,eus-30-05739400-n,n,99.0,None,------
191,Apolo,1,eus-30-09553767-n,n,99.0,None,------
192,Aquarius,1,eus-30-09201840-n,n,99.0,None,------
193,Aquarius,2,eus-30-08687884-n,n,99.0,None,------
194,Arabia,1,eus-30-08847694-n,n,99.0,None,------
195,Arabiako_basamortua,1,eus-30-09167767-n,n,99.0,None,------
