,Word,Senses,SynsetPoS,PoS,Conf,Exp,Mark
0,Canis_familiaris,1,por-30-02084071-n,n,75,WEBAPI,------
1,Equus_caballus,1,por-30-02374451-n,n,75,WEBAPI,------
2,Evangelho,1,por-30-05943300-n,n,75,WEB API,------
3,Felis_silvestris_catus,1,por-30-02121620-n,n,75,WEBAPI,------
4,H2O,1,por-30-07935504-n,n,75,WEBAPI,------
5,Henry_Martyn_Robert,1,por-30-11264002-n,n,75,WEB API,------
6,Robert,1,por-30-11264002-n,n,75,WEB API,------
7,a,1,por-30-06831177-n,n,73,tri GL CA ES,------
8,a_correr,1,por-30-00085811-r,r,75,WEB API,------
9,a_esse_respeito,1,por-30-00109461-r,r,71,FTT,------
10,a_internet,1,por-30-03580615-n,n,73,tri GL CA ES,------
11,a_seguir,1,por-30-00061203-r,r,75,WEB API,------
12,ab-rogar,1,por-30-00799798-v,v,75,WEB API,------
13,aba,1,por-30-08641113-n,n,75,WEB API,------
14,abade,1,por-30-09754404-n,n,52.7357,triangulation pt/en/,------
15,abade,1,por-30-09983572-n,n,75,WEB API,------
16,abafamento,1,por-30-00780889-n,n,75,WEB API,------
17,abafamento,1,por-30-14043882-n,n,75,WEB API,------
18,abafar,1,por-30-02276866-v,v,75,WEB API,------
19,abaixamento,1,por-30-07355887-n,n,75,WEB API,------
20,abaixar,1,por-30-00074038-v,v,75,WEB API,------
21,abaixar,1,por-30-00429060-v,v,75,WEB API,------
22,abaixar,1,por-30-01799794-v,v,75,WEB API,------
23,abaixo,1,por-30-00094396-r,r,71,FTT,------
24,abaixo,2,por-30-00079866-r,r,71,FTT,------
25,abalar,1,por-30-00009631-v,v,73,tri GL CA ES,------
26,abalar,1,por-30-01564144-v,v,75,WEB API,------
27,abalar,1,por-30-01767949-v,v,75,WEB API,------
28,abalar,1,por-30-01878063-v,v,75,WEB API,------
29,abalar,1,por-30-02075462-v,v,75,WEB API,------
30,abalar,2,por-30-01898282-v,v,73,tri GL CA ES,------
31,abalar,3,por-30-00014034-v,v,73,tri GL CA ES,------
32,abalar,4,por-30-01889610-v,v,73,tri GL CA ES,------
33,abalar,5,por-30-01864865-v,v,73,tri GL CA ES,------
34,abalizado,1,por-30-01375831-a,a,75,WEB API,------
35,abalo,1,por-30-13977366-n,n,75,WEB API,------
36,abandonar,1,por-30-00550117-v,v,52.6548,triangulation pt/en/,------
37,abandonar,2,por-30-00613393-v,v,54.008,triangulation pt/en/,------
38,abandonar,3,por-30-00613683-v,v,53.9821,triangulation pt/en/,------
39,abandonar,4,por-30-00614057-v,v,54.008,triangulation pt/en/,------
40,abandonar,5,por-30-01083044-v,v,53.9821,triangulation pt/en/,------
41,abandonar,6,por-30-02076676-v,v,52.672,triangulation pt/en/,------
42,abandonar,7,por-30-02223136-v,v,52.6548,triangulation pt/en/,------
43,abandonar,8,por-30-02227741-v,v,54.008,triangulation pt/en/,------
44,abandonar,9,por-30-02228031-v,v,52.672,triangulation pt/en/,------
45,abandonar,10,por-30-02229055-v,v,52.6548,triangulation pt/en/,------
46,abandonar,11,por-30-02383440-v,v,52.6548,triangulation pt/en/,------
47,abandonar,12,por-30-02529284-v,v,52.6548,triangulation pt/en/,------
48,abandonar,13,por-30-02534062-v,v,53.9708,triangulation pt/en/,------
49,abandonar,14,por-30-02584097-v,v,52.6548,triangulation pt/en/,------
50,abandonar,15,por-30-00363110-v,v,73,tri GL CA ES,------
51,abandonar,16,por-30-00496673-v,v,73,tri GL CA ES,------
52,abandonar,17,por-30-02535716-v,v,73,tri GL CA ES,------
53,abandono,1,por-30-00055315-n,n,52.6113,triangulation pt/en/,------
54,abandono,2,por-30-00091013-n,n,52.6113,triangulation pt/en/,------
55,abandono,3,por-30-00204439-n,n,53.7449,triangulation pt/en/,------
56,abandono,4,por-30-00212808-n,n,52.6113,triangulation pt/en/,------
