,Synset Source,W_Num Source,Synset Target,W_Num Target
0,100019128,0,100021939,0
1,100021939,0,100019128,0
2,100047356,0,100047550,0
3,100047550,0,100047356,0
4,100050195,0,100053609,0
5,100053609,0,100050195,0
6,100054483,0,100282050,0
7,100058002,0,100058337,0
8,100058337,0,100058002,0
9,100065575,0,100066901,0
10,100066901,0,100065575,0
11,100080743,0,100080968,0
12,100080968,0,100080743,0
13,100127531,0,100127672,0
14,100127672,0,100127531,0
15,100127866,0,100128091,0
16,100128091,0,100127866,0
17,100147862,0,100148057,0
18,100148057,0,100147862,0
19,100154689,0,100155085,0
20,100155085,0,100154689,0
21,100184501,0,100184652,0
22,100184652,0,100184501,0
23,100189896,0,100190040,0
24,100190040,0,100189896,0
25,100198451,0,100198793,0
26,100198793,0,100198451,0
27,100210518,0,100235435,0
28,100230475,0,107320734,0
29,100233614,0,100236821,0
30,100235435,0,100210518,0
31,100236821,0,100233614,0
32,100276987,0,100394485,0
33,100282050,0,100054483,0
34,100287762,0,100287889,0
35,100287889,0,100287762,0
36,100301728,0,100301857,0
37,100301857,0,100301728,0
38,100330457,0,100330674,0
39,100330674,0,100330457,0
40,100338641,0,100344040,0
41,100343091,0,100345297,0
42,100344040,0,100338641,0
43,100345297,0,100343091,0
44,100351638,0,100363260,0
45,100355919,0,100367066,0
46,100356790,0,100357451,0
47,100357451,0,100356790,0
48,100360757,0,100363788,0
49,100361932,0,100367280,0
50,100362355,0,100374063,0
51,100362659,0,100375071,0
52,100363260,0,100351638,0
53,100363788,0,100360757,0
54,100364440,0,100364600,0
55,100364600,0,100364440,0
56,100365471,0,100365709,0
57,100365709,0,100365471,0
58,100367066,0,100355919,0
59,100367280,0,100361932,0
60,100369532,0,100405360,0
61,100374063,0,100362355,0
62,100375071,0,100362659,0
63,100381680,0,100385501,0
64,100382739,0,100382906,0
65,100382906,0,100382739,0
66,100385501,0,100381680,0
67,100394485,0,100276987,0
68,100405360,0,100369532,0
69,100407270,0,100407407,0
70,100407407,0,100407270,0
71,100407535,0,101062583,0
72,100456465,0,100456563,0
73,100456563,0,100456465,0
74,100456690,0,100456804,0
75,100456804,0,100456690,0
76,100474769,0,100475787,0
77,100475787,0,100474769,0
78,100568286,0,100569733,0
79,100569733,0,100568286,0
80,100616083,0,100616641,0
81,100616641,0,100616083,0
82,100684837,0,100685349,0
83,100685349,0,100684837,0
84,100710692,0,100710889,0
85,100710889,0,100710692,0
86,100713952,0,100714173,0
87,100714173,0,100713952,0
88,100757337,0,100757483,0
89,100757483,0,100757337,0
90,100757730,0,100758033,0
91,100758033,0,100757730,0
92,100783902,0,100784083,0
93,100784083,0,100783902,0
94,100833578,0,100833772,0
95,100833772,0,100833578,0
96,100847770,0,100847932,0
97,100847932,0,100847770,0
98,100874621,0,101215392,0
99,100912001,0,100912274,0
100,100912274,0,100912001,0
101,100912274,0,101229938,0
102,101017987,0,101022483,0
103,101022483,0,101017987,0
104,101062583,0,100407535,0
105,101078572,0,113542114,0
106,101110811,0,101110973,0
107,101110973,0,101110811,0
108,101114458,0,101114646,0
109,101114646,0,101114458,0
110,101120448,0,101120855,0
111,101120855,0,101120448,0
112,101125959,0,101126151,0
113,101126151,0,101125959,0
114,101139830,0,101140029,0
115,101140029,0,101139830,0
116,101148904,0,101149115,0
117,101149115,0,101148904,0
118,101151788,0,101152033,0
119,101152033,0,101151788,0
120,101156438,0,101158190,0
121,101156899,0,101157557,0
122,101157557,0,101156899,0
123,101158190,0,101156438,0
124,101159025,0,101159461,0
125,101159461,0,101159025,0
126,101167146,0,101179707,0
127,101168569,0,101202904,0
128,101179707,0,101167146,0
129,101179707,0,101203676,0
130,101185981,0,101186192,0
131,101186192,0,101185981,0
132,101189282,0,101193886,0
133,101189650,0,101189929,0
134,101189929,0,101189650,0
135,101193176,0,101193672,0
136,101193672,0,101193176,0
137,101193886,0,101189282,0
138,101198307,0,101198750,0
139,101198750,0,101198307,0
140,101202184,0,101202415,0
141,101202415,0,101202184,0
142,101202904,0,101168569,0
143,101203676,0,101179707,0
144,101203676,0,101204845,0
145,101204419,0,101204711,0
146,101204711,0,101204419,0
147,101204845,0,101203676,0
148,101209576,0,101209791,0
149,101209791,0,101209576,0
150,101215392,0,100874621,0
151,101229938,0,100912274,0
152,101233397,0,101234090,0
153,101233802,0,101234345,0
154,101234090,0,101233397,0
155,101234345,0,101233802,0
156,101237872,0,101238058,0
157,101238058,0,101237872,0
158,101239064,0,101239487,0
159,101239487,0,101239064,0
160,101320872,0,101321230,0
161,101321230,0,101320872,0
162,101384687,0,101385527,0
163,101385527,0,101384687,0
164,101415626,0,101415920,0
165,101415920,0,101415626,0
166,101428580,0,102552171,0
167,101517565,0,101517966,0
168,101517966,0,101517565,0
169,101661592,0,101661818,0
170,101661818,0,101661592,0
171,101847253,0,101847407,0
172,101847407,0,101847253,0
173,102154824,0,102155014,0
174,102155014,0,102154824,0
175,102373336,0,102394477,0
176,102394477,0,102373336,0
177,102467133,0,102467320,0
178,102467320,0,102467133,0
179,102506947,0,102507148,0
180,102507148,0,102506947,0
181,102552171,0,101428580,0
182,102700422,0,102803129,0
183,102714315,0,102984699,0
184,102714535,0,102984937,0
185,102714883,0,104376259,0
186,102799593,0,103859717,0
187,102803129,0,102700422,0
188,102846260,0,104579986,0
189,102856362,0,104393301,0
190,102891566,0,103434549,0
191,102984699,0,102714315,0
192,102984937,0,102714535,0
193,103048883,0,103848033,0
194,103152483,0,104058921,0
195,103170459,0,103827830,0
196,103251100,0,104573625,0
197,103251932,0,104573937,0
198,103255167,0,104245847,0
199,103275864,0,104540761,0
200,103306207,0,103564667,0
201,103306385,0,103680942,0
202,103324502,0,104244152,0
203,103324629,0,104420024,0
204,103398467,0,104059701,0
205,103434549,0,102891566,0
206,103487774,0,103995856,0
207,103492717,0,104256993,0
