,Synset Source,Synset Target
0,300003356,300003553
1,300003356,300003700
2,300003356,300003829
3,300003553,300003356
4,300003700,300003356
5,300003829,300003356
6,300003939,300004171
7,300003939,300004296
8,300004171,300003939
9,300004296,300003939
10,300004413,300004615
11,300004413,300004723
12,300004413,300004817
13,300004615,300004413
14,300004723,300004413
15,300004817,300004413
16,300004980,300005107
17,300005107,300004980
18,300005205,300005473
19,300005205,300005599
20,300005205,300005718
21,300005205,300005839
22,300005473,300005205
23,300005599,300005205
24,300005718,300005205
25,300005839,300005205
26,300006032,300006245
27,300006245,300006032
28,300006336,300006777
29,300006336,300006885
30,300006336,300007096
31,300006336,300007208
32,300006336,300007331
33,300006336,300007516
34,300006336,300007697
35,300006777,300006336
36,300006885,300006336
37,300007096,300006336
38,300007208,300006336
39,300007331,300006336
40,300007516,300006336
41,300007697,300006336
42,300007813,300007990
43,300007990,300007813
44,300008206,300008443
45,300008443,300008206
46,300009046,300009346
47,300009046,300009618
48,300009346,300009046
49,300009618,300009046
50,300009978,300010385
51,300009978,300010537
52,300009978,300010726
53,300009978,300011160
54,300009978,300011327
55,300009978,300011665
56,300010385,300009978
57,300010537,300009978
58,300010726,300009978
59,300011160,300009978
60,300011327,300009978
61,300011665,300009978
62,300011757,300012071
63,300011757,300012362
64,300011757,300012689
65,300011757,300012932
66,300012071,300011757
67,300012362,300011757
68,300012689,300011757
69,300012932,300011757
70,300013160,300013442
71,300013160,300013662
72,300013442,300013160
73,300013662,300013160
74,300013887,300014358
75,300013887,300014490
76,300013887,300014858
77,300013887,300015097
78,300013887,300015247
79,300013887,300015480
80,300013887,300015589
81,300013887,300015720
82,300013887,300015854
83,300013887,300016005
84,300013887,300016135
85,300013887,300016247
86,300013887,300016350
87,300013887,300016532
88,300013887,300016647
89,300014358,300013887
90,300014490,300013887
91,300014858,300013887
92,300015097,300013887
93,300015247,300013887
94,300015480,300013887
95,300015589,300013887
96,300015720,300013887
97,300015854,300013887
98,300016005,300013887
99,300016135,300013887
100,300016247,300013887
101,300016350,300013887
102,300016532,300013887
103,300016647,300013887
104,300016756,300017024
105,300016756,300017186
106,300017024,300016756
107,300017186,300016756
108,300017352,300017509
109,300017509,300017352
110,300017782,300018069
111,300017782,300018222
112,300017782,300018435
113,300018069,300017782
114,300018222,300017782
115,300018435,300017782
116,300018584,300018850
117,300018850,300018584
118,300019131,300019349
119,300019131,300019505
120,300019131,300019731
121,300019349,300019131
122,300019505,300019131
123,300019731,300019131
124,300019874,300020103
125,300019874,300020241
126,300019874,300020410
127,300019874,300020647
128,300020103,300019874
129,300020241,300019874
130,300020410,300019874
131,300020647,300019874
132,300020787,300021110
133,300021110,300020787
134,300021403,300021592
135,300021592,300021403
136,300021766,300022219
137,300021766,300022437
138,300021766,300022680
139,300021766,300022852
140,300021766,300022962
141,300021766,300023120
142,300021766,300023278
143,300022219,300021766
144,300022437,300021766
145,300022680,300021766
146,300022852,300021766
147,300022962,300021766
148,300023120,300021766
149,300023278,300021766
150,300023383,300023655
151,300023383,300023854
152,300023383,300024139
153,300023383,300024241
154,300023655,300023383
155,300023854,300023383
156,300024139,300023383
157,300024241,300023383
158,300024417,300024619
159,300024619,300024417
160,300024834,300024996
161,300024834,300025138
162,300024996,300024834
163,300025138,300024834
164,300025238,300025470
165,300025238,300025633
166,300025470,300025238
167,300025633,300025238
168,300025728,300026051
169,300025728,300026168
170,300025728,300026294
171,300025728,300026388
172,300026051,300025728
173,300026168,300025728
174,300026294,300025728
175,300026388,300025728
176,300026706,300026895
177,300026895,300026706
178,300027247,300027599
179,300027247,300027833
180,300027247,300028008
181,300027247,300028181
182,300027247,300028280
183,300027247,300028471
184,300027599,300027247
185,300027833,300027247
186,300028008,300027247
187,300028181,300027247
188,300028280,300027247
189,300028471,300027247
190,300028672,300028867
191,300028672,300028984
192,300028672,300029108
193,300028672,300029216
194,300028867,300028672
195,300028984,300028672
196,300029108,300028672
197,300029216,300028672
198,300029343,300029769
199,300029343,300029933
200,300029343,300030508
201,300029343,300030701
202,300029343,300030798
203,300029343,300031138
204,300029343,300031384
205,300029769,300029343
206,300029933,300029343
207,300030508,300029343
208,300030701,300029343
209,300030798,300029343
210,300031138,300029343
211,300031384,300029343
212,300031974,300032358
213,300031974,300032497
214,300031974,300032733
215,300031974,300033077
216,300031974,300033206
217,300031974,300033359
218,300031974,300033475
219,300032358,300031974
220,300032497,300031974
221,300032733,300031974
222,300033077,300031974
223,300033206,300031974
224,300033359,300031974
225,300033475,300031974
226,300033574,300033886
227,300033574,300034032
228,300033574,300034232
229,300033574,300034322
230,300033574,300034572
231,300033886,300033574
232,300034032,300033574
233,300034232,300033574
234,300034322,300033574
235,300034572,300033574
236,300034710,300034924
237,300034924,300034710
238,300035074,300035254
239,300035074,300035368
240,300035254,300035074
241,300035368,300035074
242,300035465,300035779
243,300035465,300035868
244,300035465,300035978
245,300035465,300036163
246,300035465,300036254
247,300035465,300036346
248,300035779,300035465
249,300035868,300035465
250,300035978,300035465
251,300036163,300035465
252,300036254,300035465
253,300036346,300035465
254,300036481,300036763
255,300036481,300036879
256,300036481,300036998
257,300036481,300037188
258,300036481,300037341
259,300036763,300036481
260,300036879,300036481
