,Synset Source,Synset Target
0,200019273,200014742
1,200020449,200020259
2,200025203,200026153
3,200025654,200026385
4,200053656,200053889
5,200055871,200055539
6,200064643,202122164
7,200073813,200073343
8,200075021,200076114
9,200077950,200002724
10,200098083,200024047
11,200100551,200099721
12,200126264,200109660
13,200144169,200141524
14,200202569,200202784
15,200205885,200205046
16,200218475,200219403
17,200220869,200220461
18,200224901,200223500
19,200227165,200226566
20,200238542,200238372
21,200241038,200240571
22,200245457,200231557
23,200249679,200248026
24,200249969,200249852
25,200253761,200230746
26,200253761,200252019
27,200254672,200254298
28,200255389,200254867
29,200256369,200263231
30,200257650,200256507
31,200258528,200257947
32,200266586,200266197
33,200270005,201831531
34,200282076,200281101
35,200300537,202659763
36,200303661,200303465
37,200306723,200306298
38,200311559,200312380
39,200312990,200311113
40,200314272,200314782
41,200316768,200316494
42,200317569,200317468
43,200317700,200316631
44,200318816,200240810
45,200348746,202608347
46,200352826,202609764
47,200361952,200361797
48,200364629,200364868
49,200370412,200369864
50,200371264,200372665
51,200372501,200370263
52,200374668,200375021
53,200375865,200374135
54,200385385,200384411
55,200385685,200384411
56,200389406,200389238
57,200392426,200392314
58,200416705,200416880
59,200417596,200418563
60,200419375,200419137
61,200421125,200421408
62,200430625,200430999
63,200431327,200431117
64,200443384,200443116
65,200445467,200445169
66,200445940,200443670
67,200446695,200446514
68,200447309,200446329
69,200449692,200448680
70,200452512,200451838
71,200454868,202066939
72,200458754,200458471
73,200459296,200459498
74,200461493,200461354
75,200469187,200469030
76,200500834,200500638
77,200501159,200501048
78,200519229,200519056
79,200538454,200538323
80,200539936,200540101
81,200550823,200550546
82,200564300,200564151
83,200591755,200588888
84,200592037,200588888
85,200601378,200601043
86,200610538,200607780
87,200699485,200697589
88,200829107,200597915
89,200830498,200598502
90,200834943,200834745
91,200851239,202367363
92,200859325,200859153
93,200859937,200032297
94,200933821,200935987
95,200937023,200935987
96,200968211,200969873
97,200973056,200973728
98,201113620,201111816
99,201133825,201134238
100,201154175,201848465
101,201158872,202676789
102,201169589,201170052
103,201178565,201168468
104,201187740,201188144
105,201200440,201200934
106,201258302,201970826
107,201294396,201294182
108,201295275,201291069
109,201296462,201290422
110,201323958,200358431
111,201340439,201343892
112,201344293,201344140
113,201345109,201346978
114,201346003,201346804
115,201356370,201356750
116,201369758,201369346
117,201370126,202041877
118,201458228,201457954
119,201481360,201482075
120,201543998,201543123
121,201544285,201543123
122,201544692,201547001
123,201546768,201546111
124,201556921,201557774
125,201562209,201562061
126,201602665,201602318
127,201642924,200339934
128,201643657,200339934
129,201652895,201652731
130,201765908,201767163
131,201767949,201771535
132,201773535,201773346
133,201779165,201780202
134,201781983,201782218
135,201785971,201787106
136,201786419,201795428
137,201789164,201767461
138,201789270,201773346
139,201790383,201791973
140,201792567,201794668
141,201794523,201794363
142,201795888,201796033
143,201797582,201797347
144,201811736,201813884
145,201813053,201813393
146,201813499,201812950
147,201814074,200860136
148,201815628,201776952
149,201815628,201777210
150,201817130,201776727
151,201818235,201811441
152,201835103,201834896
153,201843055,201835496
154,201848058,201902783
155,201850315,201831531
156,201857717,201864230
157,201859221,201860795
158,201874424,201874320
159,201879777,201879251
160,201900760,201900408
161,201909978,201909397
162,201955009,202009433
163,201965156,201963942
164,201973125,201970826
165,201973759,201968569
166,201974062,201968569
167,201975587,201983134
168,201981036,201979901
169,201986869,201989873
170,201989562,201989053
171,201997512,201997119
172,202014024,201855606
173,202022486,202022359
174,202042843,202042404
175,202045790,202045043
176,202052476,202050132
177,202067689,202066939
178,202069551,202066939
179,202071837,202071627
180,202076501,202076280
181,202084380,201919391
182,202086805,202056300
183,202086963,202064131
184,202110927,202110220
185,202115778,202106006
186,202125641,202123672
187,202137132,202129289
188,202138075,200422090
189,202157100,200422090
190,202166761,202166460
191,202179518,202176268
192,202181538,202176268
193,202186690,202186506
194,202191766,202194286
195,202199590,202203362
196,202220461,202221959
197,202254767,202254923
198,202264179,202264397
199,202380251,202379753
200,202380571,202379753
201,202404904,201831531
202,202407987,202410855
203,202429810,202428924
204,202435867,202434238
205,202439501,202367363
206,202504562,202367363
207,202506546,202367363
208,202523953,202525044
209,202539788,202540347
210,202594469,202594290
211,202598143,202428924
212,202660290,202659763
213,202681639,202681524
214,202712914,202713184
215,202720697,202720544
216,202753642,202753426
217,202759614,200377002
218,202762468,200377002
219,202763283,202763740
