,Synset Source,W_Num Source,Synset Target,W_Num Target
0,200030142,0,303154649,0
1,200069012,0,303149478,0
2,200117757,0,303150301,0
3,200117757,0,303150431,0
4,200123170,0,303152135,0
5,200144446,0,303153361,0
6,200167535,0,303153255,0
7,200181005,0,303150124,0
8,200185698,0,303150670,0
9,200215661,0,303153960,0
10,200238867,0,303151122,0
11,200298420,0,303151871,0
12,200364629,0,303151423,0
13,200364629,0,303151582,0
14,200365810,0,303154463,0
15,200497391,0,303154649,0
16,200538571,0,303155193,0
17,200538571,0,303155306,0
18,200554468,0,303153554,0
19,200869596,0,303148333,0
20,200869596,0,303148487,0
21,200914420,1,303153653,0
22,200991683,1,303152480,0
23,201072949,0,303152015,0
24,201153486,0,303147281,0
25,201153486,0,303147408,0
26,201183573,1,303149732,0
27,201183573,1,303149843,0
28,201216670,0,303149169,0
29,201315613,0,303154886,0
30,201359432,1,303154362,0
31,201380638,0,303147919,0
32,201380638,0,303148137,0
33,201493380,0,303151302,0
34,201503404,1,303154289,0
35,201525666,0,303150985,0
36,201589497,0,303147643,0
37,201593937,1,303154143,0
38,201619354,0,303153155,0
39,201624897,1,303147543,0
40,201633343,0,303152577,0
41,201660547,0,303150897,0
42,201661096,0,303153755,0
43,201675245,0,303149025,0
44,201688604,0,303151711,0
45,201853882,0,303153849,1
46,201871979,1,303148831,0
47,201881180,0,303153018,0
48,201959340,0,303147793,0
49,201996735,1,303150569,0
50,202000868,1,303152874,0
51,202066757,0,303154786,0
52,202072849,0,303148724,0
53,202142775,1,303152249,0
54,202142775,1,303152350,0
55,202323870,0,303154986,0
56,202352824,0,303148653,0
57,202441897,0,303149347,0
58,202499629,0,303152759,0
59,202659763,0,303149960,0
60,202694548,0,303149619,0
61,300002312,0,400512503,0
62,300002527,0,400512597,0
63,300005205,0,400007488,1
64,300005599,0,400367568,0
65,300005599,0,400502098,0
66,300006032,0,400160834,1
67,300009046,0,400264555,0
68,300009618,1,400266258,0
69,300009978,1,400349855,0
70,300010726,1,400439393,0
71,300010726,1,400493732,0
72,300011327,1,400422619,0
73,300011757,1,400197947,0
74,300012362,0,400289586,0
75,300013160,1,400197811,0
76,300013887,1,400214554,0
77,300014490,0,400279867,0
78,300014858,0,400214554,0
79,300015247,0,400335544,0
80,300015247,0,400390147,0
81,300016005,1,400439257,0
82,300016756,1,400003093,0
83,300017782,1,400055312,0
84,300017782,1,400055518,0
85,300019874,1,400204390,0
86,300020787,0,400231620,0
87,300021110,0,400231620,0
88,300021766,0,400204523,1
89,300023278,1,400203922,0
90,300023383,0,400204643,0
91,300023854,1,400204125,0
92,300023854,1,400338292,0
93,300029933,0,400276391,0
94,300030508,1,400427685,0
95,300032733,0,400189615,0
96,300034322,1,400298062,0
97,300038750,1,400079617,0
98,300039592,0,400079748,1
99,300040058,1,400471498,0
100,300042837,1,400293329,0
101,300044132,1,400060032,1
102,300044353,0,400300891,1
103,300044760,0,400140759,0
104,300045123,0,400140884,0
105,300048460,0,400291083,0
106,300051696,1,400369869,0
107,300053691,0,400466457,0
108,300061262,0,400056054,0
109,300061664,0,400230996,0
110,300062367,0,400299059,0
111,300062367,0,400310533,0
112,300063277,0,400056200,0
113,300064479,0,400013793,1
114,300064787,0,400278366,0
115,300065184,0,400184412,0
116,300065488,0,400014014,1
117,300066146,0,400266955,0
118,300066146,0,400304425,0
119,300067767,1,400333808,0
120,300068278,0,400354781,0
121,300069948,1,400248375,0
122,300070111,0,400078187,1
123,300070427,0,400449166,0
124,300073048,1,400066527,1
125,300073048,1,400488579,0
126,300073465,0,400466730,0
127,300073761,0,400499628,0
128,300074867,0,400448593,0
129,300075135,0,400512790,0
130,300077059,0,400267704,0
131,300079069,0,400185970,0
132,300079485,1,400199565,0
133,300081671,0,400199687,0
134,300082241,1,400049947,0
135,300082766,0,400287207,0
136,300084353,0,400354033,0
137,300084353,0,400435261,0
138,300084661,0,400287207,0
139,300084795,0,400481648,0
140,300086210,0,400141485,0
141,300086210,0,400345284,0
142,300086341,1,400106036,0
143,300086341,1,400345284,0
144,300086341,1,400503370,0
145,300086606,0,400360710,0
146,300087597,0,400482100,0
147,300089051,1,400219110,0
148,300089355,0,400312603,0
149,300089550,0,400003380,0
150,300089550,0,400425330,0
151,300089550,0,400514190,0
152,300089550,0,400516322,0
153,300091311,0,400493040,0
154,300091764,0,400493040,0
155,300093810,1,400139930,0
156,300095873,1,400275127,0
157,300097768,0,400304898,0
158,300097768,0,400389183,0
159,300099874,1,400304898,0
160,300101609,1,400270974,0
161,300102201,1,400220323,0
162,300103696,0,400220490,0
163,300104051,1,400262206,0
