,Synset,W Num,Word,Type,Sense,Tag Count
0,100001740,1,entidade,n,1,0
1,100002137,1,abstração,n,3,0
2,100002452,1,coisa,n,1,0
3,100002684,1,coisa,n,11,0
4,100002684,2,objeto,n,3,0
5,100003553,1,conjunto,n,1,0
6,100003553,2,unidade,n,1,0
7,100004258,1,organismo,n,4,0
8,100004475,1,organismo,n,1,0
9,100004475,2,ser,n,1,0
10,100006269,1,vida,n,1,0
11,100006484,1,célula,n,1,0
12,100007347,1,agente causal,n,1,0
13,100007347,2,causa,n,1,0
14,100007846,1,alma,n,1,0
15,100007846,2,cidadão,n,1,0
16,100007846,3,corpo,n,1,0
17,100007846,4,humano,n,8,0
18,100007846,5,individualidade,n,1,0
19,100007846,6,indivíduo,n,1,0
20,100007846,7,indíviduo,n,1,0
21,100007846,8,mortal,n,9,0
22,100007846,9,pessoa,n,1,0
23,100007846,10,sujeito,n,1,0
24,100015388,1,animal,n,1,0
25,100015388,2,animalesco,n,1,0
26,100015388,3,besta,n,3,0
27,100015388,4,bestial,n,1,0
28,100015388,5,bruto,n,1,0
29,100015388,6,cavalgadura,n,1,0
30,100015388,7,criatura,n,1,0
31,100015388,8,fauna,n,1,0
32,100015388,9,flora,n,1,0
33,100015388,10,organismo,n,1,0
34,100015388,11,ser,n,1,0
35,100017222,1,flora,n,2,0
36,100017222,2,planta,n,1,0
37,100019046,1,nativo,n,1,0
38,100019128,1,objeto natural,n,1,0
39,100019613,1,substância,n,1,0
40,100020090,1,substância,n,2,0
41,100020827,1,matéria,n,1,0
42,100020827,2,substância,n,4,0
43,100021265,1,alimentação,n,1,0
44,100021265,2,alimento,n,1,0
45,100021265,3,alimentos,n,1,0
46,100021265,4,comida,n,1,0
47,100021265,5,manja,n,1,0
48,100021265,6,manjua,n,1,0
49,100021265,7,mantimento,n,1,0
50,100021265,8,nutriente,n,1,0
51,100021265,9,nutrimento,n,1,0
52,100021265,10,paparoca,n,1,0
53,100021265,11,sustento,n,1,0
54,100021265,12,trincadeira,n,1,0
55,100021265,13,vianda,n,1,0
56,100021734,1,nutriente,n,2,0
57,100021939,1,artefacto,n,1,0
58,100021939,2,artefato,n,1,0
59,100022903,1,artigo,n,1,0
60,100022903,2,item,n,1,0
61,100023100,1,característica psicológica,n,1,0
62,100023100,2,traço psicológico,n,1,0
63,100023271,1,cognição,n,1,0
64,100023271,2,conhecimento,n,1,0
65,100023271,3,saber,n,1,0
66,100023773,1,causa,n,2,0
67,100023773,2,motivação,n,1,0
68,100023773,3,motivo,n,1,0
69,100023773,4,necessidade,n,1,0
70,100024264,1,atributo,n,1,0
71,100024264,2,característica,n,1,0
72,100024264,3,particularidade,n,1,0
73,100024264,4,rasgo,n,4,0
74,100024264,5,vantagem,n,1,0
75,100024720,1,estado,n,1,0
76,100026192,1,sensação,n,1,0
77,100026192,2,sentimento,n,1,0
78,100027167,1,localização,n,4,0
79,100027167,2,lugar,n,1,0
80,100027807,1,forma,n,1,0
81,100028270,1,tempo,n,1,0
82,100028651,1,espaço,n,1,0
83,100029007,1,espaço absoluto,n,1,0
84,100029114,1,fase do espaço,n,1,0
85,100029378,1,acontecimento,n,1,0
86,100029378,2,evento,n,1,0
87,100029677,1,processo,n,1,0
88,100029677,2,processo físico,n,1,0
89,100030358,1,ato,n,1,0
90,100030358,2,ação,n,2,0
91,100030358,3,obra,n,1,0
92,100031264,1,agrupamento,n,1,0
93,100031264,2,agrupação,n,1,0
94,100031264,3,categoria,n,1,0
95,100031264,4,coletivo,n,1,0
96,100031264,5,grupo,n,1,0
97,100031921,1,relação,n,14,0
98,100031921,2,vínculo,n,1,0
99,100032613,1,posse,n,1,0
100,100033020,1,comunicação,n,1,0
101,100033615,1,medida,n,1,0
102,100033615,2,montante,n,1,0
103,100033615,3,mundo,n,1,0
104,100033615,4,profusão,n,1,0
105,100033615,5,quantidade,n,1,0
106,100034213,1,fenómeno,n,1,0
107,100034213,2,fenômeno,n,2,0
108,100034479,1,coisa,n,2,0
109,100034574,1,bondade,n,1,0
110,100035189,1,lucro,n,5,0
111,100035189,2,realização,n,1,0
112,100036299,1,ponte,n,5,0
113,100036580,1,moleza,n,1,0
114,100036762,1,esforço,n,4,0
115,100036762,2,façanha,n,1,0
116,100036762,3,feito,n,1,0
117,100036762,4,proeza,n,1,0
118,100037006,1,obra prima,n,1,0
119,100037090,1,golpe de mestre,n,1,0
120,100037200,1,crédito,n,1,0
121,100037396,1,acto,n,1,0
122,100037396,2,ação,n,1,0
123,100037396,3,facto,n,6,0
124,100037396,4,fato,n,2,0
125,100038262,1,curso,n,9,0
126,100038573,1,beco sem saída,n,1,0
127,100038863,1,rota de colisão,n,1,0
128,100039021,1,interação,n,3,0
129,100039211,1,interação,n,1,0
130,100039297,1,contacto,n,1,0
131,100039297,2,contato,n,6,0
132,100039740,1,contato visual,n,1,0
133,100039916,1,busca,n,5,0
134,100039990,1,colocação,n,1,0
135,100040152,1,intercâmbio,n,6,0
136,100040152,2,toma lá-dá cá,n,1,0
137,100040420,1,reciprocidade,n,1,0
138,100040545,1,fertilização cruzada,n,1,0
139,100040804,1,transações,n,1,0
140,100040804,2,trato,n,8,0
141,100040962,1,relação,n,1,0
142,100041899,1,aquisição,n,7,0
143,100042311,1,decorrimento,n,1,0
144,100042541,1,parto,n,3,0
145,100042757,1,partida,n,1,0
146,100042757,2,saída,n,1,0
147,100043116,1,bravura,n,1,0
148,100043195,1,achado,n,3,0
149,100043195,2,descoberta,n,1,0
150,100043609,1,eliminação,n,6,0
151,100044150,1,execução,n,1,0
152,100044455,1,revelar-se,n,1,0
153,100044673,1,nivelamento,n,1,0
154,100044673,2,nivelação,n,1,0
155,100045646,1,recuperação,n,7,0
156,100045907,1,recuperação,n,8,0
157,100046522,1,contacto,n,2,0
158,100046522,2,contato,n,2,0
159,100047018,1,façanha,n,2,0
160,100047106,1,desempenho,n,1,0
161,100048225,1,chegada,n,1,0
162,100048225,2,lucro,n,6,0
163,100048225,3,obtenção,n,2,0
164,100048374,1,chegada,n,2,0
