,Synset16,PoS,Palabra,TagCount
0,00017954,n,grupo,44
1,00049855,n,compra,22
2,06004580,n,empresa,81
3,03168190,n,central,6
4,10671811,n,gas,8
5,09809646,n,megavatio,4
6,07601722,n,portavoz,17
7,00508925,n,proyecto,26
8,00585093,n,construcción,7
9,09962919,n,norte,1
10,00605730,n,utilización,5
11,10669661,n,combustible,5
12,05470013,n,ciclo,1
13,07793035,n,electricidad,2
14,03038207,n,red,3
15,05072418,n,acuerdo,51
16,00721968,n,venta,17
17,07794689,n,energía,8
18,10859852,n,duración,2
19,10917509,n,año,195
20,00804778,n,participación,12
21,05049880,n,licitación,3
22,04916758,n,licencia,17
23,06006256,n,compañía,37
24,09902865,n,millón,149
25,07402066,n,alcaldesa,3
26,07311393,n,cabeza,3
27,04866394,n,lista,25
28,50001207,n,PP,43
29,50004690,n,provincia,7
30,07409291,n,militante,12
31,05556959,n,victoria,47
32,00802092,n,revancha,8
33,05036589,n,insulto,3
34,05033377,n,ataque,5
35,02835992,n,hotel,4
36,06283013,n,capital,29
37,06331456,n,sede,17
38,10885886,n,noche,14
39,05596946,n,emoción,1
40,00118873,n,elección,45
41,07211532,n,diputada,4
42,00268156,n,abrazo,1
43,05608483,n,cariño,1
44,50001564,n,José_María_Aznar,27
45,07391044,n,hombre,19
46,05957883,n,gente,5
47,06131180,n,partido,66
48,00004123,n,persona,55
49,50001564,n,Aznar,16
50,05339187,n,diálogo,13
51,03828648,n,prepotencia,2
52,03814650,n,honradez,1
53,05436632,n,"roblemas""/>",6
54,06304618,n,circunscripción,2
55,05432762,n,hecho,21
56,05460817,n,factor,6
57,00377835,n,trabajo,20
58,07401898,n,alcalde,10
59,04549495,n,ejemplo,2
60,09768132,n,resultado,26
61,50004744,n,Andalucía,7
62,09528888,n,propiedad,4
63,50001205,n,PSOE,37
64,09765658,n,número,21
65,04479404,n,recuerdo,1
66,00728919,n,gobierno,2
67,05388391,n,notificación,1
68,00239181,n,concentración,3
69,00513665,n,control,14
70,03625791,n,cable,3
71,00709934,n,operación,36
72,04894916,n,contrato,16
73,00736489,n,gestión,11
74,00718330,n,transferencia,1
75,09606854,n,acción,10
76,06007961,n,sociedad,2
77,06084119,n,holding,2
78,04586952,n,fin,3
79,00379388,n,servicio,22
80,04741813,n,telecomunicación,11
81,06581760,n,España,65
82,06009295,n,asesoría,2
83,00607693,n,ingeniería,1
84,00592801,n,industria,1
85,00606479,n,explotación,2
86,03001546,n,mina,10
87,00419850,n,examen,2
88,04859637,n,documentación,4
89,00756855,n,competencia,13
90,03994627,n,campo,3
91,00607299,n,aplicación,6
92,00744399,n,reglamentación,1
93,07459501,n,parte,3
94,05068616,n,observación,1
95,10935385,n,plazo,24
96,10878116,n,día,67
97,06493148,n,Brasil,42
98,10877003,n,mañana,2
99,05550251,n,final,21
100,07147536,n,campeón,35
101,08409338,n,hierba,3
102,05549454,n,torneo,25
103,04016440,n,ventaja,16
104,07480903,n,jugador,76
105,06093198,n,equipo,125
106,05980665,n,pareja,1
107,00133654,n,sorteo,2
108,00635718,n,fuego,2
109,05550595,n,semifinal,16
110,10647622,n,tierra,3
111,00682063,n,permanencia,3
112,07692038,n,joven,5
113,10947841,n,temporada,31
114,06205356,n,elite,1
115,00307617,n,tenis,10
116,06447085,n,Ecuador,25
117,06468082,n,Rumanía,4
118,06580849,n,Uzbekistán,1
119,06536741,n,Holanda,3
120,07162467,n,entrenador,17
121,07089646,n,atleta,11
122,07522531,n,plusmarquista,2
123,04002199,n,altura,3
124,10032130,n,condición,11
125,05029668,n,medalla,15
126,10487505,n,oro,18
127,05542799,n,competición,17
128,00105760,n,decisión,60
129,00136859,n,suspensión,1
130,00411620,n,entrenamiento,16
131,00036443,n,marca,13
132,00211639,n,regreso,4
133,02511316,n,pista,4
134,06368526,n,localidad,10
135,09822324,n,metro,19
136,07535673,n,rival,31
137,10390190,n,confianza,1
138,04588033,n,propósito,1
139,03875475,n,color,5
140,10552050,n,bronce,10
141,05605549,n,decepción,1
142,50001207,n,Partido_Popular,3
143,03991218,n,mayoría,24
144,07211532,n,diputado,8
145,04039297,n,sufragio,11
146,00119067,n,voto,40
147,50004392,n,instauración,1
148,06191005,n,democracia,16
149,05479891,n,crecimiento,2
150,50004747,n,Comunidad_de_Madrid,1
151,03305625,n,escaño,6
152,07287417,n,general,15
153,05558471,n,derrota,26
154,50001224,n,IU,9
155,07601722,n,representante,12
156,09891093,n,mitad,10
157,07491804,n,fuerza,17
158,07496197,n,presidente,106
159,06358701,n,región,9
160,00036683,n,éxito,10
161,50001406,n,popular,3
162,10040291,n,crisis,15
163,06223796,n,izquierda,6
164,00027115,n,entrada,1
165,06311854,n,sur,10
166,09766572,n,cómputo,1
167,06395720,n,zona,20
168,06355858,n,municipio,4
169,03731940,n,margen,5
170,02207321,n,área,2
171,50004430,n,Congreso_de_los_Diputados,3
172,09533504,n,feudo,4
173,06311701,n,norte,5
174,06382213,n,pueblo,1
175,03686135,n,color,1
176,07670539,n,elector,6
177,03833898,n,confianza,2
178,02175180,n,aeropuerto,7
179,05355937,n,propuesta,23
180,04456658,n,conclusión,6
181,05477947,n,naufragio,4
182,03436357,n,submarino,12
183,05062076,n,tesis,1
184,05444467,n,colisión,6
185,03318070,n,buque,9
186,05043361,n,anuncio,12
187,06172564,n,comisión,13
188,00003731,n,causa,4
189,05483331,n,hundimiento,1
190,10650211,n,agua,15
