,Synset16,PoS,Palabra,TagCount
0,00001740,n,entidad,35
1,00002086,n,ser,35
2,00002086,n,organismo,14
3,00002880,n,vida,11
4,00003095,n,célula,23
5,00003731,n,causa,25
6,00004123,n,humano,5
7,00004123,n,persona,344
8,00004123,n,mortal,2
9,00008019,n,animal,38
10,00008019,n,criatura,9
11,00008019,n,fauna,2
12,00008019,n,bestia,3
13,00008864,n,planta,9
14,00008864,n,flora,2
15,00009457,n,objeto,12
16,00009457,n,cosa,20
17,00010572,n,sustancia,12
18,00011575,n,alimento,16
19,00011937,n,artefacto,14
20,00012704,n,artículo,2
21,00013018,n,abstracción,1
22,00013243,n,saber,5
23,00013243,n,conocimiento,21
24,00013700,n,motivación,8
25,00014045,n,sentimiento,15
26,00014887,n,lugar,43
27,00015185,n,forma,16
28,00015594,n,tiempo,163
29,00015975,n,espacio,7
30,00016185,n,estado_ed_emergencia,14
31,00016185,n,estado_de_emergencia,38
32,00016185,n,estado_anímico,27
33,00016185,n,estado,56
34,00017297,n,evento,5
35,00017487,n,acto,46
36,00017487,n,acción,57
37,00017954,n,grupo,343
38,00017954,n,grupo,49
39,00017954,n,colectivo,21
40,00018376,n,posesión,3
41,00018604,n,atributo,1
42,00018916,n,relación,27
43,00019671,n,comunicación,28
44,00020056,n,cuantía,2
45,00020056,n,cantidad,20
46,00020461,n,fenómeno,17
47,00020977,n,logro,2
48,00021392,n,logro,4
49,00021392,n,gesta,2
50,00021392,n,hazaña,3
51,00021392,n,consecución,1
52,00021392,n,proeza,3
53,00022246,n,acto,43
54,00022878,n,interacción,3
55,00023032,n,interacción,1
56,00023118,n,contacto,14
57,00023668,n,intercambio,3
58,00023967,n,trato,2
59,00025788,n,logro,6
60,00025919,n,llegada,28
61,00026402,n,entrada,16
62,00026402,n,dar_entrada,1
63,00026980,n,irrupción,2
64,00027115,n,acceso,45
65,00027235,n,inscripción,6
66,00027339,n,aparición,12
67,00027592,n,aparición,1
68,00027678,n,reaparición,3
69,00027910,n,vuelta,9
70,00028092,n,repatriación,6
71,00028196,n,penetración,4
72,00028352,n,atraque,1
73,00028352,n,anclaje,1
74,00028670,n,aterrizaje,2
75,00029100,n,ida,14
76,00029100,n,punto_de_partida,10
77,00029100,n,salida,22
78,00029442,n,despedida,2
79,00029712,n,desaparición,13
80,00029961,n,retirada,24
81,00030456,n,evacuación,3
82,00030682,n,deserción,3
83,00031327,n,emigración,3
84,00031422,n,inmigración,11
85,00031519,n,retirada,5
86,00032335,n,embarque,8
87,00032499,n,salida,37
88,00032687,n,huida,2
89,00032687,n,escapada,2
90,00033906,n,fuga,2
91,00034082,n,fuga,1
92,00034259,n,éxodo,1
93,00034968,n,envío,14
94,00035222,n,conclusión,1
95,00035534,n,realización,2
96,00035534,n,cumplimiento,4
97,00035970,n,realización,2
98,00036271,n,consecución,1
99,00036443,n,récord,27
100,00036683,n,éxito,45
101,00037624,n,conquista,1
102,00037826,n,aprobado,1
103,00038702,n,fracaso,4
104,00039191,n,novillo,1
105,00039566,n,tiro,10
106,00039700,n,pérdida,17
107,00040312,n,caída,2
108,00040608,n,incumplimiento,14
109,00042411,n,yerro,1
110,00042411,n,error,49
111,00042411,n,fallo,6
112,00042411,n,equivocación,4
113,00043311,n,confusión,3
114,00043956,n,lapsus,2
115,00044056,n,descuido,3
116,00044168,n,patinazo,2
117,00044751,n,lío,1
118,00045479,n,tropezón,1
119,00045479,n,traspié,2
120,00045686,n,caída,2
121,00046246,n,adquisición,1
122,00047517,n,adquisición,6
123,00047693,n,recompra,1
124,00047814,n,compraventa,1
125,00047814,n,comercio,7
126,00049855,n,compra,51
127,00050836,n,sucesión,1
128,00050952,n,toma,9
129,00051119,n,legado,3
130,00051119,n,herencia,9
131,00051225,n,adquisición,2
132,00051417,n,apropiación,1
133,00051562,n,adopción,3
134,00051907,n,embargo,1
135,00052487,n,expropiación,3
136,00052883,n,ocupación,6
137,00052883,n,ocupación,2
138,00053417,n,subvención,10
139,00053585,n,concesión,1
140,00054061,n,decomiso,1
141,00054061,n,confiscación,2
142,00054269,n,detención,25
143,00054269,n,arresto,6
144,00054499,n,conquista,5
145,00054744,n,devolución,1
146,00055481,n,recepción,1
147,00056297,n,dejación,1
148,00056518,n,rechazo,1
149,00057368,n,subasta,18
150,00057846,n,capitalización,1
151,00058314,n,recuperación,8
152,00058512,n,salvamento,4
153,00058512,n,salvación,2
154,00058512,n,escotilla_de_salvamento,4
155,00058851,n,salvavidas,1
156,00058978,n,redención,1
157,00059926,n,indemnización,8
158,00060117,n,liberación,7
159,00060414,n,recuperación,1
160,00060540,n,rescate,17
161,00061322,n,implementación,1
162,00061587,n,invocación,1
163,00061811,n,cumplimiento,5
164,00061811,n,ejecución,1
165,00062253,n,mecanismo,18
166,00062420,n,servicio,6
167,00062420,n,estación_de_servicio,6
168,00062947,n,improvisación,4
169,00063094,n,malabarismo,3
170,00063210,n,magia,3
171,00063574,n,interpretación,1
172,00064182,n,automatización,1
173,00064182,n,mecanización,1
174,00064905,n,lanzamiento,6
175,00065905,n,impulso,1
176,00066170,n,lanzamiento,5
177,00066813,n,pase,2
178,00067987,n,bola,1
179,00072419,n,presión,13
180,00072619,n,empellón,1
181,00072619,n,empujón,3
182,00073065,n,codazo,1
183,00073458,n,arrastre,1
184,00073753,n,remolque,1
185,00073925,n,tirón,2
186,00074431,n,expulsión,1
187,00075786,n,vómito,1
188,00076072,n,salto,3
189,00076714,n,salto,4
190,00077376,n,transmisión,2
191,00077986,n,tiro,12
192,00077986,n,disparo,7
193,00077986,n,balazo,1
194,00078903,n,disparo,2
195,00079453,n,tiroteo,1
196,00079716,n,contacto,1
197,00080714,n,golpeo,1
198,00081036,n,colisión,4
199,00086151,n,triple,1
200,00086415,n,golpe,3
201,00087268,n,zurriagazo,1
202,00087361,n,puñetazo,4
203,00088506,n,patada,3
204,00089324,n,saque,2
205,00089679,n,córner,3
206,00090133,n,beso,8
207,00091213,n,interceptación,1
208,00091785,n,enlace,1
209,00091972,n,manipulación,3
210,00091972,n,manejo,4
211,00092823,n,chequeo,1
212,00093268,n,seguimiento,3
213,00093268,n,revisión,5
214,00093268,n,revisión,17
215,00093956,n,caricia,2
216,00094818,n,acercamiento,1
217,00095235,n,unión,6
218,00095657,n,articulación,1
219,00095872,n,fijación,2
220,00097058,n,amarre,1
221,00097160,n,desprendimiento,1
222,00098007,n,hallazgo,5
223,00098007,n,descubrimiento,9
224,00098205,n,detección,2
225,00098455,n,adelanto,1
226,00098857,n,identificación,2
227,00098857,n,designación,4
228,00098857,n,identificación,4
229,00099234,n,diagnóstico,5
230,00099792,n,solución,17
231,00099890,n,verificación,3
232,00100102,n,certificación,2
233,00100230,n,documentación,1
234,00101111,n,localización,1
235,00101756,n,inducción,1
236,00101901,n,provocación,4
237,00102269,n,influencia,1
