Unnamed: 0,Synset,PoS,Word,Tag Count
0,100001740,n,entidad,35
1,100004258,n,ser,35
2,100004258,n,organismo,14
3,115275094,n,vida,11
4,111688958,n,célula,23
5,100007347,n,causa,25
6,100007846,n,humano,5
7,100007846,n,persona,344
8,100007846,n,mortal,2
9,100015388,n,animal,38
10,100015388,n,criatura,9
11,100015388,n,fauna,2
12,100015388,n,bestia,3
13,100017222,n,planta,9
14,100017222,n,flora,2
15,100002684,n,objeto,12
16,100002684,n,cosa,20
17,1Synset Not Found,n,sustancia,12
18,100021265,n,alimento,16
19,100021939,n,artefacto,14
20,114916185,n,artículo,2
21,105854150,n,abstracción,1
22,100023271,n,saber,5
23,100023271,n,conocimiento,21
24,100023773,n,motivación,8
25,114526182,n,sentimiento,15
26,114291561,n,lugar,43
27,100027807,n,forma,16
28,115298695,n,tiempo,163
29,115274695,n,espacio,7
30,115081957,n,estado_ed_emergencia,14
31,115081957,n,estado_de_emergencia,38
32,115081957,n,estado_anímico,27
33,115081957,n,estado,56
34,113943400,n,evento,5
35,100030358,n,acto,46
36,100030358,n,acción,57
37,100031264,n,grupo,343
38,100031264,n,grupo,49
39,100031264,n,colectivo,21
40,114407795,n,posesión,3
41,105849040,n,atributo,1
42,113860281,n,relación,27
43,114413993,n,comunicación,28
44,100033615,n,cuantía,2
45,100033615,n,cantidad,20
46,111490638,n,fenómeno,17
47,100035189,n,logro,2
48,100036762,n,logro,4
49,100036762,n,gesta,2
50,100036762,n,hazaña,3
51,100036762,n,consecución,1
52,100036762,n,proeza,3
53,114577331,n,acto,43
54,111517210,n,interacción,3
55,100039211,n,interacción,1
56,100039297,n,contacto,14
57,100040152,n,intercambio,3
58,100040804,n,trato,2
59,100048225,n,logro,6
60,100048374,n,llegada,28
61,100049003,n,entrada,16
62,100049003,n,dar_entrada,1
63,113539143,n,irrupción,2
64,107579575,n,acceso,45
65,100050037,n,inscripción,6
66,107335716,n,aparición,12
67,100050693,n,aparición,1
68,107321967,n,reaparición,3
69,100051192,n,vuelta,9
70,100051385,n,repatriación,6
71,100051525,n,penetración,4
72,100052146,n,atraque,1
73,100052146,n,anclaje,1
74,103638511,n,aterrizaje,2
75,100042757,n,ida,14
76,100042757,n,punto_de_partida,10
77,100042757,n,salida,22
78,100053097,n,despedida,2
79,100053609,n,desaparición,13
80,107506031,n,retirada,24
81,100054821,n,evacuación,3
82,100055315,n,deserción,3
83,100056087,n,emigración,3
84,100056311,n,inmigración,11
85,108643015,n,retirada,5
86,100058337,n,embarque,8
87,107333649,n,salida,37
88,100058743,n,huida,2
89,100058743,n,escapada,2
90,100059989,n,fuga,2
91,100060201,n,fuga,1
92,100060414,n,éxodo,1
93,100061290,n,envío,14
94,1Synset Not Found,n,conclusión,1
95,100061917,n,realización,2
96,100061917,n,cumplimiento,4
97,107532112,n,realización,2
98,105637558,n,consecución,1
99,113596986,n,récord,27
100,114474894,n,éxito,45
