,Synset,PoS,Palabra,TagCount
0,100001740,n,entidad,30
1,100002684,n,objeto,10
2,100004475,n,organismo,1
3,100006269,n,vida,1
4,100006484,n,célula,9
5,100007846,n,ardèvol,1
6,100007846,n,aurora,1
7,100007846,n,blanco,1
8,100007846,n,cardenal,1
9,100007846,n,clemente,1
10,100007846,n,isidor,1
11,100007846,n,isidro,1
12,100007846,n,jem,1
13,100007846,n,joey,1
14,100007846,n,jofresa,1
15,100007846,n,jos,1
16,100007846,n,kai,1
17,100007846,n,katharine,1
18,100007846,n,keba,1
19,100007846,n,kekaula,1
20,100007846,n,kleinwort,1
21,100007846,n,kundera,1
22,100007846,n,kyoichi,1
23,100007846,n,lanfranchi,1
24,100007846,n,mil,1
25,100007846,n,mora,1
26,100007846,n,oms,1
27,100007846,n,pinochet,1
28,100007846,n,quetglas,1
29,100007846,n,reina,1
30,100007846,n,riera,1
31,100007846,n,rivière,1
32,100007846,n,roberto,1
33,100007846,n,robledo,1
34,100007846,n,rommel,1
35,100007846,n,romo,1
36,100007846,n,roque,1
37,100007846,n,rovira,1
38,100007846,n,ruiz-gallardón,1
39,100007846,n,rusiñol,1
40,100007846,n,ródenas,1
41,100007846,n,sabino,1
42,100007846,n,safin,1
43,100007846,n,salellas,1
44,100007846,n,sanglas,1
45,100007846,n,saura,1
46,100007846,n,savio,1
47,100007846,n,scaparro,1
48,100007846,n,schiff,1
49,100007846,n,sebastián,1
50,100007846,n,silvio,1
51,100007846,n,sánchez-calero,1
52,100007846,n,thadeus,1
53,100007846,n,trias,1
54,100007846,n,trueta,1
55,100007846,n,tévez,1
56,100007846,n,valdeavellano,1
57,100007846,n,valentín,1
58,100007846,n,valero,1
59,100007846,n,varga,1
60,100007846,n,ventura,1
61,100007846,n,verdú,1
62,100007846,n,victor,1
63,100007846,n,vidal-quadras,1
64,100007846,n,viola,1
65,100007846,n,víctor,1
66,100007846,n,weber,1
67,100007846,n,williams,1
68,100007846,n,yul,1
69,100007846,n,zabaleta,1
70,100007846,n,zogby,1
71,100007846,n,zohra,1
72,100007846,n,acebes,2
73,100007846,n,agustín,2
74,100007846,n,alicia,2
75,100007846,n,amato,2
76,100007846,n,beethoven,2
77,100007846,n,benítez,2
78,100007846,n,caldera,2
79,100007846,n,carmen,2
80,100007846,n,carrera,2
81,100007846,n,corral,2
82,100007846,n,ermengol,2
83,100007846,n,esteve,2
84,100007846,n,florentino,2
85,100007846,n,francesc,2
86,100007846,n,gracia,2
87,100007846,n,jurado,2
88,100007846,n,oliva,2
89,100007846,n,padilla,2
90,100007846,n,pappas,2
91,100007846,n,pauleta,2
92,100007846,n,philip,2
93,100007846,n,rabadán,2
94,100007846,n,rabinad,2
95,100007846,n,rato,2
96,100007846,n,ruud,2
97,100007846,n,samuel,2
98,100007846,n,santiburcio,2
99,100007846,n,valdés,2
100,100007846,n,wáter,2
101,100007846,n,àlex,2
102,100007846,n,asha,3
103,100007846,n,botín,3
104,100007846,n,caetano,3
105,100007846,n,iniesta,3
106,100007846,n,jacobo,3
107,100007846,n,jamal,3
108,100007846,n,joan,3
109,100007846,n,joel,3
110,100007846,n,kohl,3
111,100007846,n,pujalte,3
112,100007846,n,rubianes,3
113,100007846,n,sofía,3
114,100007846,n,soledad,3
115,100007846,n,trichet,3
116,100007846,n,alberto,4
117,100007846,n,carrillo,4
118,100007846,n,concha,4
119,100007846,n,fraga,4
120,100007846,n,henrio,4
121,100007846,n,paloma,4
122,100007846,n,ramo,5
123,100007846,n,romero,5
124,100007846,n,ruano,5
125,100007846,n,thatcher,5
126,100007846,n,daniel,6
127,100007846,n,individuo,6
128,100007846,n,rajoy,6
129,100007846,n,rey,7
130,100007846,n,bono,8
131,100007846,n,casa,8
132,100007846,n,joseba,8
133,100007846,n,miguel,8
134,100007846,n,raquel,8
135,100007846,n,vicente,9
136,100007846,n,lacalle,10
137,100007846,n,pedro,10
138,100007846,n,puyol,10
139,100007846,n,salvador,10
140,100007846,n,sampedro,10
141,100007846,n,thomas,10
142,100007846,n,bosque,11
143,100007846,n,jacques,12
144,100007846,n,joaquín,23
145,100007846,n,persona,152
146,100015388,n,bestia,6
147,100015388,n,animal,7
148,100017222,n,planta,1
149,100019128,n,besòs,2
150,100020827,n,sustancia,4
151,100021265,n,comida,2
152,100021939,n,mundo,1
153,100021939,n,palma,1
154,100022903,n,artículo,2
155,100023271,n,conocimiento,6
156,100026192,n,sentimiento,8
157,100027167,n,asturias,1
158,100027167,n,cannes,1
159,100027167,n,colonia,1
160,100027167,n,cuenca,1
161,100027167,n,empúries,1
162,100027167,n,kakadú,1
163,100027167,n,kardaha,1
164,100027167,n,kipos,1
165,100027167,n,novedad,1
166,100027167,n,pujades,1
167,100027167,n,quart,1
168,100027167,n,saviñán,1
169,100027167,n,suizo,1
170,100027167,n,trafalgar,1
171,100027167,n,valdepeñas,1
172,100027167,n,vallfogona,1
173,100027167,n,varsovia,1
174,100027167,n,via,1
175,100027167,n,vilamalla,1
176,100027167,n,wuxi,1
177,100027167,n,yorkshire,1
178,100027167,n,zamora,1
179,100027167,n,amposta,2
180,100027167,n,anoia,2
181,100027167,n,asia,2
182,100027167,n,bagdad,2
183,100027167,n,canadá,2
184,100027167,n,castilla,2
185,100027167,n,ceuta,2
186,100027167,n,ciutadella,2
187,100027167,n,collserola,2
188,100027167,n,croacia,2
189,100027167,n,egipto,2
190,100027167,n,marroquí,2
191,100027167,n,reino,2
192,100027167,n,salazar,2
193,100027167,n,àngels,2
194,100027167,n,cuba,3
195,100027167,n,dinamarca,3
196,100027167,n,palacio,3
197,100027167,n,ros,3
198,100027167,n,rosario,3
199,100027167,n,santo,3
200,100027167,n,aire,4
201,100027167,n,torre,5
202,100027167,n,kosovo,9
203,100027167,n,rambla,9
204,100027167,n,terrassa,11
205,100027167,n,paseo,14
206,100027167,n,lugar,70
207,100027807,n,forma,1
208,100028270,n,xxi,1
209,100028270,n,tiempo,44
210,100029378,n,wimbledon,1
211,100029378,n,semana,4
212,100029378,n,liga,5
213,100029378,n,copa,6
214,100029677,n,proceso,30
215,100030358,n,fc,1
216,100030358,n,rocket,1
217,100030358,n,sabor,1
218,100030358,n,sombra,1
219,100030358,n,corazón,2
220,100030358,n,acción,15
221,100031264,n,grupo,109
222,100031921,n,relación,6
223,100032613,n,posesión,1
224,100033615,n,pib,2
225,100034213,n,fenómeno,4
226,100039297,n,contacto,2
227,100042757,n,salida,10
228,100045907,n,recuperación,6
229,100048225,n,llegada,11
230,100048374,n,llegada,6
231,100049003,n,entrada,6
232,100049789,n,acceso,9
233,100050195,n,aparición,3
234,100050693,n,aparición,3
235,100051192,n,regreso,1
236,100053097,n,adiós,2
237,100053097,n,despedida,7
238,100053609,n,desaparición,6
239,100053913,n,retirada,3
240,100056912,n,retirada,3
241,100057657,n,salida,1
242,100058743,n,huida,4
243,100058743,n,escapada,10
244,100059989,n,huida,1
245,100060201,n,fuga,1
246,100060201,n,huida,3
247,100061290,n,expedición,1
248,100063014,n,récord,5
249,100063652,n,éxito,5
250,100066636,n,fracaso,1
251,100070965,n,falta,30
252,100072473,n,confusión,3
253,100074790,n,gazapo,2
254,100081572,n,compra,9
255,100082870,n,toma,3
256,100083585,n,herencia,1
257,100086809,n,ocupación,2
258,100087423,n,subvención,1
259,100087663,n,concesión,1
260,100088481,n,incautación,2
261,100089351,n,devolución,4
262,100090253,n,recepción,4
263,100093483,n,salvación,5
264,100095502,n,liberación,8
265,100096211,n,rescate,11
266,100097504,n,cumplimiento,1
267,100098385,n,mecanismo,6
268,100100543,n,versión,1
269,100121366,n,transmisión,1
270,100122661,n,disparo,9
271,100128091,n,personal,1
272,100133338,n,golpe,5
273,100143251,n,seguimiento,3
274,100143251,n,revisión,5
275,100145218,n,conexión,1
276,100151087,n,detección,2
277,100153809,n,solución,3
278,100158185,n,manipulación,8
279,100159620,n,tentación,4
280,100161243,n,elección,13
281,100162632,n,decisión,30
282,100163779,n,nombramiento,3
283,100165942,n,paso,6
284,100166172,n,jugada,4
285,100168237,n,maniobra,1
286,100168658,n,traslado,1
287,100171249,n,truco,1
288,100172710,n,modo,6
289,100173761,n,instrumento,4
290,100174412,n,medida,44
291,100177448,n,recurso,1
292,100180413,n,adopción,2
293,100181781,n,elección,25
294,100191142,n,cambio,1
295,100201058,n,transición,1
296,100201058,n,paso,3
