,Synset16,PoS,Palabra,TagCount
0,00001740,n,entidad,2767
1,00002086,n,organismo,2674
2,00002086,n,ser,2510
3,00003095,n,célula,3167
4,00003731,n,causa,7
5,00004123,n,mortal,90
6,00004123,n,individuo,2670
7,00004123,n,humano,1221
8,00004123,n,ser_humano,1160
9,00004123,n,alma,2027
10,00004123,n,persona,19108
11,00008019,n,bestia,477
12,00008019,n,criatura,1328
13,00008019,n,fauna,1550
14,00008019,n,animal,5737
15,00008864,n,flora,1891
16,00008864,n,planta,18344
17,00009457,n,cosa,5361
18,00009457,n,objeto,3210
19,00010572,n,sustancia,1394
20,00010572,n,materia,2394
21,00011575,n,nutriente,316
22,00011575,n,sustento,176
23,00011575,n,comida,1625
24,00011575,n,alimento,2487
25,00011937,n,artefacto,464
26,00012704,n,artículo,188
27,00013018,n,abstracción,1
28,00013243,n,conocimiento,4258
29,00013243,n,cognición,44
30,00013243,n,saber,375
31,00013700,n,motivación,380
32,00013700,n,motivo,3383
33,00014045,n,sentimiento,1718
34,00014887,n,lugar,109
35,00015185,n,forma,12
36,00015594,n,tiempo,5558
37,00015975,n,espacio,2301
38,00016185,n,estado,14665
39,00017297,n,evento,4487
40,00017487,n,acción,7683
41,00017487,n,acto,4362
42,00017954,n,grupo,32889
43,00017954,n,colectivo,579
44,00017954,n,agrupación,2008
45,00018376,n,posesión,142
46,00018604,n,atributo,293
47,00018916,n,relación,11500
48,00019671,n,comunicación,226
49,00020056,n,cuantía,70
50,00020056,n,cantidad,6272
51,00020461,n,fenómeno,2173
52,00020804,n,bondad,14
53,00020977,n,consecución,211
54,00020977,n,realización,1502
55,00020977,n,logro,1161
56,00021392,n,gesta,138
57,00021392,n,hazaña,318
58,00021392,n,proeza,81
59,00021950,n,golpe_maestro,1
60,00022246,n,acto,10
61,00022878,n,interactuación,2
62,00022878,n,interacción,1136
63,00023118,n,contacto,1479
64,00023668,n,intercambio,9
65,00025788,n,llegada,63
66,00025919,n,llegada,71
67,00026283,n,advenimiento,165
68,00026402,n,entrada,656
69,00027235,n,registro,49
70,00027339,n,aparición,5
71,00027592,n,aparición,26
72,00027781,n,emersión,3
73,00027910,n,regreso,2218
74,00028092,n,repatriación,40
75,00028352,n,anclaje,87
76,00028503,n,llegada,3089
77,00028670,n,aterrizaje,697
78,00029100,n,salida,3756
79,00029100,n,ida,432
80,00029100,n,partida,1996
81,00029442,n,adiós,264
82,00029712,n,desaparición,4
83,00029961,n,retirada,1312
84,00030321,n,retraimiento,9
85,00030456,n,evacuación,28
86,00030682,n,deserción,115
87,00030682,n,elusión,5
88,00031190,n,desviacionismo,3
89,00031327,n,emigración,372
90,00031422,n,inmigración,508
91,00031519,n,retirada,6
92,00031866,n,recesión,1
93,00031963,n,partida,22
94,00032054,n,desembarque,20
95,00032054,n,desembarco,441
96,00032335,n,embarco,8
97,00032335,n,embarque,121
98,00032687,n,escapada,54
99,00032687,n,huida,364
100,00032687,n,fuga,604
101,00032687,n,escape,571
102,00033153,n,evasión,25
103,00033506,n,maniobra,8
104,00033906,n,evasión,8
105,00034259,n,hégira,16
106,00034259,n,éxodo,217
107,00034703,n,emergencia,17
108,00034968,n,despacho,377
109,00034968,n,expedición,2715
110,00035222,n,conclusión,28
111,00035376,n,consumación,30
112,00035534,n,cumplimiento,1
113,00035701,n,orgasmo,39
114,00035701,n,clímax,113
115,00035970,n,realización,19
116,00036271,n,logro,1
117,00036443,n,récord,1286
118,00036590,n,récord_mundial,7
119,00036683,n,éxito,1953
120,00037524,n,ennoblecimiento,7
121,00037826,n,aprobado,58
122,00038052,n,crédito,9
123,00038702,n,fracaso,896
124,00039700,n,pérdida,3065
125,00039700,n,quebranto,24
126,00039842,n,capitulación,208
127,00040027,n,desbaratamiento,1
128,00040312,n,recaída,133
129,00040312,n,recidiva,17
130,00040312,n,reincidencia,13
131,00040608,n,incumplimiento,152
132,00042411,n,equivocación,55
133,00042411,n,falta,1193
134,00042411,n,yerro,9
135,00042411,n,error,719
136,00043135,n,mácula,2
137,00043525,n,desacierto,11
138,00043768,n,tergiversación,2
139,00043956,n,olvido,352
140,00043956,n,lapsus,14
141,00044056,n,omisión,83
142,00044168,n,pifia,7
143,00044168,n,patinazo,4
144,00044168,n,cantada,14
145,00044168,n,buñuelo,21
146,00044168,n,gazapo,9
147,00044751,n,chapuza,4
148,00045479,n,tropiezo,1
149,00045686,n,caída,2282
150,00046246,n,adquisición,20
151,00047517,n,adquisición,744
152,00047693,n,recompra,13
153,00047814,n,compraventa,78
154,00049855,n,compra,1157
155,00050044,n,shopping,29
156,00050836,n,sucesión,32
157,00050952,n,asunción,1193
158,00051119,n,patrimonio,10
159,00051417,n,apropiación,110
160,00051562,n,adopción,412
161,00051907,n,incautación,45
162,00051907,n,embargo,19906
163,00052102,n,usurpación,2
164,00052209,n,arrogación,1
165,00052209,n,confiscación,16
166,00052487,n,expropiación,122
167,00052764,n,requisición,3
168,00052764,n,requisa,17
169,00052883,n,ocupación,933
170,00053230,n,secuestro,24
171,00053417,n,subvención,190
172,00053585,n,concesión,9
173,00054061,n,decomiso,10
174,00054061,n,confiscación,74
175,00054269,n,arresto,41
176,00054499,n,conquista,2307
177,00054499,n,sometimiento,75
178,00054744,n,restitución,20
179,00055481,n,recepción,733
180,00056297,n,abandono,3
181,00056297,n,dejación,1
182,00057368,n,subasta,337
183,00057846,n,capitalización,58
184,00058314,n,recuperación,16
185,00058512,n,preservación,241
186,00058512,n,salvamento,97
187,00058851,n,salvavidas,1
188,00058978,n,salvación,302
189,00058978,n,redención,131
190,00059166,n,absolución,68
191,00059344,n,conversión,38
192,00059510,n,evangelización,163
193,00059803,n,expiación,27
194,00059803,n,propiciación,2
195,00060117,n,liberación,740
196,00060414,n,recuperación,44
197,00060540,n,rescate,429
198,00060861,n,búsqueda_y_rescate,1
199,00061101,n,reconquista,472
200,00061322,n,ejecución,936
201,00061322,n,implementación,572
202,00061587,n,invocación,1
203,00061811,n,realización,166
204,00062420,n,servicio,15
205,00062947,n,improvisación,13
206,00063094,n,malabarismo,13
207,00063210,n,truco,341
208,00063210,n,trampantojo,26
209,00063210,n,magia,440
210,00063574,n,versión,859
211,00063750,n,reinterpretación,47
212,00064099,n,jam_session,8
213,00064182,n,automatización,108
214,00064182,n,mecanización,45
215,00064422,n,motorización,102
216,00064563,n,propulsión,32
217,00064905,n,lanzamiento,28
218,00065545,n,empuje,507
219,00065905,n,impulso,7
220,00066170,n,lanzamiento,492
221,00066813,n,pase,141
222,00067987,n,bola,4
223,00069443,n,strike,32
224,00070617,n,tiro_libre,1
225,00071000,n,gancho,3
226,00071795,n,impulsión,1
227,00072203,n,clic,103
228,00072419,n,presión,27
229,00072619,n,empellón,1
230,00072619,n,empujón,10
231,00073065,n,codazo,19
232,00073144,n,tracción,39
233,00073587,n,transporte,65
234,00073587,n,arrastre,67
235,00073587,n,acarreo,64
236,00073925,n,tirón,46
237,00074431,n,proyección,825
238,00074431,n,expulsión,565
239,00075113,n,eructo,15
240,00075786,n,regurgitación,20
241,00076072,n,salto,1554
242,00076442,n,brinco,10
243,00076563,n,salto,41
244,00077232,n,envío,7
245,00077376,n,transmisión,1542
246,00077986,n,disparo,1195
247,00077986,n,tiro,2081
248,00077986,n,balazo,96
249,00078505,n,descarga,69
250,00079372,n,cañoneo,22
251,00079453,n,tiroteo,213
252,00079716,n,contacto,33
253,00080362,n,frotamiento,15
254,00080714,n,golpeo,39
255,00081036,n,castaña,58
256,00083719,n,fuera,8
257,00083719,n,out,634
258,00084365,n,jit,4
259,00086151,n,triple,284
260,00086415,n,cate,7
261,00086637,n,bicoca,6
262,00086637,n,tortazo,97
263,00086637,n,manotazo,6
264,00086637,n,cachete,11
265,00086637,n,torta,110
266,00086637,n,azotaina,1
267,00086637,n,cale,6
268,00087184,n,sopapo,2
269,00087184,n,bofetón,6
270,00087268,n,latigazo,29
271,00087361,n,punch,38
272,00087361,n,puñetazo,95
273,00088506,n,puntapié,28
274,00088506,n,patada,260
275,00089324,n,saque,18
276,00089520,n,libre,86
277,00089679,n,córner,13
278,00090133,n,beso,459
279,00090742,n,cogida,19
280,00090742,n,agarrada,1
281,00091213,n,interceptación,21
282,00091354,n,recepción,7
283,00091785,n,engrane,2
284,00091785,n,trabazón,5
285,00091972,n,manejo,29
286,00092400,n,necropsia,11
287,00092400,n,autopsia,136
288,00092823,n,chequeo,51
289,00093090,n,cotejo,46
290,00093090,n,confrontación,6
291,00093268,n,revisión,76
292,00093612,n,palpación,17
293,00093956,n,caricia,25
294,00094409,n,conexión,116
295,00095095,n,convergencia,8
296,00095235,n,fusión,1433
297,00095452,n,concurrencia,1
298,00095779,n,adjunción,8
