,Synset16,PoS,Palabra,TagCount
0,100001740,n,entidad,2767
1,100004258,n,organismo,2674
2,100004258,n,ser,2510
3,111688958,n,célula,3167
4,100007347,n,causa,7
5,100007846,n,mortal,90
6,100007846,n,individuo,2670
7,100007846,n,humano,1221
8,100007846,n,ser_humano,1160
9,100007846,n,alma,2027
10,100007846,n,persona,19108
11,100015388,n,bestia,477
12,100015388,n,criatura,1328
13,100015388,n,fauna,1550
14,100015388,n,animal,5737
15,100017222,n,flora,1891
16,100017222,n,planta,18344
17,100002684,n,cosa,5361
18,100002684,n,objeto,3210
19,1Synset Not Found,n,sustancia,1394
20,1Synset Not Found,n,materia,2394
21,100021265,n,nutriente,316
22,100021265,n,sustento,176
23,100021265,n,comida,1625
24,100021265,n,alimento,2487
25,100021939,n,artefacto,464
26,114916185,n,artículo,188
27,105854150,n,abstracción,1
28,100023271,n,conocimiento,4258
29,100023271,n,cognición,44
30,100023271,n,saber,375
31,100023773,n,motivación,380
32,100023773,n,motivo,3383
33,114526182,n,sentimiento,1718
34,114291561,n,lugar,109
35,100027807,n,forma,12
36,115298695,n,tiempo,5558
37,115274695,n,espacio,2301
38,115081957,n,estado,14665
39,113943400,n,evento,4487
40,100030358,n,acción,7683
41,100030358,n,acto,4362
42,100031264,n,grupo,32889
43,100031264,n,colectivo,579
44,100031264,n,agrupación,2008
45,114407795,n,posesión,142
46,105849040,n,atributo,293
47,113860281,n,relación,11500
48,114413993,n,comunicación,226
49,100033615,n,cuantía,70
50,100033615,n,cantidad,6272
51,111490638,n,fenómeno,2173
52,104845312,n,bondad,14
53,100035189,n,consecución,211
54,100035189,n,realización,1502
55,100035189,n,logro,1161
56,1Synset Not Found,n,gesta,138
57,1Synset Not Found,n,hazaña,318
58,1Synset Not Found,n,proeza,81
59,100037090,n,golpe_maestro,1
60,114577331,n,acto,10
61,111517210,n,interactuación,2
62,111517210,n,interacción,1136
63,100039297,n,contacto,1479
64,100040152,n,intercambio,9
65,100048225,n,llegada,63
66,100048374,n,llegada,71
67,100048828,n,advenimiento,165
68,100049003,n,entrada,656
69,100050037,n,registro,49
70,107335716,n,aparición,5
71,100050693,n,aparición,26
72,107322138,n,emersión,3
73,100051192,n,regreso,2218
74,100051385,n,repatriación,40
75,100052146,n,anclaje,87
76,103638321,n,llegada,3089
77,103638511,n,aterrizaje,697
78,100042757,n,salida,3756
79,100042757,n,ida,432
80,100042757,n,partida,1996
81,100053097,n,adiós,264
82,100053609,n,desaparición,4
83,107506031,n,retirada,1312
