,Synset16,PoS,Palabra,TagCount
0,00001740,n,entidad,417
1,00002086,n,organismo,398
2,00002086,n,ser,399
3,00003095,n,célula,356
4,00004123,n,ser_humano,125
5,00004123,n,mortal,6
6,00004123,n,alma,330
7,00004123,n,persona,2893
8,00004123,n,individuo,408
9,00004123,n,humano,191
10,00008019,n,animal,847
11,00008019,n,criatura,164
12,00008019,n,fauna,204
13,00008019,n,bestia,55
14,00008864,n,flora,244
15,00008864,n,planta,2986
16,00009457,n,cosa,810
17,00009457,n,objeto,466
18,00010572,n,sustancia,228
19,00010572,n,materia,346
20,00011575,n,nutriente,36
21,00011575,n,comida,232
22,00011575,n,sustento,23
23,00011575,n,alimento,357
24,00011937,n,artefacto,48
25,00012704,n,artículo,26
26,00013243,n,cognición,6
27,00013243,n,conocimiento,667
28,00013243,n,saber,63
29,00013700,n,motivación,72
30,00013700,n,motivo,502
31,00014045,n,sentimiento,261
32,00014887,n,lugar,17
33,00015185,n,forma,1
34,00015594,n,tiempo,829
35,00015975,n,espacio,337
36,00016185,n,estado,2351
37,00017297,n,evento,695
38,00017487,n,acto,610
39,00017487,n,acción,1125
40,00017954,n,colectivo,119
41,00017954,n,agrupación,371
42,00017954,n,grupo,4721
43,00018376,n,posesión,15
44,00018604,n,atributo,36
45,00018916,n,relación,1799
46,00019671,n,comunicación,52
47,00020056,n,cuantía,12
48,00020056,n,cantidad,863
49,00020461,n,fenómeno,307
50,00020804,n,bondad,2
51,00020977,n,realización,263
52,00020977,n,logro,163
53,00020977,n,consecución,32
54,00021392,n,hazaña,56
55,00021392,n,proeza,12
56,00021392,n,gesta,14
57,00022246,n,acto,2
58,00022878,n,interactuación,1
59,00022878,n,interacción,194
60,00023118,n,contacto,198
61,00025788,n,llegada,8
62,00025919,n,llegada,9
63,00026283,n,advenimiento,24
64,00026402,n,entrada,81
65,00027235,n,registro,8
66,00027592,n,aparición,2
67,00027781,n,emersión,1
68,00027910,n,regreso,349
69,00028092,n,repatriación,7
70,00028352,n,anclaje,19
71,00028503,n,llegada,420
72,00028670,n,aterrizaje,91
73,00029100,n,partida,291
74,00029100,n,salida,610
75,00029100,n,ida,75
76,00029442,n,adiós,45
77,00029712,n,desaparición,1
