,Synset Source,Synset Target
0,200004227,200001740
1,200004227,200004819
2,200004227,201198101
3,200005041,200001740
4,200005041,201198101
5,200007012,201733829
6,200014742,200015713
7,200014742,200017031
8,200014742,200018526
9,200014742,202118242
10,200036362,200036932
11,200046534,200052374
12,200054285,200056930
13,200054285,200059019
14,200054285,200059899
15,200056930,200057410
16,200056930,200057506
17,200059019,200059559
18,200062397,200062203
19,200069879,201232098
20,200069879,201241490
21,200078760,200081725
22,200090708,201232098
23,200092690,202619924
24,200151689,200428247
25,200156601,200428418
26,200173338,201244351
27,200173338,201311103
28,200211108,200211852
29,200216216,200398484
30,200219403,200356789
31,200238867,200504901
32,200248026,200250181
33,200260648,200262076
34,200273963,201750421
35,200320536,201681723
36,200321486,201667304
37,200322847,200321652
38,200322847,201358855
39,200322847,201665638
40,200358431,200360092
41,200364868,202756821
42,200366275,200365810
43,200366858,200365810
44,200371264,200361641
45,200371264,201390833
46,200371264,201681913
47,200372665,200369628
48,200372665,200397192
49,200377715,200373766
50,200378664,202485322
51,200394813,201595830
52,200404642,201632103
53,200413432,200412292
54,200419375,201593254
55,200445169,200374135
56,200458471,201663920
57,200471711,200697419
58,200489837,200646738
59,200511430,200497555
60,200588888,200597385
61,200594337,200610374
62,200597915,200597634
63,200606093,200597634
64,200611256,200617605
65,200625119,200607114
66,200625119,200628302
67,200632627,200634906
68,200637259,200639849
69,200652900,200650353
70,200652900,200654625
71,200652900,200657260
72,200652900,200679389
73,200654015,200654446
74,200654625,200652346
75,200664483,200664276
76,200670261,200826509
77,200670261,200856578
78,200670261,200904046
79,200670261,200906367
80,200672433,202499629
81,200673983,201777210
82,200674340,201776727
83,200674607,202207206
84,200687523,202640440
85,200688377,200936465
86,200765396,200809453
87,200785962,200785690
88,200789448,200790509
89,200790308,200789448
90,200794981,202477755
91,200795475,202642814
92,200804802,200773432
93,200805376,201035380
94,200806502,200806314
95,200806502,200861929
96,200806502,200997307
97,200806502,202444662
98,200811375,202465658
99,200812580,200697589
100,200815686,200876200
101,200817311,200892923
102,200827730,200769834
103,200841125,200841394
104,200843468,202497992
105,200862225,200862467
106,200867409,200869126
107,200870213,201819554
108,200884011,200800242
109,200888786,202460883
110,200898691,200899352
111,200906367,200906735
112,200931467,201026728
113,200933821,200936763
114,200941990,200978549
115,200941990,201051364
116,200948071,200949841
117,200959827,200960562
118,200963570,200989201
119,200974367,201591621
120,200989201,200989490
121,200992041,200899956
122,200993014,201006810
123,200997794,202464866
124,201013040,200834745
125,201020356,201020731
126,201031256,201032451
127,201072262,201079480
128,201072262,201090335
129,201072262,201099592
130,201072262,201100145
131,201072262,201111816
132,201072262,201113975
133,201072262,201155090
134,201072262,202687385
135,201072949,201076615
136,201072949,201115190
137,201076615,201114764
138,201090335,201127795
139,201093172,201093786
140,201100145,201101913
141,201115585,201118081
142,201120069,202277448
143,201128193,202026433
144,201128193,202026712
145,201133825,201135371
146,201134781,201152532
147,201137138,201136835
148,201151110,201135219
149,201151110,201152396
150,201156834,201177118
151,201156834,201197338
152,201156834,201204021
153,201157517,201158572
154,201157517,201195804
155,201158572,201190948
156,201165043,201165290
157,201166351,201173208
158,201166351,201194777
159,201170052,201187385
160,201171183,200149118
161,201171183,201175467
162,201171183,201194777
163,201178565,201176897
164,201178565,201194938
165,201186428,201186958
166,201196037,201801847
167,201197338,201197750
168,201198101,201199009
169,201198101,201199881
170,201200440,201200245
171,201201089,201168468
172,201201856,201168468
173,201201856,201202068
174,201206218,201209678
175,201206218,201211098
176,201206218,201249724
177,201216670,201446901
178,201226215,201430633
179,201243809,201531635
180,201249724,201232738
181,201249724,201245637
182,201249724,201252971
183,201249724,201386906
184,201249724,201387022
185,201249724,201394464
186,201249724,201548718
187,201249724,201682582
188,201252971,201308008
189,201254013,201253621
190,201257173,201442578
191,201258302,201257621
192,201277974,201542525
193,201277974,202040054
194,201280014,200362128
195,201290422,201220885
196,201291069,201329239
197,201295275,201421122
198,201299268,200317241
199,201308160,201306853
200,201309701,201163620
201,201309701,201163847
202,201309701,201741864
203,201309701,201742556
204,201323958,200542809
205,201329239,201330676
206,201329239,201368126
207,201329239,201667449
208,201329239,201667607
209,201329239,201671039
210,201332730,201234625
211,201332730,201272582
212,201332730,201483247
213,201332730,201569017
214,201332730,201569181
215,201340439,201286913
216,201340439,201353405
217,201340439,201521603
218,201369346,200258109
219,201370561,201936048
220,201380638,201385759
221,201387786,201349318
222,201387786,201570935
223,201400044,201279631
224,201400044,201397210
225,201421622,201422886
226,201426397,201428578
227,201426397,201641751
228,201428853,200054285
229,201440801,201681333
230,201441100,201572003
231,201447257,201389329
232,201447257,201531742
233,201447257,201871979
234,201449591,201669419
235,201451176,201926031
236,201462005,201418536
237,201508368,201121320
238,201519977,201343079
239,201519977,201348987
240,201527271,201575388
241,201536168,201536344
242,201552519,201254692
243,201552519,201274341
244,201552519,201322854
245,201552519,201441100
246,201552519,201554799
247,201552519,201558681
248,201555742,201551195
249,201556921,201520844
250,201557774,202294179
251,201564144,202345048
252,201577635,201579622
253,201579153,201456341
254,201582645,201688604
255,201582645,201690163
256,201582645,201693138
257,201582645,201693324
258,201592456,201732713
259,201657977,201162143
260,201666327,201667132
261,201666327,201670645
262,201666327,201670777
263,201673732,201674544
264,201675780,201639364
265,201684663,201683758
266,201698271,201699896
267,201708676,201937394
268,201711445,201710481
269,201711965,201710481
270,201712704,201710481
271,201719302,201720660
272,201724459,201728052
273,201741446,201740608
274,201762283,201803641
275,201773346,201773734
276,201773346,202719016
277,201777210,201776468
278,201777210,201820302
279,201780202,201782432
280,201796582,201805523
281,201797347,201802219
282,201798936,201803641
283,201798936,201816645
284,201807882,200793785
285,201815628,201816219
286,201831531,200099721
287,201831531,201432601
288,201831531,201530431
289,201831531,201871979
290,201835496,201935104
291,201835496,202020590
292,201835496,202022659
293,201849221,201433294
294,201849221,201434140
295,201849221,202077656
296,201850315,201371756
297,201850315,201432601
298,201850315,202220461
299,201855606,200413876
300,201856626,200415044
301,201860795,200808343
302,201871979,201372189
303,201887576,201943153
304,201898893,201899017
305,201904930,201900408
306,201907258,201522052
307,201907258,201991744
308,201922895,201923058
309,201926311,202056300
310,201928838,201894649
311,201928838,201904930
312,201929467,201756006
313,201936753,201938288
314,201940403,201941093
315,201941093,201942959
316,201942347,201955808
317,201942347,201968275
318,201942718,201940248
319,201944692,201086854
320,201945516,201927992
321,201947887,201947543
322,201955984,201930117
323,201968569,201944252
324,201968569,202008066
325,201970826,201968275
326,201983264,201546111
327,201983771,202062632
328,201984902,200060185
329,201984902,201543123
330,201985029,201547001
331,201991744,201939037
332,201992503,202053941
333,201998432,201998793
334,202005948,200413432
335,202009433,200416135
336,202009433,201434278
337,202009433,202081578
338,202025829,202026868
339,202035919,202035559
340,202045790,201352528
341,202058994,202056300
342,202058994,202058191
343,202066939,202072159
344,202069551,201853310
345,202106506,202105810
346,202106506,202108026
347,202106506,202118476
348,202106506,202118933
349,202106506,202128066
350,202106506,202193194
351,202123672,200399553
352,202123672,202124632
353,202124748,202125460
354,202127358,202127613
355,202129289,202128653
356,202129289,202130524
357,202129289,202132579
358,202130524,202131279
359,202130524,202150328
360,202130524,202150510
361,202153709,202292265
362,202169702,202169891
363,202169891,202189168
364,202172888,202190077
365,202191546,202192992
366,202199590,202242464
367,202207206,202260362
368,202207206,202266920
369,202207206,202325968
370,202207206,202363742
371,202217266,202215506
372,202220461,202255081
373,202221959,202247390
374,202225492,202226833
375,202238770,202498320
376,202242464,202247584
377,202242464,202260362
378,202251743,202207206
379,202253956,202253766
380,202259829,202298632
381,202294179,202295082
382,202309165,200081072
383,202319428,202351467
384,202320374,202319050
385,202327200,202342132
386,202410855,202568672
387,202428924,202428487
388,202462386,202473431
389,202477755,202642814
390,202483267,202309621
391,202487573,202488168
392,202488834,202490634
393,202499629,202502037
394,202521284,202497992
395,202521410,202584097
396,202530167,202524171
397,202570684,202571511
398,202575082,202573275
399,202603699,202614387
400,202614181,202618149
401,202614181,202619739
402,202630189,202632940
403,202637938,202036755
404,202756558,202770170
405,202758826,202758581
406,202759614,202760139
407,202769900,202770535
