,Synset Source,W_Num Source,Synset Target,W_Num Target
0,100019128,1,100021939,1
1,100021939,1,100019128,1
2,100047356,0,100047550,0
3,100047550,0,100047356,0
4,100050195,0,100053609,1
5,100053609,1,100050195,0
6,100054483,0,100282050,0
7,100058002,0,100058337,0
8,100058337,0,100058002,0
9,100065575,1,100066901,1
10,100066901,1,100065575,1
11,100080743,1,100080968,1
12,100080968,1,100080743,1
13,100127531,0,100127672,0
14,100127672,0,100127531,0
15,100127866,0,100128091,0
16,100128091,0,100127866,0
17,100147862,0,100148057,1
18,100148057,1,100147862,0
19,100154689,0,100155085,0
20,100155085,0,100154689,0
21,100184501,1,100184652,1
22,100184652,1,100184501,1
23,100189896,0,100190040,0
24,100190040,0,100189896,0
25,100198451,0,100198793,0
26,100198793,0,100198451,0
27,100210518,0,100235435,0
28,100230475,0,107320734,0
29,100233614,1,100236821,1
30,100235435,0,100210518,0
31,100236821,1,100233614,1
32,100276987,0,100394485,1
33,100282050,0,100054483,0
34,100287762,0,100287889,0
35,100287889,0,100287762,0
36,100301728,1,100301857,1
37,100301857,1,100301728,1
38,100330457,0,100330674,0
39,100330674,0,100330457,0
40,100338641,0,100344040,0
41,100343091,1,100345297,1
42,100344040,0,100338641,0
43,100345297,1,100343091,1
44,100351638,0,100363260,0
45,100355919,1,100367066,1
46,100356790,1,100357451,1
47,100357451,1,100356790,1
48,100360757,0,100363788,0
49,100361932,1,100367280,0
50,100362355,0,100374063,0
51,100362659,0,100375071,1
52,100363260,0,100351638,0
53,100363788,0,100360757,0
54,100364440,0,100364600,0
55,100364600,0,100364440,0
56,100365471,0,100365709,0
57,100365709,0,100365471,0
58,100367066,1,100355919,1
59,100367280,0,100361932,1
60,100369532,0,100405360,1
61,100374063,0,100362355,0
62,100375071,1,100362659,0
63,100381680,0,100385501,1
64,100382739,0,100382906,0
65,100382906,0,100382739,0
66,100385501,1,100381680,0
67,100394485,1,100276987,0
68,100405360,1,100369532,0
69,100407270,1,100407407,1
70,100407407,1,100407270,1
71,100407535,1,101062583,1
72,100456465,0,100456563,0
73,100456563,0,100456465,0
74,100456690,0,100456804,0
75,100456804,0,100456690,0
76,100474769,1,100475787,0
77,100475787,0,100474769,1
78,100568286,0,100569733,1
79,100569733,1,100568286,0
80,100616083,0,100616641,1
81,100616641,1,100616083,0
82,100684837,0,100685349,0
83,100685349,0,100684837,0
84,100710692,1,100710889,1
85,100710889,1,100710692,1
86,100713952,1,100714173,0
87,100714173,0,100713952,1
88,100757337,0,100757483,1
89,100757483,1,100757337,0
90,100757730,0,100758033,1
91,100758033,1,100757730,0
92,100783902,0,100784083,0
93,100784083,0,100783902,0
94,100833578,0,100833772,1
95,100833772,1,100833578,0
96,100847770,0,100847932,0
97,100847932,0,100847770,0
98,100874621,1,101215392,1
99,100912001,0,100912274,0
100,100912274,0,100912001,0
101,100912274,0,101229938,0
102,101017987,1,101022483,0
103,101022483,0,101017987,1
104,101062583,1,100407535,1
105,101078572,0,113542114,1
106,101110811,0,101110973,0
107,101110973,0,101110811,0
108,101114458,0,101114646,0
109,101114646,0,101114458,0
110,101120448,0,101120855,1
111,101120855,1,101120448,0
112,101125959,1,101126151,0
113,101126151,0,101125959,1
114,101139830,1,101140029,0
115,101140029,0,101139830,1
116,101148904,0,101149115,0
117,101149115,0,101148904,0
118,101151788,0,101152033,0
119,101152033,0,101151788,0
120,101156438,0,101158190,1
121,101156899,0,101157557,1
122,101157557,1,101156899,0
123,101158190,1,101156438,0
124,101159025,1,101159461,1
125,101159461,1,101159025,1
126,101167146,1,101179707,0
127,101168569,0,101202904,0
128,101179707,0,101167146,1
129,101179707,0,101203676,0
130,101185981,1,101186192,0
131,101186192,0,101185981,1
132,101189282,0,101193886,0
133,101189650,0,101189929,1
134,101189929,1,101189650,0
135,101193176,1,101193672,0
136,101193672,0,101193176,1
137,101193886,0,101189282,0
138,101198307,0,101198750,1
139,101198750,1,101198307,0
140,101202184,1,101202415,0
141,101202415,0,101202184,1
142,101202904,0,101168569,0
143,101203676,0,101179707,0
144,101203676,0,101204845,1
145,101204419,1,101204711,1
146,101204711,1,101204419,1
147,101204845,1,101203676,0
148,101209576,1,101209791,1
149,101209791,1,101209576,1
150,101215392,1,100874621,1
