,Synset Source,Synset Target
0,100006484,100004475
1,100027167,100028651
2,100042541,113448334
3,100071700,100482298
4,100080743,100349213
5,100080968,100349213
6,100091503,100488225
7,100094240,101039140
8,100104409,100041740
9,100110057,100480993
10,100123652,100122661
11,100128324,100476389
12,100140112,100480993
13,100153105,100657604
14,100165298,101039822
15,100166355,100503237
16,100177127,100153105
17,100211776,100565302
18,100223854,100620424
19,100226511,114145911
20,100226511,114146273
21,100239024,100463543
22,100247955,100247442
23,100248063,100243918
24,100248368,100243918
25,100276342,113538314
26,100278810,100838367
27,100281752,100052500
28,100285889,100283568
29,100288000,107461050
30,100291663,108253268
31,100298047,100440747
32,100299826,100522939
33,100300206,100522939
34,100300333,100522939
35,100306900,100306426
36,100319176,100315986
37,100340463,100488225
38,100342565,100445351
39,100370458,114048441
40,100390735,106351202
41,100396642,100255710
42,100437321,100436187
43,100438065,100434075
44,100439826,107467846
45,100440039,107468692
46,100450998,107461050
47,100451186,107461050
48,100457228,100476389
49,100460844,100460951
50,100461162,107465290
51,100462116,100461782
52,100471277,100470966
53,100476788,100041740
54,100476788,107469609
55,100476788,107469772
56,100481666,100480993
57,100489475,100488225
58,100492083,100491901
59,100500280,100499924
60,100500280,100501080
61,100500449,100499924
62,100500449,100501080
63,100500669,100499924
64,100500669,100501080
65,100500927,100499924
66,100500927,100501080
67,100520059,109091909
68,100526259,100529224
69,100529224,100528667
70,100529400,100528667
71,100529511,100528667
72,100533922,100527695
73,100540701,100539951
74,100540895,100539951
75,100541035,100539951
76,100541178,100539951
77,100541479,101027859
78,100548326,100550771
79,100556313,100463246
80,100562935,100463543
81,100563494,100480993
82,100566298,100482298
83,100574227,100570066
84,100574430,100570366
85,100574430,100571283
86,100574608,100571060
87,100574790,100570854
88,100574925,100570683
89,100575083,100575214
90,100608896,101104637
91,100609236,101104637
92,100609669,101104637
93,100617989,101104637
94,100618119,101104637
95,100618264,101104637
96,100626423,100626838
97,100659349,100832626
98,100659667,113506119
99,100661847,100700000
100,100669481,100670250
101,100676834,100671351
102,100677299,100185778
103,100678010,100671351
104,100716055,100671351
105,100728849,100883297
106,100728975,100883297
107,100729108,100883297
108,100729285,100883297
109,100749232,100799537
110,100803394,100488225
111,100812977,100447540
112,100815173,100314469
113,100831919,100832626
114,100835267,100831191
115,100836788,100831191
116,100837675,100834636
117,100845178,100845523
118,100860011,103662452
119,100885088,100884466
120,100889472,100884466
121,100890441,106676416
122,100890941,100886039
123,100892861,100884466
124,100893088,100892861
125,100895292,100895135
126,100896348,100895501
127,100918820,100916464
128,100921790,100916464
129,100953559,100973077
130,100959992,100895501
131,100964343,100973077
132,100974444,100972621
133,101036194,101035853
134,101036333,101035853
135,101053207,100100253
136,101085337,100488225
137,101094725,101097292
138,101095753,101094725
139,101105259,101090446
140,101112885,101112420
141,101113068,101112420
142,101173038,101170962
