,Synset Source,Synset Target
0,101204055,109636106
1,101204055,110171219
2,101204055,114404831
3,101204055,301673434
4,101204055,400240707
5,101204055,400255614
6,106288527,103788498
7,106288527,107574923
8,106288527,110591811
9,106288527,110791002
10,106288527,114518377
11,106288527,201865726
12,106295235,100040962
13,106295235,100065418
14,106295235,100179916
15,106295235,100415988
16,106295235,100457228
17,106295235,100508800
18,106295235,100508952
19,106295235,100510050
20,106295235,100518770
21,106295235,100551714
22,106295235,100577357
23,106295235,100585174
24,106295235,100627437
25,106295235,100800121
26,106295235,100935005
27,106295235,100959645
28,106295235,101030152
29,106295235,101042764
30,106295235,101043333
31,106295235,101055688
32,106295235,101090117
33,106295235,101107726
34,106295235,101149793
35,106295235,101223877
36,106295235,101229350
37,106295235,101229549
38,106295235,102730568
39,106295235,102758270
40,106295235,102771166
41,106295235,102800793
42,106295235,102808185
43,106295235,102822399
44,106295235,102825442
45,106295235,102826259
46,106295235,102831595
47,106295235,102836607
48,106295235,102837887
49,106295235,102841315
50,106295235,102850552
51,106295235,102854739
52,106295235,102857907
53,106295235,102858044
54,106295235,102869249
55,106295235,102887489
56,106295235,102892948
57,106295235,102896442
58,106295235,102901114
59,106295235,102902816
60,106295235,102910864
61,106295235,102936020
62,106295235,103001282
63,106295235,103006903
64,106295235,103036341
65,106295235,103039827
66,106295235,103041449
67,106295235,103042384
68,106295235,103071923
69,106295235,103072056
70,106295235,103093574
71,106295235,103107488
72,106295235,103139464
73,106295235,103195659
74,106295235,103234164
75,106295235,103237212
76,106295235,103252064
77,106295235,103257877
78,106295235,103263076
79,106295235,103293321
80,106295235,103320735
81,106295235,103324928
82,106295235,103347472
83,106295235,103348454
84,106295235,103354350
85,106295235,103357081
86,106295235,103361550
87,106295235,103380134
88,106295235,103381231
89,106295235,103405265
90,106295235,103405595
91,106295235,103412906
92,106295235,103427084
93,106295235,103443912
94,106295235,103461119
95,106295235,103501811
96,106295235,103504420
97,106295235,103504723
98,106295235,103543112
99,106295235,103545585
100,106295235,103558633
101,106295235,103585438
102,106295235,103586911
103,106295235,103594734
104,106295235,103600285
105,106295235,103627021
106,106295235,103669367
107,106295235,103674591
108,106295235,103675907
109,106295235,103679384
110,106295235,103684224
111,106295235,103688192
112,106295235,103763727
113,106295235,103793954
114,106295235,103807334
115,106295235,103816530
116,106295235,103825080
117,106295235,103871255
118,106295235,103885028
119,106295235,103888605
120,106295235,103966976
121,106295235,103970363
122,106295235,104016684
123,106295235,104019335
124,106295235,104023021
125,106295235,104024137
126,106295235,104037076
127,106295235,104054566
128,106295235,104071393
129,106295235,104088343
130,106295235,104093223
131,106295235,104131811
132,106295235,104148054
133,106295235,104163530
134,106295235,104178329
135,106295235,104186848
136,106295235,104205318
137,106295235,104219580
138,106295235,104233715
139,106295235,104240867
140,106295235,104245508
141,106295235,104250473
142,106295235,104253304
143,106295235,104254319
144,106295235,104272054
145,106295235,104284735
146,106295235,104295571
147,106295235,104298171
148,106295235,104323819
149,106295235,104324515
150,106295235,104324741
151,106295235,104324910
152,106295235,104335693
153,106295235,104337287
154,106295235,104355684
155,106295235,104356056
156,106295235,104367950
157,106295235,104370288
158,106295235,104371430
159,106295235,104384199
160,106295235,104424692
161,106295235,104434932
162,106295235,104446162
163,106295235,104450749
164,106295235,104455835
165,106295235,104480303
166,106295235,104508489
167,106295235,104509171
168,106295235,104542715
169,106295235,104563560
170,106295235,104563790
171,106295235,104570532
172,106295235,104580493
173,106295235,104602840
174,106295235,104611654
175,106295235,104677113
176,106295235,104756504
177,106295235,104862236
178,106295235,104898087
179,106295235,105126228
180,106295235,105188220
181,106295235,105872742
182,106295235,105921685
183,106295235,105982720
184,106295235,106128307
185,106295235,106260121
186,106295235,106271778
187,106295235,106346220
188,106295235,106363778
189,106295235,106411753
190,106295235,106606464
191,106295235,106630017
192,106295235,106630627
193,106295235,106770875
194,106295235,106843838
195,106295235,107140348
196,106295235,107142365
197,106295235,107168623
198,106295235,107334876
199,106295235,107454452
200,106295235,107715221
201,106295235,107804152
202,106295235,107851054
203,106295235,107942152
204,106295235,107943300
205,106295235,107943646
206,106295235,107947789
207,106295235,107956250
208,106295235,107968702
209,106295235,107971023
210,106295235,108147670
211,106295235,108179205
212,106295235,108179455
213,106295235,108184052
214,106295235,108207540
215,106295235,108224684
216,106295235,108404895
217,106295235,108477307
218,106295235,108500213
219,106295235,108623424
220,106295235,109203677
221,106295235,109212572
222,106295235,109248914
223,106295235,109269341
224,106295235,109269972
225,106295235,109337406
226,106295235,109407346
227,106295235,109425344
228,106295235,109426307
229,106295235,109445566
230,106295235,109824609
231,106295235,109956147
232,106295235,113262462
233,106295235,113292390
234,106295235,113292989
235,106295235,113306436
236,106295235,113306669
237,106295235,113329641
238,106295235,113330283
239,106295235,113330591
240,106295235,113330764
241,106295235,113333047
242,106295235,113341756
243,106295235,113396054
244,106295235,113407208
245,106295235,113746946
246,106295235,113923030
247,106295235,113923219
248,106295235,114255064
249,106295235,114359459
250,106295235,114441083
251,106307152,103168364
252,106307152,103970884
253,106307152,113648378
254,106307152,113650225
255,106307152,113650735
256,106307152,113651520
257,106307152,300071242
258,106307152,300140542
259,106307152,300206750
260,106307152,300207547
261,106307152,300236338
262,106307152,300296061
263,106307152,300815586
264,106307152,300916383
265,106307152,301057103
266,106307152,301077995
267,106307152,301078178
268,106307152,301084644
269,106307152,301118232
270,106307152,301209542
271,106307152,301218660
272,106307152,301222100
273,106307152,301279183
274,106307152,301432712
275,106307152,301432894
276,106307152,301433081
277,106307152,301536276
278,106307152,301683496
279,106307152,301700075
280,106307152,301827261
