,Synset Source,Synset Target
0,300001740,105200169
1,300001740,105616246
2,300002098,105200169
3,300006336,104940964
4,300007813,104940964
5,300009046,104883942
6,300009978,104886101
7,300011757,104762134
8,300013160,104759849
9,300013887,105108740
10,300016756,105108740
11,300019131,104718999
12,300019874,104718999
13,300021766,104802907
14,300023383,104802907
15,300027247,114411981
16,300028672,114411981
17,300029343,104946078
18,300031533,104946078
19,300031974,104635104
20,300033574,104635104
21,300038750,104635104
22,300039592,104636397
23,300040325,114006945
24,300040685,114011811
25,300041051,114012173
26,300043765,113954818
27,300044353,114482620
28,300051045,104792357
29,300051696,104792357
30,300073048,104787763
31,300074346,104787763
32,300077645,107519253
33,300081671,107519253
34,300094448,105005809
35,300094448,113961642
36,300095280,105005809
37,300095280,113961642
38,300104051,104836268
39,300105023,104836268
40,300105746,105112609
41,300106456,105112609
42,300117385,105006020
43,300117754,105006020
44,300118066,105005447
45,300118238,105005447
46,300125711,105046009
47,300125711,113844690
48,300127296,105046009
49,300127296,113844690
50,300130151,113844690
51,300130281,113844690
52,300130412,115129927
53,300130596,115129927
54,300130778,105074774
55,300131426,105074774
56,300133417,104995531
57,300133851,104995531
58,300134701,104715947
59,300135718,104715947
60,300138169,104715947
61,300138622,104715947
62,300162386,104664413
63,300162990,104664413
64,300163592,105082790
65,300164863,105082790
66,300166146,104686003
67,300169164,104686003
68,300169955,111479058
69,300170156,111426914
70,300171590,105734559
71,300172452,105734559
72,300173764,105018934
73,300174379,105018934
74,300176150,105161150
75,300176838,105161150
76,300177186,105161150
77,300177963,105161150
78,300178575,106556481
79,300179486,106556481
80,300183053,104718999
81,300185921,104718999
82,300189580,105202034
83,300190023,105202034
84,300190115,105675905
85,300191603,105675905
86,300193015,107519773
87,300196560,107519773
88,300196934,101215719
89,300197447,101215719
90,300217728,104683814
91,300220956,104683814
92,300223802,104840537
93,300224166,104846533
94,300226618,104840981
95,300227003,104842788
96,300243606,104976952
97,300244503,104976952
98,300249721,104858785
99,300251809,104860759
100,300259568,113945919
101,300260430,113945919
102,300261245,113945919
103,300262792,104857083
104,300264776,104860065
105,300269989,104951373
106,300273082,104951373
107,300278551,105018103
108,300283703,105018103
109,300289082,114460565
110,300289365,114460565
111,300306314,105202497
112,300306314,105623181
113,300307474,105202497
114,300307474,105623181
115,300309021,104663494
116,300311663,104663494
117,300335421,104753455
118,300336168,104753455
119,300336831,105697135
120,300336831,105697363
121,300337404,105697135
122,300337404,105697363
123,300338817,107526505
124,300339941,107526505
125,300344125,104733640
126,300346991,104733640
127,300360650,104849759
128,300360650,113967581
129,300361509,104849759
130,300362467,104630689
131,300364479,104630689
132,300366691,104975122
133,300386392,104975122
134,300392812,104979425
135,300393105,104979425
136,300394562,104956594
137,300401650,104956594
138,300402419,105193338
139,300404202,105193338
140,300408660,104979425
141,300409440,104979425
142,300417413,114496193
143,300419289,114496193
144,300428404,104820258
145,300430191,104820258
146,300431447,104701460
147,300433115,104703424
148,300442361,105084201
149,300444519,105084201
150,300445548,105084201
151,300446921,105084201
152,300476819,114445379
153,300478015,114445379
154,300483146,101090446
155,300484333,101090446
156,300485711,104795545
157,300487653,104795545
158,300489108,104796086
159,300490035,104796086
160,300492677,104764741
161,300493460,104763293
162,300514884,114460565
163,300516539,114460565
164,300520214,114460974
165,300523978,114460974
166,300525453,114461519
167,300546646,107090108
168,300548781,107090108
169,300550282,104754440
170,300550777,104754440
171,300566099,113791389
172,300567593,113791389
173,300574422,106212839
174,300575230,106212839
175,300579084,104706087
176,300581401,104706087
177,300583239,104738641
178,300583990,104738641
179,300594413,105054130
180,300604617,104718563
181,300605128,104718563
182,300605516,104801532
183,300606602,104801532
184,300620731,104853948
185,300622581,104853948
186,300625393,104761212
187,300625774,104761212
188,300626800,104760771
189,300627410,104760771
190,300629997,104760771
191,300630802,104760771
192,300631391,104802198
193,300632438,104802198
194,300639842,104912732
195,300640283,104912732
196,300641158,104912982
197,300641640,104912982
198,300642379,104914133
199,300642725,104914133
200,300643250,105624700
201,300644372,105624700
202,300644839,104782878
203,300645493,104782878
204,300650577,113933560
205,300651697,113933560
206,300651935,114033587
207,300652533,114033587
208,300657198,105063729
209,300666058,105050379
210,300668571,105050379
211,300675701,104767805
212,300676457,104767805
213,300690058,105134547
214,300691696,105134547
215,300692762,105134547
216,300693356,105134547
217,300702773,111444816
218,300702962,111444816
219,300705891,105029706
220,300707366,105029706
221,300708017,104939324
222,300709744,104939324
223,300725772,113994148
224,300727564,113994148
225,300737973,105043459
226,300738368,105043459
227,300744916,104709253
228,300749230,104708113
229,300760916,104918210
230,300762355,104918210
231,300770316,104918767
232,300770756,104918767
233,300791227,113945919
234,300792991,113945919
235,300794825,104626705
236,300795495,104626705
237,300800826,104705324
238,300804695,104632157
239,300806512,105205739
240,300812952,105046009
241,300815941,105046009
242,300816481,105046009
243,300825089,108682575
244,300825604,108562620
245,300825970,108682819
246,300826959,108563180
247,300832075,105639431
248,300832200,105639431
249,300834198,105199286
250,300835609,105199286
251,300838856,105199869
252,300839411,105199869
253,300853776,104626280
254,300856860,104626280
255,300889831,104747899
256,300892379,104747899
257,300900616,105171045
258,300902652,105171045
259,300903449,105172953
260,300903668,105172953
261,300909545,104769456
262,300911327,104769456
263,300916706,104736757
264,300917207,104736757
265,300921014,114037011
266,300922594,114037011
267,300927017,113954253
268,300927578,113954253
269,300940437,104822032
270,300941485,104822032
271,300948103,105074774
272,300948670,105074774
273,300949548,105074774
274,300950272,105074774
275,300950706,104620741
276,300951247,104621010
277,300952395,105074774
278,300952867,105074774
279,300956131,104839154
280,300957176,104839154
281,300958880,104876985
282,300959731,104876985
283,300961392,104877530
284,300962634,104877530
285,300965606,104796291
286,300966477,104796291
287,300976508,105058140
288,300980527,105058140
289,300986027,105027135
290,300988232,105027135
291,300999817,104716210
292,301000881,104716210
293,301001689,114051494
294,301002377,114051494
295,301030022,105074374
296,301030826,105074374
297,301034457,104797482
298,301034457,104799344
299,301038808,105209113
300,301039843,105209113
301,301041916,104911420
302,301044240,104911420
303,301045216,104911420
304,301045711,104911420
305,301055073,104980008
306,301057775,104980008
307,301061489,113991823
308,301064286,113991823
309,301067694,104926728
310,301068726,104928008
311,301074650,104654337
312,301076793,104654337
313,301083157,114451911
314,301086545,114451911
315,301090308,105149325
316,301090993,105149325
317,301101391,104764412
318,301103021,104764412
319,301111016,104831727
320,301112573,104831727
321,301123148,104723816
322,301125429,104723816
323,301129977,104849241
324,301131043,104852088
325,301133876,104623113
326,301134769,104623113
327,301148283,107526757
328,301148283,113987423
329,301149494,107526757
330,301149494,113987423
331,301150915,104937848
332,301152746,104937848
333,301170243,114447908
334,301172889,114447908
335,301184932,105026843
336,301186408,105026843
337,301193714,105702726
338,301194483,105702726
339,301201100,100844254
340,301201422,100844254
341,301204557,105137165
342,301206474,105137165
343,301210854,105093890
344,301212469,105093890
345,301213197,104985198
346,301215421,104985198
347,301226240,104868748
348,301227137,104868748
349,301232635,113828075
350,301233347,113828075
351,301234167,113828075
352,301235859,105079866
353,301237897,105079866
354,301247240,105011790
355,301251128,105011790
356,301256332,104626280
357,301257612,104626280
358,301258617,104726938
359,301260023,104726938
360,301261867,104828925
361,301262611,104828925
362,301275562,105168261
363,301279978,105168261
364,301286799,104706290
365,301288091,104706290
366,301294300,113827426
367,301295443,113827426
368,301332386,105618849
369,301333718,105618849
370,301334398,105617606
371,301336587,105617606
372,301337486,104661389
373,301338730,104661389
374,301343918,105192451
375,301344963,105192451
376,301350674,104660981
377,301350876,104660981
378,301351021,104621963
379,301352067,104837931
380,301352895,104837931
381,301372049,104840011
382,301373728,104840011
383,301382086,105098942
384,301391351,105098942
385,301395617,104809784
386,301396047,104809784
387,301400562,104809237
388,301401854,104809237
389,301410606,104744814
390,301410905,104744814
391,301411451,104756635
392,301412415,104756635
393,301421679,105638486
394,301430111,104784664
395,301430847,104784664
396,301433493,105129201
397,301436003,105129201
398,301437963,105051249
399,301442186,105051249
400,301452593,104990220
401,301454636,104990220
402,301471002,105122557
403,301471368,105122850
404,301476685,105006898
405,301477806,105006898
406,301478626,105006898
407,301488245,104924103
408,301488245,114424780
409,301489722,104924103
410,301489722,114424780
411,301498769,105090441
412,301504625,104983402
413,301505318,104983402
414,301508719,105093890
415,301509527,105093890
416,301531375,105117660
417,301533120,105117660
418,301535709,105050668
419,301537885,104900947
420,301538858,104900947
421,301546222,105034473
422,301546349,105034473
423,301546593,105034989
424,301546826,105034989
425,301547007,105034989
426,301547831,105034989
427,301547961,105034989
428,301548193,104846770
