,Synset,Glosa
0,100001740,aquilo que se percibe ou se sabe ou se infire que ten a súa propia existencia distintiva (viva ou non-viva)
1,100001930,unha entidade que existencia física
2,100002137,un concepto xeral que se conforma tirando características comúns de exemplos concretos
3,100002452,unha entidade diferenciada e independente
4,100002684,
5,100003553,un conxunto de partes que se considera como unha única entidade
6,100003993,
7,100004258,
8,100004475,unha entidade viva que ten (ou pode desenvolver) a capacidade de actuar ou funcionar independentemente
9,100005787,
10,100005930,
11,100006024,
12,100006150,
13,100006269,
14,100006400,
15,100006484,(bioloxía) a unidade básica estrutural e funcional de todos os organismos; poden existir como unidades de vida independentes (como as mónadas) ou poden formar colonias ou tecidos como nos animais e plantas superiores
16,100007347,calquera entidade que produce un efecto ou é responsábel de eventos ou resultados
17,100007846,un ser humano
18,100015388,
19,100017222,
20,100019046,
21,100019128,"un obxecto que se dá naturalmente, que non é artificial"
22,100019613,a materia física real da que consiste unha persoa ou unha cousa
23,100020090,un tipo ou unha especie particular de materia con propiedades uniformes
24,100020827,
25,100021265,
26,100021734,
27,100021939,un obxecto artificial considerado como un todo
28,100022903,
29,100023100,
30,100023271,"o resultado psicolóxico de percepción, de aprendizaxe e de razoamento"
31,100023773,
32,100024264,unha abstracción que pertence a unha entidade ou que é característica dela
33,100024720,o modo en que está unha cousa respecto dos seus principais atributos
34,100026192,experimentación de estados emocionais e afectivos
35,100027167,un punto ou unha extensión no espazo
36,100027807,a disposición espacial dalgunha cousa como algo distinto da súa substancia
37,100028270,
38,100028651,
39,100029007,
40,100029114,
41,100029378,algo que acontece nun lugar e nun tempo determinado
42,100029677,un fenómeno prolongado ou que está marcado por mudanzas graduais ao longo dunha serie de estados
43,100030358,algo que fan as persoas ou que provocan que aconteza
44,100031264,calquera número de entidade (membros) considerado como unha unidade
45,100031921,unha abstracción que pertence a ou é característica de dúas entidades ou dúas partes asemade
46,100032613,
47,100032823,
48,100033020,"algo que se comunica entre persoas ou grupos, que se lles comunica ou que eles mesmos comunican"
49,100033615,canto ou cantos hai dunha cousa que pode cuantificar
50,100034213,
51,100034479,
52,100034574,
53,100034777,
54,100034939,
55,100035189,
56,100035697,
57,100035891,
58,100036061,
59,100036299,
60,100036580,
61,100036762,
62,100037006,
63,100037090,
64,100037200,
65,100037396,
66,100038175,
67,100038262,
68,100038573,
69,100038863,
70,100039021,
71,100039211,
72,100039297,
73,100039545,
74,100039740,
75,100039916,
76,100039990,
77,100040152,
78,100040420,
79,100040545,
80,100040804,
81,100040962,
82,100041188,
83,100041468,
84,100041614,
85,100041740,
86,100041899,
87,100042311,
88,100042541,
89,100042757,
90,100043116,
91,100043195,
92,100043609,
93,100043902,
94,100044150,
95,100044455,
96,100044673,
97,100044900,
98,100045114,
99,100045250,
100,100045646,
101,100045907,
102,100046177,
103,100046344,
104,100046522,
105,100047018,
106,100047106,
107,100047356,
108,100047550,
109,100047745,
110,100047941,
111,100048051,
112,100048225,
113,100048374,
114,100048656,
115,100048828,
116,100049003,
117,100049344,
118,100049530,
119,100049636,
120,100049789,
121,100049909,
122,100050037,
123,100050195,
124,100050484,
125,100050693,
126,100050887,
127,100051077,
128,100051192,
129,100051385,
130,100051525,
131,100051712,
132,100051897,
133,100052052,
134,100052146,
135,100052334,
136,100052500,
137,100052791,
138,100053020,
139,100053097,
140,100053405,
141,100053525,
142,100053609,
143,100053806,
144,100053913,
145,100054328,
146,100054483,
147,100054652,
148,100054821,
149,100055038,
150,100055227,
151,100055315,
152,100055633,
153,100055793,
154,100055932,
155,100056087,
156,100056311,
157,100056551,
158,100056688,
159,100056912,
160,100057162,
161,100057306,
162,100057486,
163,100057657,
164,100057748,
165,100058002,
166,100058247,
167,100058337,
168,100058519,
169,100058608,
170,100058743,
171,100059127,
172,100059376,
173,100059552,
174,100059728,
175,100059895,
176,100059989,
177,100060201,
178,100060414,
179,100060548,
180,100060747,
181,100060817,
182,100061014,
183,100061171,
184,100061290,
185,100061453,
186,100061598,
187,100061792,
188,100061917,
189,100062133,
190,100062331,
191,100062451,
192,100062671,
193,100062806,
194,100063014,
195,100063310,
196,100063559,
197,100063652,
198,100064018,
199,100064151,
200,100064370,
201,100064504,
202,100064789,
203,100065098,
204,100065216,
205,100065336,
206,100065418,
207,100065575,
208,100065855,
209,100066075,
210,100066216,
211,100066397,
212,100066636,
213,100066901,
214,100067153,
215,100067254,
216,100067397,
217,100067526,
218,100067707,
219,100067990,
220,100068170,
221,100068333,
222,100068617,
223,100068755,
224,100068901,
225,100069060,
226,100069173,
227,100069444,
228,100069604,
229,100069685,
230,100069815,
231,100069918,
232,100070077,
233,100070215,
234,100070363,
235,100070462,
236,100070641,
237,100070807,
238,100070965,
239,100071546,
240,100071700,
241,100071864,
242,100072068,
243,100072261,
244,100072473,
245,100072691,
246,100072808,
247,100073032,
248,100073177,
249,100073525,
250,100073713,
251,100073828,
252,100074092,
253,100074324,
254,100074524,
255,100074624,
256,100074790,
257,100075283,
258,100075471,
259,100075618,
260,100075790,
261,100075912,
262,100076072,
263,100076196,
264,100076323,
265,100076393,
266,100076563,
267,100076884,
268,100077169,
269,100077249,
270,100077419,
271,100077856,
272,100077981,
273,100078217,
274,100078393,
275,100078536,
276,100078821,
277,100079018,
278,100079212,
279,100079398,
280,100079603,
281,100079752,
