,Synset,Glosa
0,100001740,aquello que se percibe o se sabe o se infiere que tiene su existencia propia distinta (viva o no viva)
1,100001930,una entidad que tiene existencia física
2,100002137,un concepto general que se forma seleccionando características comunes a partir de ejemplos concretos
3,100002452,una entidad separada y autocontenida
4,100002684,una entidad tangible y visible; una entidad que puede moldear una sombra
5,100003553,un conjunto de partes que se considera como una sola entidad
6,100003993,None
7,100004258,una entidad viva
8,100004475,un ser vivo que tiene (o puede desarrollar) la capacidad de actuar o funcionar de manera independiente
9,100005787,None
10,100005930,None
11,100006024,None
12,100006150,None
13,100006269,cosas vivas en_su_conjunto
14,100006400,None
15,100006484,None
16,100007347,Una entidad que produce o causa algo
17,100007846,Un ser humano
18,100015388,None
19,100017222,(Botánica) un organismo vivo que carece del poder de la locomoción
20,100019046,None
21,100019128,un objeto de origen natural; no hecho por el hombre
22,100019613,la materia física real de la cuál una persona o cosa consiste
23,100020090,una clase o especie particular de la materia con propiedades uniformes
24,100020827,lo que tiene masa y ocupa espacio
25,100021265,cualquier sustancia que puede ser metabolizado por un animal para dar energía y construir tejido
26,100021734,"cualquier sustancia (por ejemplo, un elemento químico o compuesto inorgánico) que pueden ser tomados por una planta verde y se utiliza en la síntesis orgánica"
27,100021939,un objeto hecho por el hombre como un todo
28,100022903,None
29,100023100,una característica de la vida mental de un organismo vivo
30,100023271,"el resultado psicológico de la percepción, el aprendizaje y el razonamiento"
31,100023773,None
32,100024264,abstracción que pertenece_a o es característico de una entidad
33,100024720,None
34,100026192,experimentación de estados_emocionales y afectivos
35,100027167,None
36,100027807,None
37,100028270,None
38,100028651,None
39,100029007,None
40,100029114,None
41,100029378,algo que sucede en un determinado lugar y tiempo
42,100029677,None
43,100030358,algo que la gente realiza o hace que suceda
44,100031264,Conjunto de entidades que forman una unidad
45,100031921,una abstracción que pertenece a o es característica de dos entidades o partes juntas
46,100032613,None
47,100032823,None
48,100033020,algo que se comunica por o a o entre personas o grupos
49,100033615,cuánto hay o cuántos hay de algo que se puede cuantificar
50,100034213,None
51,100034479,None
52,100034574,None
53,100034777,None
54,100034939,None
55,100035189,None
56,100035697,None
57,100035891,None
58,100036061,None
59,100036299,None
60,100036580,None
61,100036762,None
62,100037006,logro sobresaliente
63,100037090,None
64,100037200,"usado en la expresión ""en su haber"" con_el_fin_de indicar un logro digno_de alabanza"
65,100037396,None
66,100038175,None
67,100038262,None
68,100038573,None
69,100038863,None
70,100039021,None
71,100039211,None
72,100039297,None
73,100039545,contacto con algo peligroso o indeseable
74,100039740,None
75,100039916,None
76,100039990,None
77,100040152,None
78,100040420,None
79,100040545,None
80,100040804,None
81,100040962,None
82,100041188,None
83,100041468,None
84,100041614,None
85,100041740,None
86,100041899,None
87,100042311,None
88,100042541,None
89,100042757,None
90,100043116,realización de actos valientes y heroicos
91,100043195,None
92,100043609,None
93,100043902,golpe afortunado en un certamen_deportivo ( especialmente en béisbol )
94,100044150,None
95,100044455,None
96,100044673,None
97,100044900,None
98,100045114,None
99,100045250,None
100,100045646,la proeza de reunir fuerzas para un esfuerzo renovado
101,100045907,None
102,100046177,None
103,100046344,None
104,100046522,None
105,100047018,None
106,100047106,cualquier logro reconocido
107,100047356,None
108,100047550,None
109,100047745,None
110,100047941,realización irrevocable
111,100048051,None
112,100048225,logro de un objetivo
113,100048374,None
114,100048656,None
115,100048828,None
116,100049003,None
117,100049344,None
118,100049530,None
119,100049636,entrada repentina y violenta entrada brusca
120,100049789,None
121,100049909,None
122,100050037,None
123,100050195,None
124,100050484,None
125,100050693,None
126,100050887,None
127,100051077,None
128,100051192,None
129,100051385,None
130,100051525,None
131,100051712,None
132,100051897,None
133,100052052,None
134,100052146,None
135,100052334,None
136,100052500,None
137,100052791,None
138,100053020,partida apresurada
139,100053097,None
140,100053405,partida brusca y repentina ( sin decir adiós )
141,100053525,None
142,100053609,None
143,100053806,None
144,100053913,None
145,100054328,None
146,100054483,None
147,100054652,None
148,100054821,None
149,100055038,None
150,100055227,abandono del campamento
151,100055315,None
152,100055633,None
153,100055793,None
154,100055932,defección ideológica de la línea del partido ( especialmente del comunismo ortodoxo )
155,100056087,None
156,100056311,None
157,100056551,inmigración de judíos a Israel
158,100056688,None
159,100056912,None
160,100057162,detención temporal de una acción ofensiva militar
161,100057306,cese de una acción militar contra un enemigo
162,100057486,None
163,100057657,None
164,100057748,None
165,100058002,None
166,100058247,None
167,100058337,None
168,100058519,None
169,100058608,None
170,100058743,None
171,100059127,None
172,100059376,None
173,100059552,None
174,100059728,None
175,100059895,None
176,100059989,fuga de la cárcel
177,100060201,una fuga rápida ( realizada por criminales )
178,100060414,None
179,100060548,None
180,100060747,huida apresurada
181,100060817,None
182,100061014,algo que se consigue ( o se escapa ) por un margen estrecho
183,100061171,None
184,100061290,None
185,100061453,None
186,100061598,None
187,100061792,culminación del matrimonio al realizar el acto sexual
188,100061917,None
189,100062133,None
190,100062331,orgasmo acompañado por la sensación de eyeculación de semen
191,100062451,None
192,100062671,desarrollo de las capacidades de una persona
193,100062806,None
194,100063014,None
195,100063310,None
196,100063559,None
197,100063652,None
198,100064018,None
199,100064151,None
200,100064370,notoriedad imprevista
201,100064504,acierto notorio
202,100064789,algo que logra conseguir su objetivo de_manera_exacta
203,100065098,None
204,100065216,éxito en el dominio de algo difícil
205,100065336,None
206,100065418,consecución absoluta
207,100065575,None
208,100065855,None
209,100066075,None
210,100066216,None
211,100066397,omisión inesperada
212,100066636,None
213,100066901,None
214,100067153,fracaso completo
215,100067254,None
216,100067397,derrota debida a la no comparecencia_de_un_jugador
217,100067526,acto de perder
218,100067707,None
219,100067990,None
220,100068170,victoria improbable e inesperada
221,100068333,None
222,100068617,recaída habitual en situaciones_delictivas
223,100068755,None
224,100068901,None
225,100069060,None
226,100069173,None
227,100069444,None
228,100069604,inobservancia de la diligencia necesaria
229,100069685,None
230,100069815,incumplimiento de una promesa ( de matrimonio )
231,100069918,None
232,100070077,None
233,100070215,None
234,100070363,None
235,100070462,None
236,100070641,None
237,100070807,None
238,100070965,None
239,100071546,None
240,100071700,None
241,100071864,None
242,100072068,None
243,100072261,None
244,100072473,None
245,100072691,error de aceptar una responsabilidad o culpa
246,100072808,fallo al calcular
247,100073032,error_de_cálculo que afecta al que lo realiza
248,100073177,None
249,100073525,None
250,100073713,error al malinterpretar los hechos
251,100073828,None
252,100074092,None
253,100074324,"error de ocupar una posición ilegal en el campo de_juego ( en fútbol_americano , fútbol , hockey sobre hielo , hockey sobre hierba , etc. )"
254,100074524,None
255,100074624,None
256,100074790,error embarazoso
257,100075283,None
258,100075471,None
259,100075618,None
260,100075790,disparate serio y absurdo
261,100075912,None
262,100076072,None
263,100076196,None
264,100076323,error mayúsculo
265,100076393,None
266,100076563,falta no_intencionada pero embarazosa
267,100076884,None
268,100077169,None
269,100077249,None
270,100077419,None
271,100077856,None
272,100077981,None
273,100078217,adquisición o aceptación de algo ( generalmente no_deseable )
274,100078393,None
275,100078536,None
276,100078821,None
277,100079018,adquisición de algo a_cambio_de un pago
278,100079212,None
279,100079398,None
280,100079603,transacción con bonos ( normalmente realizado por un agente_de_bolsa en el parquet de la bolsa )
281,100079752,None
282,100079908,None
283,100080096,None
284,100080242,None
285,100080474,Una opción de venta o de compra en la que el vendedor o el comprador no tiene una posición de seguridad subyacente
286,100080619,None
287,100080743,La opción de comprar una acción determinada (o índice de acciones o futuros sobre materias primas) a un precio determinado en un plazo determinado
288,100080968,La opción de venta de una determinada acción (o índice bursatil o producto futuros) a un precio y plazo determinados
289,100081174,La opción de compra o venta de una determinada acción (o índice bursatil o productos futuros) a un precio determinado antes del plazo fijado; se compone de un número igual de opciones de compra y venta
290,100081395,Una opción concedida a los ejecutivos corporativos si la compañía logra ciertos objetivos financieros
291,100081572,None
292,100081836,None
293,100082081,transacción en un mercado
294,100082223,None
295,100082347,compra de en efectivo pólizas de seguro a tomadores de polizas que son enfermos terminales
296,100082525,None
297,100082754,None
298,100082870,None
299,100083260,None
300,100083448,None
301,100083585,None
302,100083729,None
303,100083975,None
304,100084371,None
305,100084642,None
306,100084895,préstamo ilegal
307,100085041,apropiación previa de algo
308,100085219,None
309,100085432,None
310,100085678,None
311,100085829,None
312,100086140,None
313,100086297,None
314,100086547,None
315,100086654,None
316,100086809,None
317,100087073,None
318,100087218,None
319,100087423,None
320,100087663,None
321,100087849,None
322,100088154,None
323,100088367,None
324,100088481,None
325,100088725,None
326,100089027,None
327,100089234,None
328,100089351,acción de recuperar una_cosa
329,100089657,None
330,100089891,None
331,100090076,La resolución judicial entablada por un acreedor para recobrar el bien prestado que está en mora
332,100090253,None
333,100090393,None
334,100090610,None
335,100090779,None
336,100091013,None
337,100091234,None
338,100091404,separación de una de las etapas de un cohete multietapa
339,100091503,acto de deshacerse_de una carta que no sirve o de ser incapaz de seguir el palo
340,100091670,distribución de minas explosivas
341,100091779,None
342,100091893,purificación de aguas_residuales
343,100091977,None
344,100092212,None
345,100092366,None
346,100092663,el acto de transportar bebidas alcohólicas para su venta ilegal
347,100092847,None
348,100093006,venta de capital social
349,100093127,None
350,100093354,None
