,Source Synset,Target Synset
0,100001740,100001930
1,100001740,100002137
2,100001740,104424418
3,200001740,200002573
4,200001740,200002724
5,200001740,200002942
6,200001740,200003826
7,200001740,200004032
8,200001740,200004227
9,200001740,200005041
10,200001740,200006697
11,200001740,200007328
12,200001740,200017031
13,100001930,100002452
14,100001930,100002684
15,100001930,100007347
16,100001930,100020827
17,100001930,100029677
18,100001930,114580597
19,100002137,100023100
20,100002137,100024264
21,100002137,100031264
22,100002137,100031921
23,100002137,100033020
24,100002137,100033615
25,100002137,105810143
26,100002137,107999699
27,100002452,104347225
28,100002452,109225146
29,100002452,109312645
30,100002452,109367203
31,100002452,109385911
32,100002452,109407867
33,100002452,109465459
34,100002452,109468959
35,100002684,100003553
36,100002684,100027167
37,100002684,103009633
38,100002684,103149951
39,100002684,103233423
40,100002684,103338648
41,100002684,103532080
42,100002684,103595179
43,100002684,103610270
44,100002684,103714721
45,100002684,103892891
46,100002684,104012260
47,100002684,104248010
48,100002684,104345288
49,100002684,104486445
50,100002684,107851054
51,100002684,109238143
52,100002684,109251689
53,100002684,109267490
54,100002684,109279458
55,100002684,109281777
56,100002684,109283193
57,100002684,109287968
58,100002684,109295338
59,100002684,109300905
60,100002684,109302031
61,100002684,109308398
62,100002684,109334396
63,100002684,109335240
64,100002684,109358550
65,100002684,109368224
66,100002684,109407346
67,100002684,109409203
68,100002684,109432990
69,100002684,109468237
70,100002684,109474162
71,100002684,109477037
72,100003553,100003993
73,100003553,100004258
74,100003553,100019128
75,100003553,100021939
76,100003553,102749953
77,100003553,103588414
78,100003553,104353803
79,200004227,200006523
80,200004227,200007012
81,100004258,100004475
82,100004258,100006269
83,100004258,100006400
84,100004258,100006484
85,100004475,100005787
86,100004475,100005930
87,100004475,100006024
88,100004475,100006150
89,100004475,100007846
90,100004475,100015388
91,100004475,100017222
92,100004475,100019046
93,100004475,101313888
94,100004475,101314026
95,100004475,101314145
96,100004475,101315062
97,100004475,101319932
98,100004475,101320093
99,100004475,101320314
100,100004475,101320479
101,100004475,101320692
102,100004475,101324019
103,100004475,101326291
104,100004475,101326897
105,100004475,101327028
106,100004475,101327322
107,100004475,101328121
108,100004475,101328302
109,100004475,101383638
110,100004475,101384313
111,100004475,101384687
112,100004475,101385527
