,Synset Source,Synset Target
0,100006484,106037666
1,100017222,106066555
2,100029114,106090869
3,100038175,106962600
4,100043902,100471613
5,100045114,106232880
6,100055793,108199025
7,100056551,106232880
8,100056688,108199025
9,100056912,108199025
10,100057162,108199025
11,100057306,108199025
12,100057748,108199025
13,100059728,100445802
14,100071546,100482298
15,100071864,100471613
16,100072068,100471613
17,100073177,106000644
18,100073525,106000644
19,100074324,100523513
20,100075912,100469651
21,100075912,100471613
22,100077249,100523513
23,100086297,108441203
24,100087663,108441203
25,100087849,106534659
26,100090393,108441203
27,100091503,100488225
28,100093127,101094725
29,100094001,106182144
30,100094500,108083599
31,100098051,106172789
32,100102162,107020895
33,100104976,100476389
34,100105624,100467320
35,100105820,100523513
36,100106272,100471613
37,100106726,100467320
38,100107137,100470966
39,100108181,100471613
40,100111503,100480993
41,100116122,106064106
42,100120943,100469651
43,100122106,108441203
44,100123430,108199025
45,100126584,100471613
46,100126721,100471613
47,100126886,100471613
48,100127151,100471613
49,100127286,100471613
50,100127866,100471613
51,100128091,100471613
52,100128477,100471613
53,100128638,100471613
54,100128867,100471613
55,100128976,100471613
56,100129089,100471613
57,100129527,100471613
58,100129743,100471613
59,100130093,100471613
60,100130347,100471613
61,100130846,100471613
62,100131090,100471613
63,100131347,100523513
64,100131485,100478262
65,100131608,100471613
66,100132219,100471613
67,100134780,100445802
68,100136691,100478262
69,100136876,100470966
70,100136984,100468480
71,100137279,100468480
72,100137279,100478262
73,100137534,100478262
74,100137877,100468480
75,100139544,100469651
76,100139758,100469651
77,100139919,100469651
78,100140264,100471613
79,100145024,100471613
80,100145024,100487874
81,100145929,103082979
82,100148242,106063588
83,100150097,100471613
84,100150228,100471613
85,100161888,106018465
86,100164579,106128570
87,100164801,100523513
88,100166172,100455599
89,100166865,100503237
90,100167063,100503237
91,100167278,100503237
92,100167446,100503237
93,100171050,100469651
94,100171882,106951067
95,100172217,100468480
96,100176052,108059412
97,100177783,106043075
98,100187499,100478262
99,100188341,100468480
100,100188449,100469651
101,100188620,100469651
102,100188766,100469651
103,100188934,100469651
104,100189257,100469651
105,100190579,100463543
106,100190579,100476389
107,100193225,106080522
108,100193406,106080522
109,100196848,108441203
110,100198118,108441203
111,100204943,106148148
112,100206779,108441203
113,100210940,107020895
114,100221343,108441203
115,100226107,106060845
116,100227264,106060845
117,100227595,100015388
118,100232147,108441203
119,100232863,108441203
120,100233795,108199025
121,100237869,106182144
122,100238326,106053439
123,100239024,100463543
124,100241245,100480993
125,100241507,100468480
126,100242146,100470966
127,100253395,100704305
128,100258093,106232880
129,100260881,101124794
