,Synset Source,Synset Target
0,100001740,200831191
1,100001740,204080833
2,100001740,204250850
3,100001740,305200169
4,100001740,305616246
5,100002325,200830811
6,100002325,200831191
7,100002724,214058252
8,100002942,200833870
9,100003133,200833870
10,100003316,200836788
11,100003316,202748491
12,100003356,307320302
13,100003431,200117578
14,100003431,209229709
15,100003553,300050693
16,100003700,307434782
17,100003826,214359459
18,100003829,314048441
19,100004032,207129602
20,100004032,207393756
21,100004227,200835267
22,100004227,214842091
23,100004605,201253060
24,100004605,214842091
25,100004605,215109745
26,100004819,210616578
27,100004819,214314850
28,100005041,200836788
29,100005041,204080833
30,100005041,214919156
31,100005205,304738398
32,100005205,305854474
33,100005526,200834135
34,100005526,200834460
35,100005526,200835501
36,100005526,200837098
37,100005718,305209324
38,100005815,214359174
39,100006032,305212609
40,100006238,200118552
41,100006238,210636874
42,100006238,213477934
43,100006336,304940964
44,100006336,305010062
45,100006523,200834460
46,100006523,210617501
47,100006697,200836407
48,100006802,200834460
49,100006802,200835501
50,100007012,200835501
51,100007096,303554645
52,100007193,200835830
53,100007328,200837293
54,100007328,210803193
55,100007516,304940379
56,100007516,314597758
57,100007549,200836149
58,100007549,210616670
59,100007739,200117959
60,100007739,210783539
61,100007813,304942738
62,100007846,104618781
63,100007990,305196054
64,100008055,201265176
65,100008055,205313822
66,100008206,314598525
67,100008299,206878934
68,100008299,210783539
69,100008435,200117959
70,100008435,206878934
71,100008602,200878328
72,100008602,210643727
73,100008877,314598704
74,100008977,206879056
75,100009046,304883942
76,100009147,201318660
77,100009147,209438055
78,100009147,213516842
79,100009147,213555599
80,100009346,301068773
81,100009346,304882622
82,100009346,309757944
83,100009492,211445564
84,100009618,304881998
85,100009618,309758173
86,100009631,200335988
87,100009631,214361664
88,100009884,214362179
89,100009978,310132988
90,100010385,300748515
91,100010537,300748515
92,100010726,304886402
93,100010726,314040071
94,100011160,304886235
95,100011327,302395694
96,100011327,304886235
97,100011327,310179649
98,100011551,201225562
99,100011551,204838727
100,100011757,304762134
101,100011757,305854150
102,100011982,200633108
103,100011982,210497202
104,100012071,305784699
105,100012071,305835747
106,100012071,305836598
107,100012137,206733782
108,100012362,305835747
109,100012362,305836275
110,100012434,210274318
111,100012434,210682038
112,100012689,304855524
113,100012689,305833840
114,100012932,305779568
115,100012944,201219306
116,100013160,304759849
117,100013172,200074790
118,100013172,209879744
119,100013328,200041188
120,100013328,203964744
121,100013615,207014029
122,100013662,304760024
123,100013662,313956097
124,100013858,210098092
125,100013887,305115040
126,100014034,200867983
127,100014034,214004572
128,100014201,200348801
129,100014201,200867983
130,100014201,214340287
131,100014405,210524973
132,100014490,305112910
133,100014490,305115040
134,100014490,305115568
135,100014490,305115804
136,100014490,313774404
137,100014549,200165942
138,100014549,210484526
139,100014549,214004317
140,100014742,205681117
141,100014742,210610465
142,100014742,214024882
143,100014742,215273626
144,100014742,215273955
145,100014858,305106024
146,100014858,305115040
147,100015247,305115804
148,100015247,305116243
149,100015303,200858377
150,100015303,200858849
151,100015498,200858377
152,100015498,215273626
153,100015720,305119367
154,100015720,305120116
155,100015854,305115568
156,100015946,214013981
157,100015946,214014849
158,100016135,305147586
159,100016183,214014162
160,100016247,305119367
161,100016350,305115040
162,100016380,200858849
163,100016532,311502102
164,100016647,305116590
165,100016702,200336430
166,100016756,305116953
167,100017024,305117237
168,100017031,200835976
169,100017031,207394478
170,100017031,210617397
171,100017186,314450540
172,100017222,111531090
173,100017674,210026976
174,100017782,304792679
175,100018158,200324384
176,100018158,210532576
177,100018526,201259773
178,100018526,205678745
179,100018526,210763878
180,100018584,304793925
181,100018813,201259773
182,100018813,205678745
183,100018813,210763985
184,100018850,304781755
185,100019731,304718999
186,100019792,209821253
187,100019792,213435548
188,100019982,214211609
189,100020103,305085165
190,100020103,308505110
191,100020133,205678300
192,100020671,210195261
193,100020671,211176932
194,100020671,214026592
195,100020926,207491286
196,100020926,210634990
197,100021065,202710766
198,100021110,304641153
199,100021554,203299929
200,100021679,203060294
201,100021826,203022406
202,100022219,304876985
203,100022316,200695300
204,100022316,204470232
205,100022316,204903813
206,100022686,201046984
207,100022686,202888133
208,100022686,204320126
209,100022686,204836683
210,100022686,205035961
211,100022686,210056103
212,100022686,211452218
213,100022686,214050143
214,100023120,304804169
215,100023473,203930777
216,100023646,207478318
217,100023854,300070965
218,100023854,314472299
219,100023868,205679800
220,100024279,200401783
221,100024279,201047338
222,100024279,201048466
223,100024279,209402704
224,100024649,203395745
225,100024814,200401783
226,100025034,200255214
227,100025034,200255710
228,100025203,211515325
229,100025203,214544335
230,100025470,304993882
231,100025470,314607521
232,100025510,214361182
233,100025654,204072811
234,100025654,207515974
235,100025654,209407043
236,100025728,305039709
237,100025728,314712036
238,100026153,205573306
239,100026153,214544335
240,100026385,201064148
241,100026385,213549488
242,100026734,201065057
243,100026895,301349333
244,100027064,201144716
245,100027268,200369532
246,100027268,200628692
247,100027268,205294606
248,100027705,205294606
249,100028010,200369694
250,100028167,202012849
251,100028280,304755630
252,100028280,305893356
253,100028362,201048466
254,100028362,204631700
255,100028362,209402704
256,100028565,205601357
257,100028565,206878071
258,100028565,210614363
259,100028876,205599874
260,100029025,206878071
261,100029025,210147262
262,100029108,308477164
263,100029336,206878580
264,100029336,210599215
265,100029336,210614507
266,100029343,304946078
267,100029518,206716117
268,100029630,207378059
269,100029836,206778925
270,100029836,207121361
271,100029836,207126734
272,100029933,300758525
273,100029933,300812274
274,100029933,304834817
275,100029933,304945530
276,100029933,304945758
277,100030010,207128060
278,100030142,207127693
279,100030142,207128225
280,100030142,210713124
281,100030508,304945942
282,100030647,214066203
283,100030647,214066492
284,100031138,300758525
285,100031138,304834817
286,100031384,304807971
287,100031418,207127451
288,100031540,207127790
289,100031663,207127563
290,100031820,206778102
291,100031820,206878404
292,100031820,207127006
293,100031820,210248876
294,100031921,113780719
295,100031921,113812607
296,100031921,113928388
297,100031974,304635104
298,100032414,207127350
299,100032497,300433802
300,100032497,300434075
301,100032497,300523513
302,100032539,206716483
303,100032539,206716675
304,100032539,210616379
305,100032733,305003850
306,100032733,305059132
307,100032733,305642175
308,100032778,206716483
309,100032778,206716675
310,100032778,210616379
311,100032981,200878797
312,100032981,206877849
313,100033203,200878797
314,100033206,313529450
315,100033206,314060256
316,100033406,200878456
317,100033406,210648909
318,100033574,304635631
319,100033599,204674715
320,100033599,204679738
321,100033852,206877849
322,100033955,207273924
323,100034032,314010636
324,100034032,314011811
325,100034115,206691989
