,Synset Source,W_Num Source,Synset Target,W_Num Target
0,200004227,0,200001740,0
1,200005041,0,200001740,0
2,200006238,0,200005815,0
3,200006238,0,200101956,0
4,200015806,0,200014742,0
5,200017282,0,200015303,0
6,200017282,0,200016380,0
7,200021065,0,201493741,0
8,200024814,0,200024649,0
9,200025034,0,200036362,0
10,200044149,0,200046534,0
11,200045346,0,200046534,0
12,200046022,0,200067545,0
13,200046534,0,200044149,0
14,200156485,0,200421408,0
15,200181559,0,200181664,0
16,200204391,0,200147815,0
17,200205598,0,200146138,0
18,200209174,0,200334186,0
19,200213794,0,201493741,0
20,200224168,0,200358431,0
21,200234725,0,200508032,0
22,200235918,0,202681795,0
23,200236592,0,200473322,0
24,200242026,0,200358431,0
25,200248659,0,200149583,0
26,200305417,0,200392960,0
27,200334186,0,200147815,0
28,200345508,0,200339464,0
29,200397405,0,200147815,0
30,200407848,0,200298896,0
31,200426749,0,200339464,0
32,200427683,0,200358431,0
33,200429060,0,200135857,0
34,200429060,0,200473322,0
35,200432572,0,202055267,0
36,200435688,0,201522276,0
37,200436404,0,200328802,0
38,200437449,0,200305109,0
39,200438178,0,202055649,0
40,200438178,0,202058994,0
41,200459776,0,202681795,0
42,200472671,0,200473322,0
43,200486018,0,201493741,0
44,200486703,0,200481941,0
45,200495808,0,202681795,0
46,200598954,0,200721437,0
47,200598954,0,201382083,0
48,200606471,0,201516534,0
49,200611256,0,200607780,0
50,200616498,0,201966861,0
51,200616498,0,202050132,0
52,200618057,0,200617748,0
53,200618057,0,201870275,0
54,200620379,0,200394813,0
55,200621058,0,200277935,0
56,200621653,0,200622384,0
57,200629889,0,200628491,0
58,200630380,0,200628491,0
59,200634906,0,200622384,0
60,200634906,0,200637259,0
61,200641252,0,200173338,0
62,200643473,0,201369758,0
63,200661824,0,202130524,0
64,200670179,0,201543123,0
65,200672017,0,200672433,0
66,200673766,0,200672433,0
67,200677203,0,201382083,0
68,200677445,0,201261018,0
69,200677544,0,201382083,0
70,200677544,0,201460029,0
71,200677683,0,200298896,0
72,200696414,0,202130524,0
73,200706804,0,201690816,0
74,200711715,0,201586278,0
75,200712708,0,200637259,0
76,200715541,0,201340283,0
77,200715541,0,201357831,0
78,200724150,0,200298896,0
79,200742149,0,200033955,0
80,200742320,0,201494310,0
81,200742320,0,202230772,0
82,200744572,0,201440139,0
83,200751131,0,200217152,0
84,200764902,0,200262703,0
85,200768630,0,201289155,0
86,200778275,0,200292507,0
87,200779360,0,200779601,0
88,200780191,0,201996574,0
89,200780191,0,202182342,0
90,200781000,0,201835496,0
91,200802136,0,200031820,0
92,200804476,0,201449796,0
93,200811720,0,202681795,0
94,200825648,0,200952524,0
95,200846344,0,201573515,0
96,200851239,0,200298896,0
97,200851933,0,200031820,0
98,200851933,0,200853633,0
99,200877083,0,202130524,0
100,200884814,0,200889947,0
101,200894221,0,200759269,0
102,200897564,0,201907258,0
103,200909134,0,202062632,0
104,200912048,0,200913065,0
105,200916123,0,200941990,0
106,200945648,0,202175057,0
107,200947717,0,200947857,0
108,200949974,0,201437254,0
109,200966152,0,200996485,0
110,200967625,0,201438902,0
111,200968211,0,201212230,0
112,200969873,0,201835496,0
113,200975584,0,200913065,0
114,201002618,0,201002481,0
115,201037498,0,202175057,0
116,201050565,0,201727684,0
117,201051956,0,200941990,0
118,201081505,0,201086103,0
119,201081652,0,201072949,0
120,201084048,0,201078783,0
121,201097960,0,200792471,0
122,201101313,0,200947857,0
123,201108627,0,200149583,0
124,201111028,0,200149583,0
125,201113806,0,200147815,0
126,201113975,0,202681795,0
127,201116585,0,202611373,0
128,201116585,0,202681795,0
129,201131197,0,201090335,0
130,201131473,0,202681795,0
131,201136964,0,201136614,0
132,201139104,0,200918580,0
133,201139623,0,200246217,0
134,201153947,0,202253456,0
135,201157517,0,201158572,0
136,201157517,0,201392237,0
137,201167537,0,201166351,0
138,201167537,0,201167981,0
139,201167640,0,201166351,0
140,201167640,0,201167981,0
141,201173057,0,201309701,0
142,201174099,0,201173933,0
143,201174099,0,201312810,0
144,201175937,0,201170052,0
145,201177314,0,200014742,0
146,201177314,0,202649830,0
147,201177505,0,200014742,0
148,201177505,0,202649830,0
149,201189823,0,202681795,0
150,201194938,0,200452512,0
151,201196802,0,201166351,0
152,201197980,0,201156834,0
153,201197980,0,201169704,0
154,201202374,0,201170052,0
155,201202374,0,202069551,0
156,201212230,0,201392237,0
157,201214786,0,201214265,0
158,201232738,0,201249724,0
159,201240308,0,201235769,0
160,201240308,0,201239619,0
161,201254013,0,201249724,0
162,201254324,0,201369346,0
163,201255967,0,201552519,0
164,201256600,0,201259458,0
165,201257507,0,201257173,0
166,201258091,0,201257173,0
167,201258302,0,201410223,0
168,201259458,0,201256600,0
169,201259458,0,201369758,0
170,201259458,0,201552519,0
171,201259691,0,201369346,0
172,201260685,0,201260428,0
173,201274254,0,201394200,0
174,201281343,0,201281611,0
175,201281611,0,201350449,0
176,201282142,0,201539063,0
177,201286913,0,201285440,0
178,201295275,0,201438902,0
179,201299268,0,201257173,0
180,201304716,0,201507143,0
181,201308381,0,201494310,0
182,201309701,0,201552519,0
183,201312261,0,201309701,0
184,201312371,0,201214265,0
185,201313923,0,201309701,0
186,201314440,0,201314738,0
187,201315613,0,202130524,0
188,201327133,0,201493741,0
189,201327582,0,201323958,0
190,201328513,0,201357429,0
191,201347678,0,201345109,0
192,201347678,0,201348174,0
193,201348452,0,201348174,0
194,201349318,0,201349130,0
195,201349318,0,201447868,0
196,201351170,0,201448100,0
197,201352996,0,201516534,0
198,201355906,0,201493741,0
199,201360715,0,201360571,0
200,201360715,0,201378556,0
201,201363648,0,201494310,0
202,201366426,0,201365549,0
203,201371651,0,201370561,0
204,201375637,0,201350449,0
205,201375637,0,201447868,0
206,201389942,0,201130607,0
207,201391946,0,201391806,0
208,201392237,0,201212230,0
209,201392918,0,201392237,0
210,201412346,0,201238640,0
211,201414088,0,201238640,0
212,201417705,0,201239619,0
213,201434278,0,201214265,0
214,201445756,0,201445932,0
215,201449053,0,201448100,0
216,201453718,0,201448100,0
217,201457954,0,201989873,0
218,201463520,0,200277935,0
219,201463963,0,201494310,0
220,201468058,0,201350449,0
221,201469263,0,201544692,0
222,201469770,0,200752493,0
223,201474209,0,201494310,0
224,201489465,0,201494310,0
225,201494310,0,201544692,0
226,201504298,0,201503404,0
227,201505254,0,201448100,0
228,201505254,0,201539063,0
229,201506157,0,201350449,0
230,201510399,0,200138508,0
231,201510576,0,200138508,0
232,201544692,0,201494310,0
233,201548718,0,201249724,0
234,201548718,0,201392237,0
235,201549719,0,201309143,0
236,201549719,0,201552519,0
237,201552390,0,201369346,0
238,201553987,0,201552519,0
239,201554799,0,201552519,0
240,201560984,0,201369758,0
241,201562061,0,201369346,0
242,201566185,0,201369758,0
243,201569017,0,201493741,0
244,201570403,0,201494310,0
245,201572510,0,201214265,0
246,201573891,0,201573515,0
247,201586738,0,201370561,0
248,201587062,0,201345109,0
249,201590007,0,201545883,0
250,201590007,0,202038357,0
251,201592456,0,201382083,0
252,201592456,0,201448100,0
253,201619725,0,201617192,0
254,201629958,0,200792471,0
255,201629958,0,201629589,0
256,201630532,0,201854132,0
257,201634142,0,200628491,0
258,201634142,0,201637633,0
259,201634424,0,201617192,0
260,201634424,0,202576921,0
261,201643657,0,200298896,0
262,201644050,0,201629589,0
263,201645421,0,202425462,0
264,201646866,0,200792471,0
265,201651110,0,202179518,0
266,201656788,0,201494310,0
267,201657977,0,201369758,0
268,201661243,0,201494310,0
269,201661804,0,201448100,0
270,201661804,0,201573515,0
271,201666002,0,201417868,0
272,201675780,0,201447868,0
273,201695567,0,200452512,0
274,201754576,0,201698271,0
275,201761120,0,201770802,0
276,201763101,0,200519056,0
277,201776214,0,201822936,0
278,201785748,0,201779165,0
279,201790739,0,201493741,0
280,201800422,0,201493741,0
281,201808626,0,200146138,0
282,201819387,0,201493741,0
283,201821996,0,201771535,0
284,201827745,0,200102974,0
285,201827858,0,202130524,0
286,201848465,0,201831531,0
287,201848465,0,201834213,0
288,201855982,0,202016523,0
289,201856211,0,201835496,0
290,201860485,0,201860107,0
291,201860620,0,201040550,0
292,201867816,0,201866192,0
293,201883716,0,201926311,0
294,201909397,0,202038357,0
295,201909978,0,201238640,0
296,201909978,0,202038357,0
297,201910965,0,201904930,0
298,201912159,0,202050132,0
