,Synset Source,Synset Target
0,100001930,100001740
1,100002137,100001740
2,100002452,100001930
3,100002684,100001930
4,100003553,100002684
5,100003993,100003553
6,100004258,100003553
7,100004475,100004258
8,100005787,100004475
9,100005930,100004475
10,100006024,100004475
11,100006150,100004475
12,100006269,100004258
13,100006400,100004258
14,100006484,100004258
15,100007347,100001930
16,100007846,100004475
17,100007846,100007347
18,100015388,100004475
19,100017222,100004475
20,100019046,100004475
21,100019128,100003553
22,100019613,100020827
23,100019613,113809207
24,100020090,100020827
25,100020827,100001930
26,100021265,100020090
27,100021734,100020090
28,100021939,100003553
29,100022903,100021939
30,100023100,100002137
31,100023271,100023100
32,100023773,100023100
33,100024264,100002137
34,100024720,100024264
35,100026192,100024720
36,100027167,100002684
37,100027807,100024264
38,100028270,100024264
39,100028651,100024264
40,100029007,100028651
41,100029114,100028651
42,100029378,100023100
43,100029677,100001930
44,100030358,100029378
45,100031264,100002137
46,100031921,100002137
47,100032613,100031921
48,100032823,100031921
49,100033020,100002137
50,100033615,100002137
51,100034213,100029677
52,100034479,100037396
53,100034574,100037396
54,100034777,100690501
55,100034939,100209943
56,100035189,100037396
57,100035697,100428000
58,100035891,100037396
59,100036061,100037396
60,100036299,100035189
61,100036580,100035189
62,100036762,100035189
63,100037006,100035189
64,100037090,100035189
65,100037200,100035189
66,100037396,100030358
67,100038175,100037396
68,100038262,100037396
69,100038573,100038262
70,100038863,100038262
71,100039021,100037396
72,100039211,100039021
73,100039297,100039021
74,100039545,100039297
75,100039740,100039297
76,100039916,100037396
77,100039990,100039297
78,100040152,100039021
79,100040420,100040152
80,100040545,100040152
81,100040804,100040152
82,100040962,100040804
83,100041188,100037396
84,100041468,100037396
85,100041614,100742645
86,100041740,100041188
87,100041899,100030358
88,100042311,100030358
89,100042541,100030358
90,100042757,100030358
91,100043116,100036762
92,100043195,100030358
93,100043609,100030358
94,100043902,100036762
95,100044150,100030358
96,100044455,100030358
97,100044673,100030358
98,100044900,100030358
99,100045114,100030358
100,100045250,100030358
101,100045646,100036762
102,100045907,100030358
103,100046177,100030358
104,100046344,100036762
105,100046522,100030358
106,100047018,100036762
107,100047106,100035189
108,100047356,100047106
109,100047550,100047106
110,100047745,100035189
111,100047941,100035189
112,100048051,100035189
113,100048225,100035189
114,100048374,100037396
115,100048656,100048225
116,100048828,100048225
117,100049003,100048374
118,100049344,100049003
119,100049530,100049003
120,100049636,100049003
121,100049789,100049003
122,100049909,100191142
123,100050037,100049003
124,100050195,100048374
125,100050484,100050195
126,100050693,100050195
127,100050887,100050195
128,100051077,100050887
129,100051192,100048374
130,100051385,100051192
131,100051525,100049003
132,100051712,100051525
133,100051897,100051525
134,100052052,100048374
135,100052146,100048374
136,100052334,100048374
137,100052500,100048374
138,100052791,100305153
139,100053020,100042757
140,100053097,100042757
141,100053405,100042757
142,100053525,100053097
143,100053609,100042757
144,100053806,100053609
145,100053913,100042757
146,100054328,100053913
147,100054483,100053913
148,100054652,100053913
149,100054821,100053913
150,100055038,100054821
151,100055227,100053913
152,100055315,100053913
153,100055633,100055315
154,100055793,100055315
155,100055932,100055315
156,100056087,101123095
157,100056311,101123095
158,100056551,100056311
159,100056688,100053913
160,100056912,100053913
161,100057162,101076046
162,100057306,100056912
163,100057486,100053913
164,100057657,100042757
165,100057748,100052334
166,100057748,100952963
167,100058002,100052334
168,100058247,100058002
169,100058337,100042757
170,100058519,100042757
171,100058608,100046177
172,100058743,100046177
173,100059127,100058743
174,100059376,100059127
175,100059552,100059127
176,100059728,100059552
177,100059895,100059127
178,100059989,100058743
179,100060201,100058743
180,100060414,100058743
181,100060548,100058743
182,100060747,100058743
183,100060817,100058743
184,100061014,100035189
185,100061171,100044455
186,100061290,100042757
187,100061453,100061290
188,100061598,100211110
189,100061792,100211110
190,100061917,100061598
191,100062133,100061598
192,100062331,100062133
193,100062451,100061598
194,100062671,100062451
195,100062806,100035189
196,100063014,100062806
197,100063310,100063014
198,100063559,100063014
199,100063652,100062806
200,100064018,100063652
201,100064151,100064504
202,100064370,100064504
203,100064504,100063652
204,100064789,100063652
205,100065098,100198451
206,100065216,100063652
207,100065336,100063652
208,100065418,100063652
209,100065575,100063652
210,100065855,100062806
211,100066075,100065855
212,100066216,100030358
213,100066397,100074624
214,100066636,100066216
215,100066901,100066636
216,100067153,100066636
217,100067254,101234345
218,100067397,100067526
219,100067397,101234345
220,100067526,100066636
221,100067707,100067526
222,100067990,101073995
223,100068170,100063652
224,100068333,100066636
225,100068617,100068333
226,100068755,100066397
227,100068901,100066397
228,100069060,100066397
229,100069173,100068901
230,100069444,100069173
231,100069604,100068901
232,100069685,100069173
233,100069815,100069173
234,100069918,100069173
235,100070077,100780889
236,100070215,100069173
237,100070363,100030358
238,100070462,100069173
239,100070641,100030358
240,100070807,100069173
241,100070965,100066216
242,100071546,100568813
243,100071700,100568813
244,100071864,100074790
245,100072068,100066636
246,100072261,100070965
247,100072473,100070965
248,100072691,100070965
249,100072808,100070965
250,100073032,100072808
251,100073177,100072808
