,Synset Source,Synset Target
0,100800421,110084635
1,100928542,100928751
2,101313093,100015388
3,101313093,101342529
4,101313093,101465994
5,101313093,101759182
6,101313093,101762525
7,101313093,101767199
8,101313093,101906328
9,101313093,101908287
10,101313093,101908415
11,101313093,101908703
12,101313093,101918010
13,101313093,101918152
14,101313093,101918310
15,101313093,101921559
16,101313093,101921887
17,101313093,101923171
18,101313093,101923637
19,101313093,101924590
20,101313093,101928360
21,101313093,101928737
22,101313093,101929047
23,101313093,101929396
24,101313093,101934207
25,101313093,101938850
26,101313093,101939598
27,101313093,101940488
28,101313093,102313195
29,101313093,102313495
30,101313093,102314717
31,101313093,102315309
32,101313093,102315696
33,101313093,102316038
34,101313093,102316180
35,101313093,102316392
36,101331659,101332009
37,101331659,101332181
38,101332347,101332488
39,101332653,101332795
40,101333082,101330497
41,101333082,101330696
42,101333082,101330852
43,101333082,101330966
44,101333082,101331188
45,101333301,101333483
46,101333301,101340648
47,101333301,101340785
48,101341876,101342269
49,101341876,101347431
50,101341876,101354869
51,101341876,101379636
52,101341876,101388992
53,101347431,101347583
54,101353773,101353932
55,101354149,101354324
56,101354149,101354521
57,101354521,101354724
58,101354869,101351959
59,101354869,101352059
60,101354869,101352574
61,101354869,101353411
62,101354869,101355326
63,101354869,101356086
64,101354869,101357707
65,101354869,101357967
66,101354869,101360330
67,101354869,101370913
68,101354869,101373272
69,101354869,101374989
70,101354869,101377906
71,101354869,101378800
72,101354869,101381399
73,101356086,101354149
74,101356086,101356459
75,101356086,101364587
76,101356086,101366015
77,101356086,101367430
78,101356459,101356670
79,101356459,101356888
80,101356670,101349948
81,101356888,101357156
82,101356888,101357328
83,101356888,101357507
84,101357707,101358259
85,101357967,101358135
86,101357967,101358904
87,101358259,101358572
88,101358259,101359070
89,101358259,101359488
90,101359070,101359203
91,101359203,101359365
92,101359488,101359631
93,101359631,101359762
94,101360330,101360712
95,101360330,101361840
96,101360330,101361973
97,101360330,101362769
98,101360330,101363423
99,101360712,101360937
100,101360712,101361465
101,101360937,101353658
102,101360937,101361261
103,101361465,101361683
104,101361973,101362196
105,101361973,101362480
106,101362196,101362336
107,101362480,101362623
108,101362769,101362999
109,101362999,101363121
110,101363423,101363600
111,101363423,101364008
112,101363600,101363719
113,101364008,101364162
114,101364008,101364329
115,101364008,101364472
116,101364587,101364866
117,101365122,101365322
118,101365474,101365684
119,101366015,101366415
120,101366015,101366881
121,101366415,101366276
122,101366415,101366700
123,101366881,101367083
124,101367430,101353773
125,101367430,101367772
126,101367430,101368095
127,101367430,101368552
128,101367430,101368853
129,101367430,101369633
130,101367430,101370142
131,101367430,101370581
132,101368095,101368216
133,101368552,101368672
134,101368853,101368973
135,101369633,101369819
136,101370142,101370260
137,101370581,101370698
138,101370913,101371092
139,101370913,101372372
140,101371092,101371342
141,101371092,101371483
142,101372372,101372544
143,101372544,101372709
144,101373272,101373440
145,101373440,101373675
146,101373675,101373826
147,101374989,101375204
148,101374989,101375460
149,101374989,101375913
150,101374989,101376801
151,101375460,101375617
152,101375617,101375760
153,101375913,101376092
154,101376092,101376237
155,101376801,101376948
156,101376948,101377092
157,101377906,101378137
158,101377906,101378545
159,101378137,101378346
160,101378800,101379116
161,101378800,101379252
162,101379252,101379389
163,101379636,101379954
164,101379636,101380489
165,101379636,101380902
166,101379954,101380118
167,101379954,101380298
168,101380489,101380610
169,101380902,101381044
170,101380902,101381285
171,101381399,101381604
172,101381399,101382033
173,101381399,101382273
174,101381604,101381829
175,101382273,101382482
176,101382273,101382839
177,101382273,101383332
178,101382482,101382699
179,101382839,101383027
180,101382839,101383151
181,101383332,101383502
182,101383638,101383896
183,101383638,101384164
184,101386494,101347199
185,101386494,101387065
186,101386494,101387208
187,101386494,101387617
188,101386494,101388130
189,101386494,101389188
190,101386494,101399529
191,101386494,101399772
192,101386494,101406092
193,101386494,101407065
194,101386494,101413551
195,101386494,101421012
196,101387208,101387451
197,101389188,101389507
198,101389188,101389875
199,101389188,101394901
200,101389188,101416354
201,101389188,101421496
202,101389875,101390123
203,101389875,101390287
204,101389875,101391174
205,101390287,101390466
206,101390287,101390627
207,101390287,101390899
208,101390627,101390763
209,101390899,101391028
210,101391174,101391391
211,101391174,101391569
212,101391174,101392843
213,101391174,101393873
214,101391569,101391779
215,101391569,101391933
216,101391569,101392380
217,101391933,101392122
218,101392122,101392692
219,101392843,101393030
220,101392843,101393237
221,101392843,101393364
222,101392843,101393604
223,101393604,101393753
224,101393873,101394040
225,101393873,101394193
226,101393873,101394635
227,101394193,101394366
228,101394366,101394492
229,101394635,101394771
230,101394901,101395254
231,101394901,101395531
232,101394901,101395885
233,101394901,101396170
234,101394901,101396458
235,101394901,101396776
236,101395531,101395773
237,101395885,101396048
238,101396170,101396322
239,101396458,101396617
240,101396776,101396951
241,101399772,101400247
242,101399772,101400391
243,101399772,101400575
244,101399772,101400772
245,101399772,101400891
246,101399772,101401296
247,101400891,101401106
248,101401296,101401517
249,101401517,101401686
250,101401686,101401842
251,101402169,101402600
252,101402169,101402831
253,101402169,101403805
254,101402381,101402169
255,101402381,101403968
256,101402831,101403052
257,101403052,101403284
258,101403284,101403457
259,101403805,101404129
260,101403805,101404495
261,101404129,101404365
262,101404129,101404628
263,101404129,101404813
264,101404129,101405442
265,101404129,101405737
266,101404813,101405007
267,101404813,101405107
268,101404813,101405250
269,101405737,101405858
270,101406092,101406262
271,101406092,101406904
272,101406262,101406426
273,101406426,101406565
274,101406565,101406736
275,101407065,101407465
276,101407065,101407798
277,101407065,101408088
278,101407065,101412085
279,101407465,101408253
280,101407465,101408880
281,101407465,101409940
282,101407465,101410847
283,101407465,101411556
284,101408253,101408383
285,101408383,101408547
286,101408547,101408743
287,101408880,101409065
288,101408880,101409477
289,101409065,101409244
290,101409477,101409665
291,101409940,101410109
292,101410109,101410330
293,101410109,101410457
294,101410109,101410568
295,101410568,101410689
296,101410847,101411036
297,101410847,101411240
298,101411240,101411450
