,Synset Source,Synset Target
0,100004817,308860123
1,100075618,108860123
2,100076393,108860123
3,100089657,108860123
4,100092136,308860123
5,100149686,308860123
6,100162236,108860123
7,100167520,308860123
8,100168911,108860123
9,100184802,109044862
10,100204249,308890097
11,100209301,108860123
12,100218673,308860123
13,100223362,108921850
14,100259820,308860123
15,100261735,308860123
16,100292386,108860123
17,100293417,108831004
18,100307314,108860123
19,100309906,109189411
20,100310516,108999482
21,100370771,308890097
22,100385946,408890097
23,100407151,308890097
24,100448232,108921850
25,100450866,108860123
26,100459953,308860123
27,100461611,108890097
28,100470966,108860123
29,100479734,108860123
30,100501479,108860123
31,100504325,108921850
32,100504844,108860123
33,100504975,108860123
34,100505726,108921850
35,100505871,108860123
36,100508340,108860123
37,100510922,108860123
38,100514658,108860123
39,100518303,108766988
40,100530386,108929922
41,100538876,108860123
42,100542841,109044862
43,100550242,108860123
44,100575657,108860123
45,100585810,108860123
46,100593219,108860123
47,100619142,108860123
48,100637145,108860123
49,100653617,308860123
50,100710155,108723006
51,100710338,108723006
52,100710338,108921850
53,100780615,108860123
54,100782927,108715390
55,100782927,108900535
56,100795161,108860123
57,100817507,108860123
58,100825951,108921850
59,100826213,108921850
60,100826397,108921850
61,100854393,108860123
62,100858742,108860123
63,100874547,308860123
64,100882045,108860123
65,100896688,108860123
66,100897989,108860123
67,100936456,108921850
68,100962135,308890097
69,100964105,108871007
70,100970803,308860123
71,100972354,308860123
72,100985921,108860123
73,101012247,309044862
74,101019450,308860123
75,101020117,108860123
76,101027231,108921850
77,101027662,108806897
78,101027832,308860123
79,101054367,308860123
80,101064758,108860123
81,101068012,308890097
82,101070566,108860123
83,101076024,308890097
84,101084180,109044862
85,101087740,108860123
86,101088304,108820121
87,101118614,108860123
88,101126335,109044862
89,101129371,308860123
90,101135795,108860123
91,101138450,308860123
92,101151335,308801678
93,101164730,109023321
94,101172598,108860123
95,101177583,108860123
96,101178415,109044862
97,101242354,108860123
98,101258719,109044862
99,101268457,108780881
100,101268837,308860123
101,101269161,108929922
102,101269360,109146111
103,101269633,109076675
104,101269819,308860123
105,101269857,108758172
106,101270153,108890097
107,101270343,108980300
108,101270628,108860123
109,101270860,108914573
110,101271107,108941681
111,101271428,108929922
112,101271669,109221900
113,101271915,108766988
114,101272134,109007723
115,101272367,108884012
116,101272582,108849753
117,101272787,108859173
118,101273081,108890097
119,101273230,108740875
120,101273491,109148970
121,101273735,109095751
122,101274000,108801678
123,101274171,108801678
124,101274374,109200874
125,101274531,108780881
126,101274733,108929922
127,101274741,308860123
128,101274909,109148970
129,101275142,108740875
130,101275389,109140148
131,101275697,109053185
132,101275934,108722844
133,101275934,108954611
134,101276194,109256663
135,101276436,109137869
136,101276634,108929922
137,101276875,108917503
138,101277065,108789970
139,101277288,109039411
140,101277540,109163192
141,101277755,108859173
142,101277938,108929922
143,101278232,108897065
144,101278509,108839475
145,101278692,108871007
146,101278873,108849753
147,101279120,109118181
148,101279342,109148970
149,101279615,109134386
150,101279866,108701942
151,101280055,108843735
152,101280308,109301249
153,101280514,108871007
154,101280792,108771596
155,101280990,108955626
156,101281154,108900535
157,101281427,108701942
158,101281638,108701942
159,101281813,108929922
160,101281874,308860123
161,101282022,109382990
162,101282289,108766988
163,101282466,108761244
164,101282711,109075842
165,101282966,108839714
166,101283185,108801678
167,101283389,108890097
168,101283565,108780881
169,101283753,108780881
170,101283935,109095023
171,101284124,108980300
172,101284444,109108164
173,101284928,108900535
174,101285101,108915784
175,101285305,108766988
176,101285784,108801678
177,101286000,108871007
178,101286181,108981244
179,101286393,108780881
180,101286569,108780881
181,101286745,108801678
182,101286938,108871007
183,101287179,108801678
184,101287431,108929922
185,101287782,109080989
186,101288057,108766988
187,101288272,109112282
188,101288549,108871007
189,101288795,108780881
190,101289061,108924400
191,101289444,109029242
192,101289631,108791167
193,101289830,108929922
194,101289997,108900535
195,101290162,108810999
196,101290435,109148970
197,101290711,108780881
198,101290840,108961630
199,101290997,109382990
200,101291310,108900535
201,101291517,108789243
202,101291674,108714132
203,101291839,108929922
204,101292017,108722844
205,101292200,108740875
206,101292343,108915372
207,101292553,108801678
