,Synset Source,Synset Target
0,100003846,407075172
1,100004817,307075172
2,100005839,306321054
3,100008007,407075172
4,100009373,407157273
5,100009541,407075172
6,100010466,406307152
7,100011093,406307152
8,100011516,406307152
9,100015135,406321054
10,100015471,407075172
11,100017077,406322693
12,100019505,307075172
13,100020647,307075172
14,100022437,307075172
15,100025144,406321054
16,100025290,407075172
17,100025559,407075172
18,100025728,407075172
19,100032299,406321054
20,100032598,407075172
21,100033077,307075172
22,100033809,407075172
23,100036580,107105475
24,100037470,407106246
25,100037876,407154330
26,100038013,406321054
27,100038573,107105475
28,100039318,407075172
29,100040962,106295235
30,100043521,407073447
31,100046449,407157273
32,100046639,406321054
33,100054950,407075172
34,100056916,407075172
35,100057042,407075172
36,100057388,407075172
37,100058033,407075172
38,100064151,107105475
39,100064370,107105475
40,100064789,107105475
41,100065418,106295235
42,100067379,306322693
43,100071242,306307152
44,100074641,407155661
45,100075283,107091902
46,100078463,307156497
47,100080861,307124340
48,100089076,407075172
49,100091032,407075172
50,100092136,307075172
51,100095873,306605046
52,100097522,406321054
53,100101752,407075172
54,100104088,107075172
55,100104661,407075172
56,100111269,406321054
57,100112009,406321054
58,100115094,307075172
59,100115193,307075172
60,100115906,307075172
61,100118727,407075172
62,100132532,406321054
63,100140542,306307152
64,100144722,407075172
65,100146594,406321054
66,100147386,406321054
67,100147876,407075172
68,100148139,407075172
69,100161630,407075172
70,100164676,407075172
71,100167520,307075172
72,100168428,407154330
73,100168564,407075172
74,100179916,106295235
75,100182199,406321054
76,100183090,406321054
77,100200614,407075172
78,100206750,306307152
79,100207547,306307152
80,100212604,406321054
81,100218673,307075172
82,100227507,306693870
83,100228876,307075172
84,100229630,306693870
85,100230335,306322693
86,100230940,306322693
87,100231252,306322693
88,100231761,306322693
89,100232936,407073447
90,100234675,106605046
91,100236338,306307152
92,100240707,401204055
93,100244820,307073447
94,100245458,307073447
95,100246296,406321054
96,100255614,401204055
97,100256237,307073447
98,100265314,307075172
99,100277064,407073447
100,100277585,407075172
101,100289088,407073447
102,100294463,307075172
103,100296061,306307152
104,100314835,406321054
105,100323262,107075172
106,100326608,307073447
107,100341184,207157273
108,100341655,307075172
109,100349967,406321054
110,100354033,407075172
111,100355080,407075172
112,100359806,207157273
113,100361041,107157273
114,100398843,407073447
115,100407802,406322693
116,100408021,406693870
117,100415988,106295235
118,100415988,107073447
119,100420004,407073447
120,100426140,407075172
121,100426278,407075172
122,100429274,406321054
123,100437223,307075172
124,100439905,307075172
125,100443618,306322693
126,100452114,307075172
127,100455717,307073447
128,100456929,307075172
129,100457228,106295235
130,100458266,307075172
131,100459953,307075172
132,100472323,407075172
133,100475996,307073447
134,100476819,307075172
135,100478311,307075172
136,100482580,307073447
137,100492745,407073447
138,100499263,106851742
139,100502161,106851742
140,100505238,106851742
141,100505615,106851742
142,100508800,106295235
143,100508952,106295235
144,100510050,106295235
145,100518770,106295235
146,100532560,307075172
147,100549675,307073447
148,100551714,106295235
149,100572392,307073447
150,100577357,106295235
151,100580190,107075172
152,100580565,107105475
153,100583089,107075172
154,100585174,106295235
155,100590241,207075172
156,100607857,307157273
157,100616398,107091902
158,100624913,307156497
159,100627437,106295235
160,100653617,307075172
161,100671593,307073447
162,100680156,307075172
163,100680634,307075172
164,100694773,307075172
165,100703366,307073447
166,100705616,307073447
167,100705776,307073447
168,100733632,307075172
169,100735882,307075172
170,100748563,307075172
171,100750054,307075172
172,100753973,107105475
173,100765289,307075172
174,100780615,107157273
175,100783063,107157273
176,100784934,107157273
177,100797468,107075172
178,100798103,307157273
179,100799401,307075172
180,100800121,106295235
181,100802785,107075172
182,100806243,307075172
183,100808614,307157273
184,100811036,107157273
185,100811248,307075172
186,100814611,306322693
187,100815586,306307152
188,100846021,107124340
189,100846021,107157273
190,100850875,307075172
191,100854393,107075172
192,100855301,107157273
193,100855309,307075172
194,100856193,107157273
195,100882045,107157273
196,100886448,307075172
197,100896688,107157273
198,100901650,307075172
199,100916383,306307152
200,100919984,307075172
201,100933415,307075172
202,100935005,106295235
203,100959645,106295235
204,100962135,307073447
205,100968957,307157273
206,100971660,307075172
207,100972354,307075172
208,100972501,307075172
209,100975011,307075172
210,100975778,307075172
211,100976016,307075172
212,100993787,107157273
213,101004051,306964901
214,101019450,307075172
215,101030152,106295235
216,101042764,106295235
217,101043333,106295235
218,101054367,307075172
219,101055688,106295235
220,101057103,306307152
221,101075524,307075172
222,101077995,306307152
223,101078178,306307152
224,101084644,306307152
225,101086213,307075172
226,101090117,106295235
227,101092727,307154330
228,101096674,107075172
229,101107726,106295235
230,101118232,306307152
231,101123879,307075172
232,101127440,307075172
233,101127782,307075172
234,101128871,307106246
235,101129021,307075172
236,101129533,307157273
237,101130735,106964901
238,101138450,307075172
239,101149793,106295235
240,101172598,107075172
241,101201298,307075172
242,101201758,307157273
243,101209542,306307152
244,101210152,207157273
245,101218660,306307152
246,101222100,306307152
247,101223877,106295235
248,101229350,106295235
249,101229549,106295235
250,101236941,207155661
251,101251830,307073447
252,101252566,308860123
253,101253112,307073447
