,Synset Source,Synset Target
0,200030142,303154649
1,200069012,303149478
2,200117757,303150301
3,200117757,303150431
4,200123170,303152135
5,200144446,303153361
6,200167535,303153255
7,200181005,303150124
8,200185698,303150670
9,200215661,303153960
10,200238867,303151122
11,200298420,303151871
12,200364629,303151423
13,200364629,303151582
14,200365810,303154463
15,200497391,303154649
16,200538571,303155193
17,200538571,303155306
18,200554468,303153554
19,200869596,303148333
20,200869596,303148487
21,200914420,303153653
22,200991683,303152480
23,201072949,303152015
24,201153486,303147281
25,201153486,303147408
26,201183573,303149732
27,201183573,303149843
28,201216670,303149169
29,201315613,303154886
30,201359432,303154362
31,201380638,303147919
32,201380638,303148137
33,201493380,303151302
34,201503404,303154289
35,201525666,303150985
36,201589497,303147643
37,201593937,303154143
38,201619354,303153155
39,201624897,303147543
40,201633343,303152577
41,201660547,303150897
42,201661096,303153755
43,201675245,303149025
44,201688604,303151711
45,201853882,303153849
46,201871979,303148831
47,201881180,303153018
48,201959340,303147793
49,201996735,303150569
50,202000868,303152874
51,202066757,303154786
52,202072849,303148724
53,202142775,303152249
54,202142775,303152350
55,202323870,303154986
56,202352824,303148653
57,202441897,303149347
58,202499629,303152759
59,202659763,303149960
60,202694548,303149619
61,300002312,400512503
62,300002527,400512597
63,300005205,400007488
64,300005599,400367568
65,300005599,400502098
66,300006032,400160834
67,300009046,400264555
68,300009618,400266258
69,300009978,400349855
70,300010726,400439393
71,300010726,400493732
72,300011327,400422619
73,300011757,400197947
74,300012362,400289586
75,300013160,400197811
76,300013887,400214554
77,300014490,400279867
78,300014858,400214554
79,300015247,400335544
80,300015247,400390147
81,300016005,400439257
82,300016756,400003093
83,300017782,400055312
84,300017782,400055518
85,300019874,400204390
86,300020787,400231620
87,300021110,400231620
88,300021766,400204523
89,300023278,400203922
90,300023383,400204643
91,300023854,400204125
92,300023854,400338292
93,300029933,400276391
94,300030508,400427685
95,300032733,400189615
96,300034322,400298062
97,300038750,400079617
98,300039592,400079748
99,300040058,400471498
100,300042837,400293329
101,300044132,400060032
102,300044353,400300891
103,300044760,400140759
104,300045123,400140884
105,300048460,400291083
106,300051696,400369869
107,300053691,400466457
108,300061262,400056054
109,300061664,400230996
110,300062367,400299059
111,300062367,400310533
112,300063277,400056200
