,Synset Source,W_Num Source,Synset Target,W_Num Target
0,100006484,0,302685299,0
1,100006484,0,302685539,0
2,100006484,0,302685946,0
3,100006484,0,302686159,0
4,100006484,0,302820395,0
5,100007846,0,380000054,0
6,100015388,0,302656121,0
7,100015388,0,302891444,0
8,100017222,0,302833235,0
9,100021939,0,302986740,0
10,100023271,0,302898584,0
11,100023773,0,302766328,0
12,100027807,0,303136057,0
13,100028270,0,302810882,0
14,100028270,0,380000102,0
15,100028651,0,302841066,0
16,100028651,0,302841422,0
17,100028651,0,380000102,0
18,100033020,0,302956371,0
19,100033615,0,302932081,0
20,100034213,0,302859708,0
21,100035697,0,302608244,0
22,100053097,0,302822472,0
23,100053525,0,302822229,0
24,100057486,0,303109261,0
25,100078536,0,302626177,0
26,100082347,0,302824194,0
27,100083975,0,302636123,0
28,100094001,0,303109399,0
29,100094001,0,303144441,0
30,100095121,0,302940509,0
31,100098939,0,302795489,0
32,100106272,0,303144729,0
33,100143885,0,302773293,0
34,100152727,0,302975538,0
35,100153105,0,302783412,0
36,100163779,0,302635794,0
37,100180962,0,302717538,0
38,100185778,0,303029573,0
39,100193225,0,303139585,0
40,100207761,0,302724308,0
41,100208141,0,302762782,0
42,100227595,0,303113271,0
43,100228283,0,303138752,0
44,100252662,0,303105129,0
45,100266645,0,302823423,0
46,100283127,0,302994448,0
47,100283951,0,302616345,0
48,100296585,0,303103380,0
49,100296585,0,303103520,0
50,100299217,0,302721220,0
51,100317207,0,302710438,0
52,100324384,0,302644050,0
53,100338271,0,302791161,0
54,100342028,0,303112379,0
55,100366207,0,303143502,0
56,100373862,0,302794853,0
57,100378296,0,302748097,0
58,100386450,0,302837404,0
59,100386676,0,303115053,0
60,100394242,0,302652490,0
61,100397953,0,303097289,0
62,100411235,0,302666029,0
63,100411717,0,302730304,0
64,100412839,0,303052770,0
65,100426928,0,302787831,0
66,100428270,0,303123695,0
67,100432689,0,302654442,0
68,100433802,0,302849732,0
69,100445802,0,303104585,0
70,100454121,0,303100315,0
71,100488225,0,302731334,0
72,100499924,0,302664215,0
73,100523513,0,302801749,0
74,100523513,0,302801839,0
75,100523513,0,302907656,0
76,100542584,0,303107450,0
77,100545059,0,303004701,0
78,100577068,0,303014288,0
79,100582388,0,302771328,0
80,100582388,0,302894591,0
81,100583246,0,302840478,0
82,100608896,0,302895418,0
83,100609868,0,302727579,0
84,100609953,0,302839505,0
85,100611143,0,302754197,0
86,100611972,0,302857587,0
87,100612160,0,302760116,0
88,100612160,0,302760500,0
89,100612160,0,302760615,0
90,100617692,0,303106846,0
91,100618436,0,302792080,0
92,100627664,0,302675196,0
93,100633108,0,303063305,0
94,100640889,0,302918844,0
95,100641109,0,302918724,0
96,100642045,0,303063601,0
97,100646833,0,302976870,0
98,100647147,0,302781425,0
99,100647536,0,302700615,0
100,100647919,0,302601564,0
101,100649482,0,302918132,0
102,100649482,0,302918271,0
103,100649760,0,380000046,0
104,100650743,0,302918490,0
105,100661091,0,302914213,0
106,100662340,0,302693533,0
107,100663333,0,302746724,0
108,100667096,0,302652124,0
109,100670897,0,380000133,0
110,100671351,0,302888968,0
111,100671351,0,302889157,0
112,100683012,0,380000024,0
113,100700000,0,302889619,0
114,100704305,0,302913428,0
115,100710692,0,303073110,0
116,100710889,0,303072966,0
117,100711127,0,303074039,0
118,100733883,0,302817999,0
119,100738372,0,303129648,0
120,100750405,0,303100184,0
121,100785045,0,303051889,0
122,100800421,0,302839357,0
123,100804909,0,303074368,0
124,100810598,0,303110952,0
125,100815801,0,302909006,0
126,100830811,0,302680242,0
127,100830811,0,303110322,0
128,100831191,0,302609168,0
129,100832092,0,380000073,0
130,100833491,0,380000066,0
131,100835267,0,303110610,0
132,100836788,0,302749365,0
133,100836788,0,303110485,0
134,100842692,0,302804905,0
135,100845523,0,302887741,0
136,100848891,0,302748216,0
137,100849982,0,302785130,0
138,100850260,0,302665212,0
139,100850260,0,302665367,0
140,100859001,0,302894436,0
141,100859001,0,302913870,0
142,100860434,0,302649399,0
143,100861894,0,302722083,0
144,100862310,0,302883914,0
145,100862399,0,302757215,0
146,100862488,0,303126922,0
147,100868910,0,302907473,0
148,100870640,0,302909168,0
149,100874457,0,302603926,0
150,100876542,0,302618668,0
151,100876542,0,302650214,0
152,100876874,0,302868326,0
153,100876874,0,302945377,0
154,100878328,0,302799877,0
155,100883297,0,380000038,0
156,100887081,0,302945971,0
157,100887081,0,302981759,0
158,100887882,0,302982102,0
159,100888409,0,303099638,0
160,100903309,0,302786744,0
161,100903559,0,302838592,0
162,100904428,0,302837145,0
163,100904623,0,302998438,0
164,100904904,0,303130858,0
165,100905336,0,380000075,0
166,100905742,0,380000077,0
167,100916285,0,302632799,0
168,100916464,0,302790222,0
169,100917759,0,302872362,0
170,100918383,0,302927048,0
171,100918976,0,302790474,0
172,100921399,0,302729544,0
173,100923303,0,303116224,0
174,100923444,0,302748635,0
175,100924579,0,302681881,0
176,100931721,0,302909808,0
177,100938240,0,303106446,0
178,100952386,0,302754618,0
179,100952386,0,303118960,0
180,100962129,0,302919100,0
181,100962722,0,302835481,0
182,100963057,0,302845871,0
183,100963749,0,302845704,0
184,100980904,0,302775417,0
185,100996513,0,302752787,0
186,100998037,0,302602644,0
187,100998196,0,302611290,0
188,100998329,0,302622386,0
189,100998423,0,302622493,0
190,100998604,0,302629017,0
191,100998982,0,302648270,0
192,100999089,0,302660337,0
193,101001814,0,302675738,0
194,101002413,0,303002841,0
195,101003272,0,302777548,0
196,101003435,0,302708649,0
197,101012712,0,303018802,0
198,101013770,0,303018498,0
199,101016420,0,303006854,0
200,101016628,0,303007038,0
201,101021270,0,302720203,0
202,101023636,0,303103198,0
203,101026897,0,302782367,0
204,101027859,0,302892389,0
205,101029406,0,302892656,0
206,101030033,0,302609065,0
207,101031023,0,303111832,0
208,101031563,0,302989069,0
209,101033184,0,302994312,0
210,101034925,0,302931227,0
211,101035853,0,302715802,0
212,101036996,0,303137130,0
213,101037469,0,302843495,0
214,101037819,0,303047071,0
215,101044084,0,302931096,0
216,101044867,0,302662692,0
217,101051331,0,302782629,0
218,101053920,0,303109795,0
219,101057759,0,302611694,0
220,101060745,0,302986218,0
221,101065057,0,302833331,0
222,101089483,0,303006699,0
223,101089635,0,302691390,0
224,101090446,0,303137558,0
225,101098698,0,302847894,0
226,101098698,0,302848119,0
227,101103000,0,302910248,0
228,101105737,0,302889746,0
229,101116206,0,302809958,0
230,101116360,0,303124931,0
231,101123095,0,302895861,0
232,101127379,0,303017922,0
233,101133281,0,302714263,0
234,101133281,0,302904223,0
235,101150096,0,303143502,0
236,101160342,0,302779420,0
237,101169744,0,302701775,0
238,101185611,0,303044083,0
239,101186810,0,302859221,0
240,101216191,0,302806435,0
241,101220984,0,302941652,0
242,101226679,0,302661446,0
243,101237872,0,302688016,0
244,101238424,0,302615587,0
245,101238607,0,302824040,0
246,101240432,0,302990035,0
247,101248961,0,302795399,0
248,101316579,0,302668695,0
249,101316579,0,302668839,0
250,101317089,0,302753345,0
251,101328302,0,302989167,0
252,101328702,0,302880201,0
253,101334862,0,302657454,0
254,101341876,0,302834164,0
255,101348530,0,302657741,0
256,101348530,0,302833544,0
257,101349948,0,302656930,0
258,101350855,0,302698898,0
259,101357328,0,302986098,0
260,101357707,0,302833979,0
261,101358259,0,302833979,0
262,101364008,0,303128963,0
263,101371483,0,302892277,0
264,101372709,0,302695045,0
265,101375204,0,302602784,0
266,101379389,0,302802694,0
267,101380754,0,302839036,0
268,101381044,0,303142114,0
269,101383638,0,302778943,0
270,101384491,0,303014485,0
271,101384687,0,302833692,0
272,101385017,0,302915666,0
273,101385017,0,303064076,0
