,Synset Source,Synset Target
0,100003553,103892891
1,100003553,104164989
2,100004475,100006484
3,100004475,105220461
4,100006484,105312782
5,100006484,105431585
6,100006484,105432948
7,100006484,105434927
8,100006484,105445668
9,100006484,105447087
10,100007846,104617562
11,100007846,105217168
12,100015388,105538625
13,100015388,105601198
14,100017222,109305358
15,100017222,113086908
16,100021265,107555863
17,100028651,100027167
18,100028651,108502171
19,100041740,100104409
20,100041740,100476788
21,100052500,100281752
22,100100253,101053207
23,100122661,100123652
24,100142361,107003672
25,100142361,107004057
26,100153105,100177127
27,100185778,100677299
28,100243373,107240077
29,100243918,100248063
30,100243918,100248368
31,100247442,100247955
32,100255710,100396642
33,100283568,100285889
34,100306426,100306900
35,100314469,100815173
36,100315986,100319176
37,100349213,100080743
38,100349213,100080968
39,100434075,100438065
40,100436187,100437321
41,100440747,100298047
42,100445351,100342565
43,100447540,100812977
44,100452034,115245244
45,100459727,106288947
46,100460951,100460844
47,100461782,100462116
48,100462804,102881546
49,100462804,103589672
50,100463246,100556313
51,100463246,115233778
52,100463246,115233989
53,100463246,115256915
54,100463246,115274305
55,100463543,100239024
56,100463543,100562935
57,100463543,101264795
58,100468480,115257829
59,100470966,100471277
60,100476389,100128324
61,100476389,100457228
62,100478262,101264933
63,100480993,100110057
64,100480993,100140112
65,100480993,100481666
66,100480993,100563494
67,100480993,115257829
68,100482298,100071700
69,100482298,100566298
70,100482298,107475242
71,100482298,113610426
72,100482298,113610540
73,100488225,100091503
74,100488225,100340463
75,100488225,100489475
76,100488225,100803394
77,100488225,101085337
78,100488225,101256270
79,100488225,101259211
80,100488225,107192511
81,100490569,101259380
82,100490569,106737112
83,100490569,106737394
84,100490569,107474645
85,100491901,100492083
86,100499924,100500280
87,100499924,100500449
88,100499924,100500669
89,100499924,100500927
90,100501080,100500280
91,100501080,100500449
92,100501080,100500669
93,100501080,100500927
94,100502952,103011521
95,100503237,100166355
96,100503237,103011521
97,100508952,101245813
98,100519333,108614746
99,100522939,100299826
100,100522939,100300206
101,100522939,100300333
102,100527695,100533922
103,100528667,100529224
104,100528667,100529400
105,100528667,100529511
106,100528667,107009640
107,100529224,100526259
108,100539951,100540701
109,100539951,100540895
110,100539951,100541035
111,100539951,100541178
112,100543233,115286042
113,100550771,100548326
114,100565302,100211776
115,100570066,100574227
116,100570366,100574430
117,100570683,100574925
118,100570854,100574790
119,100571060,100574608
120,100571283,100574430
121,100575214,100575083
122,100620424,100223854
123,100626838,100626423
124,100639556,105798569
125,100639556,105798863
126,100649760,113528100
127,100657604,100153105
128,100658082,104074482
129,100668552,105246215
130,100670250,100669481
131,100671351,100676834
132,100671351,100678010
133,100671351,100716055
134,100693399,105246215
135,100700000,100661847
136,100799537,100749232
137,100831191,100835267
138,100831191,100836788
139,100832626,100659349
140,100832626,100831919
141,100834636,100837675
142,100838367,100278810
143,100845523,100845178
144,100860434,114736201
145,100883297,100728849
146,100883297,100728975
147,100883297,100729108
148,100883297,100729285
149,100884466,100885088
150,100884466,100889472
151,100884466,100892861
152,100884466,101232246
153,100886039,100890941
154,100892861,100893088
155,100895135,100895292
156,100895501,100896348
157,100895501,100959992
158,100916464,100918820
159,100916464,100921790
160,100972621,100974444
161,100973077,100953559
162,100973077,100964343
163,100973077,101237167
164,101027859,100541479
165,101032040,107190290
166,101033345,107036203
167,101035853,101036194
168,101035853,101036333
169,101039140,100094240
170,101039822,100165298
171,101042465,107033753
172,101042661,107033913
173,101090446,101105259
174,101094725,101095753
175,101097292,101094725
176,101104637,100608896
177,101104637,100609236
178,101104637,100609669
179,101104637,100617989
180,101104637,100618119
181,101104637,100618264
182,101112420,101112885
183,101112420,101113068
184,101112420,107247071
185,101170962,101173038
186,101174251,101174645
187,101195867,101197928
188,101195867,101198307
189,101195867,101198750
190,101287431,101293167
191,101299735,101295918
192,101301630,101269633
193,101301630,101273491
194,101301630,101274909
195,101301630,101275389
196,101301630,101275697
197,101301630,101279342
198,101301630,101279615
199,101301630,101280308
200,101301630,101282711
201,101301630,101290435
202,101301630,101294502
203,101301630,101298797
204,101301630,101299735
205,101302086,101273735
206,101302086,101276436
207,101302086,101279120
208,101302086,101283935
209,101302086,101288272
210,101302086,101294127
211,101302086,101300242
212,101302935,101285101
213,101304121,101277755
214,101304121,101286938
215,101304121,101288549
216,101305147,101276634
217,101305551,101280990
218,101305551,101299994
219,101306007,101273230
220,101306007,101275142
221,101306358,101269857
222,101306358,101272134
223,101306358,101280792
224,101306358,101282289
225,101306358,101286745
226,101306358,101297706
227,101306358,101299037
228,101306358,101299476
229,101306736,101280514
230,101306911,101268886
231,101307090,101289631
232,101307299,101268633
233,101307299,101274000
234,101307299,101283185
235,101307299,101287179
236,101307299,101301423
237,101308260,101298162
238,101308438,101288057
239,101308438,101292928
240,101308438,101304820
241,101308668,101286181
242,101308668,101293832
243,101309109,101285305
244,101309109,101292735
245,101310347,101278873
246,101310536,101272787
247,101310789,101271915
248,101311045,101272367
249,101311520,101271428
250,101311520,101274171
251,101311520,101277288
252,101311520,101282466
253,101311520,101287431
254,101311520,101294791
255,101311520,101295373
256,101311520,101296505
257,101311520,101298573
258,101311520,101300508
259,101311520,101300782
260,101311520,101301080
261,101312096,101270343
262,101312096,101270628
263,101312096,101271107
264,101312096,101271669
265,101312096,101276194
266,101312096,101277938
267,101312096,101278232
268,101312096,101278509
269,101312096,101280055
270,101312096,101282022
271,101312096,101282966
272,101312096,101284124
273,101312096,101287782
274,101312096,101289061
275,101312096,101290997
276,101312096,101293438
277,101312096,101293650
278,101312096,101295528
279,101312096,101296697
280,101312096,101299224
281,101326291,101902132
282,101329935,101329794
283,101355326,101458302
284,101383638,101996585
285,101389507,101458010
286,101413942,111548728
287,101439808,107779123
288,101444922,107779895
289,101445429,107779263
290,101458842,105520479
291,101459791,105418177
292,101459791,105520479
293,101460108,114019296
294,101460108,114019441
295,101460457,101460963
296,101460457,101464844
297,101461646,101459242
298,101461646,101462209
299,101462544,101462945
300,101462945,101463115
301,101471682,102157415
302,101471682,102157557
303,101471682,102158213
304,101471682,105279026
305,101471682,105552607
306,101471682,105563034
307,101471682,105566097
308,101472502,101472638
309,101472502,101472939
310,101472939,101473188
311,101473806,102465084
312,101503061,101758308
313,101503061,101895355
314,101503061,101896031
315,101503061,102151625
316,101503061,102152446
317,101503061,102154416
318,101503061,102158354
319,101503061,102463611
320,101503061,102467746
321,101503061,102468017
322,101503061,102511633
323,101503061,107644382
324,101517966,105228374
325,101627424,102465929
326,101640846,107868684
327,101662784,101903756
328,101662784,101904029
329,101754876,101754737
330,101767661,101903498
331,101767661,101903756
332,101767661,101905121
333,101767661,105225439
334,101767661,105553618
335,101784293,101901348
336,101789386,101792255
337,101789740,101895219
338,101789740,107644706
339,101790557,107646163
340,101791625,107644967
341,101795088,107647115
342,101803362,107647602
343,101806567,107647321
344,101809106,107646284
345,101814370,107646403
346,101846331,101896735
347,101846331,107646578
348,101853195,101896844
349,101855672,101896960
350,101855672,107646821
351,101858441,101897053
352,101861778,101898731
353,101861778,105254393
354,101862399,102370265
355,101862399,105554189
356,101871265,101465713
357,101887896,107665308
358,101893825,101900837
359,101896031,101897991
360,101896031,102468617
361,101897991,101898185
362,101899062,101898906
363,101899894,101900006
364,101905661,102322213
365,101905661,102511510
366,101909422,101905543
367,101918744,101918585
368,101918744,101921440
369,101924916,101458509
370,101940736,101903756
371,101940736,107783210
372,101956481,107786686
373,101957335,107787429
374,101958038,107786856
375,101960177,107787613
376,101960459,107786164
377,101961059,107786484
378,101964271,107783550
379,101965889,107797641
380,101966377,107798025
381,101966586,107797913
382,101970164,107782365
383,101971280,107781801
384,101974773,101975117
385,101974773,102156532
386,101977485,107788730
387,101978287,107788609
388,101979874,107787980
389,101981276,107788435
390,101982650,102585446
391,101983048,107792725
392,101983481,107792926
393,101984245,107793521
394,101984695,107793260
395,101985493,107788885
396,101985797,107788885
397,101986806,102585446
398,101986806,107794159
399,101987727,107794353
400,101990800,102585446
401,102003204,101897851
402,102062017,102465084
403,102062430,102158619
404,102062430,105250420
405,102083346,102439929
406,102084071,102158846
407,102120997,102439929
408,102129165,101899746
409,102139199,102151625
410,102151625,101897667
411,102151625,102468864
412,102153959,102154133
413,102153959,105577654
414,102154416,102156413
415,102154620,101898328
416,102156871,102439728
417,102156871,102439829
418,102156871,102463403
419,102156871,102463611
420,102156871,102463810
421,102156871,102464223
422,102156871,102464327
423,102156871,102464626
424,102156871,102464965
425,102157285,102464327
426,102157557,102158972
427,102159117,102462066
428,102159117,102462349
429,102159117,102462464
430,102159955,101903631
431,102159955,102151625
432,102159955,102151940
433,102159955,102467884
434,102159955,102665543
435,102159955,105277100
436,102188699,102152212
437,102190166,102190465
438,102300797,102468178
439,102302620,102468178
440,102316707,102151448
441,102316707,102317025
442,102316707,102322387
443,102324045,102158739
444,102324850,107666521
445,102325366,107666521
446,102326432,107666521
447,102346627,101900837
448,102370806,102153959
449,102370806,102462828
450,102370806,102463205
451,102374451,101899894
452,102374451,101902274
453,102374451,102159117
454,102374451,102462602
455,102374451,102463913
456,102374451,105539012
457,102374451,107666406
458,102395406,102439568
459,102395406,107668702
460,102396427,101465713
461,102399000,102399424
462,102399000,102399648
463,102399000,102399791
464,102399000,102399942
465,102402425,107663592
466,102403003,102462602
467,102403325,101325417
468,102403454,102370360
469,102403454,105539012
470,102410702,107663492
471,102411705,102439568
472,102411705,102462602
473,102411999,102370360
474,102412080,101325417
475,102413131,107666733
476,102413131,107667151
477,102416519,101325417
478,102416519,102416270
479,102416964,102370360
480,102430045,101325658
481,102430045,102158739
482,102430045,102158846
483,102430045,102462602
484,102439929,102440523
485,102452464,102452637
486,102453108,102665413
487,102462066,102462213
488,102462828,102463024
489,102464327,102462828
490,102464626,102463205
491,102464626,102463913
492,102464626,102464065
493,102464785,102440121
494,102464965,102468368
495,102466132,101900719
496,102472293,102463403
497,102472293,105217168
498,102472293,105255578
499,102472293,105256085
500,102472293,105539138
501,102472293,105563266
502,102472293,105563770
503,102472293,105564590
504,102472293,105600637
505,102503517,101465713
506,102503517,102452967
507,102504770,102452967
508,102512053,101903110
509,102512053,102322624
510,102512053,102322712
511,102512053,102465929
512,102512053,102466132
513,102512053,102466957
514,102512053,102467491
515,102522722,107789063
516,102523110,107778680
517,102523877,107789541
518,102524202,107789240
519,102524659,107778494
520,102525382,107778810
521,102526818,107783967
522,102530637,107798357
523,102530637,107799874
524,102531114,107785631
525,102532028,107784522
526,102532918,107798985
527,102534734,107795751
528,102535537,107796005
529,102536165,107796165
530,102536456,107796321
531,102536864,107796468
532,102537319,107794744
533,102537525,107794605
534,102538010,107795019
535,102538216,107794893
536,102538985,107795133
537,102539573,107795459
538,102540412,107798554
539,102540791,107798728
540,102540983,107798872
541,102548247,107779747
542,102553028,107784991
543,102557182,107780173
544,102557318,107780173
545,102561108,107779375
546,102561514,107779535
547,102562315,107780307
548,102562796,107780486
549,102563182,107777358
550,102564270,107777512
551,102565072,107777840
552,102565324,107777735
553,102566834,107777945
554,102568959,107778224
555,102573704,107785783
556,102579557,107781689
557,102581957,107778938
558,102586543,107797189
559,102587051,107797357
560,102590702,107777189
561,102593019,107797189
562,102593453,107790246
563,102593679,107790081
564,102596381,107778342
565,102597367,107778494
566,102597608,107784810
567,102599347,107792470
568,102599557,107792470
569,102601344,107784367
570,102615298,107786005
571,102624551,107781319
572,102624807,107781497
573,102625612,107781497
574,102626265,107784810
575,102626762,107780627
576,102627037,107780874
577,102627292,107781207
578,102627835,107781022
579,102629716,107785887
580,102632989,107786005
581,102640857,107799738
582,102644113,107792219
583,102644665,107797518
584,102655020,107781972
585,102658531,107790935
586,102659176,107790800
587,102659478,107791663
588,102659808,107791535
589,102660208,107791808
590,102663211,107791039
591,102663849,107791274
592,102669534,102669723
593,102669534,103787032
594,102670382,104328703
595,102672831,103928814
596,102676805,102676097
597,102677718,103613592
598,102683692,103321672
599,102686568,102687423
600,102686568,102812631
601,102686568,102932019
602,102686568,103061505
603,102686568,103401721
604,102686568,103830835
605,102686568,104226537
606,102686568,104230093
607,102687172,102742468
608,102687172,103363216
609,102687992,102731123
610,102687992,104120842
611,102687992,104396466
612,102687992,108594543
613,102688443,103651739
614,102688443,104467899
615,102690081,108293831
616,102690373,103412387
617,102690373,103955489
618,102690941,104526241
619,102691156,102670683
620,102691156,103295928
621,102691156,103408054
622,102691156,103530910
623,102691156,103638883
624,102691156,103813369
625,102691156,103973945
626,102691156,104045255
627,102691156,104590553
628,102691156,104592741
629,102692232,102687821
630,102692232,102693246
631,102692232,103098959
632,102692877,102960501
633,102693070,104120842
634,102693246,103427909
635,102698634,113902482
636,102700258,102710600
637,102704645,103981464
638,102704949,104541662
639,102705201,104434285
640,102709367,103369640
641,102709367,104184095
642,102715712,103998867
643,102726305,103620353
644,102726681,102726305
645,102727426,102822865
646,102730930,102731251
647,102730930,102834397
648,102731629,103156279
649,102731629,103868863
650,102732433,102733524
651,102733213,102733524
652,102733524,103615133
653,102733524,104288784
654,102733524,104542329
655,102738535,102737660
656,102742753,102743050
657,102742753,104520784
658,102743050,102790322
659,102743050,113902482
660,102746365,104322026
661,102748183,103485997
662,102750652,102750320
663,102752311,103683708
664,102753044,103970673
665,102757462,104043411
666,102757462,104064401
667,102757462,104392526
668,102761557,103302938
669,102761834,103537412
670,102762169,103569293
671,102763714,103474896
672,102763714,103974215
673,102764044,102764398
674,102764044,102764505
675,102764044,102848216
676,102764044,103474896
677,102769290,104149208
678,102774152,103038281
679,102774630,103485997
680,102774630,104333129
681,102775483,103006626
682,102775483,103245724
683,102777734,102788148
684,102777927,102884225
685,102777927,104164199
686,102779719,104255163
687,102780916,102799593
688,102780916,102884607
689,102780916,103859717
690,102780916,108572726
691,102782093,103291963
692,102782093,104094060
693,102782778,102780916
694,102782778,102917964
695,102782778,103254189
696,102782778,104300741
697,102785648,103430091
698,102787622,103341297
699,102787772,104523831
700,102788148,102783994
701,102788148,104047401
702,102790823,102790550
703,102791270,102791124
704,102793495,103500557
705,102794779,104290945
706,102795169,102895881
707,102795169,102919648
708,102795169,103533972
709,102795169,104307269
710,102795169,104390977
711,102799175,103485997
712,102799323,102838728
713,102799593,102797881
714,102799593,102810270
715,102799593,103792334
716,102799593,104204619
717,102801184,103809802
718,102801823,102941845
719,102802544,103393534
720,102802544,108590909
721,102806992,103238131
722,102807731,102808440
723,102807731,104209613
724,102807731,104446521
725,102807731,104553703
726,102810471,103274796
727,102810471,104413151
728,102810782,104300080
729,102811936,103130340
730,102811936,103750614
731,102814533,104384593
732,102818832,102822579
733,102818832,103731164
734,102821627,102818832
735,102822579,102821415
736,102822579,102822399
737,102822579,103379461
738,102822579,103502200
739,102824448,103037228
740,102824448,104261369
741,102826886,102824319
742,102827606,102828299
743,102828299,104010927
744,102834778,102835915
745,102834778,102836035
746,102834778,102999410
747,102834778,103056873
748,102834778,103487090
749,102834778,103616428
750,102834778,103796605
751,102834778,103903424
752,102834778,104289690
753,102836035,103971422
754,102836035,104283378
755,102836513,103521076
756,102841315,103309465
757,102842684,104005340
758,102844307,104183819
759,102847009,104232034
760,102848216,103624497
761,102850060,114798815
762,102853745,104020298
763,102854926,103815278
764,102856237,102824858
765,102858304,102859829
766,102861387,103959227
767,102862048,102738741
768,102862048,102801823
769,102862048,102892392
770,102862048,102895154
771,102862048,102950632
772,102862048,102978205
773,102862048,103144873
774,102862048,103146342
775,102862048,103292362
776,102862048,103325288
777,102862048,103429771
778,102862048,103448590
779,102862048,103457451
780,102862048,103513376
781,102862048,103623338
782,102862048,103831899
783,102862048,103879705
784,102862048,104077594
785,102862048,104114069
786,102862048,104231444
787,102862048,104259468
788,102862048,104395332
789,102862048,104496404
790,102862048,104519887
791,102862048,104539648
792,102863750,104310721
793,102864593,102845763
794,102865665,103042829
795,102865665,103501288
796,102865665,104183957
797,102867715,102868429
798,102867715,102950482
799,102870092,102840619
800,102870092,103382533
801,102870092,104277980
802,102870880,104190052
803,102872752,102874537
804,102872752,102874642
805,102872752,103068707
806,102872752,103116942
807,102872752,103308853
808,102872752,103511426
809,102872752,103573848
810,102872752,103574243
811,102872752,103862190
812,102872752,104290259
813,102872752,104444522
814,102872752,104444749
815,102872752,104450994
816,102872752,104514359
817,102875815,102875626
818,102876657,102877765
819,102876657,103794392
820,102877266,103825788
821,102879718,102883101
822,102879718,103669094
823,102880393,102742753
824,102880393,102879718
825,102880546,103341297
826,102882014,108572877
827,102882301,103341707
828,102882301,104431025
829,102882483,102882014
830,102882483,102882301
831,102882483,102882894
832,102883344,102798574
833,102883344,103661340
834,102884225,102886183
835,102886434,104255163
836,102887489,104333500
837,102887832,102886907
838,102887970,103038281
839,102890940,102890513
840,102891188,102889856
841,102891188,107265990
842,102891788,104519536
843,102892767,104333500
844,102895881,102896074
845,102896442,103062651
846,102896949,102849419
847,102898711,102733524
848,102898711,103933933
849,102898711,104479823
850,102899257,103939677
851,102900160,102844714
852,102900160,103012013
853,102900160,103506028
854,102900160,103831382
855,102900160,104072551
856,102900705,103485997
857,102906734,102907082
858,102908217,102902535
859,102908217,103485997
860,102910353,104010927
861,102911332,102912319
862,102912065,103233905
863,102912065,104190052
864,102913152,102713594
865,102913152,102715513
866,102913152,103109693
867,102913152,103109881
868,102913152,103110332
869,102913152,103110470
870,102913152,103120198
871,102913152,103146687
872,102913152,103281145
873,102913152,103307274
874,102913152,103365991
875,102913152,103387506
876,102913152,103509025
877,102913152,103579538
878,102913152,104105068
879,102913152,104105893
880,102913152,104143365
881,102913152,104182890
882,102913152,104226537
883,102913152,104298308
884,102913152,104515729
885,102913152,104546855
886,102913152,104587648
887,102913152,108555710
888,102915904,103594277
889,102918595,102919148
890,102924116,104105438
891,102924116,104588365
892,102925901,108293490
893,102932227,103864542
894,102933112,104190052
895,102933990,102934168
896,102934641,102934451
897,102940706,104310721
898,102942699,102727141
899,102942699,102943241
900,102942699,103172738
901,102942699,103189083
902,102942699,103340723
903,102942699,103531808
904,102942699,103704376
905,102942699,104211528
906,102942699,104289827
907,102947212,103683079
908,102947212,103683457
909,102948072,102948719
910,102948072,104581829
911,102948557,104002262
912,102948719,115044016
913,102954340,103261019
914,102958343,102670683
915,102958343,102685365
916,102958343,102758753
917,102958343,102761557
918,102958343,102761834
919,102958343,102911158
920,102958343,102918595
921,102958343,102963821
922,102958343,102965783
923,102958343,102970685
924,102958343,102974219
925,102958343,103327841
926,102958343,103350011
927,102958343,103366721
928,102958343,103424630
929,102958343,103441345
930,102958343,103459775
931,102958343,103518631
932,102958343,103530910
933,102958343,103696065
934,102958343,104060065
935,102958343,104085017
936,102958343,104105438
937,102958343,104120339
938,102958343,104294614
939,102958343,104357121
940,102958343,104384406
941,102958343,104425977
942,102958343,104588365
943,102959942,104366116
944,102962200,102689648
945,102962200,102689961
946,102962200,102927887
947,102962200,104527310
948,102962938,102781764
949,102962938,102963503
950,102962938,103857828
951,102963159,104238321
952,102963821,102741475
953,102963821,103223162
954,102963821,103521076
955,102965300,103392908
956,102966786,103658858
957,102967407,103485997
958,102968473,102765028
959,102968473,104119091
960,102970534,103485997
961,102970685,102767433
962,102970685,103505207
963,102970685,104162706
964,102970849,102765028
965,102970849,102973236
966,102971691,102916350
967,102971940,104346679
968,102973236,104283378
969,102973236,104543636
970,102974003,103547658
971,102974003,103548086
972,102974003,103971422
973,102976641,104205759
974,102977438,102679257
975,102978881,102979399
976,102980441,103610098
977,102980441,104501947
978,102984061,102983904
979,102985137,103277149
980,102985137,104152593
981,102988304,102988156
982,102992032,102991302
983,102995345,103125057
984,103000530,102999410
985,103001282,102999410
986,103001627,102767433
987,103001627,103654826
988,103002555,102937958
989,103004824,103024064
990,103011521,104291511
991,103011521,108270417
992,103012499,103485997
993,103013580,104333500
994,103014705,103661340
995,103015254,103233905
996,103015254,104190052
997,103016953,103233905
998,103017428,103018058
999,103017428,103161725
1000,103017428,103346455
1001,103020034,103577090
1002,103027250,103594277
1003,103028079,102701260
1004,103028079,102731398
1005,103028079,103004824
1006,103028079,103029197
1007,103028079,103633341
1008,103028079,103809686
1009,103028079,103813078
1010,103028079,103999160
1011,103028079,104104925
1012,103028079,104214413
1013,103028079,104471148
1014,103028079,104532504
1015,103029603,104228844
1016,103030035,103030433
1017,103030035,103338009
1018,103030663,103030880
1019,103031152,103794957
1020,103033362,102955247
1021,103033362,103024518
1022,103033362,104072960
1023,103033362,104079933
1024,103033362,104204755
1025,103033362,104211001
1026,103033362,104494204
1027,103034860,103035252
1028,103041449,103041265
1029,103044671,102915904
1030,103046257,103046657
1031,103046257,103407865
1032,103046257,103795758
1033,103047171,103712444
1034,103049457,104190052
1035,103051540,104550426
1036,103054311,103054491
1037,103054311,104058096
1038,103054605,102868240
1039,103054605,103390327
1040,103054901,103055159
1041,103055670,102884450
1042,103057021,102895328
1043,103057021,103057541
1044,103057021,103059236
1045,103057021,108583292
1046,103057920,103532672
1047,103058726,103131038
1048,103061505,102952237
1049,103061505,103267468
1050,103063073,103485997
1051,103063689,103485997
1052,103068181,103315805
1053,103068486,103480973
1054,103070396,103056368
1055,103070396,103768346
1056,103072201,103072440
1057,103073977,102956247
1058,103073977,103903868
1059,103073977,104182708
1060,103073977,113864542
1061,103074855,104452848
1062,103075097,104452848
1063,103077074,103949924
1064,103077741,104137773
1065,103077741,104138131
1066,103077958,102872529
1067,103077958,103077741
1068,103077958,104044119
1069,103077958,104176528
1070,103077958,104406350
1071,103082280,103838298
1072,103082807,103156405
1073,103082979,102924713
1074,103082979,102985137
1075,103082979,102995345
1076,103082979,103020034
1077,103082979,103084204
1078,103082979,103084420
1079,103082979,103163798
1080,103082979,103209141
1081,103082979,103209910
1082,103082979,103493333
1083,103082979,103614007
1084,103082979,103744276
1085,103082979,103782190
1086,103082979,103916720
1087,103085333,103827107
1088,103085333,104175147
1089,103085602,104588739
1090,103085915,103842377
1091,103088389,103088580
1092,103089879,103090000
1093,103098140,106874688
1094,103099454,102991555
1095,103102371,104557111
1096,103102859,104561965
1097,103103128,103320046
1098,103103128,103320262
1099,103103128,104021798
1100,103103128,104040759
1101,103103128,104041408
1102,103103128,104422875
1103,103108624,103108455
1104,103113657,104550546
1105,103114504,103654826
1106,103116530,103118245
1107,103120778,102789770
1108,103120778,102829116
1109,103120778,103606347
1110,103120778,104596492
1111,103121298,103120778
1112,103125729,104098513
1113,103132076,103485997
1114,103143255,103142912
1115,103143400,103142912
1116,103143572,103142912
1117,103143982,103142912
1118,103145522,104321804
1119,103145843,103315805
1120,103146219,102770078
1121,103148920,103149686
1122,103151077,103308853
1123,103153375,103485997
1124,103156405,103576955
1125,103156767,103941013
1126,103158885,103474896
1127,103158885,103520654
1128,103160186,103160001
1129,103176238,102921292
1130,103177349,104328946
1131,103179701,103233905
1132,103186285,103645730
1133,103186818,103341707
1134,103187595,103186818
1135,103193597,103193107
1136,103196598,103666362
1137,103197201,103196598
1138,103197337,103196598
1139,103199901,103905730
1140,103199901,104432043
1141,103200539,103519674
1142,103200701,102912065
1143,103200701,103201035
1144,103202354,103652226
1145,103208938,102890188
1146,103208938,102890662
1147,103209666,103492542
1148,103211117,104054795
1149,103212811,103064562
1150,103213014,102955247
1151,103213014,103213361
1152,103213014,103213538
1153,103213014,103213826
1154,103213014,104112147
1155,103219859,103220095
1156,103219966,103220095
1157,103221720,103682487
1158,103222722,103222857
1159,103224032,102977619
1160,103224032,103221720
1161,103224032,103222722
1162,103224032,103223686
1163,103226538,103226375
1164,103227184,104211356
1165,103228016,103227856
1166,103233905,103682487
1167,103235796,103235560
1168,103236217,103236580
1169,103236217,104149208
1170,103236423,103236217
1171,103236735,102861387
1172,103236735,103815278
1173,103236735,104238321
1174,103236735,108583292
1175,103238879,103959123
1176,103239054,104368496
1177,103239726,102844307
1178,103239726,103027250
1179,103240140,103027250
1180,103240140,103273061
1181,103240892,103240140
1182,103243218,104277493
1183,103243625,103244231
1184,103243625,103244919
1185,103243625,103678879
1186,103243625,104472243
1187,103243625,104510706
1188,103244388,104499660
1189,103246933,103246788
1190,103248560,103828155
1191,103248560,103834836
1192,103248560,104013993
1193,103249342,103921209
1194,103249569,103250279
1195,103250089,102890351
1196,103250089,102890940
1197,103250588,103273061
1198,103250952,103251280
1199,103259505,102807731
1200,103259505,102821627
1201,103259505,103175081
1202,103259505,103199775
1203,103259505,103200701
1204,103259505,103238131
1205,103259505,103319745
1206,103259505,103619890
1207,103259505,103679712
1208,103260504,103333851
1209,103261395,103261263
1210,103265032,103485997
1211,103265032,103624497
1212,103269401,104413151
1213,103270165,102700064
1214,103270165,102961225
1215,103270165,103503997
1216,103270165,103560567
1217,103270165,104304375
1218,103270165,104384910
1219,103270165,104540397
1220,103270165,107262704
1221,103270695,103276179
1222,103271260,103273061
1223,103271574,103273061
1224,103271574,103320421
1225,103271574,103547658
1226,103272125,103273061
1227,103272239,103508628
1228,103272562,103273061
1229,103272940,103273061
1230,103273061,102738271
1231,103273061,102908605
1232,103273061,103333851
1233,103273061,104111962
1234,103273061,104306592
1235,103273740,103508628
1236,103273913,103273061
1237,103273913,103557692
1238,103274265,103273061
1239,103274435,103273061
1240,103274561,103189311
1241,103275864,102714315
1242,103275864,102984699
1243,103275864,103274796
1244,103276179,102738271
1245,103278248,103033362
1246,103278248,103274796
1247,103279508,103277149
1248,103280644,103571706
1249,103281145,102960352
1250,103282060,104085873
1251,103287733,102946824
1252,103287733,103431745
1253,103288225,103156405
1254,103290195,102734835
1255,103290195,102755823
1256,103290195,103111041
1257,103290195,103397087
1258,103291551,104478657
1259,103292736,103956331
1260,103292736,104355821
1261,103296081,103296217
1262,103298716,104190052
1263,103300216,103300443
1264,103302487,103366301
1265,103302938,103303333
1266,103302938,103303510
1267,103302938,103303669
1268,103302938,104218564
1269,103302938,104385536
1270,103305522,103304730
1271,103306610,102969323
1272,103307274,103222959
1273,103307274,103223162
1274,103307274,103521076
1275,103307274,103882611
1276,103309465,104082886
1277,103309808,103265479
1278,103309808,103513627
1279,103316406,104008385
1280,103316406,104203514
1281,103317340,103317510
1282,103320519,103221205
1283,103320519,103319457
1284,103321103,102683558
1285,103321103,103426574
1286,103321419,103321103
1287,103321954,103321843
1288,103322099,103322836
1289,103322099,103323211
1290,103325088,103485997
1291,103331599,103852031
