,Synset,W Num,Word,Type,Sense,Tag Count
0,100001740,0,entitat,n,1,0
1,100001930,0,entitat física,n,1,0
2,100002137,0,abstracció,n,2,0
3,100002452,0,cosa,n,7,0
4,100002684,0,cosa,n,2,0
5,100002684,0,objecte,n,1,0
6,100002684,0,objecte físic,n,1,0
7,100002684,0,objecte inanimat,n,1,0
8,100003553,0,conjunt,n,2,0
9,100003553,0,unitat,n,1,0
10,100003553,0,unitat completa,n,1,0
11,100004258,0,entitat viva,n,1,0
12,100004258,0,organisme,n,2,0
13,100004258,0,ésser viu,n,2,0
14,100004475,0,organisme,n,1,0
15,100004475,0,ésser,n,1,0
16,100004475,0,ésser viu,n,1,0
17,100005787,0,bentos,n,1,0
18,100006024,0,heterotròfia,n,1,0
19,100006269,0,vida,n,6,0
20,100006484,0,cèl·lula,n,1,0
21,100007347,0,agent causal,n,1,0
22,100007347,0,causa,n,4,0
23,100007846,0,humà,n,1,0
24,100007846,0,individu,n,1,0
25,100007846,0,mortal,n,1,0
26,100007846,0,persona,n,1,0
27,100007846,0,ésser humà,n,1,0
28,100015388,0,animal,n,1,0
29,100015388,0,bèstia,n,1,0
30,100015388,0,criatura,n,1,0
31,100015388,0,fauna,n,1,0
32,100017222,0,flora,n,1,0
33,100017222,0,planta,n,1,0
34,100017222,0,plantae,n,1,0
35,100019128,0,objecte natural,n,1,0
36,100019613,0,substància,n,2,0
37,100020090,0,substància,n,1,0
38,100020090,0,sustància,n,1,0
39,100020827,0,matèria,n,5,0
40,100020827,0,substància,n,4,0
41,100021265,0,aliment,n,3,0
42,100021265,0,menjar,n,5,0
43,100021265,0,nutrient,n,2,0
44,100021265,0,sustent,n,2,0
45,100021734,0,nutrient,n,3,0
46,100021939,0,artefacte,n,1,0
47,100022903,0,article,n,2,0
48,100023100,0,tret psicològic,n,1,0
49,100023271,0,cognició,n,1,0
50,100023271,0,coneixement,n,1,0
51,100023271,0,coneixements,n,1,0
52,100023271,0,noesi,n,1,0
53,100023271,0,noesis,n,1,0
54,100023271,0,saber,n,1,0
55,100023773,0,motiu,n,1,0
56,100023773,0,motivació,n,1,0
57,100023773,0,necessitat,n,1,0
58,100024264,0,atribut,n,1,0
59,100024264,0,tret,n,3,0
60,100024720,0,estat,n,1,0
61,100026192,0,sentiment,n,2,0
62,100027167,0,lloc,n,2,0
63,100027167,0,ubicació,n,1,0
64,100027807,0,forma,n,6,0
65,100028270,0,temps,n,2,0
66,100028651,0,espai,n,4,0
67,100028651,0,infinit,n,1,0
68,100029114,0,nolex,n,4,0
69,100029378,0,esdeveniment,n,1,0
70,100029677,0,procés,n,1,0
71,100029677,0,procés físic,n,1,0
72,100030358,0,acció,n,4,0
73,100030358,0,acció humana,n,1,0
74,100030358,0,acte,n,2,0
75,100030358,0,activitat humana,n,1,0
76,100031264,0,agrupació,n,1,0
77,100031264,0,col·lectiu,n,1,0
78,100031264,0,grup,n,1,0
79,100031921,0,lligam,n,1,0
80,100031921,0,relació,n,1,0
81,100031921,0,vincle,n,1,0
82,100032613,0,possessió,n,3,0
83,100032823,0,relació social,n,1,0
84,100033020,0,comunicació,n,1,0
85,100033615,0,mesura,n,3,0
86,100033615,0,quantia,n,1,0
87,100033615,0,quantitat,n,2,0
88,100034213,0,fenomen,n,1,0
89,100034479,0,cosa,n,5,0
90,100034574,0,amabilitat,n,4,0
91,100034574,0,bondat,n,2,0
92,100034939,0,avortament,n,4,0
93,100035189,0,aconseguiment,n,1,0
94,100035189,0,assoliment,n,1,0
95,100035189,0,consecució,n,1,0
96,100035189,0,realització,n,1,0
97,100035189,0,èxit,n,1,0
98,100035697,0,agon,n,1,0
99,100036762,0,consecució,n,2,0
100,100036762,0,feta,n,1,0
101,100036762,0,fita,n,1,0
102,100036762,0,gesta,n,1,0
103,100036762,0,proesa,n,1,0
104,100037006,0,obra mestra,n,2,0
105,100037090,0,cop d''efecte,n,1,0
106,100037396,0,acció,n,1,0
107,100037396,0,acte,n,1,0
108,100037396,0,fet,n,1,0
109,100038175,0,res gestae,n,1,0
110,100038262,0,camí,n,4,0
111,100039021,0,interacció,n,1,0
112,100039211,0,interacció,n,2,0
113,100039297,0,contacte,n,4,0
114,100040152,0,estira-i-arronsa,n,1,0
115,100040152,0,intercanvi,n,2,0
116,100040152,0,reciprocació,n,1,0
117,100040420,0,reciprocitat,n,2,0
