,Synset,W Num,Word,Type,Sense,Tag Count
0,100001740,0,entitate,n,1,0
1,100001740,0,izaki,n,1,0
2,100001740,0,sorkari,n,1,0
3,100002137,0,abstrakzio,n,2,0
4,100002684,0,gauza,n,1,0
5,100002684,0,gauzaki,n,1,0
6,100002684,0,objektu,n,1,0
7,100003553,0,unitate,n,6,0
8,100004258,0,bizidun,n,1,0
9,100004258,0,izaki bizidun,n,1,0
10,100004258,0,organismo,n,1,0
11,100006269,0,bizi,n,1,0
12,100006269,0,bizitza,n,1,0
13,100006400,0,unitate bizidun berezitu,n,1,0
14,100006484,0,zelula,n,1,0
15,100007347,0,kausa,n,1,0
16,100007846,0,arima,n,1,0
17,100007846,0,gizabanako,n,1,0
18,100007846,0,gizaki,n,1,0
19,100007846,0,gizon,n,2,0
20,100007846,0,kristau,n,2,0
21,100007846,0,lagun,n,5,0
22,100007846,0,pertsona,n,1,0
23,100015388,0,abere,n,1,0
24,100015388,0,animalia,n,1,0
25,100015388,0,fauna,n,1,0
26,100017222,0,flora,n,1,0
27,100017222,0,landare,n,1,0
28,100019128,0,objektu natural,n,1,0
29,100019613,0,gai,n,9,0
30,100019613,0,substantzia,n,2,0
31,100020827,0,gai,n,1,0
32,100020827,0,materia,n,1,0
33,100020827,0,substantzia,n,1,0
34,100021265,0,bizigai,n,1,0
35,100021265,0,elikagai,n,1,0
36,100021265,0,hazkurri,n,1,0
37,100021265,0,jaki,n,2,0
38,100021265,0,jan,n,1,0
39,100021265,0,janari,n,2,0
40,100021265,0,jangai,n,1,0
41,100021265,0,jangarri,n,1,0
42,100021265,0,jateko,n,2,0
43,100021939,0,artefaktu,n,1,0
44,100022903,0,gai,n,2,0
45,100023100,0,ezaugarri psikologiko,n,1,0
46,100023271,0,kognizio,n,1,0
47,100023773,0,eragite,n,1,0
48,100023773,0,motibazio,n,1,0
49,100024264,0,nolakotasun,n,1,0
50,100024720,0,egoera,n,1,0
51,100026192,0,sentimendu,n,1,0
52,100027167,0,leku,n,1,0
53,100027167,0,toki,n,2,0
54,100027807,0,forma,n,1,0
55,100028270,0,denbora,n,1,0
56,100029378,0,gertaera,n,1,0
57,100029378,0,gertakari,n,3,0
58,100029378,0,gertakizun,n,1,0
59,100029378,0,jazoera,n,1,0
60,100029677,0,prozesu,n,5,0
61,100031264,0,talde,n,1,0
62,100031921,0,erlazio,n,1,0
63,100031921,0,harreman,n,5,0
64,100031921,0,lotura,n,7,0
65,100031921,0,zerikusi,n,1,0
66,100032613,0,jabego,n,3,0
67,100032613,0,jabetza,n,1,0
68,100032823,0,gizarte-harreman,n,1,0
69,100033020,0,komunikazio,n,1,0
70,100033615,0,kantitate,n,1,0
71,100033615,0,kopuru,n,1,0
72,100033615,0,neurri,n,2,0
73,100033615,0,zenbatasun,n,1,0
74,100034213,0,fenomeno,n,1,0
75,100034213,0,gertakari,n,1,0
76,100034479,0,gauza,n,2,0
77,100034479,0,zerbait,n,1,0
78,100034574,0,on egite,n,2,0
79,100034574,0,ontasun,n,2,0
80,100035189,0,gauzatze,n,1,0
81,100035189,0,lortze,n,1,0
82,100036762,0,balentria,n,1,0
83,100037006,0,maisulan,n,1,0
84,100037396,0,egin,n,1,0
85,100037396,0,egintza,n,2,0
86,100037396,0,ekintza,n,1,0
87,100038262,0,bide,n,1,0
88,100039021,0,elkarrekintza,n,1,0
89,100039021,0,elkarreragin,n,1,0
