,Synset,W Num,Word,Type,Sense,Tag Count
0,100001740,0,entidade,n,1,0
1,100001930,0,entidade física,n,1,0
2,100002137,0,abstracción,n,3,0
3,100002137,0,entidade abstracta,n,1,0
4,100002452,0,cousa,n,3,0
5,100002684,0,cousa,n,1,0
6,100002684,0,obxecto,n,1,0
7,100002684,0,obxecto físico,n,1,0
8,100002684,0,obxecto inanimado,n,1,0
9,100003553,0,total,n,1,0
10,100003553,0,totalidade,n,2,0
11,100003553,0,unidade,n,2,0
12,100004475,0,organismo,n,1,0
13,100004475,0,ser,n,1,0
14,100004475,0,ser vivo,n,1,0
15,100005787,0,bentos,n,1,0
16,100006024,0,heterótrofo,n,1,0
17,100006269,0,vida,n,4,0
18,100006484,0,célula,n,1,0
19,100007347,0,axente causal,n,1,0
20,100007347,0,causa,n,2,0
21,100007846,0,alma,n,2,0
22,100007846,0,humano,n,1,0
23,100007846,0,individuo,n,1,0
24,100007846,0,mortal,n,1,0
25,100007846,0,persoa,n,1,0
26,100007846,0,ser humano,n,1,0
27,100015388,0,animal,n,1,0
28,100015388,0,besta,n,1,0
29,100015388,0,criatura,n,1,0
30,100015388,0,fauna,n,1,0
31,100017222,0,flora,n,1,0
32,100017222,0,planta,n,1,0
33,100017222,0,vexetal,n,2,0
34,100019128,0,elemento natural,n,1,0
35,100019128,0,obxecto natural,n,1,0
36,100019613,0,substancia,n,1,0
37,100020090,0,substancia,n,2,0
38,100020827,0,materia,n,1,0
39,100021265,0,alimento,n,2,0
40,100021265,0,comida,n,5,0
41,100021734,0,nutriente,n,2,0
42,100021734,0,nutrimento,n,1,0
43,100021939,0,artefacto,n,1,0
44,100022903,0,artigo,n,1,0
45,100023271,0,cognición,n,1,0
46,100023271,0,coñecemento,n,1,0
47,100023271,0,noese,n,1,0
48,100023271,0,saber,n,1,0
49,100023773,0,causa,n,1,0
50,100023773,0,motivación,n,1,0
51,100023773,0,motivo,n,1,0
52,100023773,0,necesidade,n,2,0
53,100024264,0,atributo,n,1,0
54,100024264,0,calidade,n,2,0
55,100024264,0,característica,n,2,0
56,100024264,0,propiedade,n,1,0
57,100024720,0,estado,n,1,0
58,100026192,0,sensación,n,3,0
59,100026192,0,sentimento,n,2,0
60,100027167,0,localización,n,3,0
61,100027167,0,lugar,n,3,0
62,100027167,0,posición,n,9,0
63,100027167,0,sitio,n,3,0
64,100027167,0,situación,n,6,0
65,100027807,0,forma,n,5,0
66,100028270,0,tempo,n,3,0
67,100028651,0,espazo,n,1,0
68,100029378,0,evento,n,1,0
69,100029677,0,proceso,n,1,0
70,100029677,0,proceso físico,n,1,0
71,100030358,0,acción,n,1,0
72,100030358,0,acción humana,n,1,0
73,100030358,0,actividade humana,n,1,0
74,100030358,0,acto,n,1,0
75,100031264,0,agrupación,n,1,0
76,100031264,0,agrupamento,n,1,0
77,100031264,0,colectivo,n,1,0
78,100031264,0,grupo,n,1,0
79,100031921,0,relación,n,1,0
80,100032613,0,ben,n,5,0
81,100032613,0,pertenza,n,3,0
82,100032613,0,posesión,n,3,0
83,100032613,0,propiedade,n,5,0
84,100033020,0,comunicación,n,1,0
85,100033615,0,cantidade,n,1,0
86,100033615,0,medida,n,1,0
87,100034213,0,fenómeno,n,1,0
88,100034479,0,cousa,n,4,0
89,100034574,0,benevolencia,n,1,0
90,100034574,0,benignidade,n,1,0
91,100034574,0,bondade,n,2,0
92,100035189,0,conquista,n,1,0
93,100035189,0,logro,n,1,0
94,100035189,0,proeza,n,1,0
95,100035189,0,realización,n,1,0
96,100035189,0,rendemento,n,4,0
97,100035189,0,triunfo,n,1,0
98,100035697,0,agón,n,1,0
99,100036061,0,aplicación,n,5,0
100,100036061,0,uso,n,6,0
101,100036762,0,fazaña,n,1,0
102,100036762,0,proeza,n,2,0
103,100037006,0,obra mestra,n,1,0
104,100037200,0,haber,n,1,0
105,100037396,0,acción,n,2,0
106,100037396,0,medida,n,5,0
107,100039021,0,interacción,n,3,0
108,100039211,0,interacción,n,1,0
109,100039297,0,contacto,n,1,0
110,100040152,0,intercambio,n,2,0
111,100040420,0,reciprocidade,n,1,0
112,100042757,0,marcha,n,2,0
113,100042757,0,partida,n,1,0
114,100042757,0,saída,n,1,0
115,100043195,0,achado,n,1,0
116,100043195,0,descubrimento,n,2,0
117,100044150,0,aplicación,n,4,0
118,100044150,0,execución,n,1,0
119,100044673,0,equiparación,n,1,0
120,100044673,0,igualación,n,1,0
121,100044673,0,nivelación,n,1,0
122,100044900,0,exhumación,n,1,0
123,100045250,0,propulsión,n,1,0
124,100045907,0,recuperación,n,1,0
125,100046344,0,acrobacia,n,2,0
126,100046522,0,contacto,n,3,0
127,100047106,0,desempeño,n,1,0
128,100047106,0,rendemento,n,5,0
129,100047356,0,rendemento por encima do esperado,n,1,0
130,100047550,0,rendemento por debaixo do esperado,n,1,0
131,100047745,0,historial,n,1,0
132,100048225,0,obtención,n,1,0
133,100048374,0,chegada,n,2,0
134,100048828,0,advento,n,1,0
135,100048828,0,aparición,n,1,0
136,100048828,0,chegada,n,1,0
137,100049003,0,entrada,n,2,0
138,100049789,0,entrada,n,3,0
139,100050037,0,inscrición,n,2,0
140,100050037,0,matriculación,n,1,0
141,100050037,0,rexistro,n,2,0
142,100050195,0,aparecemento,n,1,0
143,100050195,0,aparición,n,3,0
144,100050693,0,emerxencia,n,1,0
145,100051192,0,regreso,n,2,0
146,100051192,0,retorno,n,1,0
147,100051192,0,volta,n,2,0
148,100051385,0,repatriación,n,1,0
149,100051525,0,penetración,n,1,0
150,100053097,0,despedida,n,2,0
151,100053609,0,desaparición,n,2,0
152,100053913,0,retirada,n,1,0
153,100053913,0,retiro,n,2,0
154,100054821,0,evacuación,n,2,0
155,100055315,0,abandono,n,2,0
156,100055315,0,deserción,n,1,0
157,100056087,0,emigración,n,1,0
158,100056311,0,inmigración,n,1,0
159,100057306,0,retroceso,n,1,0
160,100057486,0,recesión,n,3,0
161,100057486,0,regresión,n,1,0
162,100057657,0,saída,n,5,0
163,100058519,0,saída,n,2,0
164,100058608,0,fuga,n,1,0
165,100058743,0,fuga,n,3,0
166,100059552,0,manobra,n,1,0
167,100060414,0,éxodo,n,1,0
168,100060817,0,Underground Railroad,n,1,0
169,100061290,0,despacho,n,1,0
170,100061290,0,envío,n,2,0
171,100061792,0,consumación,n,1,0
172,100061917,0,cumprimento,n,3,0
173,100061917,0,execución,n,2,0
174,100061917,0,materialización,n,1,0
175,100061917,0,realización,n,2,0
176,100062133,0,clímax,n,1,0
177,100062133,0,orgasmo,n,1,0
178,100062451,0,culminación,n,1,0
179,100062451,0,cumprimento,n,4,0
180,100062451,0,execución,n,3,0
181,100062451,0,realización,n,3,0
182,100062671,0,realización,n,4,0
183,100062671,0,realización persoal,n,1,0
184,100063652,0,éxito,n,2,0
185,100065216,0,conquista,n,4,0
186,100065855,0,crédito académico,n,1,0
187,100066397,0,inobservancia,n,1,0
188,100066397,0,omisión,n,1,0
189,100066636,0,fracaso,n,2,0
190,100067526,0,perda,n,5,0
191,100067990,0,desbaratamento,n,1,0
192,100067990,0,frustración,n,2,0
193,100068333,0,caída,n,1,0
194,100068333,0,recaída,n,1,0
195,100068617,0,reincidencia,n,1,0
196,100070965,0,erro,n,2,0
197,100070965,0,falta,n,3,0
198,100072261,0,falla,n,2,0
199,100072261,0,falta,n,5,0
200,100072261,0,mancha,n,9,0
201,100072261,0,mácula,n,3,0
202,100072261,0,tacha,n,2,0
203,100072473,0,confusión,n,3,0
204,100072808,0,erro de cálculo,n,1,0
205,100072808,0,mala avaliación,n,1,0
206,100073032,0,efecto búmerang,n,1,0
207,100073713,0,distorsión,n,2,0
208,100073713,0,terxiversación,n,1,0
209,100074324,0,fóra de xogo,n,1,0
210,100074524,0,lapso,n,1,0
211,100074624,0,neglixencia,n,1,0
212,100074790,0,disparate,n,1,0
213,100074790,0,metedura de pata,n,1,0
214,100076884,0,caída,n,2,0
215,100077419,0,adquisición,n,1,0
216,100078536,0,anexión,n,1,0
217,100078821,0,adquisición de fondos pork barrel,n,1,0
218,100079018,0,adquisición,n,3,0
219,100079018,0,compra,n,3,0
220,100079212,0,recompra,n,1,0
221,100079398,0,comercio,n,3,0
222,100081572,0,compra,n,2,0
223,100081836,0,abastecemento,n,1,0
224,100081836,0,aprovisionamento,n,1,0
225,100081836,0,provisión,n,1,0
226,100082081,0,compra,n,4,0
227,100082223,0,compra por catálogo,n,1,0
228,100082223,0,compra por correspondencia,n,1,0
229,100082347,0,acordo viático,n,1,0
230,100082525,0,aceptación,n,2,0
231,100082754,0,sucesión,n,3,0
232,100082870,0,asunción,n,1,0
233,100083585,0,herdanza,n,3,0
234,100083585,0,herdo,n,1,0
235,100083585,0,legado,n,2,0
236,100083585,0,manda,n,1,0
237,100083585,0,patrimonio,n,2,0
238,100083729,0,compra,n,1,0
239,100084371,0,adopción,n,2,0
240,100085678,0,confiscación,n,1,0
241,100086140,0,expropiación,n,1,0
242,100086809,0,ocupación,n,3,0
243,100087423,0,subvención,n,2,0
244,100087663,0,concesión,n,3,0
245,100087663,0,indemnización,n,2,0
246,100088154,0,subvención en bloque,n,1,0
247,100088367,0,subvención estatal,n,1,0
248,100088725,0,apresamento,n,1,0
249,100088725,0,arresto,n,1,0
250,100088725,0,captura,n,1,0
251,100088725,0,detención,n,1,0
252,100089027,0,conquista,n,3,0
253,100089351,0,devolución,n,1,0
254,100089657,0,reembolso,n,2,0
255,100090253,0,recepción,n,2,0
