,Synset,W Num,Word,Type,Sense,Tag Count
0,100001740,0,entidade,n,1,0
1,100002137,0,abstração,n,3,0
2,100002452,0,coisa,n,1,0
3,100002684,0,coisa,n,11,0
4,100002684,0,objeto,n,3,0
5,100003553,0,conjunto,n,1,0
6,100003553,0,unidade,n,1,0
7,100004258,0,organismo,n,4,0
8,100004475,0,organismo,n,1,0
9,100004475,0,ser,n,1,0
10,100006269,0,vida,n,1,0
11,100006484,0,célula,n,1,0
12,100007347,0,agente causal,n,1,0
13,100007347,0,causa,n,1,0
14,100007846,0,alma,n,1,0
15,100007846,0,cidadão,n,1,0
16,100007846,0,corpo,n,1,0
17,100007846,0,humano,n,8,0
18,100007846,0,individualidade,n,1,0
19,100007846,0,indivíduo,n,1,0
20,100007846,0,indíviduo,n,1,0
21,100007846,0,mortal,n,9,0
22,100007846,0,pessoa,n,1,0
23,100007846,0,sujeito,n,1,0
24,100015388,0,animal,n,1,0
25,100015388,0,animalesco,n,1,0
26,100015388,0,besta,n,3,0
27,100015388,0,bestial,n,1,0
28,100015388,0,bruto,n,1,0
29,100015388,0,cavalgadura,n,1,0
30,100015388,0,criatura,n,1,0
31,100015388,0,fauna,n,1,0
32,100015388,0,flora,n,1,0
33,100015388,0,organismo,n,1,0
34,100015388,0,ser,n,1,0
35,100017222,0,flora,n,2,0
36,100017222,0,planta,n,1,0
37,100019046,0,nativo,n,1,0
38,100019128,0,objeto natural,n,1,0
39,100019613,0,substância,n,1,0
40,100020090,0,substância,n,2,0
41,100020827,0,matéria,n,1,0
42,100020827,0,substância,n,4,0
43,100021265,0,alimentação,n,1,0
44,100021265,0,alimento,n,1,0
45,100021265,0,alimentos,n,1,0
46,100021265,0,comida,n,1,0
47,100021265,0,manja,n,1,0
48,100021265,0,manjua,n,1,0
49,100021265,0,mantimento,n,1,0
50,100021265,0,nutriente,n,1,0
51,100021265,0,nutrimento,n,1,0
52,100021265,0,paparoca,n,1,0
53,100021265,0,sustento,n,1,0
